company_nmls_id,license_number,license_class,ofr_status,initial_approval_on,status_effective_on,source_clock,source_dataset,source_record_id,source_observed_on,firm_name,prim_address1,prim_address2,prim_city,prim_county,prim_state,prim_zip,phone,servicer_flag,raw_metadata
115981,MLD553,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD553,2026-08-28,"1ST 2ND MORTGAGE COMPANY OF N.J., INC.",50 SPRING STREET,,CRESSKILL,BERGEN,NJ,07626,2015693469,Yes,
2819,MLD709,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD709,2026-08-28,"1ST ALLIANCE LENDING, LLC","111 FOUNDERS PLAZA, SUITE 1300",,EAST HARTFORD,HARTFORD,CT,06108,860-289-0332,,
2819,MLD995,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD995,2026-08-28,"1ST ALLIANCE LENDING, LLC","111 FOUNDERS PLAZA, SUITE 1300",,EAST HARTFORD,HARTFORD,CT,06108,860-289-0332,Yes,
1407,MLD655,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD655,2026-08-28,1ST ALLIANCE MORTGAGE LLC,2000 NORTH LOOP WEST,SUITE 133,HOUSTON,HARRIS,TX,77018,713-626-5700,,
2960,MLD1931,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1931,2026-08-28,"1ST AMERICAN HOME LOANS, LLC",508 POMFRET STREET,,PUTNAM,,CT,06260,8607747000,,
179887,MLD521,MLD,Expired,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD521,2026-08-28,"1ST CHOICE MORTGAGE LOANS, CORPORATION",1801 N PINE ISLAND ROAD,SUITE 210,PLANTATION,,FL,33322,954-324-2274,,
185076,MLD1227,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1227,2026-08-28,"1ST FINANCIAL, INC.",401 HEADQUARTERS DRIVE,SUITE 205,MILLERSVILLE,ANNE ARUNDEL,MD,21108,4108415330,,
359304,MLD1069,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1069,2026-08-28,1ST FLORIDA LENDING CORP,2151 CONSULATE DRIVE,SUITE 8-A,ORLANDO,ORANGE,FL,32837,4074018522,Yes,
359304,MLD2660,MLD,Approved,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD2660,2026-08-28,1ST FLORIDA LENDING CORP,2151 CONSULATE DRIVE,SUITE 8-A,ORLANDO,ORANGE,FL,32837,,,
1281,MLD1423,MLD,Terminated,,,monthly_full,FL_OFR_MONTHLY_CH494,FL|MONTHLY|MLD|MLD1423,2026-08-28,1ST NATIONWIDE MORTGAGE CORPORATION,24012 CALLE DE LA PLATA,STE 430,LAGUNA HILLS,ORANGE,CA,92653,9492073467,,
