company_nmls_id,legal_name,source_families,source_record_keys
1000517,"KORTAVA FINANCIAL NETWORK, INC.",monthly_mbr,FL|MONTHLY|MBR|MBR4342
1000869,"ISLAND MORTGAGE, INC.",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1315|FL|NMLS|MBR|MBR1315
1003537,MCM FINANCIAL SERVICES INC.,monthly_mbr,FL|MONTHLY|MBR|MBR4335
1003861,7TH LEVEL MORTGAGE LIMITED LIABILITY COMPANY,monthly_mbr|monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD1021|FL|MONTHLY|MBR|MBR1319|FL|MONTHLY|MBR|MBR3448|FL|NMLS|MBR|MBR3448
1004165,CLICK QUICK LOAN LLC,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1337|FL|NMLS|MBR|MBR1337
1004580,"NAVIGATOR LENDING SOLUTIONS, INC.",monthly_mbr,FL|MONTHLY|MBR|MBR1357
1004600,"MORTGAGE CONSULTING GROUP, INC",monthly_mbr,FL|MONTHLY|MBR|MBR4465
1005474,"MORTGAGE LENDING MASTERS, LLC",monthly_mbr|monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD896|FL|MONTHLY|MBR|MBR1691|FL|NMLS|MBR|MBR1691
1006294,"NORTH AMERICAN REVERSE, INC.",monthly_mbr,FL|MONTHLY|MBR|MBR1495
1006777,"UPTOWN FINANCIAL GROUP, INC.",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1309|FL|NMLS|MBR|MBR1309
1006977,INTEGRITY FIRST LENDING LLC,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR6099|FL|NMLS|MBR|MBR6099
1007147,"SKY MORTGAGE, LLC",monthly_mbr,FL|MONTHLY|MBR|MBR1306
1008714,WHEELER CAPITAL PARTNERS LLC,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1344|FL|NMLS|MBR|MBR1344
1008857,WE BELIEVE INC.,monthly_mbr,FL|MONTHLY|MBR|MBR1541
