year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,AL,01073,Jefferson,25531,14241,4910,19.23,11198,8384,5949,43.86,32.84,19076,4398,1976,81,0,74.72,17.23,7.74,11006,2236,957,42,0,77.28,15.7,6.72,national
2025,AL,01089,Madison,20201,12301,3145,15.57,9617,6684,3900,47.61,33.09,13325,3032,3632,212,0,65.96,15.01,17.98,8158,1780,2205,158,0,66.32,14.47,17.93,national
2025,AL,01003,Baldwin,15520,8842,2727,17.57,8570,4113,2837,55.22,26.5,10966,2528,1838,188,0,70.66,16.29,11.84,6307,1388,1047,100,0,71.33,15.7,11.84,national
2025,AL,01097,Mobile,14693,7860,3158,21.49,6743,4801,3149,45.89,32.68,9407,3462,1676,148,0,64.02,23.56,11.41,4966,1933,859,102,0,63.18,24.59,10.93,national
2025,AL,01117,Shelby,10958,6757,1663,15.18,5275,3104,2579,48.14,28.33,8006,1940,921,91,0,73.06,17.7,8.4,4975,1171,556,55,0,73.63,17.33,8.23,national
2025,AL,01081,Lee,7753,4653,1253,16.16,4229,2245,1279,54.55,28.96,5319,1087,1308,39,0,68.61,14.02,16.87,3205,628,792,28,0,68.88,13.5,17.02,national
2025,AL,01125,Tuscaloosa,7780,4403,1526,19.61,4403,2195,1182,56.59,28.21,5273,1647,716,144,0,67.78,21.17,9.2,3029,917,388,69,0,68.79,20.83,8.81,national
2025,AL,01101,Montgomery,8402,4341,1742,20.73,4124,2949,1329,49.08,35.1,5339,1670,1377,16,0,63.54,19.88,16.39,2746,865,719,11,0,63.26,19.93,16.56,national
2025,AL,01083,Limestone,6631,4075,1000,15.08,3574,1960,1097,53.9,29.56,4036,1263,1158,174,0,60.87,19.05,17.46,2450,792,698,135,0,60.12,19.44,17.13,national
2025,AL,01103,Morgan,5022,2896,875,17.42,2340,1786,896,46.59,35.56,3405,1035,558,24,0,67.8,20.61,11.11,1997,593,290,16,0,68.96,20.48,10.01,national
2025,AL,01115,St. Clair,4682,2689,853,18.22,2544,1349,789,54.34,28.81,2994,1062,523,103,0,63.95,22.68,11.17,1688,638,294,69,0,62.77,23.73,10.93,national
2025,AL,01069,Houston,4460,2524,894,20.04,2105,1415,940,47.2,31.73,2850,791,779,40,0,63.9,17.74,17.47,1643,418,437,26,0,65.1,16.56,17.31,national
2025,AL,01051,Elmore,4269,2503,735,17.22,2105,1450,714,49.31,33.97,2788,669,757,55,0,65.31,15.67,17.73,1587,393,488,35,0,63.4,15.7,19.5,national
2025,AL,01077,Lauderdale,3718,2433,565,15.2,1645,1396,677,44.24,37.55,2709,655,298,56,0,72.86,17.62,8.02,1815,411,168,39,0,74.6,16.89,6.91,national
2025,AL,01095,Marshall,3734,2206,652,17.46,1808,1361,565,48.42,36.45,2534,685,426,89,0,67.86,18.34,11.41,1471,428,242,65,0,66.68,19.4,10.97,national
2025,AL,01015,Calhoun,4247,2149,934,21.99,2162,1358,727,50.91,31.98,2609,972,571,95,0,61.43,22.89,13.44,1213,566,302,68,0,56.44,26.34,14.05,national
2025,AL,01055,Etowah,3657,2050,758,20.73,1742,1155,760,47.63,31.58,2493,755,350,59,0,68.17,20.65,9.57,1364,451,195,40,0,66.54,22.0,9.51,national
2025,AL,01043,Cullman,3767,2033,812,21.56,2035,1198,534,54.02,31.8,2612,648,378,129,0,69.34,17.2,10.03,1391,345,204,93,0,68.42,16.97,10.03,national
2025,AL,01001,Autauga,2828,1612,494,17.47,1362,1025,441,48.16,36.24,1757,444,613,14,0,62.13,15.7,21.68,961,258,382,11,0,59.62,16.0,23.7,national
2025,AL,01031,Coffee,2670,1551,471,17.64,1239,955,476,46.4,35.77,1379,255,993,43,0,51.65,9.55,37.19,756,145,619,31,0,48.74,9.35,39.91,national
2025,AL,01033,Colbert,2383,1519,365,15.32,1111,892,380,46.62,37.43,1618,532,221,12,0,67.9,22.32,9.27,1051,337,123,8,0,69.19,22.19,8.1,national
2025,AL,01121,Talladega,3112,1449,800,25.71,1854,807,451,59.58,25.93,2003,694,293,122,0,64.36,22.3,9.42,850,368,154,77,0,58.66,25.4,10.63,national
2025,AL,01113,,2561,1387,470,18.35,1099,1118,344,42.91,43.65,1031,366,1153,11,0,40.26,14.29,45.02,486,194,699,8,0,35.04,13.99,50.4,national
2025,AL,01009,,2356,1273,494,20.97,1227,697,432,52.08,29.58,1639,430,220,67,0,69.57,18.25,9.34,864,236,127,46,0,67.87,18.54,9.98,national
2025,AL,01049,DeKalb,2367,1215,535,22.6,1169,826,372,49.39,34.9,1698,405,221,43,0,71.74,17.11,9.34,849,215,121,30,0,69.88,17.7,9.96,national
2025,AL,01127,Walker,2420,1074,635,26.24,1440,558,422,59.5,23.06,1758,412,206,44,0,72.64,17.02,8.51,724,229,93,28,0,67.41,21.32,8.66,national
2025,AL,01021,,1973,1011,441,22.35,1091,584,298,55.3,29.6,1423,343,143,64,0,72.12,17.38,7.25,686,198,81,46,0,67.85,19.58,8.01,national
2025,AL,01071,Jackson,1923,1008,384,19.97,857,702,364,44.57,36.51,1384,344,173,22,0,71.97,17.89,9.0,727,169,96,16,0,72.12,16.77,9.52,national
2025,AL,01123,,1670,927,349,20.9,843,570,257,50.48,34.13,1248,236,152,34,0,74.73,14.13,9.1,692,128,87,20,0,74.65,13.81,9.39,national
2025,AL,01045,Dale,1766,916,382,21.63,854,607,305,48.36,34.37,974,266,487,39,0,55.15,15.06,27.58,493,138,261,24,0,53.82,15.07,28.49,national
