lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,alabama_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,al_la_curated+al_la_gleif_reidentify+public_nmls,6770,0,6770,high,al_la_curated map for AL activity (6770 AL originations); slug=rocket-mortgage.
EQTWLK1G7ODGC2MGLV11,Regions Bank,467341,regions-bank,Regions Bank,high,al_la_curated+al_la_gleif_reidentify+public_nmls,5523,0,5523,high,al_la_curated map for AL activity (5523 AL originations); slug=regions-bank.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,al_la_curated+al_la_gleif_reidentify+public_nmls,5482,0,5482,high,al_la_curated map for AL activity (5482 AL originations); slug=united-wholesale-mortgage.
549300G6RZM5T8NQJW74,REDSTONE FEDERAL CREDIT UNION,403363,redstone-federal-credit-union,Redstone Federal Credit Union,high,al_la_curated+al_la_gleif+public_nmls,2768,0,2768,high,al_la_curated map for AL activity (2768 AL originations); slug=redstone-federal-credit-union.
01J4SO3XTWZF4PP38209,Trustmark Bank,449605,trustmark-bank,Trustmark National Bank,high,al_la_curated+al_la_gleif+public_nmls,2645,0,2645,high,al_la_curated map for AL activity (2645 AL originations); slug=trustmark-bank.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,al_la_curated+al_la_gleif_reidentify+public_nmls,2471,0,2471,high,al_la_curated map for AL activity (2471 AL originations); slug=veterans-united-west-valley.
5493001SXWZ4OFP8Z903,"DHI MORTGAGE COMPANY, LTD.",14622,dhi-mortgage-buckeye,"DHI Mortgage Company, Ltd.",high,al_la_curated+al_la_gleif_reidentify+directory_slug,2376,0,2376,high,al_la_curated map for AL activity (2376 AL originations); slug=dhi-mortgage-buckeye.
5493002RF1ERFA2XR050,Renasant Bank,402669,renasant-bank,Renasant Bank,high,al_la_curated+al_la_gleif+public_nmls,1966,0,1966,high,al_la_curated map for AL activity (1966 AL originations); slug=renasant-bank.
549300MGPZBLQDIL7538,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage Corporation,high,al_la_curated+al_la_gleif_reidentify+public_nmls,1902,0,1902,high,al_la_curated map for AL activity (1902 AL originations); slug=fairway-mortgage-augusta-sheppard.
549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,3274,guild-mortgage-metrowest,Guild Mortgage Company LLC,high,al_la_curated+al_la_gleif_reidentify+public_nmls,1892,0,1892,high,al_la_curated map for AL activity (1892 AL originations); slug=guild-mortgage-metrowest.
RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,al_la_curated+al_la_gleif_reidentify+public_nmls,1791,0,1791,high,al_la_curated map for AL activity (1791 AL originations); slug=pennymac.
Q7C315HKI8VX0SSKBS64,Cadence Bank,402436,cadence-bank,Cadence Bank,high,al_la_curated+al_la_gleif_reidentify+public_nmls,1759,0,1759,high,al_la_curated map for AL activity (1759 AL originations); slug=cadence-bank.
549300OBO7DOF2KOP535,FirstBank,472433,firstbank-tennessee,FirstBank,high,reuse_prior_state_curated_lei+tn_curated+tn_curated_gleif+public_nmls,1712,0,1712,high,reuse_prior_state_curated_lei map for AL activity (1712 AL originations); slug=firstbank-tennessee.
