lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,alaska_originations,florida_originations,total_originations,priority_match,notes
549300DK7QID2ZON6Q55,Global Federal Credit Union,409001,global-federal-credit-union,Global Federal Credit Union,high,final4_curated+final4_gleif+public_nmls,1678,0,1678,high,final4_curated map for AK activity (1678 AK originations); slug=global-federal-credit-union.
549300SCFWZXMDMZPE93,"RESIDENTIAL MORTGAGE, LLC",,residential-mortgage-alaska,"Residential Mortgage, LLC",high,final4_curated+final4_gleif+lei_identity,1445,0,1445,high,final4_curated map for AK activity (1445 AK originations); slug=residential-mortgage-alaska.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,final4_curated+final4_gleif_reidentify+public_nmls,973,0,973,high,final4_curated map for AK activity (973 AK originations); slug=newrez.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,final4_curated+final4_gleif_reidentify+public_nmls,776,0,776,high,final4_curated map for AK activity (776 AK originations); slug=rocket-mortgage.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,final4_curated+final4_gleif_reidentify+public_nmls,446,0,446,high,final4_curated map for AK activity (446 AK originations); slug=veterans-united-west-valley.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,final4_curated+final4_gleif_reidentify+public_nmls,399,0,399,high,final4_curated map for AK activity (399 AK originations); slug=united-wholesale-mortgage.
254900DTLHVWQ7NP7R34,"CMG Mortgage, Inc.",1820,cmg-home-loans-dennis-vo,"CMG Mortgage, Inc.",high,final4_curated+final4_gleif_reidentify+public_nmls,380,0,380,high,final4_curated map for AK activity (380 AK originations); slug=cmg-home-loans-dennis-vo.
5493001K6UOKMZBPMI34,CREDIT UNION 1 Credit Union,,credit-union-1-alaska,Credit Union 1,high,final4_curated+final4_gleif+lei_identity,278,0,278,medium,final4_curated map for AK activity (278 AK originations); slug=credit-union-1-alaska.
549300121SF0K2LN2804,"PRIMELENDING, A PLAINSCAPITAL COMPANY",1921,primelending-columbus,PrimeLending — Columbus Team,high,reuse_prior_state_curated_lei+gleif_name_to_directory,238,931,238,medium,reuse_prior_state_curated_lei map for AK activity (238 AK originations); slug=primelending-columbus.
549300DD4R4SYK5RAQ92,"MOVEMENT MORTGAGE, LLC",39179,movement-mortgage-myrtle-beach,"Movement Mortgage, LLC",high,final4_curated+final4_gleif_reidentify+public_nmls,229,0,229,medium,final4_curated map for AK activity (229 AK originations); slug=movement-mortgage-myrtle-beach.
