year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,AZ,04013,Maricopa,185792,111789,29912,16.1,77090,63611,45091,41.49,34.24,144433,27485,13825,49,0,77.74,14.79,7.44,86793,16710,8257,29,0,77.64,14.95,7.39,national
2025,AZ,04019,Pima,40133,23249,6204,15.46,17849,13700,8584,44.47,34.14,27207,7375,5534,17,0,67.79,18.38,13.79,15577,4364,3299,9,0,67.0,18.77,14.19,national
2025,AZ,04021,Pinal,29352,18081,4692,15.99,15491,8802,5059,52.78,29.99,17114,8375,3531,332,0,58.31,28.53,12.03,10279,5427,2145,230,0,56.85,30.01,11.86,national
2025,AZ,04025,Yavapai,12618,7253,2071,16.41,5375,4334,2909,42.6,34.35,9584,1683,1337,14,0,75.95,13.34,10.6,5490,976,776,11,0,75.69,13.46,10.7,national
2025,AZ,04015,Mohave,11266,6605,1811,16.07,5041,4124,2101,44.75,36.61,7618,1909,1632,107,0,67.62,16.94,14.49,4508,1095,924,78,0,68.25,16.58,13.99,national
2025,AZ,04027,Yuma,7910,4606,1291,16.32,3516,2874,1520,44.45,36.33,4296,2058,1435,121,0,54.31,26.02,18.14,2270,1357,895,84,0,49.28,29.46,19.43,national
2025,AZ,04005,Coconino,4891,2905,783,16.01,2206,1711,974,45.1,34.98,4167,438,283,3,0,85.2,8.96,5.79,2494,249,160,2,0,85.85,8.57,5.51,national
2025,AZ,04003,Cochise,5081,2817,833,16.39,1962,2236,883,38.61,44.01,2528,878,1610,65,0,49.75,17.28,31.69,1344,478,955,40,0,47.71,16.97,33.9,national
2025,AZ,04017,Navajo,3878,2176,638,16.45,1783,1405,690,45.98,36.23,2894,526,419,39,0,74.63,13.56,10.8,1643,281,225,27,0,75.51,12.91,10.34,national
2025,AZ,04007,Gila,2477,1371,431,17.4,1052,941,484,42.47,37.99,1809,392,254,22,0,73.03,15.83,10.25,1020,203,137,11,0,74.4,14.81,9.99,national
2025,AZ,04023,Santa Cruz,1787,952,325,18.19,665,729,393,37.21,40.79,1115,409,202,61,0,62.4,22.89,11.3,551,242,111,48,0,57.88,25.42,11.66,national
2025,AZ,04009,Graham,1452,846,275,18.94,608,526,318,41.87,36.23,870,404,124,54,0,59.92,27.82,8.54,471,261,74,40,0,55.67,30.85,8.75,national
2025,AZ,04001,Apache,1134,459,333,29.37,647,291,196,57.05,25.66,889,120,117,8,0,78.4,10.58,10.32,335,61,57,6,0,72.98,13.29,12.42,national
2025,AZ,04012,La Paz,420,197,93,22.14,177,164,79,42.14,39.05,289,68,59,4,0,68.81,16.19,14.05,139,33,24,1,0,70.56,16.75,12.18,national
2025,AZ,04011,Greenlee,147,68,29,19.73,51,50,46,34.69,34.01,99,40,2,6,0,67.35,27.21,1.36,41,23,1,3,0,60.29,33.82,1.47,national
