lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,arizona_originations,florida_originations,total_originations,priority_match,notes
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,19328,49897,19328,high,reuse_prior_state_curated_lei map for AZ activity (19328 AZ originations); slug=united-wholesale-mortgage.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,13320,31530,13320,high,reuse_prior_state_curated_lei map for AZ activity (13320 AZ originations); slug=rocket-mortgage.
549300HFXTV55C2HHM89,DESERT FINANCIAL CREDIT UNION,430888,desert-financial-credit-union,Desert Financial Credit Union,high,az_curated+az_curated_gleif+public_nmls,10566,0,10566,high,az_curated map for AZ activity (10566 AZ originations); slug=desert-financial-credit-union.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,4945,11987,4945,high,reuse_prior_state_curated_lei map for AZ activity (4945 AZ originations); slug=freedom-mortgage.
549300MGPZBLQDIL7538,"PrimeLending, a PlainsCapital Company",1921,primelending-columbus,PrimeLending — Columbus Team,high,reuse_prior_state_curated_lei+curated_lei+directory_name,4724,3153,4724,high,reuse_prior_state_curated_lei map for AZ activity (4724 AZ originations); slug=primelending-columbus.
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,4138,7460,4138,high,reuse_prior_state_curated_lei map for AZ activity (4138 AZ originations); slug=pennymac.
549300AQ3T62GXDU7D76,Ally Bank,181005,ally-bank,Ally Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3467,2790,3467,high,reuse_prior_state_curated_lei map for AZ activity (3467 AZ originations); slug=ally-bank.
549300HIVO8XPBPNVG69,NOVA FINANCIAL & INVESTMENT CORPORATION,3089,nova-home-loans-west-valley,Nova Home Loans (Nova Financial & Investment Corporation),high,az_curated+az_curated_gleif+public_nmls,3413,0,3413,high,az_curated map for AZ activity (3413 AZ originations); slug=nova-home-loans-west-valley.
RVDPPPGHCGZ40J4VQ731,Fairway Independent Mortgage Corporation,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage — Augusta (Sheppard Team),high,reuse_prior_state_curated_lei+curated_lei+directory_name,3232,9704,3232,high,reuse_prior_state_curated_lei map for AZ activity (3232 AZ originations); slug=fairway-mortgage-augusta-sheppard.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2864,6131,2864,high,reuse_prior_state_curated_lei map for AZ activity (2864 AZ originations); slug=jpmorgan-chase-bank.
