year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,AR,05007,Benton,16982,10606,2050,12.07,9106,4737,3139,53.62,27.89,13478,2098,1290,116,0,79.37,12.35,7.6,8563,1242,726,75,0,80.74,11.71,6.85,national
2025,AR,05119,Pulaski,15091,8510,2686,17.8,7499,4403,3189,49.69,29.18,10675,2435,1929,52,0,70.74,16.14,12.78,6106,1313,1057,34,0,71.75,15.43,12.42,national
2025,AR,05143,Washington,9863,6214,1323,13.41,5220,2783,1860,52.93,28.22,7644,1454,678,87,0,77.5,14.74,6.87,4911,866,377,60,0,79.03,13.94,6.07,national
2025,AR,05125,Saline,6156,3566,1072,17.41,3501,1607,1048,56.87,26.1,4100,1158,791,107,0,66.6,18.81,12.85,2297,730,459,80,0,64.41,20.47,12.87,national
2025,AR,05045,Faulkner,5380,3325,827,15.37,2815,1509,1056,52.32,28.05,3756,898,602,124,0,69.81,16.69,11.19,2335,551,348,91,0,70.23,16.57,10.47,national
2025,AR,05031,Craighead,4228,2594,647,15.3,2404,1188,636,56.86,28.1,2785,955,383,105,0,65.87,22.59,9.06,1749,584,199,62,0,67.42,22.51,7.67,national
2025,AR,05131,Sebastian,4329,2567,700,16.17,1960,1411,958,45.28,32.59,3023,724,520,62,0,69.83,16.72,12.01,1818,416,288,45,0,70.82,16.21,11.22,national
2025,AR,05051,Garland,4679,2357,1080,23.08,2399,1319,961,51.27,28.19,3604,581,451,43,0,77.03,12.42,9.64,1808,292,228,29,0,76.71,12.39,9.67,national
2025,AR,05085,Lonoke,3734,2201,557,14.92,1959,1136,639,52.46,30.42,2062,577,995,100,0,55.22,15.45,26.65,1153,340,635,73,0,52.39,15.45,28.85,national
2025,AR,05145,White,3176,1733,619,19.49,1785,864,527,56.2,27.2,2105,490,434,147,0,66.28,15.43,13.66,1095,296,238,104,0,63.19,17.08,13.73,national
2025,AR,05033,Crawford,2298,1339,415,18.06,1044,731,523,45.43,31.81,1530,432,284,52,0,66.58,18.8,12.36,887,258,156,38,0,66.24,19.27,11.65,national
2025,AR,05115,Pope,2001,1191,359,17.94,991,588,422,49.53,29.39,1355,328,222,96,0,67.72,16.39,11.09,793,196,132,70,0,66.58,16.46,11.08,national
2025,AR,05005,Baxter,1776,1107,253,14.25,814,557,405,45.83,31.36,1268,208,227,73,0,71.4,11.71,12.78,814,116,119,58,0,73.53,10.48,10.75,national
2025,AR,05055,Greene,1701,1072,253,14.87,941,507,253,55.32,29.81,1048,351,174,128,0,61.61,20.63,10.23,673,218,94,87,0,62.78,20.34,8.77,national
2025,AR,05009,Boone,1548,944,224,14.47,764,491,293,49.35,31.72,1042,239,171,96,0,67.31,15.44,11.05,667,135,80,62,0,70.66,14.3,8.47,national
2025,AR,05069,Jefferson,1728,813,427,24.71,850,528,350,49.19,30.56,1089,405,196,38,0,63.02,23.44,11.34,482,208,92,31,0,59.29,25.58,11.32,national
2025,AR,05035,Crittenden,1424,787,290,20.37,712,482,230,50.0,33.85,808,421,136,59,0,56.74,29.56,9.55,413,259,67,48,0,52.48,32.91,8.51,national
2025,AR,05063,Independence,1159,704,207,17.86,649,355,155,56.0,30.63,811,193,112,43,0,69.97,16.65,9.66,474,130,68,32,0,67.33,18.47,9.66,national
2025,AR,05091,Miller,1229,633,267,21.72,707,380,142,57.53,30.92,883,229,116,1,0,71.85,18.63,9.44,438,133,61,1,0,69.19,21.01,9.64,national
