lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,arkansas_originations,florida_originations,total_originations,priority_match,notes
COINQMNIM6RBU631DD85,Arvest Bank,,arvest-bank,Arvest Bank,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+directory_slug,6555,0,6555,high,ar_ms_ok_curated map for AR activity (6555 AR originations); slug=arvest-bank.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,4094,0,4094,high,ar_ms_ok_curated map for AR activity (4094 AR originations); slug=rocket-mortgage.
549300HIKKZQ0TVJWA08,ARKANSAS FEDERAL CREDIT UNION,418494,arkansas-federal-credit-union,Arkansas Federal Credit Union,high,ar_ms_ok_curated+ar_ms_ok_gleif+public_nmls,2249,0,2249,high,ar_ms_ok_curated map for AR activity (2249 AR originations); slug=arkansas-federal-credit-union.
2549007JQKHU8KQ0FC19,"FIRSTTRUST HOME LOANS, INC.",75271,firsttrust-home-loans,"FirstTrust Home Loans, Inc.",high,ar_ms_ok_curated+ar_ms_ok_gleif+public_nmls,2197,0,2197,high,ar_ms_ok_curated map for AR activity (2197 AR originations); slug=firsttrust-home-loans.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,1696,0,1696,high,ar_ms_ok_curated map for AR activity (1696 AR originations); slug=united-wholesale-mortgage.
254900561K135J92VD38,First Security Bank,414458,first-security-bank-arkansas,First Security Bank (Arkansas),high,ar_ms_ok_curated+ar_ms_ok_gleif+public_nmls,1534,0,1534,high,ar_ms_ok_curated map for AR activity (1534 AR originations); slug=first-security-bank-arkansas.
549300LXKO1O7CSK5J52,"FLAT BRANCH MORTGAGE, INC.",224149,flat-branch-mortgage,"Flat Branch Mortgage, Inc.",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,1481,0,1481,high,ar_ms_ok_curated map for AR activity (1481 AR originations); slug=flat-branch-mortgage.
549300MGPZBLQDIL7538,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage Corporation,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,1335,0,1335,high,ar_ms_ok_curated map for AR activity (1335 AR originations); slug=fairway-mortgage-augusta-sheppard.
549300BEFX6JRSCS5N78,Centennial Bank,466091,centennial-bank,Centennial Bank,high,ar_ms_ok_curated+ar_ms_ok_gleif+public_nmls,1278,0,1278,high,ar_ms_ok_curated map for AR activity (1278 AR originations); slug=centennial-bank.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,1236,0,1236,high,ar_ms_ok_curated map for AR activity (1236 AR originations); slug=veterans-united-west-valley.
EQTWLK1G7ODGC2MGLV11,Regions Bank,467341,regions-bank,Regions Bank,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,1129,0,1129,high,ar_ms_ok_curated map for AR activity (1129 AR originations); slug=regions-bank.
549300VYK2WBD7SST478,Bank OZK,464037,bank-ozk,Bank OZK,high,ar_ms_ok_curated+ar_ms_ok_gleif+public_nmls,1001,0,1001,high,ar_ms_ok_curated map for AR activity (1001 AR originations); slug=bank-ozk.
549300DPRWSBUY619V27,Simmons Bank,484633,simmons-bank,Simmons Bank,high,ar_ms_ok_curated+ar_ms_ok_gleif+public_nmls,986,0,986,high,ar_ms_ok_curated map for AR activity (986 AR originations); slug=simmons-bank.
RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,947,0,947,high,ar_ms_ok_curated map for AR activity (947 AR originations); slug=pennymac.
Q7C315HKI8VX0SSKBS64,Cadence Bank,402436,cadence-bank,Cadence Bank,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,939,0,939,high,ar_ms_ok_curated map for AR activity (939 AR originations); slug=cadence-bank.
549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,2767,freedom-mortgage,Freedom Mortgage Corporation,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,675,0,675,high,ar_ms_ok_curated map for AR activity (675 AR originations); slug=freedom-mortgage.
5493001SXWZ4OFP8Z903,"DHI MORTGAGE COMPANY, LTD.",14622,dhi-mortgage-buckeye,"DHI Mortgage Company, Ltd.",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+directory_slug,638,0,638,high,ar_ms_ok_curated map for AR activity (638 AR originations); slug=dhi-mortgage-buckeye.
549300XQVJ1XBNFA5536,21ST MORTGAGE CORPORATION,2280,21st-mortgage,21st Mortgage Corporation,medium,reuse_prior_state_curated_lei+curated_public_nmls+directory_profile,631,2098,631,high,reuse_prior_state_curated_lei map for AR activity (631 AR originations); slug=21st-mortgage.
COOWI3L2W9TPYR3WJX37,First Horizon Bank,405456,first-horizon-bank,First Horizon Bank,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,628,0,628,high,ar_ms_ok_curated map for AR activity (628 AR originations); slug=first-horizon-bank.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,556,0,556,high,ar_ms_ok_curated map for AR activity (556 AR originations); slug=us-bank.
549300DG3IV05V4C4E03,EUSTIS MORTGAGE CORPORATION,70345,eustis-mortgage,Eustis Mortgage Corporation,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,516,0,516,high,ar_ms_ok_curated map for AR activity (516 AR originations); slug=eustis-mortgage.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,500,0,500,high,ar_ms_ok_curated map for AR activity (500 AR originations); slug=navy-federal-jacksonville.
549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,492,0,492,medium,ar_ms_ok_curated map for AR activity (492 AR originations); slug=mr-cooper.
549300AG64NHILB7ZP05,"LOANDEPOT.COM, LLC",174457,loandepot,"loanDepot.com, LLC",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,481,0,481,medium,ar_ms_ok_curated map for AR activity (481 AR originations); slug=loandepot.
