year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,AL,01001,,549300B8JSCK4ZNVX087,,179,123,26,7.63,176,3,0,0,0,123,0,0,0,0,national
2025,AL,01001,,549300AQ3T62GXDU7D76,,162,119,5,7.38,74,54,33,1,0,52,44,23,0,0,national
2025,AL,01001,,01J4SO3XTWZF4PP38209,,138,118,4,7.32,97,21,20,0,0,84,18,16,0,0,national
2025,AL,01001,,549300FGXN1K3HLB1R50,,129,91,29,5.65,63,25,41,0,0,42,19,30,0,0,national
2025,AL,01001,,549300HW662MN1WU8550,,107,74,11,4.59,29,18,60,0,0,24,10,40,0,0,national
2025,AL,01001,,EQTWLK1G7ODGC2MGLV11,,142,67,53,4.16,133,5,3,1,0,63,2,1,1,0,national
2025,AL,01001,,549300VZVN841I2ILS84,,88,64,2,3.97,32,35,21,0,0,21,26,17,0,0,national
2025,AL,01001,,5493002RF1ERFA2XR050,,71,58,3,3.6,38,10,22,1,0,29,8,20,1,0,national
2025,AL,01001,,5493006HAFES1LQ18W28,,78,57,3,3.54,76,0,2,0,0,57,0,0,0,0,national
2025,AL,01001,,549300GLDL4X3U4RFI74,,129,52,46,3.23,125,2,1,1,0,52,0,0,0,0,national
2025,AL,01001,,549300DD5QQUHO6PCH70,,80,48,9,2.98,2,3,75,0,0,0,2,46,0,0,national
2025,AL,01001,,549300MGPZBLQDIL7538,,58,43,2,2.67,29,11,16,2,0,19,7,15,2,0,national
2025,AL,01001,,549300DD4R4SYK5RAQ92,,36,31,0,1.92,11,6,19,0,0,10,4,17,0,0,national
2025,AL,01001,,549300FNXYY540N23N64,,60,31,13,1.92,32,7,20,1,0,18,1,11,1,0,national
2025,AL,01001,,549300RPOGWJRH63HS39,,34,31,0,1.92,18,8,8,0,0,16,8,7,0,0,national
