year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,AL,549300FGXN1K3HLB1R50,,10027,6770,01089:739; 01073:674; 01097:596; 01003:556; 01117:355,4467,1467,836,0,0,65.98,21.67,12.35,national
2025,AL,EQTWLK1G7ODGC2MGLV11,,11871,5523,01073:1098; 01117:623; 01089:507; 01097:504; 01003:386,5199,236,64,24,0,94.13,4.27,1.16,national
2025,AL,549300HW662MN1WU8550,,7689,5482,01073:793; 01089:784; 01003:353; 01117:343; 01097:284,2268,1527,1623,64,0,41.37,27.85,29.61,national
2025,AL,549300G6RZM5T8NQJW74,,4548,2768,01089:1563; 01083:375; 01103:286; 01095:179; 01071:124,2640,48,70,10,0,95.38,1.73,2.53,national
2025,AL,01J4SO3XTWZF4PP38209,,3443,2645,01097:383; 01003:278; 01073:269; 01089:249; 01101:192,1976,425,217,27,0,74.71,16.07,8.2,national
2025,AL,549300DD5QQUHO6PCH70,,5107,2471,01089:225; 01031:185; 01097:167; 01073:159; 01069:138,125,97,2229,20,0,5.06,3.93,90.21,national
2025,AL,5493001SXWZ4OFP8Z903,,3909,2376,01003:676; 01089:312; 01097:303; 01117:239; 01125:177,669,1134,431,142,0,28.16,47.73,18.14,national
2025,AL,5493002RF1ERFA2XR050,,2508,1966,01073:316; 01101:192; 01081:182; 01097:143; 01117:122,1439,326,151,50,0,73.19,16.58,7.68,national
2025,AL,549300MGPZBLQDIL7538,,2565,1902,01073:489; 01117:209; 01101:126; 01069:90; 01051:90,1113,533,206,50,0,58.52,28.02,10.83,national
2025,AL,549300AQ3T62GXDU7D76,,2743,1892,01101:394; 01073:230; 01051:171; 01001:119; 01117:113,962,644,237,49,0,50.85,34.04,12.53,national
2025,AL,RVDPPPGHCGZ40J4VQ731,,3611,1791,01089:206; 01073:183; 01081:144; 01117:116; 01003:109,837,525,423,6,0,46.73,29.31,23.62,national
2025,AL,Q7C315HKI8VX0SSKBS64,,2500,1759,01073:510; 01003:173; 01089:157; 01117:151; 01097:135,1616,101,28,14,0,91.87,5.74,1.59,national
2025,AL,549300OBO7DOF2KOP535,,3190,1712,01073:317; 01089:306; 01117:208; 01003:133; 01125:90,1360,239,102,11,0,79.44,13.96,5.96,national
2025,AL,549300LYRWPSYPK6S325,,3725,1669,01089:248; 01073:150; 01003:110; 01097:100; 01083:99,100,636,933,0,0,5.99,38.11,55.9,national
2025,AL,549300DD4R4SYK5RAQ92,,2284,1644,01125:212; 01073:180; 01101:118; 01117:115; 01003:97,837,524,263,20,0,50.91,31.87,16.0,national
2025,AL,5493003GQDUH26DNNH17,,3283,1525,01089:216; 01003:208; 01073:121; 01097:99; 01101:93,1050,0,475,0,0,68.85,0.0,31.15,national
