year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,AR,05001,,2549007JQKHU8KQ0FC19,,68,62,1,23.48,10,21,3,34,0,9,18,1,34,0,national
2025,AR,05001,,54930009DUZUXUZIDL84,,61,41,10,15.53,61,0,0,0,0,41,0,0,0,0,national
2025,AR,05001,,549300JQEF6V2RNWCC75,,66,37,9,14.02,66,0,0,0,0,37,0,0,0,0,national
2025,AR,05001,,Q7C315HKI8VX0SSKBS64,,18,14,2,5.3,16,2,0,0,0,12,2,0,0,0,national
2025,AR,05001,,549300FGXN1K3HLB1R50,,21,13,8,4.92,19,2,0,0,0,13,0,0,0,0,national
2025,AR,05001,,54930052M48FOD3CWA54,,10,7,1,2.65,3,3,1,3,0,2,3,1,1,0,national
2025,AR,05001,,549300MGPZBLQDIL7538,,13,5,4,1.89,5,6,0,2,0,2,3,0,0,0,national
2025,AR,05001,,549300XQVJ1XBNFA5536,,28,5,11,1.89,28,0,0,0,0,5,0,0,0,0,national
2025,AR,05001,,RVDPPPGHCGZ40J4VQ731,,11,5,4,1.89,5,2,1,3,0,3,2,0,0,0,national
2025,AR,05001,,549300HIKKZQ0TVJWA08,,11,4,4,1.52,10,0,1,0,0,3,0,1,0,0,national
2025,AR,05001,,5493009F6BJDCZMZ7Y26,,5,3,0,1.14,2,0,2,1,0,1,0,1,1,0,national
2025,AR,05001,,549300AG64NHILB7ZP05,,5,3,0,1.14,5,0,0,0,0,3,0,0,0,0,national
2025,AR,05001,,549300YIQ7S7Z8PIHE53,,7,3,4,1.14,4,2,1,0,0,2,1,0,0,0,national
2025,AR,05001,,5493001GCBD5XGNIC815,,5,2,0,0.76,5,0,0,0,0,2,0,0,0,0,national
2025,AR,05001,,54930049L5WINET09Q97,,2,2,0,0.76,1,1,0,0,0,1,1,0,0,0,national
2025,AR,05001,,549300BEFX6JRSCS5N78,,5,2,3,0.76,2,0,1,2,0,1,0,0,1,0,national
2025,AR,05001,,549300DD4R4SYK5RAQ92,,2,2,0,0.76,1,1,0,0,0,1,1,0,0,0,national
2025,AR,05001,,549300GKNMX0ZXKVPE54,,2,2,0,0.76,2,0,0,0,0,2,0,0,0,0,national
2025,AR,05001,,549300GY4NTTEM7WWB64,,3,2,0,0.76,0,2,0,1,0,0,2,0,0,0,national
2025,AR,05001,,549300HW662MN1WU8550,,3,2,1,0.76,1,1,1,0,0,1,0,1,0,0,national
2025,AR,05001,,549300LYRWPSYPK6S325,,5,2,0,0.76,0,3,1,1,0,0,2,0,0,0,national
2025,AR,05001,,549300QFP6J5QSZVF805,,3,2,0,0.76,2,1,0,0,0,1,1,0,0,0,national
2025,AR,05001,,549300VZVN841I2ILS84,,3,2,0,0.76,2,1,0,0,0,2,0,0,0,0,national
2025,AR,05001,,7H6GLXDRUGQFU57RNE97,,5,2,1,0.76,5,0,0,0,0,2,0,0,0,0,national
2025,AR,05001,,COOWI3L2W9TPYR3WJX37,,2,2,0,0.76,2,0,0,0,0,2,0,0,0,0,national
2025,AR,05001,,KB1H1DSPRFMYMCUFXT09,,3,2,0,0.76,3,0,0,0,0,2,0,0,0,0,national
2025,AR,05001,,213800XR2TCBQJSF1X93,,1,1,0,0.38,1,0,0,0,0,1,0,0,0,0,national
2025,AR,05001,,254900HA4DQWAE0W3342,,2,1,0,0.38,0,2,0,0,0,0,1,0,0,0,national
2025,AR,05001,,254900UL88QFG0E40516,,2,1,0,0.38,2,0,0,0,0,1,0,0,0,0,national
2025,AR,05001,,254900WEP08K7U7S3A80,,2,1,0,0.38,2,0,0,0,0,1,0,0,0,0,national
2025,AR,05001,,5493000A2XS66AH5XM81,,1,1,0,0.38,1,0,0,0,0,1,0,0,0,0,national
2025,AR,05001,,5493000YNV8IX4VD3X12,,19,1,8,0.38,19,0,0,0,0,1,0,0,0,0,national
2025,AR,05001,,5493001WHVQBGRSWEU75,,2,1,1,0.38,2,0,0,0,0,1,0,0,0,0,national
2025,AR,05001,,54930034MNPILHP25H80,,1,1,0,0.38,1,0,0,0,0,1,0,0,0,0,national
2025,AR,05001,,549300370QILXLFUWD20,,2,1,0,0.38,0,0,2,0,0,0,0,1,0,0,national
2025,AR,05001,,54930039OWZFM2IGRN69,,1,1,0,0.38,1,0,0,0,0,1,0,0,0,0,national
2025,AR,05001,,5493007L4GYNO2PUBS09,,1,1,0,0.38,0,1,0,0,0,0,1,0,0,0,national
2025,AR,05001,,5493008ETVHBTJEF0O91,,1,1,0,0.38,1,0,0,0,0,1,0,0,0,0,national
2025,AR,05001,,549300DD5QQUHO6PCH70,,4,1,1,0.38,2,0,2,0,0,0,0,1,0,0,national
2025,AR,05001,,549300DG3IV05V4C4E03,,1,1,0,0.38,0,0,1,0,0,0,0,1,0,0,national
2025,AR,05001,,549300DMHEHNYZ2OLB41,,2,1,0,0.38,0,0,2,0,0,0,0,1,0,0,national
2025,AR,05001,,549300DPRWSBUY619V27,,4,1,1,0.38,3,1,0,0,0,1,0,0,0,0,national
2025,AR,05001,,549300E2UX99HKDBR481,,5,1,1,0.38,0,5,0,0,0,0,1,0,0,0,national
2025,AR,05001,,549300IEIM2IT5YK4368,,1,1,0,0.38,1,0,0,0,0,1,0,0,0,0,national
2025,AR,05001,,549300IJ8KTGYPKLXK63,,1,1,0,0.38,0,1,0,0,0,0,1,0,0,0,national
2025,AR,05001,,549300L6SV1WXLO6BB96,,1,1,0,0.38,0,0,1,0,0,0,0,1,0,0,national
2025,AR,05001,,549300LBCBNR1OT00651,,1,1,0,0.38,1,0,0,0,0,1,0,0,0,0,national
2025,AR,05001,,549300LXKO1O7CSK5J52,,2,1,0,0.38,1,1,0,0,0,1,0,0,0,0,national
2025,AR,05001,,549300NOCASXPA34X033,,2,1,1,0.38,0,1,1,0,0,0,1,0,0,0,national
2025,AR,05001,,549300PJ2WT35S77Q208,,1,1,0,0.38,0,0,0,1,0,0,0,0,1,0,national
2025,AR,05001,,549300RPCSICP6848N30,,1,1,0,0.38,1,0,0,0,0,1,0,0,0,0,national
2025,AR,05001,,549300SJ3G0VVQQIQW03,,1,1,0,0.38,1,0,0,0,0,1,0,0,0,0,national
2025,AR,05001,,549300SUCQ1358EGVE89,,3,1,0,0.38,0,0,3,0,0,0,0,1,0,0,national
2025,AR,05001,,549300UG7QXKM7KGV847,,2,1,0,0.38,1,1,0,0,0,1,0,0,0,0,national
2025,AR,05001,,549300VRH8KD60XSZK39,,3,1,0,0.38,3,0,0,0,0,1,0,0,0,0,national
