year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,CA,549300HW662MN1WU8550,,79260,57281,Los Angeles:8176; San Diego:7078; 06065:5976; 06067:4350; 06071:4126,39812,10850,6589,30,0,69.5,18.94,11.5,yes
2025,CA,549300FGXN1K3HLB1R50,,59471,42202,Los Angeles:7659; San Diego:3920; 06065:3844; Orange:3235; 06071:2802,36061,4020,2121,0,0,85.45,9.53,5.03,yes
2025,CA,B4TYDEB6GKMZO031MB27,,40190,17758,Los Angeles:3603; Santa Clara:2383; Orange:1917; 06001:1345; San Diego:1246,17720,34,4,0,0,99.79,0.19,0.02,yes
2025,CA,6BYL5QZYBDK8S7L73M02,,32484,16135,Los Angeles:2874; Orange:2188; San Diego:1867; Santa Clara:1347; 06001:1050,15843,175,116,1,0,98.19,1.08,0.72,yes
2025,CA,5493001NJEVHTZW7FG34,,19194,14224,Orange:4992; Los Angeles:2959; 06065:2360; 06071:1725; 06067:763,14205,19,0,0,0,99.87,0.13,0.0,yes
2025,CA,7H6GLXDRUGQFU57RNE97,,22048,14032,Los Angeles:4067; San Diego:1220; Orange:1113; Santa Clara:1069; 06001:910,13869,107,56,0,0,98.84,0.76,0.4,yes
2025,CA,RVDPPPGHCGZ40J4VQ731,,18754,10749,Los Angeles:1760; San Diego:1391; 06065:952; Orange:796; 06071:634,8087,1585,1076,1,0,75.23,14.75,10.01,yes
2025,CA,549300AG64NHILB7ZP05,,16645,9983,Los Angeles:1381; 06065:1342; 06071:866; San Diego:731; 06067:688,7685,1608,690,0,0,76.98,16.11,6.91,yes
2025,CA,KB1H1DSPRFMYMCUFXT09,,15826,9616,Santa Clara:2679; Los Angeles:1231; 06001:921; 06081:748; Orange:566,9505,86,25,0,0,98.85,0.89,0.26,yes
2025,CA,549300VZVN841I2ILS84,,14753,9599,San Diego:1368; Los Angeles:1064; 06013:748; 06065:733; 06001:713,7676,1174,740,9,0,79.97,12.23,7.71,yes
2025,CA,254900DTLHVWQ7NP7R34,,12791,8432,Los Angeles:1202; 06067:963; 06065:941; San Diego:736; 06071:491,7761,486,185,0,0,92.04,5.76,2.19,yes
2025,CA,549300J7I82PNDVU8H22,,12176,7327,Los Angeles:2632; 06071:1192; 06065:1109; Orange:343; 06029:321,5129,2031,166,1,0,70.0,27.72,2.27,yes
