year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,CO,08041,,36311,22427,5217,14.37,15945,13159,7207,43.91,36.24,22222,3547,10531,11,0,61.2,9.77,29.0,13524,2167,6728,8,0,60.3,9.66,30.0,national
2025,CO,08059,,25326,15679,3441,13.59,10261,9071,5994,40.52,35.82,22088,2035,1196,7,0,87.21,8.04,4.72,13825,1151,698,5,0,88.18,7.34,4.45,national
2025,CO,08005,,26705,15677,4490,16.81,11576,8974,6155,43.35,33.6,20578,4150,1952,25,0,77.06,15.54,7.31,12133,2394,1131,19,0,77.39,15.27,7.21,national
2025,CO,08031,Denver,24372,14511,3821,15.68,10781,8300,5291,44.24,34.06,21060,2366,927,19,0,86.41,9.71,3.8,12702,1277,517,15,0,87.53,8.8,3.56,national
2025,CO,08001,,24421,13838,4786,19.6,11866,7630,4925,48.59,31.24,17458,5284,1632,47,0,71.49,21.64,6.68,9732,3091,980,35,0,70.33,22.34,7.08,national
2025,CO,08035,,20575,13022,2789,13.56,8864,6789,4922,43.08,33.0,17523,1548,1501,3,0,85.17,7.52,7.3,11152,913,956,1,0,85.64,7.01,7.34,national
2025,CO,08123,,19001,11306,3241,17.06,9075,6251,3675,47.76,32.9,13709,3711,1547,34,0,72.15,19.53,8.14,8117,2260,906,23,0,71.79,19.99,8.01,national
2025,CO,08069,,15604,9678,2115,13.55,7342,5012,3250,47.05,32.12,13118,1469,1004,13,0,84.07,9.41,6.43,8231,846,593,8,0,85.05,8.74,6.13,national
2025,CO,08013,,10850,6821,1317,12.14,4840,4039,1971,44.61,37.23,9985,511,350,4,0,92.03,4.71,3.23,6285,309,224,3,0,92.14,4.53,3.28,national
2025,CO,08077,,8247,4987,1138,13.8,3780,2725,1742,45.83,33.04,6265,1229,745,8,0,75.97,14.9,9.03,3819,737,427,4,0,76.58,14.78,8.56,national
2025,CO,08101,,7693,4403,1338,17.39,3177,3050,1466,41.3,39.65,4652,1693,1347,1,0,60.47,22.01,17.51,2676,960,767,0,0,60.78,21.8,17.42,national
2025,CO,08014,,2770,1743,346,12.49,1300,920,550,46.93,33.21,2412,228,127,3,0,87.08,8.23,4.58,1541,117,83,2,0,88.41,6.71,4.76,national
2025,CO,08045,,3064,1666,571,18.64,1471,974,619,48.01,31.79,2631,347,81,5,0,85.87,11.33,2.64,1435,182,45,4,0,86.13,10.92,2.7,national
2025,CO,08037,,2558,1506,393,15.36,1064,849,645,41.59,33.19,2462,71,25,0,0,96.25,2.78,0.98,1466,27,13,0,0,97.34,1.79,0.86,national
2025,CO,08117,,2431,1471,384,15.8,1283,695,453,52.78,28.59,2358,43,28,2,0,97.0,1.77,1.15,1437,17,16,1,0,97.69,1.16,1.09,national
2025,CO,08067,,2302,1420,308,13.38,1061,824,417,46.09,35.79,2045,144,109,4,0,88.84,6.26,4.74,1282,73,62,3,0,90.28,5.14,4.37,national
2025,CO,08039,,2296,1345,401,17.47,1011,757,528,44.03,32.97,1637,395,260,4,0,71.3,17.2,11.32,933,248,161,3,0,69.37,18.44,11.97,national
2025,CO,08043,,2259,1227,400,17.71,960,876,423,42.5,38.78,1460,420,362,17,0,64.63,18.59,16.02,795,230,189,13,0,64.79,18.74,15.4,national
2025,CO,08119,,1831,1103,298,16.28,870,578,383,47.52,31.57,1340,178,302,11,0,73.18,9.72,16.49,814,100,182,7,0,73.8,9.07,16.5,national
2025,CO,08085,,1794,1076,297,16.56,869,580,345,48.44,32.33,1375,230,177,12,0,76.64,12.82,9.87,835,137,96,8,0,77.6,12.73,8.92,national
2025,CO,08049,,1607,967,238,14.81,858,511,238,53.39,31.8,1517,68,21,1,0,94.4,4.23,1.31,916,38,13,0,0,94.73,3.93,1.34,national
2025,CO,08093,,1645,931,294,17.87,768,551,326,46.69,33.5,1330,172,138,5,0,80.85,10.46,8.39,761,87,82,1,0,81.74,9.34,8.81,national
2025,CO,08029,,1412,838,204,14.45,619,509,284,43.84,36.05,1038,230,129,15,0,73.51,16.29,9.14,627,130,71,10,0,74.82,15.51,8.47,national
2025,CO,08107,,1247,778,171,13.71,542,446,259,43.46,35.77,1165,53,27,2,0,93.42,4.25,2.17,728,30,18,2,0,93.57,3.86,2.31,national
2025,CO,08015,,1091,704,144,13.2,523,381,187,47.94,34.92,985,61,44,1,0,90.28,5.59,4.03,640,37,26,1,0,90.91,5.26,3.69,national
2025,CO,08087,,1117,606,193,17.28,560,380,177,50.13,34.02,705,324,78,10,0,63.12,29.01,6.98,377,185,41,3,0,62.21,30.53,6.77,national
2025,CO,08007,,897,513,130,14.49,437,290,170,48.72,32.33,750,67,80,0,0,83.61,7.47,8.92,440,32,41,0,0,85.77,6.24,7.99,national
2025,CO,08051,,852,477,136,15.96,413,283,156,48.47,33.22,787,41,24,0,0,92.37,4.81,2.82,440,22,15,0,0,92.24,4.61,3.14,national
2025,CO,08097,,799,474,104,13.02,349,264,186,43.68,33.04,788,8,2,1,0,98.62,1.0,0.25,468,4,1,1,0,98.73,0.84,0.21,national
2025,CO,08083,,820,471,139,16.95,370,302,148,45.12,36.83,585,132,98,5,0,71.34,16.1,11.95,325,91,52,3,0,69.0,19.32,11.04,national
2025,CO,08075,,683,393,106,15.52,322,234,127,47.14,34.26,460,156,57,10,0,67.35,22.84,8.35,274,87,26,6,0,69.72,22.14,6.62,national
2025,CO,08089,,554,316,118,21.3,230,224,100,41.52,40.43,344,136,67,7,0,62.09,24.55,12.09,197,82,32,5,0,62.34,25.95,10.13,national
2025,CO,08019,,541,309,96,17.74,227,211,103,41.96,39.0,448,54,39,0,0,82.81,9.98,7.21,259,27,23,0,0,83.82,8.74,7.44,national
2025,CO,08081,,542,308,119,21.96,283,193,66,52.21,35.61,348,140,54,0,0,64.21,25.83,9.96,195,84,29,0,0,63.31,27.27,9.42,national
2025,CO,08113,,421,238,76,18.05,194,114,113,46.08,27.08,406,10,5,0,0,96.44,2.38,1.19,230,7,1,0,0,96.64,2.94,0.42,national
2025,CO,08065,,369,228,45,12.2,187,119,63,50.68,32.25,334,18,16,1,0,90.51,4.88,4.34,207,13,8,0,0,90.79,5.7,3.51,national
2025,CO,08047,,417,227,69,16.55,142,180,95,34.05,43.17,366,32,19,0,0,87.77,7.67,4.56,203,12,12,0,0,89.43,5.29,5.29,national
2025,CO,08071,,438,206,75,17.12,185,167,86,42.24,38.13,287,92,56,3,0,65.53,21.0,12.79,131,43,31,1,0,63.59,20.87,15.05,national
2025,CO,08105,,380,191,63,16.58,159,166,55,41.84,43.68,246,76,58,0,0,64.74,20.0,15.26,115,48,28,0,0,60.21,25.13,14.66,national
2025,CO,08091,,306,183,56,18.3,145,96,65,47.39,31.37,282,10,14,0,0,92.16,3.27,4.58,173,4,6,0,0,94.54,2.19,3.28,national
2025,CO,08027,,320,179,60,18.75,128,135,57,40.0,42.19,230,25,62,3,0,71.88,7.81,19.38,128,12,37,2,0,71.51,6.7,20.67,national
2025,CO,08103,,301,168,47,15.61,160,105,36,53.16,34.88,216,61,18,6,0,71.76,20.27,5.98,122,31,12,3,0,72.62,18.45,7.14,national
2025,CO,08003,,322,166,71,22.05,141,130,51,43.79,40.37,211,80,29,2,0,65.53,24.84,9.01,104,45,15,2,0,62.65,27.11,9.04,national
2025,CO,08055,,323,151,80,24.77,136,117,70,42.11,36.22,235,52,36,0,0,72.76,16.1,11.15,110,25,16,0,0,72.85,16.56,10.6,national
2025,CO,08099,,227,134,41,18.06,121,74,32,53.3,32.6,163,48,15,1,0,71.81,21.15,6.61,96,30,8,0,0,71.64,22.39,5.97,national
2025,CO,08073,,217,116,42,19.35,106,71,40,48.85,32.72,129,59,26,3,0,59.45,27.19,11.98,66,33,16,1,0,56.9,28.45,13.79,national
2025,CO,08063,,223,114,52,23.32,98,68,57,43.95,30.49,164,45,11,3,0,73.54,20.18,4.93,85,21,6,2,0,74.56,18.42,5.26,national
2025,CO,08125,,181,113,28,15.47,79,67,35,43.65,37.02,135,27,17,2,0,74.59,14.92,9.39,90,16,7,0,0,79.65,14.16,6.19,national
2025,CO,08109,,225,97,42,18.67,108,50,67,48.0,22.22,165,44,15,1,0,73.33,19.56,6.67,69,20,8,0,0,71.13,20.62,8.25,national
2025,CO,08121,,180,93,37,20.56,78,69,33,43.33,38.33,108,51,16,5,0,60.0,28.33,8.89,59,23,8,3,0,63.44,24.73,8.6,national
2025,CO,08095,,153,85,26,16.99,84,43,26,54.9,28.1,106,33,12,2,0,69.28,21.57,7.84,63,17,3,2,0,74.12,20.0,3.53,national
2025,CO,08023,,162,59,53,32.72,79,52,31,48.77,32.1,108,24,30,0,0,66.67,14.81,18.52,36,12,11,0,0,61.02,20.34,18.64,national
2025,CO,08011,,97,56,11,11.34,48,37,12,49.48,38.14,55,21,21,0,0,56.7,21.65,21.65,38,14,4,0,0,67.86,25.0,7.14,national
2025,CO,08021,,122,56,32,26.23,44,52,26,36.07,42.62,80,27,14,1,0,65.57,22.13,11.48,35,14,6,1,0,62.5,25.0,10.71,national
2025,CO,08025,,96,39,29,30.21,39,33,24,40.62,34.38,54,26,14,2,0,56.25,27.08,14.58,20,11,6,2,0,51.28,28.21,15.38,national
2025,CO,08033,,74,38,15,20.27,29,31,14,39.19,41.89,54,11,8,1,0,72.97,14.86,10.81,27,7,3,1,0,71.05,18.42,7.89,national
2025,CO,08079,,45,35,3,6.67,19,17,9,42.22,37.78,40,4,0,1,0,88.89,8.89,0.0,33,2,0,0,0,94.29,5.71,0.0,national
2025,CO,08111,,82,32,24,29.27,26,29,27,31.71,35.37,79,3,0,0,0,96.34,3.66,0.0,31,1,0,0,0,96.88,3.12,0.0,national
2025,CO,08057,,50,31,9,18.0,27,18,5,54.0,36.0,38,10,2,0,0,76.0,20.0,4.0,26,4,1,0,0,83.87,12.9,3.23,national
2025,CO,08115,,74,31,17,22.97,44,26,4,59.46,35.14,47,15,10,2,0,63.51,20.27,13.51,19,7,4,1,0,61.29,22.58,12.9,national
2025,CO,08017,,58,28,13,22.41,22,22,14,37.93,37.93,41,15,2,0,0,70.69,25.86,3.45,18,9,1,0,0,64.29,32.14,3.57,national
2025,CO,08053,,47,23,13,27.66,19,19,9,40.43,40.43,39,6,2,0,0,82.98,12.77,4.26,20,2,1,0,0,86.96,8.7,4.35,national
2025,CO,08009,,52,21,16,30.77,30,20,2,57.69,38.46,33,15,2,2,0,63.46,28.85,3.85,15,6,0,0,0,71.43,28.57,0.0,national
2025,CO,08061,,33,16,7,21.21,15,11,7,45.45,33.33,22,6,4,1,0,66.67,18.18,12.12,11,3,1,1,0,68.75,18.75,6.25,national
