lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,de_originations,states_with_originations,priority_match
5493005DKMV1IHIM8E20,,,,unmatched,5671,3884,1210,PA:1700;DE:1210;NJ:555;MD:64;FL:52;CA:47;NC:28;GA:26;VA:25;SC:18,high
549300XED7IBK9VVQH70,,,,unmatched,3799,2898,1176,DE:1176;TX:273;KY:273;PA:136;NY:114;CO:105;IN:99;VI:84;MD:83;CA:75,high
549300KBWX4NV5Q1E376,,,,unmatched,23048,16403,1001,VA:2711;MD:1912;NC:1829;OH:1817;SC:1514;PA:1502;FL:1211;DE:1001;TN:817;NJ:655,high
WWB2V0FCW3A0EE3ZJN75,,,,unmatched,40592,23443,767,NY:7073;MD:3115;PA:3099;CT:2398;MA:1690;NJ:1501;VA:901;DE:767;VT:352;FL:342,high
635400IW1QMK3FNFF894,,,,unmatched,3346,2560,640,MD:838;PA:652;DE:640;NJ:226;VA:47;FL:31;NC:22;SC:11;IN:11;GA:10,high
5493002GI63WHHUTUD85,,,,unmatched,4325,3598,564,PA:1018;DE:564;CO:463;MA:193;NH:188;MD:177;NJ:166;NC:153;FL:150;VA:95,high
549300KDVJICP5T5BD05,,,,unmatched,1123,510,486,DE:486;MD:15;PA:7;TN:1;NC:1,medium
5493004N9PMBSLEZOF16,,,,unmatched,5604,4029,364,TX:820;CA:686;AZ:468;DE:364;FL:343;NJ:331;OH:247;VA:244;MD:232;SC:150,high
DZC62HF6UIZYJ08V1J90,,,,unmatched,9754,6400,289,PA:3211;NJ:1233;VA:797;MD:744;DE:289;DC:70;NC:24;WV:19;FL:6;SC:4,high
549300RFLICNI75BG067,,,,unmatched,12136,8416,277,MN:1356;NJ:1069;FL:686;CO:543;IN:517;KY:435;DE:277;WA:265;TX:244;SC:240,high
54930044OSTKOJMHF287,,,,unmatched,1137,814,225,DE:225;MD:182;DC:145;VA:65;PA:37;NC:31;FL:17;SC:13;NJ:9;NY:9,medium
213800QUAI2VH5YM6310,,,,unmatched,5973,4493,215,MD:856;FL:627;NJ:599;VA:582;NY:269;MA:257;AL:256;DE:215;PA:149;NH:133,high
5493006VCMZ998IGOO33,,,,unmatched,2679,2088,165,NJ:1223;SC:362;DE:165;VA:133;PA:115;NC:28;FL:20;MD:19;GA:14;MA:3,high
549300DQ137S1HEMVL85,,,,unmatched,186,169,157,DE:157;MD:8;PA:4,low
2549006MX2M0D119SZ27,,,,unmatched,278,144,138,DE:138;MD:4;SC:1;PA:1,low
549300YMIOLU51FSTO86,,,,unmatched,2052,1588,136,PA:346;NJ:322;DE:136;NY:108;TX:98;OH:89;MI:69;WV:66;FL:64;GA:45,high
5493005R34FLBMCPWB41,,,,unmatched,2586,1730,135,VA:708;PA:305;SC:187;NC:141;DE:135;FL:91;MD:67;NJ:47;WV:42;TN:3,high
54930009M8OIJWECQX81,,,,unmatched,1876,1287,129,MD:1005;DE:129;VA:95;PA:22;WV:13;DC:5;FL:5;SC:4;NC:4;TX:1,medium
