year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,DE,10001,,549300FGXN1K3HLB1R50,,432,324,70,6.45,303,89,40,0,0,242,53,29,0,0,national
2025,DE,10001,,549300HW662MN1WU8550,,370,246,61,4.9,80,134,154,2,0,58,83,103,2,0,national
2025,DE,10001,,5493002GI63WHHUTUD85,,241,210,10,4.18,72,100,67,2,0,63,86,59,2,0,national
2025,DE,10001,,5493005DKMV1IHIM8E20,,327,194,69,3.86,322,4,1,0,0,190,3,1,0,0,national
2025,DE,10001,,549300XED7IBK9VVQH70,,240,191,8,3.8,121,97,22,0,0,97,74,20,0,0,national
2025,DE,10001,,549300KDVJICP5T5BD05,,378,182,158,3.62,378,0,0,0,0,182,0,0,0,0,national
2025,DE,10001,,DRMSV1Q0EKMEXLAU1P80,,269,169,70,3.36,266,2,1,0,0,167,1,1,0,0,national
2025,DE,10001,,549300AQ3T62GXDU7D76,,234,164,22,3.26,129,77,26,2,0,94,46,23,1,0,national
2025,DE,10001,,635400IW1QMK3FNFF894,,166,133,5,2.65,31,92,37,6,0,27,68,33,5,0,national
2025,DE,10001,,WWB2V0FCW3A0EE3ZJN75,,247,123,98,2.45,242,5,0,0,0,122,1,0,0,0,national
2025,DE,10001,,549300KBWX4NV5Q1E376,,217,121,73,2.41,80,99,36,2,0,51,44,26,0,0,national
2025,DE,10001,,RVDPPPGHCGZ40J4VQ731,,266,121,20,2.41,107,120,38,1,0,50,52,19,0,0,national
2025,DE,10001,,549300LYRWPSYPK6S325,,277,118,13,2.35,15,118,144,0,0,6,42,70,0,0,national
2025,DE,10001,,AD6GFRVSDT01YPT1CS68,,213,105,74,2.09,212,0,1,0,0,104,0,1,0,0,national
2025,DE,10001,,549300AG64NHILB7ZP05,,152,102,29,2.03,100,34,18,0,0,67,21,14,0,0,national
2025,DE,10001,,549300H3IZO24NSOO931,,137,89,8,1.77,102,15,19,1,0,69,5,14,1,0,national
2025,DE,10001,,2549006MX2M0D119SZ27,,148,86,47,1.71,148,0,0,0,0,86,0,0,0,0,national
2025,DE,10001,,549300DD5QQUHO6PCH70,,208,80,43,1.59,6,3,199,0,0,1,2,77,0,0,national
2025,DE,10001,,54930009M8OIJWECQX81,,122,79,27,1.57,119,1,2,0,0,76,1,2,0,0,national
