year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,DE,549300FGXN1K3HLB1R50,,2399,1788,10003:895; 10005:569; 10001:324,1413,260,115,0,0,79.03,14.54,6.43,national
2025,DE,5493005DKMV1IHIM8E20,,1801,1210,10003:769; 10005:247; 10001:194,1163,40,7,0,0,96.12,3.31,0.58,national
2025,DE,549300XED7IBK9VVQH70,,1422,1176,10003:876; 10001:191; 10005:109,843,271,60,2,0,71.68,23.04,5.1,national
2025,DE,549300HW662MN1WU8550,,1408,1017,10003:479; 10005:292; 10001:246,524,244,246,3,0,51.52,23.99,24.19,national
2025,DE,549300KBWX4NV5Q1E376,,1414,1001,10005:648; 10003:232; 10001:121,740,168,93,0,0,73.93,16.78,9.29,national
2025,DE,DRMSV1Q0EKMEXLAU1P80,,1633,972,10003:542; 10005:261; 10001:169,967,3,2,0,0,99.49,0.31,0.21,national
2025,DE,AD6GFRVSDT01YPT1CS68,,1492,867,10003:507; 10005:255; 10001:105,861,4,2,0,0,99.31,0.46,0.23,national
2025,DE,WWB2V0FCW3A0EE3ZJN75,,1337,767,10003:332; 10005:312; 10001:123,758,9,0,0,0,98.83,1.17,0.0,national
2025,DE,635400IW1QMK3FNFF894,,790,640,10003:335; 10005:172; 10001:133,301,263,60,16,0,47.03,41.09,9.38,national
2025,DE,549300AG64NHILB7ZP05,,835,569,10005:336; 10003:131; 10001:102,481,52,36,0,0,84.53,9.14,6.33,national
2025,DE,5493002GI63WHHUTUD85,,668,564,10003:219; 10001:210; 10005:135,276,204,81,3,0,48.94,36.17,14.36,national
2025,DE,549300AQ3T62GXDU7D76,,728,546,10003:230; 10001:164; 10005:152,382,109,53,2,0,69.96,19.96,9.71,national
2025,DE,549300KDVJICP5T5BD05,,1068,486,10001:182; 10003:164; 10005:140,486,0,0,0,0,100.0,0.0,0.0,national
2025,DE,RVDPPPGHCGZ40J4VQ731,,1056,483,10003:204; 10005:158; 10001:121,283,141,59,0,0,58.59,29.19,12.22,national
2025,DE,549300H3IZO24NSOO931,,630,449,10005:229; 10003:131; 10001:89,363,46,38,2,0,80.85,10.24,8.46,national
2025,DE,549300VZVN841I2ILS84,,614,408,10003:238; 10005:100; 10001:70,271,111,26,0,0,66.42,27.21,6.37,national
2025,DE,5493005PKOSG7MYX0B34,,515,383,10003:288; 10005:79; 10001:16,266,95,22,0,0,69.45,24.8,5.74,national
2025,DE,5493004N9PMBSLEZOF16,,459,364,10005:200; 10003:93; 10001:71,302,29,33,0,0,82.97,7.97,9.07,national
2025,DE,5493003GQDUH26DNNH17,,743,344,10003:158; 10005:107; 10001:79,300,0,44,0,0,87.21,0.0,12.79,national
2025,DE,549300FNXYY540N23N64,,1127,344,10005:145; 10003:132; 10001:67,233,56,55,0,0,67.73,16.28,15.99,national
2025,DE,549300GKFNPRWNS0GF29,,433,338,10005:260; 10003:45; 10001:33,264,36,29,9,0,78.11,10.65,8.58,national
2025,DE,B4TYDEB6GKMZO031MB27,,714,338,10003:213; 10005:96; 10001:29,336,2,0,0,0,99.41,0.59,0.0,national
2025,DE,549300LYRWPSYPK6S325,,804,332,10003:140; 10001:118; 10005:74,39,139,154,0,0,11.75,41.87,46.39,national
2025,DE,7H6GLXDRUGQFU57RNE97,,474,301,10003:214; 10005:65; 10001:22,295,6,0,0,0,98.01,1.99,0.0,national
2025,DE,549300MGPZBLQDIL7538,,381,300,10003:135; 10005:135; 10001:30,251,31,18,0,0,83.67,10.33,6.0,national
2025,DE,DZC62HF6UIZYJ08V1J90,,467,289,10005:148; 10003:114; 10001:27,281,7,1,0,0,97.23,2.42,0.35,national
2025,DE,549300DD4R4SYK5RAQ92,,374,278,10005:130; 10003:81; 10001:67,170,56,52,0,0,61.15,20.14,18.71,national
2025,DE,549300RFLICNI75BG067,,398,277,10005:131; 10003:85; 10001:61,164,94,18,1,0,59.21,33.94,6.5,national
2025,DE,5493001SXWZ4OFP8Z903,,364,261,10005:190; 10001:71,176,34,49,2,0,67.43,13.03,18.77,national
