year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,FL,12086,Miami-Dade,74209,34236,18936,25.52,29777,25595,18837,40.13,34.49,62924,9608,1669,8,0,84.79,12.95,2.25,28685,4811,735,5,0,83.79,14.05,2.15,yes
2025,FL,12011,Broward,67743,31292,17138,25.3,27888,22265,17590,41.17,32.87,55861,9236,2631,15,0,82.46,13.63,3.88,25736,4333,1214,9,0,82.24,13.85,3.88,yes
2025,FL,12057,Hillsborough,56817,30453,11442,20.14,26311,16843,13663,46.31,29.64,41240,9581,5959,37,0,72.58,16.86,10.49,21801,5434,3195,23,0,71.59,17.84,10.49,yes
2025,FL,12099,Palm Beach,56484,28383,12505,22.14,23718,17758,15008,41.99,31.44,47801,6584,2088,11,0,84.63,11.66,3.7,24082,3305,991,5,0,84.85,11.64,3.49,yes
2025,FL,12095,Orange,48620,25010,10615,21.83,22009,14807,11804,45.27,30.45,38337,7175,3100,8,0,78.85,14.76,6.38,19683,3775,1548,4,0,78.7,15.09,6.19,yes
2025,FL,12071,Lee,40959,23136,7912,19.32,22003,10862,8094,53.72,26.52,29581,8988,2378,12,0,72.22,21.94,5.81,16623,5262,1243,8,0,71.85,22.74,5.37,yes
2025,FL,12031,Duval,40476,21490,8129,20.08,20048,12674,7754,49.53,31.31,27029,6769,6638,40,0,66.78,16.72,16.4,13957,3797,3710,26,0,64.95,17.67,17.26,yes
2025,FL,12105,Polk,38302,20118,8879,23.18,21811,10140,6351,56.94,26.47,22124,12126,3901,151,0,57.76,31.66,10.18,11045,6937,2057,79,0,54.9,34.48,10.22,yes
2025,FL,12103,Pinellas,37657,19901,7535,20.01,16000,11623,10034,42.49,30.87,31389,3647,2607,14,0,83.36,9.68,6.92,16591,1943,1356,11,0,83.37,9.76,6.81,yes
2025,FL,12101,Pasco,33479,18899,6314,18.86,17810,8918,6751,53.2,26.64,22321,7404,3690,64,0,66.67,22.12,11.02,12317,4486,2055,41,0,65.17,23.74,10.87,yes
2025,FL,12009,Brevard,31899,17570,5767,18.08,14929,10416,6554,46.8,32.65,21733,5035,5112,19,0,68.13,15.78,16.03,11847,2905,2805,13,0,67.43,16.53,15.96,yes
2025,FL,12127,Volusia,26847,14130,5612,20.9,12136,8549,6162,45.2,31.84,18640,5103,3030,74,0,69.43,19.01,11.29,9597,2879,1600,54,0,67.92,20.38,11.32,yes
2025,FL,12083,Marion,24015,12809,5109,21.27,12875,6760,4380,53.61,28.15,15207,5642,2987,179,0,63.32,23.49,12.44,7763,3262,1674,110,0,60.61,25.47,13.07,yes
2025,FL,12081,Manatee,22097,12753,4088,18.5,12289,5328,4480,55.61,24.11,16540,3732,1796,29,0,74.85,16.89,8.13,9439,2290,1005,19,0,74.01,17.96,7.88,yes
2025,FL,12115,Sarasota,22217,12534,4098,18.45,11188,5868,5161,50.36,26.41,18233,2570,1409,5,0,82.07,11.57,6.34,10359,1424,747,4,0,82.65,11.36,5.96,yes
2025,FL,12069,Lake,21602,11853,4151,19.22,11490,5933,4179,53.19,27.47,14855,4408,2281,58,0,68.77,20.41,10.56,8021,2593,1210,29,0,67.67,21.88,10.21,yes
