year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,GA,13001,,549300XQVJ1XBNFA5536,,141,31,64,13.48,141,0,0,0,0,31,0,0,0,0,yes
2025,GA,13001,,549300FGXN1K3HLB1R50,,30,21,8,9.13,20,9,1,0,0,15,5,1,0,0,yes
2025,GA,13001,,2549008AGLU4AEH9GZ71,,23,20,0,8.7,23,0,0,0,0,20,0,0,0,0,yes
2025,GA,13001,,549300R7HGHP2I754087,,20,14,1,6.09,9,10,0,1,0,7,6,0,1,0,yes
2025,GA,13001,,549300Z6CO0YC8ULYR28,,25,14,6,6.09,25,0,0,0,0,14,0,0,0,0,yes
2025,GA,13001,,5493002RF1ERFA2XR050,,11,10,1,4.35,10,1,0,0,0,9,1,0,0,0,yes
2025,GA,13001,,549300HW662MN1WU8550,,13,10,2,4.35,3,6,4,0,0,3,3,4,0,0,yes
2025,GA,13001,,JJKC32MCHWDI71265Z06,,11,7,4,3.04,11,0,0,0,0,7,0,0,0,0,yes
2025,GA,13001,,549300DD5QQUHO6PCH70,,10,6,1,2.61,0,0,10,0,0,0,0,6,0,0,yes
2025,GA,13001,,549300VORTI31GZTJL53,,8,6,0,2.61,4,4,0,0,0,3,3,0,0,0,yes
2025,GA,13001,,25490033STXCA9YDXT42,,4,4,0,1.74,4,0,0,0,0,4,0,0,0,0,yes
2025,GA,13001,,5493003GQDUH26DNNH17,,6,4,1,1.74,5,0,1,0,0,3,0,1,0,0,yes
2025,GA,13001,,549300AQ3T62GXDU7D76,,4,4,0,1.74,1,3,0,0,0,1,3,0,0,0,yes
2025,GA,13001,,549300VZVN841I2ILS84,,7,4,0,1.74,1,4,2,0,0,0,2,2,0,0,yes
2025,GA,13001,,RVDPPPGHCGZ40J4VQ731,,6,4,1,1.74,3,3,0,0,0,2,2,0,0,0,yes
2025,GA,13001,,5493000V86JDJLM0OV13,,3,3,0,1.3,3,0,0,0,0,3,0,0,0,0,yes
2025,GA,13001,,5493000YNV8IX4VD3X12,,15,3,5,1.3,14,1,0,0,0,3,0,0,0,0,yes
2025,GA,13001,,54930021WPEXNHYZUL09,,4,3,0,1.3,0,4,0,0,0,0,3,0,0,0,yes
2025,GA,13001,,549300E2UX99HKDBR481,,7,3,0,1.3,1,5,1,0,0,0,3,0,0,0,yes
2025,GA,13001,,549300OPCWU6E72WUT29,,3,3,0,1.3,1,2,0,0,0,1,2,0,0,0,yes
2025,GA,13001,,549300YIQ7S7Z8PIHE53,,7,3,4,1.3,4,3,0,0,0,2,1,0,0,0,yes
2025,GA,13001,,254900UL88QFG0E40516,,2,2,0,0.87,2,0,0,0,0,2,0,0,0,0,yes
2025,GA,13001,,54930080GH2G8DISFG28,,2,2,0,0.87,2,0,0,0,0,2,0,0,0,0,yes
2025,GA,13001,,5493008CPTDVOS570626,,3,2,1,0.87,3,0,0,0,0,2,0,0,0,0,yes
2025,GA,13001,,549300L1DBFIJZI8LA40,,2,2,0,0.87,1,0,0,1,0,1,0,0,1,0,yes
2025,GA,13001,,549300LYRWPSYPK6S325,,4,2,0,0.87,1,1,2,0,0,0,0,2,0,0,yes
2025,GA,13001,,549300RPOGWJRH63HS39,,2,2,0,0.87,0,1,1,0,0,0,1,1,0,0,yes
2025,GA,13001,,T68X8LLAQYRNDV034K14,,2,2,0,0.87,2,0,0,0,0,2,0,0,0,0,yes
2025,GA,13001,,2549001SI0EMFPT39035,,1,1,0,0.43,0,1,0,0,0,0,1,0,0,0,yes
2025,GA,13001,,2549005SIVTHG14U2905,,1,1,0,0.43,1,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,254900CTT87ZKAUTIJ37,,1,1,0,0.43,1,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,254900HA4DQWAE0W3342,,2,1,0,0.43,0,2,0,0,0,0,1,0,0,0,yes
2025,GA,13001,,254900HL2VMAYA3J5494,,1,1,0,0.43,1,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,254900OPB6J0NM26JY33,,1,1,0,0.43,1,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,254900ZFWS2106HWPH46,,3,1,1,0.43,1,1,0,1,0,0,1,0,0,0,yes
2025,GA,13001,,549300249G20MDIDRR27,,4,1,0,0.43,3,1,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,54930025XJJO3T0M1A92,,1,1,0,0.43,1,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,5493002B2WMHY23GFK92,,2,1,0,0.43,0,0,1,1,0,0,0,0,1,0,yes
2025,GA,13001,,5493002TJKC8NLH1ZP82,,1,1,0,0.43,0,0,1,0,0,0,0,1,0,0,yes
2025,GA,13001,,5493005JPZ3LXXMB0S24,,1,1,0,0.43,1,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,549300748YYU6VG08N83,,1,1,0,0.43,0,1,0,0,0,0,1,0,0,0,yes
2025,GA,13001,,549300AG64NHILB7ZP05,,6,1,4,0.43,4,0,2,0,0,0,0,1,0,0,yes
2025,GA,13001,,549300C4YZ9QY31U5912,,1,1,0,0.43,1,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,549300CB67L6KPJLHE19,,4,1,0,0.43,4,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,549300FX7K8PTEQUU487,,1,1,0,0.43,1,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,549300LBCBNR1OT00651,,3,1,1,0.43,2,1,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,549300LROQOOQU77WS20,,1,1,0,0.43,0,1,0,0,0,0,1,0,0,0,yes
2025,GA,13001,,549300MGPZBLQDIL7538,,2,1,0,0.43,2,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,549300MZ8VZJOVC63092,,1,1,0,0.43,1,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,549300NJVKCDJA5YC939,,1,1,0,0.43,0,1,0,0,0,0,1,0,0,0,yes
2025,GA,13001,,549300OBO7DOF2KOP535,,18,1,12,0.43,18,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,549300OPB0G5OMY0SM65,,1,1,0,0.43,1,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,549300PIL8LFAQ04XC20,,1,1,0,0.43,1,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,549300Q10M1VXBG2H889,,3,1,0,0.43,1,1,1,0,0,0,1,0,0,0,yes
2025,GA,13001,,549300SK2GVCQXPD4S58,,1,1,0,0.43,0,0,1,0,0,0,0,1,0,0,yes
2025,GA,13001,,549300TE5E6DWAI74K71,,1,1,0,0.43,1,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,549300UVOSI4XZZGUE14,,1,1,0,0.43,0,1,0,0,0,0,1,0,0,0,yes
2025,GA,13001,,549300UXY7OP0IC38293,,1,1,0,0.43,1,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,549300W1HU6IVVIEJ389,,1,1,0,0.43,0,1,0,0,0,0,1,0,0,0,yes
2025,GA,13001,,549300XCVBRR56D08F03,,2,1,0,0.43,2,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,549300YN94MOAVYW0F52,,2,1,1,0.43,2,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,549300ZC48GOYCGYFE82,,1,1,0,0.43,1,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,8I3UVGYULPJQIP7FQV10,,1,1,0,0.43,1,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,AD6GFRVSDT01YPT1CS68,,3,1,0,0.43,3,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,COOWI3L2W9TPYR3WJX37,,1,1,0,0.43,1,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,MMO6VV34TNP4Z1T8NG83,,1,1,0,0.43,1,0,0,0,0,1,0,0,0,0,yes
2025,GA,13001,,SS1TRMSN6BRNMOREEV51,,1,1,0,0.43,0,1,0,0,0,0,1,0,0,0,yes
2025,GA,13001,,549300JGK6WNKYXQ0821,,8,0,6,0.0,8,0,0,0,0,0,0,0,0,0,yes
2025,GA,13003,,549300XQVJ1XBNFA5536,,46,8,23,15.38,46,0,0,0,0,8,0,0,0,0,yes
2025,GA,13003,,254900ZWDLZRZ1IY7113,,11,7,1,13.46,11,0,0,0,0,7,0,0,0,0,yes
2025,GA,13003,,549300RPOGWJRH63HS39,,7,4,1,7.69,0,6,1,0,0,0,3,1,0,0,yes
2025,GA,13003,,254900GACVFC2JIZYT69,,3,3,0,5.77,3,0,0,0,0,3,0,0,0,0,yes
2025,GA,13003,,5493000YNV8IX4VD3X12,,13,2,8,3.85,13,0,0,0,0,2,0,0,0,0,yes
2025,GA,13003,,5493002RF1ERFA2XR050,,3,2,1,3.85,1,2,0,0,0,1,1,0,0,0,yes
2025,GA,13003,,5493003GQDUH26DNNH17,,2,2,0,3.85,1,0,1,0,0,1,0,1,0,0,yes
2025,GA,13003,,549300ELFWNRX6MLE444,,3,2,1,3.85,3,0,0,0,0,2,0,0,0,0,yes
2025,GA,13003,,549300R7HGHP2I754087,,2,2,0,3.85,0,2,0,0,0,0,2,0,0,0,yes
