year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,HI,15001,,549300FGXN1K3HLB1R50,,412,282,90,8.43,322,48,42,0,0,227,23,32,0,0,national
2025,HI,15001,,549300HW662MN1WU8550,,328,244,43,7.29,245,46,33,4,0,180,37,24,3,0,national
2025,HI,15001,,XJCRTTYJVBMA22IXL619,,498,235,179,7.02,495,3,0,0,0,232,3,0,0,0,national
2025,HI,15001,,WWJYKHS2UNKSDW8XLB53,,375,204,90,6.1,374,0,0,1,0,204,0,0,0,0,national
2025,HI,15001,,549300MCIFZSDHUT8X63,,247,201,3,6.01,189,37,21,0,0,151,30,20,0,0,national
2025,HI,15001,,549300BES7HNVKCDIM50,,237,127,91,3.79,236,1,0,0,0,127,0,0,0,0,national
2025,HI,15001,,549300AQ3T62GXDU7D76,,182,120,13,3.59,122,38,20,2,0,79,24,15,2,0,national
2025,HI,15001,,RVDPPPGHCGZ40J4VQ731,,186,99,34,2.96,139,28,18,1,0,69,19,11,0,0,national
2025,HI,15001,,549300RYTR2RVL4SFJ90,,97,78,7,2.33,97,0,0,0,0,78,0,0,0,0,national
2025,HI,15001,,5493005R24FV5DFFXW42,,183,74,79,2.21,182,1,0,0,0,73,1,0,0,0,national
2025,HI,15001,,549300DD5QQUHO6PCH70,,134,74,18,2.21,15,3,116,0,0,5,1,68,0,0,national
2025,HI,15001,,549300U3721PJGQZYY68,,104,69,4,2.06,93,1,10,0,0,59,1,9,0,0,national
2025,HI,15001,,549300LYRWPSYPK6S325,,134,64,18,1.91,34,48,52,0,0,19,23,22,0,0,national
2025,HI,15001,,549300GKFNPRWNS0GF29,,94,59,6,1.76,73,5,16,0,0,43,4,12,0,0,national
2025,HI,15001,,254900DTLHVWQ7NP7R34,,75,51,4,1.52,63,9,2,1,0,42,6,2,1,0,national
2025,HI,15001,,549300PC4MFWQBNVKG88,,62,50,1,1.49,45,16,0,1,0,35,14,0,1,0,national
