year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,HI,XJCRTTYJVBMA22IXL619,,3677,1972,15003:1473; 15001:235; 15009:180; 15007:84,1942,18,12,0,0,98.48,0.91,0.61,national
2025,HI,WWJYKHS2UNKSDW8XLB53,,2740,1586,15003:1097; 15001:204; 15009:171; 15007:114,1585,0,1,0,0,99.94,0.0,0.06,national
2025,HI,549300BES7HNVKCDIM50,,2479,1416,15003:1055; 15009:161; 15001:127; 15007:73,1393,4,19,0,0,98.38,0.28,1.34,national
2025,HI,549300HW662MN1WU8550,,1710,1281,15003:867; 15001:244; 15007:86; 15009:84,673,66,537,5,0,52.54,5.15,41.92,national
2025,HI,549300FGXN1K3HLB1R50,,1651,1101,15003:646; 15001:282; 15009:97; 15007:76,833,41,227,0,0,75.66,3.72,20.62,national
2025,HI,5493005VBGFDRV6FSU19,,1418,847,15003:713; 15009:104; 15007:15; 15001:15,847,0,0,0,0,100.0,0.0,0.0,national
2025,HI,549300Z6QWABFYI73E79,,1829,777,15003:603; 15009:78; 15007:49; 15001:47,777,0,0,0,0,100.0,0.0,0.0,national
2025,HI,5493005R24FV5DFFXW42,,1519,720,15003:576; 15001:74; 15009:53; 15007:17,714,2,4,0,0,99.17,0.28,0.56,national
2025,HI,549300LYRWPSYPK6S325,,924,516,15003:423; 15001:64; 15009:21; 15007:8,65,71,380,0,0,12.6,13.76,73.64,national
2025,HI,RVDPPPGHCGZ40J4VQ731,,793,462,15003:325; 15001:99; 15009:26; 15007:12,241,38,183,0,0,52.16,8.23,39.61,national
2025,HI,549300U3721PJGQZYY68,,766,443,15003:233; 15009:107; 15001:69; 15007:34,327,20,95,1,0,73.81,4.51,21.44,national
2025,HI,549300GKFNPRWNS0GF29,,619,399,15003:289; 15001:59; 15007:29; 15009:22,248,54,92,5,0,62.16,13.53,23.06,national
2025,HI,549300FNXYY540N23N64,,891,392,15003:296; 15009:40; 15001:37; 15007:19,210,16,166,0,0,53.57,4.08,42.35,national
2025,HI,549300DD5QQUHO6PCH70,,695,368,15003:274; 15001:74; 15009:15; 15007:5,10,4,354,0,0,2.72,1.09,96.2,national
2025,HI,549300AG64NHILB7ZP05,,521,329,15003:180; 15009:87; 15001:45; 15007:17,240,27,62,0,0,72.95,8.21,18.84,national
2025,HI,254900DTLHVWQ7NP7R34,,505,326,15003:238; 15001:51; 15009:26; 15007:11,280,13,32,1,0,85.89,3.99,9.82,national
2025,HI,5493003GQDUH26DNNH17,,985,326,15003:276; 15001:35; 15009:8; 15007:7,263,0,63,0,0,80.67,0.0,19.33,national
2025,HI,549300AQ3T62GXDU7D76,,489,316,15003:176; 15001:120; 15009:13; 15007:7,227,51,33,5,0,71.84,16.14,10.44,national
2025,HI,5493001SXWZ4OFP8Z903,,368,263,15003:263,94,49,118,2,0,35.74,18.63,44.87,national
2025,HI,254900E6AIE4Z8YQM970,,320,244,15003:175; 15009:38; 15001:19; 15007:12,244,0,0,0,0,100.0,0.0,0.0,national
2025,HI,549300MCIFZSDHUT8X63,,296,235,15001:201; 15003:18; 15007:11; 15009:5,178,34,23,0,0,75.74,14.47,9.79,national
2025,HI,549300TT6197INLGZW29,,326,217,15003:204; 15007:12; 15009:1,217,0,0,0,0,100.0,0.0,0.0,national
2025,HI,549300R77W0P105C3S50,,295,181,15003:63; 15001:48; 15009:37; 15007:33,178,1,2,0,0,98.34,0.55,1.1,national
2025,HI,549300MZ8VZJOVC63092,,268,166,15003:87; 15001:42; 15009:24; 15007:13,120,17,25,4,0,72.29,10.24,15.06,national
2025,HI,98450087981AP406JG03,,162,134,15003:89; 15001:31; 15009:11; 15007:3,134,0,0,0,0,100.0,0.0,0.0,national
2025,HI,5493004NKDOFN55L5X23,,126,125,15003:115; 15009:7; 15001:2; 15007:1,125,0,0,0,0,100.0,0.0,0.0,national
2025,HI,549300VQUTI5IU7GXT57,,217,122,15007:51; 15003:28; 15009:24; 15001:19,74,36,9,3,0,60.66,29.51,7.38,national
2025,HI,549300DSPT6YGS1ZLR56,,180,119,15003:118; 15001:1,119,0,0,0,0,100.0,0.0,0.0,national
2025,HI,IUGPUX5LWRZ3B6KIZ697,,155,119,15003:108; 15001:9; 15009:2,58,2,59,0,0,48.74,1.68,49.58,national
2025,HI,5493001WHVQBGRSWEU75,,200,118,15003:70; 15001:29; 15009:14; 15007:5,75,12,29,2,0,63.56,10.17,24.58,national
2025,HI,549300LBCBNR1OT00651,,217,117,15003:73; 15001:24; 15009:10; 15007:10,84,12,21,0,0,71.79,10.26,17.95,national
2025,HI,254900ZFWS2106HWPH46,,158,107,15003:88; 15001:11; 15007:6; 15009:2,59,4,43,1,0,55.14,3.74,40.19,national
2025,HI,549300S5YL3OH0IVCS62,,127,101,15003:63; 15001:22; 15009:12; 15007:4,51,50,0,0,0,50.5,49.5,0.0,national
2025,HI,2549006P8VW9SIT9YP64,,127,95,15003:94; 15001:1,95,0,0,0,0,100.0,0.0,0.0,national
2025,HI,549300RYTR2RVL4SFJ90,,122,95,15001:78; 15003:12; 15009:3; 15007:2,95,0,0,0,0,100.0,0.0,0.0,national
2025,HI,549300VZVN841I2ILS84,,178,89,15001:46; 15003:29; 15009:11; 15007:3,69,3,15,2,0,77.53,3.37,16.85,national
2025,HI,5493004AS1SPBQOFDR49,,142,87,15003:48; 15001:20; 15009:12; 15007:7,85,2,0,0,0,97.7,2.3,0.0,national
2025,HI,549300MGPZBLQDIL7538,,147,85,15003:63; 15001:17; 15009:5,60,6,18,1,0,70.59,7.06,21.18,national
2025,HI,549300KJ8PAJ7E52HG32,,143,79,15003:63; 15001:9; 15007:6; 15009:1,63,8,8,0,0,79.75,10.13,10.13,national
