year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,IA,19001,,254900XW0LQQA1I2P960,,11,9,2,8.91,11,0,0,0,0,9,0,0,0,0,national
2025,IA,19001,,549300KER3YVZ3U5RK57,,13,9,1,8.91,13,0,0,0,0,9,0,0,0,0,national
2025,IA,19001,,549300M25807V5I2K649,,7,7,0,6.93,7,0,0,0,0,7,0,0,0,0,national
2025,IA,19001,,549300DUVDQ4UATCVD64,,6,6,0,5.94,6,0,0,0,0,6,0,0,0,0,national
2025,IA,19001,,549300FGXN1K3HLB1R50,,9,6,3,5.94,5,4,0,0,0,3,3,0,0,0,national
2025,IA,19001,,549300GKFNPRWNS0GF29,,5,5,0,4.95,1,1,1,2,0,1,1,1,2,0,national
2025,IA,19001,,549300J99UM25CTWNN58,,10,5,3,4.95,10,0,0,0,0,5,0,0,0,0,national
2025,IA,19001,,549300RBJCM5B02O5U05,,6,5,0,4.95,6,0,0,0,0,5,0,0,0,0,national
2025,IA,19001,,549300W4FT4H1UWPGU95,,8,5,2,4.95,6,1,1,0,0,4,0,1,0,0,national
2025,IA,19001,,549300AQ3T62GXDU7D76,,4,4,0,3.96,2,1,0,1,0,2,1,0,1,0,national
2025,IA,19001,,549300HW662MN1WU8550,,6,3,0,2.97,4,0,2,0,0,3,0,0,0,0,national
2025,IA,19001,,549300Q76VHK6FGPX546,,4,3,0,2.97,2,0,0,2,0,2,0,0,1,0,national
2025,IA,19001,,5493006JISETNI0GLE61,,2,2,0,1.98,2,0,0,0,0,2,0,0,0,0,national
2025,IA,19001,,5493007DIB8YPDM6NR52,,5,2,0,1.98,5,0,0,0,0,2,0,0,0,0,national
2025,IA,19001,,549300QR0KFPEDZPEI42,,2,2,0,1.98,0,1,0,1,0,0,1,0,1,0,national
2025,IA,19001,,549300VORTI31GZTJL53,,2,2,0,1.98,1,1,0,0,0,1,1,0,0,0,national
2025,IA,19001,,C398JSK21YCXWM603F55,,3,2,1,1.98,1,1,0,1,0,0,1,0,1,0,national
2025,IA,19001,,254900378RFGMBEKAF12,,1,1,0,0.99,1,0,0,0,0,1,0,0,0,0,national
2025,IA,19001,,254900HA4DQWAE0W3342,,1,1,0,0.99,1,0,0,0,0,1,0,0,0,0,national
2025,IA,19001,,254900ORL3AOAHZ46F19,,1,1,0,0.99,1,0,0,0,0,1,0,0,0,0,national
2025,IA,19001,,254900SKRYMF38M2P535,,1,1,0,0.99,1,0,0,0,0,1,0,0,0,0,national
2025,IA,19001,,254900XRTANBKSC2EB64,,1,1,0,0.99,1,0,0,0,0,1,0,0,0,0,national
2025,IA,19001,,5493001WHVQBGRSWEU75,,1,1,0,0.99,1,0,0,0,0,1,0,0,0,0,national
2025,IA,19001,,5493006D5TDDSA5NA741,,1,1,0,0.99,1,0,0,0,0,1,0,0,0,0,national
2025,IA,19001,,549300AG64NHILB7ZP05,,1,1,0,0.99,0,0,1,0,0,0,0,1,0,0,national
2025,IA,19001,,549300BB8TE7SXIUJI50,,3,1,2,0.99,3,0,0,0,0,1,0,0,0,0,national
2025,IA,19001,,549300DD5QQUHO6PCH70,,5,1,4,0.99,1,1,3,0,0,0,0,1,0,0,national
2025,IA,19001,,549300E2UX99HKDBR481,,3,1,0,0.99,0,1,2,0,0,0,0,1,0,0,national
2025,IA,19001,,549300FNXYY540N23N64,,2,1,0,0.99,2,0,0,0,0,1,0,0,0,0,national
2025,IA,19001,,549300FSZH0FMQ1T8Y90,,3,1,2,0.99,1,0,0,2,0,1,0,0,0,0,national
2025,IA,19001,,549300JRDGV1559XM376,,1,1,0,0.99,0,0,0,1,0,0,0,0,1,0,national
2025,IA,19001,,549300LYRWPSYPK6S325,,2,1,0,0.99,0,2,0,0,0,0,1,0,0,0,national
2025,IA,19001,,549300NB3SBC1KHAWB92,,1,1,0,0.99,1,0,0,0,0,1,0,0,0,0,national
2025,IA,19001,,549300R0SXC1JU7ZU290,,2,1,0,0.99,1,1,0,0,0,1,0,0,0,0,national
2025,IA,19001,,549300TA4MQM8WN2XG31,,1,1,0,0.99,1,0,0,0,0,1,0,0,0,0,national
2025,IA,19001,,549300UXTDELQS5SLF91,,2,1,1,0.99,2,0,0,0,0,1,0,0,0,0,national
2025,IA,19001,,549300VI416LTAV9J614,,1,1,0,0.99,1,0,0,0,0,1,0,0,0,0,national
2025,IA,19001,,549300WOW2HLRVN4O324,,2,1,0,0.99,2,0,0,0,0,1,0,0,0,0,national
2025,IA,19001,,6BYL5QZYBDK8S7L73M02,,2,1,1,0.99,2,0,0,0,0,1,0,0,0,0,national
2025,IA,19001,,FU7RSW4CQQY98A2O7J66,,1,1,0,0.99,0,0,1,0,0,0,0,1,0,0,national
2025,IA,19001,,KB1H1DSPRFMYMCUFXT09,,3,1,2,0.99,3,0,0,0,0,1,0,0,0,0,national
2025,IA,19001,,549300SUCQ1358EGVE89,,5,0,1,0.0,0,1,4,0,0,0,0,0,0,0,national
2025,IA,19001,,549300VCMRO4ST680C11,,5,0,1,0.0,0,0,5,0,0,0,0,0,0,0,national
2025,IA,19003,,549300FGXN1K3HLB1R50,,8,4,4,7.02,6,1,1,0,0,3,0,1,0,0,national
2025,IA,19003,,549300GKFNPRWNS0GF29,,5,4,0,7.02,0,3,0,2,0,0,2,0,2,0,national
2025,IA,19003,,549300KER3YVZ3U5RK57,,6,4,0,7.02,6,0,0,0,0,4,0,0,0,0,national
2025,IA,19003,,549300NDNZ6EWP8BJI88,,3,3,0,5.26,2,0,0,1,0,2,0,0,1,0,national
2025,IA,19003,,549300VORTI31GZTJL53,,3,3,0,5.26,2,1,0,0,0,2,1,0,0,0,national
