year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,ID,16001,,5493001PXRJMPLXPG540,,5396,3559,746,22.2,5307,48,41,0,0,3501,29,29,0,0,national
2025,ID,16001,,549300FGXN1K3HLB1R50,,1206,973,115,6.07,964,109,133,0,0,785,82,106,0,0,national
2025,ID,16001,,549300HW662MN1WU8550,,974,808,60,5.04,638,132,201,3,0,550,104,151,3,0,national
2025,ID,16001,,549300AQ3T62GXDU7D76,,676,506,22,3.16,527,106,43,0,0,392,82,32,0,0,national
2025,ID,16001,,549300B4IYL7TZT8FA34,,556,410,8,2.56,294,207,54,1,0,207,164,38,1,0,national
2025,ID,16001,,6BYL5QZYBDK8S7L73M02,,615,363,147,2.26,602,2,11,0,0,351,2,10,0,0,national
2025,ID,16001,,5493009BD405QQTMXO12,,512,357,34,2.23,431,35,46,0,0,299,25,33,0,0,national
2025,ID,16001,,549300MGPZBLQDIL7538,,438,327,24,2.04,312,84,42,0,0,232,60,35,0,0,national
2025,ID,16001,,RVDPPPGHCGZ40J4VQ731,,435,289,40,1.8,339,45,51,0,0,230,27,32,0,0,national
2025,ID,16001,,549300DD4R4SYK5RAQ92,,389,280,20,1.75,302,46,41,0,0,210,36,34,0,0,national
2025,ID,16001,,549300LYL7JC81I5DV55,,364,265,48,1.65,358,4,2,0,0,264,1,0,0,0,national
2025,ID,16001,,5493006S869XKIESMV41,,528,261,181,1.63,514,4,10,0,0,250,3,8,0,0,national
2025,ID,16001,,549300GKFNPRWNS0GF29,,332,254,7,1.58,272,28,29,3,0,212,18,22,2,0,national
2025,ID,16001,,549300AG64NHILB7ZP05,,353,237,43,1.48,259,68,26,0,0,170,48,19,0,0,national
2025,ID,16001,,549300U3721PJGQZYY68,,326,231,10,1.44,255,36,35,0,0,179,27,25,0,0,national
2025,ID,16001,,2549004FXPNKCLIN8250,,267,217,7,1.35,193,52,22,0,0,155,44,18,0,0,national
2025,ID,16001,,549300MZ8VZJOVC63092,,279,207,35,1.29,221,35,23,0,0,162,27,18,0,0,national
2025,ID,16001,,549300KOAKQX3BEWWT56,,226,205,2,1.28,158,48,20,0,0,140,45,20,0,0,national
2025,ID,16001,,549300KIOYNU323LVJ37,,264,201,7,1.25,196,41,27,0,0,147,33,21,0,0,national
2025,ID,16001,,54930060G4MDPWHISD89,,225,191,0,1.19,174,37,14,0,0,143,34,14,0,0,national
2025,ID,16001,,549300VZVN841I2ILS84,,251,186,7,1.16,178,45,28,0,0,132,28,26,0,0,national
2025,ID,16001,,254900DTLHVWQ7NP7R34,,212,169,9,1.05,194,10,8,0,0,155,7,7,0,0,national
2025,ID,16001,,549300H3IZO24NSOO931,,186,145,13,0.9,131,36,19,0,0,99,29,17,0,0,national
2025,ID,16001,,7H6GLXDRUGQFU57RNE97,,207,141,13,0.88,199,4,4,0,0,138,0,3,0,0,national
2025,ID,16001,,549300GRGZDEH4ZGQS06,,165,132,4,0.82,96,46,23,0,0,74,36,22,0,0,national
2025,ID,16001,,549300LBCBNR1OT00651,,175,130,21,0.81,160,6,9,0,0,119,4,7,0,0,national
2025,ID,16001,,5493001HHBUTXHS7TZ96,,144,118,12,0.74,103,26,15,0,0,88,20,10,0,0,national
2025,ID,16001,,8WH0EE09O9V05QJZ3V89,,179,112,35,0.7,174,3,2,0,0,110,1,1,0,0,national
2025,ID,16001,,549300XRXBA38J60S618,,139,110,0,0.69,115,13,11,0,0,90,9,11,0,0,national
2025,ID,16001,,5493003GQDUH26DNNH17,,186,105,31,0.66,140,0,46,0,0,80,0,25,0,0,national
2025,ID,16001,,5493006LGHJCBICSE610,,175,104,33,0.65,173,2,0,0,0,102,2,0,0,0,national
2025,ID,16001,,549300OP314BNT2VUU11,,137,102,5,0.64,137,0,0,0,0,102,0,0,0,0,national
2025,ID,16001,,2549008TT6UNYR7AXF54,,130,100,1,0.62,87,15,28,0,0,68,9,23,0,0,national
2025,ID,16001,,549300E2UX99HKDBR481,,212,98,19,0.61,136,54,22,0,0,75,13,10,0,0,national
2025,ID,16001,,549300LYRWPSYPK6S325,,203,98,6,0.61,41,70,92,0,0,17,34,47,0,0,national
2025,ID,16001,,254900XRQ4U9ABU6F580,,137,97,25,0.61,137,0,0,0,0,97,0,0,0,0,national
2025,ID,16001,,549300DD5QQUHO6PCH70,,209,92,32,0.57,7,4,198,0,0,0,3,89,0,0,national
2025,ID,16001,,549300121SF0K2LN2804,,103,81,0,0.51,83,13,7,0,0,64,11,6,0,0,national
2025,ID,16001,,549300715JT4HMT74E48,,136,80,41,0.5,135,1,0,0,0,80,0,0,0,0,national
2025,ID,16001,,549300BLL6VL7AXWYP56,,117,79,6,0.49,88,18,11,0,0,62,10,7,0,0,national
2025,ID,16001,,549300RFSMIRUODUVW59,,106,78,22,0.49,106,0,0,0,0,78,0,0,0,0,national
2025,ID,16001,,254900UL88QFG0E40516,,145,75,34,0.47,145,0,0,0,0,75,0,0,0,0,national
2025,ID,16001,,549300P2GEYNMH5OQA71,,114,74,31,0.46,111,1,2,0,0,73,0,1,0,0,national
2025,ID,16001,,549300PIL8LFAQ04XC20,,202,72,101,0.45,202,0,0,0,0,72,0,0,0,0,national
2025,ID,16001,,549300Q02LGIN9AXKP98,,95,71,9,0.44,95,0,0,0,0,71,0,0,0,0,national
2025,ID,16001,,5493000FSLMV0FBEQY36,,94,69,4,0.43,83,8,3,0,0,61,6,2,0,0,national
2025,ID,16001,,549300OPCWU6E72WUT29,,93,68,9,0.42,44,39,10,0,0,33,28,7,0,0,national
2025,ID,16001,,549300ESRQ6OLBB56N04,,102,67,22,0.42,98,1,3,0,0,63,1,3,0,0,national
2025,ID,16001,,HUX2X73FUCYHUVH1BK78,,105,67,25,0.42,102,3,0,0,0,66,1,0,0,0,national
2025,ID,16001,,549300FNXYY540N23N64,,168,66,29,0.41,116,24,27,1,0,51,6,9,0,0,national
2025,ID,16001,,B4TYDEB6GKMZO031MB27,,140,65,41,0.41,140,0,0,0,0,65,0,0,0,0,national
2025,ID,16001,,549300KJ8PAJ7E52HG32,,96,64,3,0.4,68,12,16,0,0,51,6,7,0,0,national
2025,ID,16001,,5493007I0X1GRWIU8B34,,97,63,21,0.39,97,0,0,0,0,63,0,0,0,0,national
2025,ID,16001,,5493003V40VGM7YDFM54,,68,59,0,0.37,53,7,8,0,0,46,5,8,0,0,national
2025,ID,16001,,KB1H1DSPRFMYMCUFXT09,,101,58,14,0.36,96,2,3,0,0,56,1,1,0,0,national
2025,ID,16001,,254900SUM1U8US3D2Z03,,114,57,18,0.36,112,2,0,0,0,56,1,0,0,0,national
