year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,IL,17001,,5493000XYE7QL54NMB52,,204,147,29,19.55,197,4,3,0,0,143,3,1,0,0,national
2025,IL,17001,,2549003SD8SH7JXN6S72,,93,77,3,10.24,93,0,0,0,0,77,0,0,0,0,national
2025,IL,17001,,549300DFV63SJPNIII97,,78,72,0,9.57,78,0,0,0,0,72,0,0,0,0,national
2025,IL,17001,,549300VZVN841I2ILS84,,87,69,3,9.18,21,50,9,7,0,13,42,8,6,0,national
2025,IL,17001,,549300LXKO1O7CSK5J52,,65,54,2,7.18,35,26,3,1,0,28,23,2,1,0,national
2025,IL,17001,,549300DD5QQUHO6PCH70,,65,35,12,4.65,6,11,48,0,0,3,6,26,0,0,national
2025,IL,17001,,549300FGXN1K3HLB1R50,,46,34,6,4.52,30,15,1,0,0,23,11,0,0,0,national
2025,IL,17001,,549300XAJENHWRM32Z86,,31,25,3,3.32,29,0,2,0,0,24,0,1,0,0,national
2025,IL,17001,,549300NB3SBC1KHAWB92,,26,18,4,2.39,9,10,5,2,0,7,7,2,2,0,national
2025,IL,17001,,549300HN58ONH5KNJJ12,,15,11,1,1.46,12,1,1,1,0,9,1,0,1,0,national
2025,IL,17001,,549300LYRWPSYPK6S325,,13,9,0,1.2,0,4,9,0,0,0,1,8,0,0,national
2025,IL,17001,,EFBDHEMMHTWI378O4988,,14,9,3,1.2,13,1,0,0,0,8,1,0,0,0,national
2025,IL,17001,,549300EWFHPBZH38K695,,15,8,1,1.06,15,0,0,0,0,8,0,0,0,0,national
2025,IL,17001,,549300WS8BW0I0BDA390,,9,8,0,1.06,1,4,2,2,0,1,3,2,2,0,national
2025,IL,17001,,5493004T9SQFCNRQ2L76,,10,7,0,0.93,3,7,0,0,0,2,5,0,0,0,national
2025,IL,17001,,549300AG64NHILB7ZP05,,16,7,5,0.93,7,7,2,0,0,3,3,1,0,0,national
2025,IL,17001,,6BYL5QZYBDK8S7L73M02,,17,7,6,0.93,17,0,0,0,0,7,0,0,0,0,national
2025,IL,17001,,549300HW662MN1WU8550,,11,6,3,0.8,2,2,7,0,0,1,1,4,0,0,national
2025,IL,17001,,RVDPPPGHCGZ40J4VQ731,,14,6,2,0.8,4,8,2,0,0,1,4,1,0,0,national
2025,IL,17001,,254900UL88QFG0E40516,,9,5,3,0.66,9,0,0,0,0,5,0,0,0,0,national
2025,IL,17001,,549300XOTES5TCS8T794,,5,5,0,0.66,5,0,0,0,0,5,0,0,0,0,national
2025,IL,17001,,7DMUJTL9FFTVIAG9H788,,6,5,1,0.66,6,0,0,0,0,5,0,0,0,0,national
2025,IL,17001,,C5654JQHZUHN0772B561,,8,5,2,0.66,2,0,6,0,0,2,0,3,0,0,national
2025,IL,17001,,549300SUCQ1358EGVE89,,14,4,2,0.53,0,0,14,0,0,0,0,4,0,0,national
2025,IL,17001,,549300W4FT4H1UWPGU95,,6,4,0,0.53,6,0,0,0,0,4,0,0,0,0,national
2025,IL,17001,,549300X7KG2H84UCP685,,4,4,0,0.53,1,2,1,0,0,1,2,1,0,0,national
2025,IL,17001,,5493001GCBD5XGNIC815,,17,3,0,0.4,17,0,0,0,0,3,0,0,0,0,national
2025,IL,17001,,5493003GQDUH26DNNH17,,5,3,0,0.4,4,0,1,0,0,2,0,1,0,0,national
2025,IL,17001,,54930054ET8KM4O1D485,,6,3,0,0.4,4,1,1,0,0,1,1,1,0,0,national
2025,IL,17001,,549300AQ3T62GXDU7D76,,3,3,0,0.4,1,1,1,0,0,1,1,1,0,0,national
2025,IL,17001,,549300CB67L6KPJLHE19,,6,3,2,0.4,6,0,0,0,0,3,0,0,0,0,national
2025,IL,17001,,549300CUUEEQ66ZVK149,,3,3,0,0.4,3,0,0,0,0,3,0,0,0,0,national
2025,IL,17001,,549300E2UX99HKDBR481,,10,3,2,0.4,4,6,0,0,0,2,1,0,0,0,national
2025,IL,17001,,549300KIOYNU323LVJ37,,3,3,0,0.4,2,0,0,1,0,2,0,0,1,0,national
