year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,IL,549300FGXN1K3HLB1R50,,17332,11970,Cook:3955; 17197:1008; 17043:912; 17097:725; 17089:556,9096,2243,631,0,0,75.99,18.74,5.27,national
2025,IL,549300HW662MN1WU8550,,15644,11397,Cook:4805; 17043:1075; 17197:1042; 17097:773; 17089:606,8115,2047,1232,3,0,71.2,17.96,10.81,national
2025,IL,549300U3721PJGQZYY68,,17479,10217,Cook:5271; 17043:1024; 17197:946; 17097:614; 17089:541,8465,1242,473,37,0,82.85,12.16,4.63,national
2025,IL,7H6GLXDRUGQFU57RNE97,,13574,8778,Cook:5040; 17043:955; 17197:645; 17097:629; 17089:447,8542,177,59,0,0,97.31,2.02,0.67,national
2025,IL,549300VZVN841I2ILS84,,8779,5600,Cook:2880; 17097:588; 17043:452; 17197:373; 17089:300,4292,1041,249,18,0,76.64,18.59,4.45,national
2025,IL,6BYL5QZYBDK8S7L73M02,,10075,4571,Cook:1631; 17043:510; 17197:306; 17097:243; 17089:201,4342,147,78,4,0,94.99,3.22,1.71,national
2025,IL,2WHM8VNJH63UN14OL754,,8226,4352,Cook:2711; 17043:515; 17097:333; 17197:305; 17089:188,4217,109,26,0,0,96.9,2.5,0.6,national
2025,IL,549300AG64NHILB7ZP05,,7019,4241,Cook:2097; 17197:361; 17043:281; 17089:245; 17097:213,2780,1282,171,8,0,65.55,30.23,4.03,national
2025,IL,549300MGPZBLQDIL7538,,6279,4215,Cook:1776; 17043:399; 17097:323; 17111:307; 17197:296,3289,767,136,23,0,78.03,18.2,3.23,national
2025,IL,QFROUN1UWUYU0DVIWD51,,8628,4111,Cook:1726; 17043:599; 17097:345; 17197:330; 17089:316,4056,40,15,0,0,98.66,0.97,0.36,national
2025,IL,549300W4FT4H1UWPGU95,,5658,3954,Cook:948; 17201:701; 17043:364; 17089:327; 17197:293,3695,202,53,4,0,93.45,5.11,1.34,national
2025,IL,3Y4U8VZURTYWI1W2K376,,8007,3906,Cook:1583; 17197:589; 17043:558; 17111:298; 17089:291,3827,76,3,0,0,97.98,1.95,0.08,national
2025,IL,AD6GFRVSDT01YPT1CS68,,6796,3711,Cook:1299; 17097:363; 17043:348; 17197:332; 17089:210,3641,45,25,0,0,98.11,1.21,0.67,national
2025,IL,549300E2UX99HKDBR481,,6886,3581,Cook:840; 17019:315; 17119:313; 17163:195; 17115:184,2339,1009,187,46,0,65.32,28.18,5.22,national
2025,IL,549300DD5QQUHO6PCH70,,5914,2965,Cook:516; 17163:314; 17097:173; 17119:144; 17197:124,165,139,2656,5,0,5.56,4.69,89.58,national
2025,IL,B4TYDEB6GKMZO031MB27,,6817,2889,Cook:1621; 17043:362; 17097:273; 17197:186; 17089:135,2867,19,3,0,0,99.24,0.66,0.1,national
2025,IL,549300AQ3T62GXDU7D76,,4013,2870,Cook:613; 17089:374; 17043:253; 17197:184; 17201:165,2139,576,123,32,0,74.53,20.07,4.29,national
2025,IL,549300YD7XJM19TH5O82,,4229,2769,17143:770; 17179:661; 17113:294; 17167:246; 17203:159,2769,0,0,0,0,100.0,0.0,0.0,national
2025,IL,C398JSK21YCXWM603F55,,3980,2719,Cook:1424; 17097:351; 17043:228; 17197:171; 17089:141,2490,157,68,4,0,91.58,5.77,2.5,national
2025,IL,RVDPPPGHCGZ40J4VQ731,,5192,2485,Cook:877; 17197:196; 17043:191; 17097:189; 17089:137,1291,878,312,4,0,51.95,35.33,12.56,national
2025,IL,549300KIOYNU323LVJ37,,3209,2402,Cook:844; 17197:342; 17043:262; 17097:226; 17089:153,1829,465,104,4,0,76.14,19.36,4.33,national
2025,IL,549300AT7EB9FJAF0E61,,3859,2207,Cook:993; 17097:294; 17197:291; 17043:130; 17089:75,2159,41,6,1,0,97.83,1.86,0.27,national
2025,IL,XC7Z0BA39TU7L1AKOJ12,,3511,2072,Cook:862; 17043:345; 17089:238; 17197:199; 17097:194,2072,0,0,0,0,100.0,0.0,0.0,national
