lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,in_originations,states_with_originations,priority_match
549300GSCUJKJINRJ980,,,,unmatched,13152,9934,6870,IN:6870;OH:1793;MI:794;KY:194;IL:95;GA:41;FL:36;AL:23;NC:19;SC:13,high
QFROUN1UWUYU0DVIWD51,,,,unmatched,75426,39534,4817,OH:12389;MI:6106;IN:4817;IL:4111;FL:3553;KY:3150;NC:2216;TN:971;SC:863;GA:691,high
549300MGPZBLQDIL7538,,,,unmatched,103697,74450,3665,TX:7468;AZ:4724;IL:4215;IN:3665;GA:3631;FL:3153;NC:2993;WI:2947;CA:2867;OH:2685,high
S0Q3AHZRL5K6VQE35M07,,,,unmatched,8529,5621,3248,IN:3248;MI:1861;OH:327;IL:50;FL:50;AZ:10;TN:8;SC:8;GA:6;NC:6,high
54930077D8KXQADF5Q23,,,,unmatched,5859,4603,3231,IN:3231;MI:559;OH:423;TN:262;VA:46;FL:36;KY:20;IL:13;NC:3;CO:2,medium
7H6GLXDRUGQFU57RNE97,,,,unmatched,152415,94243,2857,CA:14032;TX:9775;NY:9163;IL:8778;FL:6131;OH:4171;NJ:3325;MI:2995;AZ:2864;IN:2857,high
MV4O55SH8HO6KQSGW013,,,,unmatched,10539,7073,2821,OH:2850;IN:2821;KY:1239;IL:95;FL:31;MI:9;SC:7;NC:6;TN:5;GA:2,high
AD6GFRVSDT01YPT1CS68,,,,unmatched,116536,61280,2802,PA:11263;OH:6725;NJ:5755;IL:3711;FL:3475;MD:2948;TX:2930;MI:2885;IN:2802;CA:2688,high
549300AT7EB9FJAF0E61,,,,unmatched,16759,10956,2746,IN:2746;IL:2207;MN:1877;MI:1211;TN:999;WI:824;KY:489;ND:135;FL:59;IA:55,high
549300LYRWPSYPK6S325,,,,unmatched,165453,69982,2580,TX:5759;FL:5374;NC:4463;GA:3946;CA:3918;VA:3646;IN:2580;OH:2477;TN:2436;SC:2168,high
2WHM8VNJH63UN14OL754,,,,unmatched,90347,51203,2547,OH:24819;MI:10932;IL:4352;IN:2547;PA:1812;MN:1707;WV:1148;KY:903;CO:675;WI:664,high
549300ZBBGOL4MIK0L71,,,,unmatched,3555,2584,2448,IN:2448;OH:113;MI:12;FL:11,medium
549300S99IK3EU11AS13,,,,unmatched,3520,2406,2387,IN:2387;KY:16;FL:2;GA:1,medium
549300RPOGWJRH63HS39,,,,unmatched,51423,37767,2257,OH:5380;MI:4118;TX:3238;FL:2495;IN:2257;NC:2127;PA:1934;IL:1655;TN:1404;KY:1069,high
549300SXT4VBB68QCC26,,,,unmatched,3662,2387,2255,IN:2255;MI:121;IL:2;GA:2;NC:2;TX:1;OH:1;CO:1;VA:1;TN:1,medium
5493007LUU2DLS755O60,,,,unmatched,3115,2292,2206,IN:2206;KY:36;NY:22;FL:8;PA:6;NC:4;AL:2;MI:2;IA:2;WI:1,medium
5493002JDOI3GTNVUD76,,,,unmatched,5006,3698,2053,IN:2053;KY:1097;OH:515;IL:13;TN:9;FL:3;MI:2;AL:1;MO:1;ID:1,medium
P7GC0W65KB5CEIHLDX81,,,,unmatched,4057,2798,1994,IN:1994;MI:770;IL:18;FL:8;OH:2;AZ:2;KY:2;TN:1;DC:1,medium
549300H3IZO24NSOO931,,,,unmatched,77363,56951,1952,TX:15642;FL:10692;CA:6607;NC:2756;SC:2694;AZ:2623;IN:1952;NV:1669;MN:1365;CO:1283,high
54930072OCHTUJOZQB56,,,,unmatched,7424,5784,1919,IN:1919;KY:1771;TN:641;GA:214;FL:211;CO:151;NC:94;SC:94;MS:90;IL:86,high
549300SKTBTC2QFDKG02,,,,unmatched,2857,1890,1853,IN:1853;MI:16;IL:11;FL:9;OH:1,medium
8Q77SW3KZ88P3GNX0T60,,,,unmatched,2433,1870,1813,IN:1813;MI:44;FL:8;UT:2;IL:1;OH:1;TN:1,medium
LCUAWMT4M5H8DJ8DFH49,,,,unmatched,2825,1930,1724,IN:1724;MI:174;FL:22;IL:8;AZ:2,medium
549300HFBEONQN2CK447,,,,unmatched,10072,8105,1546,OH:5594;IN:1546;PA:550;KY:178;FL:127;CA:14;MI:12;TN:12;NC:10;SC:9,high
5493000YNV8IX4VD3X12,,,,unmatched,121666,19996,1449,NC:2515;SC:2449;TX:2045;GA:1956;TN:1509;IN:1449;AL:1426;KY:1150;FL:844;OH:738,high
549300S4PNXPKYHHRE82,,,,unmatched,2150,1423,1423,IN:1423,medium
549300NZWZUYUWEOA562,,,,unmatched,1994,1409,1212,IN:1212;FL:24;CO:18;NC:16;IL:14;MI:13;GA:10;VA:8;MD:7;TX:7,medium
254900F3ZV3WV1ADSM47,,,,unmatched,1625,1219,1209,IN:1209;FL:4;MI:3;IL:2;OH:1,medium
549300U7UH8QCS8WQ406,,,,unmatched,1579,1220,1121,IN:1121;FL:15;OH:14;MI:10;GA:9;IL:9;NC:5;MO:5;SC:4;MN:4,medium
