year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,KS,549300FGXN1K3HLB1R50,,5378,3859,20091:876; 20173:629; 20177:269; 20209:219; 20045:209,2718,768,373,0,0,70.43,19.9,9.67,national
2025,KS,5493002QRULT2T40BH09,,3575,2521,20091:1962; 20209:270; 20103:104; 20121:63; 20045:32,2433,62,25,1,0,96.51,2.46,0.99,national
2025,KS,549300MGPZBLQDIL7538,,2396,1876,20091:870; 20177:231; 20173:149; 20045:123; 20209:91,1345,287,216,28,0,71.7,15.3,11.51,national
2025,KS,549300HW662MN1WU8550,,2545,1838,20091:500; 20173:373; 20209:174; 20177:124; 20103:105,910,394,529,5,0,49.51,21.44,28.78,national
2025,KS,549300C61LNGA8J8EF85,,1873,1384,20091:625; 20173:249; 20177:187; 20209:87; 20045:82,1382,0,2,0,0,99.86,0.0,0.14,national
2025,KS,549300DD5QQUHO6PCH70,,2389,1308,20173:285; 20061:145; 20091:89; 20177:82; 20103:80,60,50,1197,1,0,4.59,3.82,91.51,national
2025,KS,RVDPPPGHCGZ40J4VQ731,,2103,1217,20173:325; 20091:296; 20177:85; 20015:51; 20209:49,618,358,235,6,0,50.78,29.42,19.31,national
2025,KS,549300LXKO1O7CSK5J52,,1478,1216,20177:245; 20173:181; 20091:159; 20037:133; 20021:116,670,321,96,129,0,55.1,26.4,7.89,national
2025,KS,549300AQ3T62GXDU7D76,,1556,1155,20173:552; 20091:145; 20209:78; 20015:65; 20103:41,706,285,125,39,0,61.13,24.68,10.82,national
2025,KS,549300RRQHIHHM9I4K21,,1935,1143,20173:811; 20009:78; 20015:72; 20155:32; 20191:19,1139,4,0,0,0,99.65,0.35,0.0,national
2025,KS,54930091IM32ECQG7562,,1284,1134,20173:419; 20113:190; 20155:179; 20009:80; 20079:77,1129,0,0,5,0,99.56,0.0,0.0,national
2025,KS,549300MUMD1WPCSXT518,,1048,889,20015:168; 20035:106; 20125:94; 20173:93; 20037:86,845,18,4,22,0,95.05,2.02,0.45,national
2025,KS,549300O0SJ54M4D70R54,,1087,852,20173:644; 20015:76; 20155:24; 20191:19; 20079:19,852,0,0,0,0,100.0,0.0,0.0,national
2025,KS,549300L9MOPDT0NKE883,,1102,805,20173:546; 20091:112; 20015:54; 20191:16; 20121:15,722,50,32,1,0,89.69,6.21,3.98,national
2025,KS,6BYL5QZYBDK8S7L73M02,,1534,772,20091:338; 20177:102; 20209:73; 20173:61; 20045:47,728,24,18,2,0,94.3,3.11,2.33,national
2025,KS,7DMUJTL9FFTVIAG9H788,,1383,751,20091:377; 20173:98; 20045:43; 20209:40; 20103:34,728,16,3,4,0,96.94,2.13,0.4,national
2025,KS,COINQMNIM6RBU631DD85,,1062,735,20091:468; 20037:43; 20209:41; 20021:32; 20173:29,685,32,15,3,0,93.2,4.35,2.04,national
2025,KS,549300FV8093AKDLHQ80,,1039,712,20177:520; 20045:57; 20139:32; 20087:30; 20085:17,712,0,0,0,0,100.0,0.0,0.0,national
2025,KS,8AI385EP1ZJCMUOZ8022,,875,700,20057:106; 20161:90; 20177:73; 20009:70; 20091:67,508,70,59,63,0,72.57,10.0,8.43,national
2025,KS,549300LYRWPSYPK6S325,,1491,697,20173:150; 20091:114; 20103:54; 20177:44; 20209:39,74,266,357,0,0,10.62,38.16,51.22,national
2025,KS,549300C1ICNCM0V37Y02,,606,606,20091:404; 20103:65; 20209:65; 20121:29; 20107:7,523,45,35,3,0,86.3,7.43,5.78,national
2025,KS,D32W5EBLENJC27207O81,,1014,598,20173:378; 20015:76; 20001:23; 20045:22; 20115:15,598,0,0,0,0,100.0,0.0,0.0,national
2025,KS,549300LBCBNR1OT00651,,864,593,20091:194; 20173:106; 20209:39; 20177:35; 20045:28,492,50,51,0,0,82.97,8.43,8.6,national
2025,KS,549300CRPIDBSEMEY066,,891,581,20173:212; 20155:209; 20079:51; 20015:21; 20159:13,581,0,0,0,0,100.0,0.0,0.0,national
2025,KS,B4TYDEB6GKMZO031MB27,,1342,578,20091:316; 20173:109; 20209:29; 20177:22; 20045:20,569,7,2,0,0,98.44,1.21,0.35,national
2025,KS,549300VZVN841I2ILS84,,797,576,20091:361; 20209:34; 20103:23; 20061:18; 20173:18,402,76,95,3,0,69.79,13.19,16.49,national
2025,KS,54930034MNPILHP25H80,,661,533,20173:300; 20015:73; 20113:35; 20115:19; 20079:15,382,105,33,13,0,71.67,19.7,6.19,national
2025,KS,549300214PKB2Y1ZWH75,,567,524,20045:219; 20091:127; 20059:49; 20177:36; 20121:19,524,0,0,0,0,100.0,0.0,0.0,national
2025,KS,5493003GQDUH26DNNH17,,981,515,20091:122; 20173:79; 20103:42; 20061:40; 20177:31,312,0,203,0,0,60.58,0.0,39.42,national
2025,KS,VNOO6EITDJ2YUEBMSZ83,,758,496,20091:326; 20209:45; 20173:23; 20045:13; 20011:12,484,7,3,2,0,97.58,1.41,0.6,national
2025,KS,549300LG5340S24M4N89,,665,495,20173:368; 20015:51; 20045:11; 20155:9; 20079:8,495,0,0,0,0,100.0,0.0,0.0,national
2025,KS,549300IXP5DNWSGY6F96,,746,473,20173:291; 20015:62; 20091:37; 20079:29; 20061:12,460,0,13,0,0,97.25,0.0,2.75,national
2025,KS,549300121SF0K2LN2804,,584,461,20091:141; 20173:42; 20209:35; 20045:32; 20103:30,311,83,57,10,0,67.46,18.0,12.36,national
2025,KS,549300AG64NHILB7ZP05,,878,450,20091:92; 20173:89; 20177:33; 20209:30; 20015:27,283,120,45,2,0,62.89,26.67,10.0,national
2025,KS,213800XR2TCBQJSF1X93,,610,430,20091:295; 20173:26; 20103:24; 20209:19; 20177:13,365,22,43,0,0,84.88,5.12,10.0,national
2025,KS,5493003P55WOWIBVUF09,,696,430,20055:86; 20051:74; 20173:45; 20175:29; 20067:21,412,0,0,18,0,95.81,0.0,0.0,national
2025,KS,549300T7AIY7RU1YDP31,,555,423,20177:121; 20111:73; 20169:55; 20045:43; 20091:37,274,104,39,6,0,64.78,24.59,9.22,national
2025,KS,549300TJF420N3F01V87,,609,409,20173:85; 20091:47; 20175:38; 20051:26; 20037:19,404,5,0,0,0,98.78,1.22,0.0,national
2025,KS,549300UFWBQTD1W41E26,,682,405,20091:263; 20209:60; 20103:27; 20045:27; 20121:13,405,0,0,0,0,100.0,0.0,0.0,national
2025,KS,549300FNXYY540N23N64,,1069,392,20173:96; 20091:96; 20209:24; 20177:20; 20103:18,195,73,119,5,0,49.74,18.62,30.36,national
2025,KS,5493000NYUJT9UC6G261,,551,382,20091:120; 20177:63; 20173:40; 20209:39; 20103:19,239,106,26,11,0,62.57,27.75,6.81,national
2025,KS,254900TTZ395IC926125,,482,368,20173:263; 20015:43; 20091:18; 20035:12; 20079:6,231,96,25,16,0,62.77,26.09,6.79,national
2025,KS,549300UF3FPC7U6RFC59,,541,353,20091:180; 20209:61; 20045:40; 20173:24; 20103:12,305,33,13,2,0,86.4,9.35,3.68,national
2025,KS,549300WYBPIWKK6SQC06,,459,352,20091:154; 20045:60; 20209:42; 20177:23; 20059:21,281,44,26,1,0,79.83,12.5,7.39,national
2025,KS,54930021WPEXNHYZUL09,,413,348,20173:197; 20015:40; 20091:19; 20079:9; 20177:9,116,156,74,2,0,33.33,44.83,21.26,national
2025,KS,9845001DAE89414CBB55,,1006,335,20173:108; 20209:64; 20177:50; 20161:41; 20091:32,335,0,0,0,0,100.0,0.0,0.0,national
2025,KS,5493008JUW0FLRMO0W64,,390,321,20091:171; 20209:45; 20045:36; 20169:24; 20103:13,238,66,15,2,0,74.14,20.56,4.67,national
2025,KS,LDVFX8JEECFFE8HRWA73,,506,307,20091:208; 20209:55; 20103:19; 20121:6; 20045:5,299,4,1,3,0,97.39,1.3,0.33,national
2025,KS,7H6GLXDRUGQFU57RNE97,,483,301,20091:121; 20173:42; 20209:35; 20015:10; 20045:10,282,14,5,0,0,93.69,4.65,1.66,national
2025,KS,254900RFZH9I62FGU045,,386,298,20173:130; 20155:36; 20209:36; 20091:27; 20015:15,175,90,27,6,0,58.72,30.2,9.06,national
2025,KS,549300RPOGWJRH63HS39,,416,294,20091:105; 20173:52; 20209:21; 20155:18; 20103:14,202,49,30,13,0,68.71,16.67,10.2,national
2025,KS,549300G5DUB6RE1MCL12,,335,281,20169:72; 20177:31; 20173:29; 20143:28; 20029:23,281,0,0,0,0,100.0,0.0,0.0,national
2025,KS,5493005PKOSG7MYX0B34,,387,280,20091:207; 20209:25; 20103:14; 20045:12; 20121:7,225,33,21,1,0,80.36,11.79,7.5,national
2025,KS,549300E2UX99HKDBR481,,847,278,20091:45; 20173:44; 20103:17; 20177:17; 20121:16,128,125,21,4,0,46.04,44.96,7.55,national
2025,KS,254900UL88QFG0E40516,,562,251,20091:77; 20173:52; 20209:14; 20103:12; 20177:11,251,0,0,0,0,100.0,0.0,0.0,national
2025,KS,549300YIQ7S7Z8PIHE53,,998,251,20091:47; 20173:39; 20209:21; 20177:14; 20103:11,166,74,11,0,0,66.14,29.48,4.38,national
2025,KS,5493001GDRY0EL7VG372,,304,243,20091:112; 20173:67; 20209:17; 20151:8; 20103:6,174,45,20,4,0,71.6,18.52,8.23,national
2025,KS,5493009SXBJ8LKIU7Q54,,362,242,20177:188; 20091:21; 20209:7; 20045:6; 20139:6,242,0,0,0,0,100.0,0.0,0.0,national
2025,KS,549300IY6RZNCBF0QZ14,,253,238,20177:169; 20131:22; 20103:13; 20091:6; 20197:5,238,0,0,0,0,100.0,0.0,0.0,national
2025,KS,54930052M48FOD3CWA54,,304,237,20155:109; 20145:27; 20079:17; 20113:16; 20173:14,117,88,22,10,0,49.37,37.13,9.28,national
2025,KS,549300KR4ZW8KJC82O47,,254,224,20161:121; 20149:29; 20091:29; 20103:8; 20061:7,184,10,30,0,0,82.14,4.46,13.39,national
2025,KS,3Y4U8VZURTYWI1W2K376,,484,223,20091:82; 20173:43; 20079:21; 20059:11; 20035:7,218,4,1,0,0,97.76,1.79,0.45,national
2025,KS,549300PIL8LFAQ04XC20,,725,222,20091:80; 20173:38; 20103:14; 20045:13; 20209:11,222,0,0,0,0,100.0,0.0,0.0,national
2025,KS,2549008TT6UNYR7AXF54,,333,218,20173:47; 20045:27; 20051:23; 20091:19; 20057:18,153,50,9,6,0,70.18,22.94,4.13,national
2025,KS,549300SPHVO4KAGQUX53,,227,211,20155:119; 20173:62; 20079:10; 20015:4; 20113:4,211,0,0,0,0,100.0,0.0,0.0,national
2025,KS,254900PCN2EQDRMIHV68,,392,205,20029:21; 20051:14; 20133:11; 20177:11; 20169:10,48,89,18,50,0,23.41,43.41,8.78,national
2025,KS,5493006VAGP3GQ8FJT49,,422,205,20209:83; 20091:67; 20045:14; 20173:12; 20121:9,205,0,0,0,0,100.0,0.0,0.0,national
2025,KS,549300OPCWU6E72WUT29,,335,204,20091:88; 20173:25; 20209:9; 20177:9; 20059:7,108,76,19,1,0,52.94,37.25,9.31,national
2025,KS,5493001GCBD5XGNIC815,,826,202,20091:62; 20173:36; 20045:10; 20121:7; 20177:7,202,0,0,0,0,100.0,0.0,0.0,national
2025,KS,549300JMT2KAYN9PTX82,,334,202,20173:86; 20155:20; 20111:11; 20079:11; 20177:10,12,150,32,8,0,5.94,74.26,15.84,national
2025,KS,C5654JQHZUHN0772B561,,406,202,20173:42; 20091:27; 20103:16; 20161:14; 20061:12,54,0,148,0,0,26.73,0.0,73.27,national
2025,KS,FU7RSW4CQQY98A2O7J66,,360,200,20209:69; 20091:67; 20173:24; 20177:8; 20001:6,176,21,2,1,0,88.0,10.5,1.0,national
