year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,KY,21001,,254900MQ4O1DX3N88207,,45,34,6,23.13,45,0,0,0,0,34,0,0,0,0,national
2025,KY,21001,,549300QR0KFPEDZPEI42,,23,15,3,10.2,4,9,2,8,0,1,5,2,7,0,national
2025,KY,21001,,549300FGXN1K3HLB1R50,,15,9,4,6.12,9,6,0,0,0,7,2,0,0,0,national
2025,KY,21001,,549300HW662MN1WU8550,,12,8,1,5.44,6,2,4,0,0,3,2,3,0,0,national
2025,KY,21001,,549300DD5QQUHO6PCH70,,16,7,5,4.76,1,1,14,0,0,1,1,5,0,0,national
2025,KY,21001,,254900LEJ4HP6RMWD374,,14,6,4,4.08,14,0,0,0,0,6,0,0,0,0,national
2025,KY,21001,,549300REENMLD2RN3W58,,7,6,0,4.08,2,2,1,2,0,1,2,1,2,0,national
2025,KY,21001,,549300JCW11CIGH8GJ60,,5,4,1,2.72,5,0,0,0,0,4,0,0,0,0,national
2025,KY,21001,,54930020VWE4K0ME5605,,6,3,2,2.04,6,0,0,0,0,3,0,0,0,0,national
2025,KY,21001,,5493006JISETNI0GLE61,,3,3,0,2.04,3,0,0,0,0,3,0,0,0,0,national
2025,KY,21001,,549300GKFNPRWNS0GF29,,4,3,0,2.04,1,2,0,1,0,0,2,0,1,0,national
2025,KY,21001,,549300RGUEWNDH44ES51,,4,3,0,2.04,3,1,0,0,0,2,1,0,0,0,national
2025,KY,21001,,549300UXY7OP0IC38293,,3,3,0,2.04,2,1,0,0,0,2,1,0,0,0,national
2025,KY,21001,,5493000YNV8IX4VD3X12,,30,2,11,1.36,30,0,0,0,0,2,0,0,0,0,national
2025,KY,21001,,549300JYXTZDSPJEPI44,,2,2,0,1.36,1,1,0,0,0,1,1,0,0,0,national
2025,KY,21001,,549300OYEKEORA1GI088,,4,2,2,1.36,0,4,0,0,0,0,2,0,0,0,national
2025,KY,21001,,6BYL5QZYBDK8S7L73M02,,4,2,1,1.36,4,0,0,0,0,2,0,0,0,0,national
2025,KY,21001,,25490066WMF8ZMQXQB18,,1,1,0,0.68,1,0,0,0,0,1,0,0,0,0,national
2025,KY,21001,,254900HEJ9F73IMPX887,,1,1,0,0.68,0,1,0,0,0,0,1,0,0,0,national
2025,KY,21001,,254900MHHOS58M9D0445,,1,1,0,0.68,1,0,0,0,0,1,0,0,0,0,national
2025,KY,21001,,254900WEP08K7U7S3A80,,1,1,0,0.68,0,0,1,0,0,0,0,1,0,0,national
2025,KY,21001,,254900ZFWS2106HWPH46,,1,1,0,0.68,0,1,0,0,0,0,1,0,0,0,national
2025,KY,21001,,2WHM8VNJH63UN14OL754,,1,1,0,0.68,1,0,0,0,0,1,0,0,0,0,national
