year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,LA,22001,,549300HW662MN1WU8550,,69,55,6,7.63,22,34,10,3,0,20,27,6,2,0,national
2025,LA,22001,,549300M4E3MK3F5GQW40,,46,45,0,6.24,46,0,0,0,0,45,0,0,0,0,national
2025,LA,22001,,549300FGXN1K3HLB1R50,,56,43,12,5.96,39,16,1,0,0,31,11,1,0,0,national
2025,LA,22001,,5493001SXWZ4OFP8Z903,,60,35,12,4.85,7,32,3,18,0,1,16,2,16,0,national
2025,LA,22001,,549300J24Z0NH1T4DR15,,46,34,3,4.72,46,0,0,0,0,34,0,0,0,0,national
2025,LA,22001,,549300MCPCNPQAOB4032,,45,29,0,4.02,35,7,1,2,0,20,6,1,2,0,national
2025,LA,22001,,549300FJ9SHI3GDB7327,,30,25,2,3.47,30,0,0,0,0,25,0,0,0,0,national
2025,LA,22001,,549300K4ZLGS7SRDTL86,,29,21,2,2.91,0,16,0,13,0,0,11,0,10,0,national
2025,LA,22001,,5493002B2WMHY23GFK92,,21,19,0,2.64,7,11,1,2,0,7,9,1,2,0,national
2025,LA,22001,,549300XQVJ1XBNFA5536,,114,19,48,2.64,114,0,0,0,0,19,0,0,0,0,national
2025,LA,22001,,549300CB67L6KPJLHE19,,75,15,31,2.08,75,0,0,0,0,15,0,0,0,0,national
2025,LA,22001,,254900ZX1UPIG2E7TH11,,19,14,2,1.94,6,4,2,7,0,4,3,1,6,0,national
2025,LA,22001,,254900ZFWS2106HWPH46,,13,11,0,1.53,3,5,0,5,0,2,5,0,4,0,national
2025,LA,22001,,5493000YNV8IX4VD3X12,,79,11,33,1.53,79,0,0,0,0,11,0,0,0,0,national
2025,LA,22001,,549300DD5QQUHO6PCH70,,26,11,5,1.53,3,2,21,0,0,0,0,11,0,0,national
2025,LA,22001,,549300KIOYNU323LVJ37,,14,11,1,1.53,3,2,2,7,0,3,1,2,5,0,national
2025,LA,22001,,549300RPOGWJRH63HS39,,13,11,0,1.53,7,2,0,4,0,6,2,0,3,0,national
2025,LA,22001,,549300YBDQ281GX1LB13,,16,11,1,1.53,16,0,0,0,0,11,0,0,0,0,national
2025,LA,22001,,254900R51FSMCPO6HB07,,10,10,0,1.39,10,0,0,0,0,10,0,0,0,0,national
2025,LA,22001,,549300DG3IV05V4C4E03,,17,10,0,1.39,4,6,2,5,0,2,4,1,3,0,national
2025,LA,22001,,549300DISOL963J03Q15,,12,10,1,1.39,12,0,0,0,0,10,0,0,0,0,national
2025,LA,22001,,549300FNXYY540N23N64,,16,10,2,1.39,6,4,3,3,0,2,2,3,3,0,national
2025,LA,22001,,549300II7Y8V2KY9TM28,,20,10,5,1.39,20,0,0,0,0,10,0,0,0,0,national
2025,LA,22001,,549300Q2Y7B8UEC43S54,,10,10,0,1.39,10,0,0,0,0,10,0,0,0,0,national
2025,LA,22001,,549300R7HGHP2I754087,,12,10,0,1.39,0,6,2,4,0,0,5,2,3,0,national
2025,LA,22001,,549300RP00N9TM7RLE66,,10,10,0,1.39,10,0,0,0,0,10,0,0,0,0,national
2025,LA,22001,,COOWI3L2W9TPYR3WJX37,,18,10,6,1.39,15,2,1,0,0,8,2,0,0,0,national
2025,LA,22001,,NSGZD26XPW2CUM2JKU70,,14,9,4,1.25,9,2,1,2,0,7,1,0,1,0,national
2025,LA,22001,,549300R0SXC1JU7ZU290,,10,8,1,1.11,2,0,0,8,0,2,0,0,6,0,national
2025,LA,22001,,549300LBCBNR1OT00651,,8,7,1,0.97,7,0,1,0,0,6,0,1,0,0,national
2025,LA,22001,,549300RO0FORROX83086,,15,7,4,0.97,15,0,0,0,0,7,0,0,0,0,national
2025,LA,22001,,7H6GLXDRUGQFU57RNE97,,13,7,2,0.97,12,1,0,0,0,7,0,0,0,0,national
2025,LA,22001,,254900DTLHVWQ7NP7R34,,8,6,1,0.83,7,0,0,1,0,5,0,0,1,0,national
2025,LA,22001,,5493001GDRY0EL7VG372,,8,6,0,0.83,1,6,0,1,0,0,5,0,1,0,national
2025,LA,22001,,549300AG64NHILB7ZP05,,20,6,12,0.83,15,4,1,0,0,4,1,1,0,0,national
2025,LA,22001,,54930020YWIK7HGH2R34,,5,5,0,0.69,4,0,0,1,0,4,0,0,1,0,national
2025,LA,22001,,5493002F9OWLKRICTY67,,7,5,0,0.69,3,3,1,0,0,2,2,1,0,0,national
2025,LA,22001,,54930045J8O98TUGTW86,,5,5,0,0.69,5,0,0,0,0,5,0,0,0,0,national
2025,LA,22001,,54930049L5WINET09Q97,,11,5,1,0.69,1,4,0,6,0,1,2,0,2,0,national
2025,LA,22001,,54930052M48FOD3CWA54,,6,5,0,0.69,3,2,1,0,0,2,2,1,0,0,national
2025,LA,22001,,549300E8WNDXIPI7FA49,,6,5,0,0.69,6,0,0,0,0,5,0,0,0,0,national
2025,LA,22001,,549300LYRWPSYPK6S325,,9,5,1,0.69,2,4,3,0,0,0,2,3,0,0,national
2025,LA,22001,,549300MZ8VZJOVC63092,,7,5,0,0.69,4,3,0,0,0,3,2,0,0,0,national
2025,LA,22001,,549300RN01LBYR8ZVX74,,7,5,1,0.69,5,1,1,0,0,4,1,0,0,0,national
2025,LA,22001,,54930082VCNY40XPOB62,,4,4,0,0.55,4,0,0,0,0,4,0,0,0,0,national
2025,LA,22001,,549300KNRT5UGNCSXM31,,6,4,2,0.55,6,0,0,0,0,4,0,0,0,0,national
2025,LA,22001,,549300PIL8LFAQ04XC20,,8,4,3,0.55,8,0,0,0,0,4,0,0,0,0,national
2025,LA,22001,,5493000V86JDJLM0OV13,,3,3,0,0.42,3,0,0,0,0,3,0,0,0,0,national
2025,LA,22001,,5493001F7QT2YW3K8D98,,3,3,0,0.42,1,2,0,0,0,1,2,0,0,0,national
2025,LA,22001,,549300333JQWIP8NLK67,,5,3,2,0.42,5,0,0,0,0,3,0,0,0,0,national
2025,LA,22001,,549300AQ3T62GXDU7D76,,4,3,0,0.42,2,1,0,1,0,1,1,0,1,0,national
2025,LA,22001,,549300IB375I8TZ2FA87,,4,3,1,0.42,4,0,0,0,0,3,0,0,0,0,national
2025,LA,22001,,549300LE3ZOZXUS7W648,,11,3,2,0.42,5,3,1,2,0,1,1,0,1,0,national
2025,LA,22001,,549300R9S3MVDV4MGF56,,7,3,2,0.42,4,3,0,0,0,1,2,0,0,0,national
2025,LA,22001,,RVDPPPGHCGZ40J4VQ731,,10,3,0,0.42,4,5,1,0,0,1,1,1,0,0,national
2025,LA,22001,,25490058TX0QV62WQ461,,3,2,1,0.28,3,0,0,0,0,2,0,0,0,0,national
2025,LA,22001,,25490066WMF8ZMQXQB18,,3,2,1,0.28,3,0,0,0,0,2,0,0,0,0,national
2025,LA,22001,,254900HA4DQWAE0W3342,,3,2,0,0.28,0,3,0,0,0,0,2,0,0,0,national
2025,LA,22001,,254900UL88QFG0E40516,,5,2,3,0.28,5,0,0,0,0,2,0,0,0,0,national
2025,LA,22001,,5493001WHVQBGRSWEU75,,3,2,1,0.28,3,0,0,0,0,2,0,0,0,0,national
