year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,MA,25017,Middlesex,45045,29145,6149,13.65,18533,15357,11155,41.14,34.09,42362,1900,776,7,0,94.04,4.22,1.72,27735,946,460,4,0,95.16,3.25,1.58,yes
2025,MA,25027,,29844,18621,4501,15.08,12114,10504,7226,40.59,35.2,25119,3351,1322,52,0,84.17,11.23,4.43,15970,1869,743,39,0,85.76,10.04,3.99,yes
2025,MA,25009,,25079,15571,4326,17.25,9196,8759,7124,36.67,34.93,22369,2139,561,10,0,89.19,8.53,2.24,14083,1173,307,8,0,90.44,7.53,1.97,yes
2025,MA,25021,,22413,14224,3545,15.82,8617,7763,6033,38.45,34.64,20876,1060,470,7,0,93.14,4.73,2.1,13391,558,269,6,0,94.14,3.92,1.89,yes
2025,MA,25023,,20939,12861,3742,17.87,7213,7627,6099,34.45,36.42,17879,2190,853,17,0,85.39,10.46,4.07,11138,1209,505,9,0,86.6,9.4,3.93,yes
2025,MA,25005,,18486,11411,3256,17.61,6592,6924,4970,35.66,37.46,15103,2595,775,13,0,81.7,14.04,4.19,9458,1490,454,9,0,82.88,13.06,3.98,yes
2025,MA,25025,,16610,9625,3206,19.3,7670,5356,3584,46.18,32.25,15548,727,331,4,0,93.61,4.38,1.99,9126,317,179,3,0,94.82,3.29,1.86,yes
2025,MA,25013,,14497,9025,2405,16.59,6192,4735,3570,42.71,32.66,11136,2323,858,180,0,76.82,16.02,5.92,7059,1348,491,127,0,78.22,14.94,5.44,yes
2025,MA,25001,,11520,7248,1949,16.92,3942,4088,3490,34.22,35.49,10565,646,304,5,0,91.71,5.61,2.64,6730,342,172,4,0,92.85,4.72,2.37,yes
2025,MA,25003,,4411,2729,702,15.91,2046,1073,1292,46.38,24.33,3828,403,171,9,0,86.78,9.14,3.88,2444,210,72,3,0,89.56,7.7,2.64,yes
2025,MA,25015,,3912,2628,467,11.94,1535,1125,1252,39.24,28.76,3516,235,156,5,0,89.88,6.01,3.99,2386,143,95,4,0,90.79,5.44,3.61,yes
2025,MA,25011,,2020,1260,276,13.66,881,545,594,43.61,26.98,1689,199,125,7,0,83.61,9.85,6.19,1082,99,73,6,0,85.87,7.86,5.79,yes
2025,MA,25007,,896,514,166,18.53,283,337,276,31.58,37.61,865,25,6,0,0,96.54,2.79,0.67,502,11,1,0,0,97.67,2.14,0.19,yes
2025,MA,25019,,724,413,150,20.72,283,215,226,39.09,29.7,715,3,6,0,0,98.76,0.41,0.83,409,2,2,0,0,99.03,0.48,0.48,yes
