year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,MA,DRMSV1Q0EKMEXLAU1P80,,17476,10235,Middlesex:2576; 25021:1655; 25023:1225; 25009:1020; 25005:858,10184,46,5,0,0,99.5,0.45,0.05,yes
2025,MA,549300FGXN1K3HLB1R50,,8879,6590,Middlesex:1235; 25027:1154; 25023:743; 25009:742; 25021:706,5670,659,261,0,0,86.04,10.0,3.96,yes
2025,MA,549300FK3AFCFVAPH234,,5937,4926,Middlesex:1710; 25021:760; 25025:656; 25009:594; 25027:428,4832,55,39,0,0,98.09,1.12,0.79,yes
2025,MA,549300U3721PJGQZYY68,,7311,4507,Middlesex:1505; 25009:795; 25021:500; 25027:467; 25025:442,3901,424,178,4,0,86.55,9.41,3.95,yes
2025,MA,549300HW662MN1WU8550,,5898,4404,25027:779; Middlesex:701; 25005:696; 25023:502; 25009:493,2895,1138,364,7,0,65.74,25.84,8.27,yes
2025,MA,549300VZVN841I2ILS84,,5634,3923,Middlesex:1077; 25009:763; 25027:485; 25025:439; 25021:395,3399,423,99,2,0,86.64,10.78,2.52,yes
2025,MA,X8V2II80XTQHRH7NCB19,,6216,3620,Middlesex:935; 25009:810; 25023:564; 25021:422; 25025:420,3607,12,1,0,0,99.64,0.33,0.03,yes
2025,MA,B4TYDEB6GKMZO031MB27,,7784,3551,Middlesex:1033; 25021:569; 25009:409; 25023:331; 25027:329,3544,6,1,0,0,99.8,0.17,0.03,yes
2025,MA,TKT6FH38184ZYBTPKS77,,5990,3239,25023:871; 25021:523; Middlesex:464; 25001:358; 25005:298,3213,20,6,0,0,99.2,0.62,0.19,yes
2025,MA,549300GKFNPRWNS0GF29,,3404,2329,25013:478; 25027:351; Middlesex:316; 25021:243; 25023:238,1661,389,96,183,0,71.32,16.7,4.12,yes
2025,MA,549300AQ3T62GXDU7D76,,3089,2282,25005:446; 25027:424; Middlesex:280; 25003:230; 25021:201,1772,416,87,7,0,77.65,18.23,3.81,yes
2025,MA,03D0JEWFDFUS0SEEKG89,,3778,1975,Middlesex:512; 25009:377; 25027:219; 25021:184; 25013:179,1971,3,1,0,0,99.8,0.15,0.05,yes
2025,MA,5493007XQ02VMXYJYJ21,,2840,1955,25001:1476; 25023:238; 25019:93; 25007:62; 25021:23,1932,23,0,0,0,98.82,1.18,0.0,yes
2025,MA,549300MGPZBLQDIL7538,,2740,1954,25027:341; Middlesex:334; 25013:333; 25021:226; 25023:189,1661,234,59,0,0,85.01,11.98,3.02,yes
2025,MA,549300AG64NHILB7ZP05,,2933,1900,25023:497; 25005:245; 25027:236; Middlesex:226; 25009:175,1453,324,123,0,0,76.47,17.05,6.47,yes
2025,MA,549300JPGMCMBEJEK584,,3461,1769,25027:652; Middlesex:611; 25009:206; 25021:109; 25023:64,1769,0,0,0,0,100.0,0.0,0.0,yes
2025,MA,WWB2V0FCW3A0EE3ZJN75,,2606,1690,Middlesex:425; 25009:253; 25013:248; 25025:203; 25021:191,1650,32,8,0,0,97.63,1.89,0.47,yes
2025,MA,549300DD4R4SYK5RAQ92,,1862,1412,Middlesex:414; 25027:172; 25009:168; 25021:131; 25023:129,1218,137,57,0,0,86.26,9.7,4.04,yes
2025,MA,549300N38Q5YKSSV1106,,1770,1399,25027:242; Middlesex:236; 25009:225; 25015:152; 25013:132,1371,23,5,0,0,98.0,1.64,0.36,yes
2025,MA,549300VJQJVZKJBDWS17,,1799,1361,25027:382; Middlesex:187; 25009:184; 25023:159; 25005:155,999,324,38,0,0,73.4,23.81,2.79,yes
2025,MA,RVDPPPGHCGZ40J4VQ731,,2555,1315,25027:225; 25023:206; Middlesex:195; 25005:140; 25009:123,878,285,152,0,0,66.77,21.67,11.56,yes
2025,MA,7H6GLXDRUGQFU57RNE97,,2022,1248,Middlesex:363; 25021:201; 25025:170; 25009:126; 25027:94,1239,7,2,0,0,99.28,0.56,0.16,yes
2025,MA,549300H8H31LPYGJEW50,,1525,1194,25009:426; Middlesex:341; 25025:117; 25027:98; 25021:78,1109,69,16,0,0,92.88,5.78,1.34,yes
