year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,MD,24001,,549300RYBJHWWDENV610,,176,142,4,12.48,76,61,9,30,0,63,49,6,24,0,national
2025,MD,24001,,2549007WBD70RLDH1669,,147,123,5,10.81,147,0,0,0,0,123,0,0,0,0,national
2025,MD,24001,,549300FGXN1K3HLB1R50,,130,86,30,7.56,93,29,8,0,0,64,16,6,0,0,national
2025,MD,24001,,549300T82SC9BPCIU410,,98,78,7,6.85,98,0,0,0,0,78,0,0,0,0,national
2025,MD,24001,,WWB2V0FCW3A0EE3ZJN75,,118,76,31,6.68,109,9,0,0,0,70,6,0,0,0,national
2025,MD,24001,,549300G54QPXQLB4KN58,,65,53,4,4.66,63,0,0,2,0,52,0,0,1,0,national
2025,MD,24001,,549300AY1W8F91VLTB05,,79,38,32,3.34,75,4,0,0,0,37,1,0,0,0,national
2025,MD,24001,,549300HW662MN1WU8550,,53,36,8,3.16,17,21,15,0,0,12,14,10,0,0,national
2025,MD,24001,,JJKC32MCHWDI71265Z06,,57,35,19,3.08,54,2,0,1,0,33,1,0,1,0,national
2025,MD,24001,,549300MSU5WVAU4ZN645,,54,34,9,2.99,50,4,0,0,0,32,2,0,0,0,national
2025,MD,24001,,549300DD5QQUHO6PCH70,,52,25,12,2.2,10,1,39,2,0,3,1,20,1,0,national
2025,MD,24001,,254900FE6QJXGH3VIA90,,33,24,3,2.11,33,0,0,0,0,24,0,0,0,0,national
2025,MD,24001,,549300LYRWPSYPK6S325,,44,24,5,2.11,3,24,17,0,0,2,13,9,0,0,national
2025,MD,24001,,549300LBCBNR1OT00651,,21,18,0,1.58,16,2,3,0,0,15,1,2,0,0,national
2025,MD,24001,,549300RPOGWJRH63HS39,,25,17,4,1.49,7,14,3,1,0,6,10,0,1,0,national
2025,MD,24001,,5493003GQDUH26DNNH17,,24,12,3,1.05,21,0,3,0,0,9,0,3,0,0,national
2025,MD,24001,,549300VZVN841I2ILS84,,19,12,1,1.05,7,8,2,2,0,3,6,2,1,0,national
2025,MD,24001,,RVDPPPGHCGZ40J4VQ731,,30,12,4,1.05,13,15,2,0,0,6,5,1,0,0,national
2025,MD,24001,,5493001WHVQBGRSWEU75,,13,10,2,0.88,2,8,2,1,0,2,5,2,1,0,national
2025,MD,24001,,254900UL88QFG0E40516,,21,9,7,0.79,21,0,0,0,0,9,0,0,0,0,national
2025,MD,24001,,549300D1PL8LHKCBST97,,9,9,0,0.79,9,0,0,0,0,9,0,0,0,0,national
2025,MD,24001,,254900ZUMZZ6CZKH7X17,,8,8,0,0.7,8,0,0,0,0,8,0,0,0,0,national
2025,MD,24001,,549300CV1BZKP1QUDZ13,,9,8,0,0.7,4,2,1,2,0,4,2,0,2,0,national
2025,MD,24001,,549300AG64NHILB7ZP05,,17,7,5,0.62,9,5,3,0,0,4,3,0,0,0,national
2025,MD,24001,,549300BWFA5UY7H4WJ62,,7,7,0,0.62,2,1,1,3,0,2,1,1,3,0,national
2025,MD,24001,,549300YIQ7S7Z8PIHE53,,32,7,22,0.62,21,10,1,0,0,6,0,1,0,0,national
2025,MD,24001,,5493003V40VGM7YDFM54,,11,6,1,0.53,1,7,0,3,0,1,3,0,2,0,national
2025,MD,24001,,5493006VAGP3GQ8FJT49,,10,6,3,0.53,10,0,0,0,0,6,0,0,0,0,national
2025,MD,24001,,549300E2UX99HKDBR481,,25,6,3,0.53,5,18,1,1,0,1,3,1,1,0,national
2025,MD,24001,,549300FNXYY540N23N64,,15,6,0,0.53,11,2,2,0,0,5,0,1,0,0,national
2025,MD,24001,,549300MCIFZSDHUT8X63,,9,6,0,0.53,6,3,0,0,0,3,3,0,0,0,national
2025,MD,24001,,5493001GCBD5XGNIC815,,23,5,0,0.44,23,0,0,0,0,5,0,0,0,0,national
2025,MD,24001,,549300DNWSJUNAWUM003,,12,5,3,0.44,10,2,0,0,0,5,0,0,0,0,national
2025,MD,24001,,549300GPO6DWUZR4UY30,,7,5,0,0.44,6,1,0,0,0,4,1,0,0,0,national
2025,MD,24001,,DRMSV1Q0EKMEXLAU1P80,,9,5,4,0.44,8,1,0,0,0,5,0,0,0,0,national
2025,MD,24001,,254900RUCO27MVGTO768,,8,4,0,0.35,8,0,0,0,0,4,0,0,0,0,national
2025,MD,24001,,5493005R34FLBMCPWB41,,5,4,0,0.35,2,2,0,1,0,2,1,0,1,0,national
2025,MD,24001,,549300DMYENRV818D594,,5,4,0,0.35,5,0,0,0,0,4,0,0,0,0,national
2025,MD,24001,,549300GCEUZLVML1J263,,4,4,0,0.35,1,3,0,0,0,1,3,0,0,0,national
2025,MD,24001,,549300J6N77Q8OHYNF23,,6,4,0,0.35,5,0,1,0,0,3,0,1,0,0,national
2025,MD,24001,,549300R9S3MVDV4MGF56,,16,4,11,0.35,4,12,0,0,0,1,3,0,0,0,national
2025,MD,24001,,549300SK2GVCQXPD4S58,,5,4,0,0.35,1,4,0,0,0,1,3,0,0,0,national
2025,MD,24001,,AD6GFRVSDT01YPT1CS68,,11,4,4,0.35,11,0,0,0,0,4,0,0,0,0,national
2025,MD,24001,,213800QUAI2VH5YM6310,,3,3,0,0.26,1,2,0,0,0,1,2,0,0,0,national
2025,MD,24001,,25490066WMF8ZMQXQB18,,3,3,0,0.26,3,0,0,0,0,3,0,0,0,0,national
2025,MD,24001,,54930021WPEXNHYZUL09,,3,3,0,0.26,1,2,0,0,0,1,2,0,0,0,national
2025,MD,24001,,549300370QILXLFUWD20,,4,3,0,0.26,3,1,0,0,0,3,0,0,0,0,national
2025,MD,24001,,54930049L5WINET09Q97,,5,3,2,0.26,3,2,0,0,0,2,1,0,0,0,national
2025,MD,24001,,54930052M48FOD3CWA54,,4,3,0,0.26,4,0,0,0,0,3,0,0,0,0,national
2025,MD,24001,,54930091JQKCU3Z6IP44,,6,3,1,0.26,6,0,0,0,0,3,0,0,0,0,national
2025,MD,24001,,54930095UWUUXAWASB02,,5,3,0,0.26,4,1,0,0,0,2,1,0,0,0,national
2025,MD,24001,,5493009HFRW3TN5NRR78,,3,3,0,0.26,3,0,0,0,0,3,0,0,0,0,national
2025,MD,24001,,549300G2LV8W3C1G3762,,3,3,0,0.26,0,3,0,0,0,0,3,0,0,0,national
2025,MD,24001,,549300I0ICF6REKHOC74,,3,3,0,0.26,2,1,0,0,0,2,1,0,0,0,national
2025,MD,24001,,549300PIL8LFAQ04XC20,,10,3,5,0.26,10,0,0,0,0,3,0,0,0,0,national
2025,MD,24001,,549300VCMRO4ST680C11,,6,3,0,0.26,0,3,1,2,0,0,1,1,1,0,national
2025,MD,24001,,549300YW2UBCMDRMBT48,,3,3,0,0.26,2,1,0,0,0,2,1,0,0,0,national
2025,MD,24001,,KB1H1DSPRFMYMCUFXT09,,9,3,5,0.26,8,1,0,0,0,3,0,0,0,0,national
2025,MD,24001,,2549005Q4HZ55QX7YC64,,2,2,0,0.18,2,0,0,0,0,2,0,0,0,0,national
2025,MD,24001,,254900CTT87ZKAUTIJ37,,5,2,2,0.18,5,0,0,0,0,2,0,0,0,0,national
2025,MD,24001,,254900EDYO1UYWLWP146,,2,2,0,0.18,2,0,0,0,0,2,0,0,0,0,national
2025,MD,24001,,254900O2K17TNH5CL873,,2,2,0,0.18,2,0,0,0,0,2,0,0,0,0,national
2025,MD,24001,,54930009M8OIJWECQX81,,2,2,0,0.18,1,1,0,0,0,1,1,0,0,0,national
2025,MD,24001,,549300121SF0K2LN2804,,4,2,0,0.18,2,2,0,0,0,1,1,0,0,0,national
2025,MD,24001,,5493002RKLPCGAVLNC16,,3,2,0,0.18,3,0,0,0,0,2,0,0,0,0,national
2025,MD,24001,,54930030Z1JWTP3SVD16,,2,2,0,0.18,0,2,0,0,0,0,2,0,0,0,national
2025,MD,24001,,54930039UO39UJGI7078,,3,2,0,0.18,2,0,0,1,0,2,0,0,0,0,national
2025,MD,24001,,5493005CFFMKTUKLO381,,2,2,0,0.18,2,0,0,0,0,2,0,0,0,0,national
2025,MD,24001,,5493005PKOSG7MYX0B34,,3,2,0,0.18,2,1,0,0,0,2,0,0,0,0,national
2025,MD,24001,,54930078TNN7GKZ7NU89,,2,2,0,0.18,1,1,0,0,0,1,1,0,0,0,national
2025,MD,24001,,5493008CPTDVOS570626,,6,2,4,0.18,6,0,0,0,0,2,0,0,0,0,national
2025,MD,24001,,549300BTTR873E71L054,,5,2,2,0.18,3,2,0,0,0,1,1,0,0,0,national
2025,MD,24001,,549300KIOYNU323LVJ37,,4,2,0,0.18,3,1,0,0,0,1,1,0,0,0,national
2025,MD,24001,,549300KNZ6E1MM7RQQ04,,2,2,0,0.18,2,0,0,0,0,2,0,0,0,0,national
2025,MD,24001,,549300R0SXC1JU7ZU290,,2,2,0,0.18,0,0,1,1,0,0,0,1,1,0,national
2025,MD,24001,,549300SUCQ1358EGVE89,,20,2,3,0.18,0,1,19,0,0,0,0,2,0,0,national
2025,MD,24001,,549300UR5AOWTJJ7KZ64,,2,2,0,0.18,2,0,0,0,0,2,0,0,0,0,national
2025,MD,24001,,549300ZTT08EKQRVTR15,,2,2,0,0.18,2,0,0,0,0,2,0,0,0,0,national
2025,MD,24001,,7H6GLXDRUGQFU57RNE97,,7,2,3,0.18,7,0,0,0,0,2,0,0,0,0,national
2025,MD,24001,,C5654JQHZUHN0772B561,,6,2,2,0.18,1,0,5,0,0,0,0,2,0,0,national
2025,MD,24001,,SS1TRMSN6BRNMOREEV51,,2,2,0,0.18,2,0,0,0,0,2,0,0,0,0,national
2025,MD,24001,,213800KVD76WKI6PN868,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,213800XR2TCBQJSF1X93,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,254900BDGU9FU91PQA51,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,254900HEJ9F73IMPX887,,2,1,0,0.09,2,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,254900UEITST3NEK8Y27,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,254900WTZC5SSKIN2M11,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,2WHM8VNJH63UN14OL754,,1,1,0,0.09,0,1,0,0,0,0,1,0,0,0,national
2025,MD,24001,,54930001NSTOD85LT125,,2,1,0,0.09,2,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,5493001GDRY0EL7VG372,,1,1,0,0.09,0,1,0,0,0,0,1,0,0,0,national
2025,MD,24001,,5493001XKL0FTNOJ0866,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,5493002B3KWBDNOTY262,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,5493002Z2Z7DV758IU60,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,54930043BMDE130FJ617,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,5493005PD34O8ZT7QT17,,2,1,0,0.09,2,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,54930060KLIQD8MMSB55,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,54930080168VA6Z8UX21,,3,1,2,0.09,3,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,5493009D2COWW65B8673,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300A5HHOL2ED18C72,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300AG10BX85DF5S49,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300ALNLUNS3Y53T24,,3,1,0,0.09,2,1,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300AQ3T62GXDU7D76,,3,1,0,0.09,1,1,1,0,0,0,1,0,0,0,national
2025,MD,24001,,549300C8GOC4OYUV0Z32,,4,1,0,0.09,4,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300CB67L6KPJLHE19,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300DYB1ZT3UOGPL20,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300GKFNPRWNS0GF29,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300H12E7AUMUHP294,,1,1,0,0.09,0,1,0,0,0,0,1,0,0,0,national
2025,MD,24001,,549300IYR2K45YQJGV33,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300KPBZCTMM3Y0061,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300MGPZBLQDIL7538,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300NOCASXPA34X033,,2,1,1,0.09,0,2,0,0,0,0,1,0,0,0,national
2025,MD,24001,,549300NT030LXB2A8T82,,1,1,0,0.09,0,0,1,0,0,0,0,1,0,0,national
2025,MD,24001,,549300ODM8A5T4RHPY32,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300OGIGNKGO2DX942,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300OPCWU6E72WUT29,,4,1,2,0.09,0,4,0,0,0,0,1,0,0,0,national
2025,MD,24001,,549300OS8C7J7ZWMNL70,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300PEWJWBNEOSS013,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300QCYEU2QLIWN517,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300RD5IG88VPO6P22,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300RM1IZYGQDSNL85,,1,1,0,0.09,0,0,1,0,0,0,0,1,0,0,national
2025,MD,24001,,549300RN01LBYR8ZVX74,,1,1,0,0.09,0,1,0,0,0,0,1,0,0,0,national
2025,MD,24001,,549300RYTR2RVL4SFJ90,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300SWKVL60SKWK981,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300T9P3WXNMXX0I34,,2,1,0,0.09,2,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300TMY3OACQC9U777,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300U3721PJGQZYY68,,4,1,1,0.09,3,1,0,0,0,0,1,0,0,0,national
2025,MD,24001,,549300UG7QXKM7KGV847,,3,1,1,0.09,2,1,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300VORTI31GZTJL53,,1,1,0,0.09,0,1,0,0,0,0,1,0,0,0,national
2025,MD,24001,,549300XQVJ1XBNFA5536,,7,1,1,0.09,7,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,549300XY701IELCE5Q08,,6,1,1,0.09,5,0,1,0,0,1,0,0,0,0,national
2025,MD,24001,,549300ZPSJZO10ZAX556,,2,1,0,0.09,2,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,6BYL5QZYBDK8S7L73M02,,10,1,9,0.09,10,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,DZC62HF6UIZYJ08V1J90,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,HIDXEG9BLUJZKBGUT764,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,PAOOWF3GUFM46FBSP561,,3,1,0,0.09,1,1,1,0,0,0,0,1,0,0,national
2025,MD,24001,,QFROUN1UWUYU0DVIWD51,,1,1,0,0.09,1,0,0,0,0,1,0,0,0,0,national
2025,MD,24001,,5493000YNV8IX4VD3X12,,8,0,6,0.0,8,0,0,0,0,0,0,0,0,0,national
