year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,ME,23001,,549300AQ3T62GXDU7D76,,297,234,16,9.15,185,95,10,7,0,148,74,7,5,0,national
2025,ME,23001,,549300HW662MN1WU8550,,234,183,21,7.16,121,79,34,0,0,100,53,30,0,0,national
2025,ME,23001,,549300FGXN1K3HLB1R50,,234,153,52,5.99,161,47,26,0,0,107,25,21,0,0,national
2025,ME,23001,,549300JEBULFT3BSU682,,209,143,43,5.59,188,16,2,3,0,125,13,2,3,0,national
2025,ME,23001,,5493001JAQD8VVV8SM40,,205,136,41,5.32,205,0,0,0,0,136,0,0,0,0,national
2025,ME,23001,,549300GKFNPRWNS0GF29,,202,133,10,5.2,125,61,15,1,0,84,41,7,1,0,national
2025,ME,23001,,549300HK8HC6F50IC896,,110,85,17,3.33,110,0,0,0,0,85,0,0,0,0,national
2025,ME,23001,,549300VMVKSQE1B7DD43,,97,68,17,2.66,91,4,2,0,0,63,3,2,0,0,national
2025,ME,23001,,549300HIQFQDTNNY6967,,69,67,1,2.62,69,0,0,0,0,67,0,0,0,0,national
2025,ME,23001,,549300GTVXJ2PGXNLM73,,77,66,3,2.58,47,26,4,0,0,40,22,4,0,0,national
2025,ME,23001,,549300S32ZDD67D2FB46,,87,64,11,2.5,86,0,0,1,0,63,0,0,1,0,national
2025,ME,23001,,549300E2QBYW1NW41140,,89,55,16,2.15,89,0,0,0,0,55,0,0,0,0,national
2025,ME,23001,,549300LYRWPSYPK6S325,,104,54,9,2.11,10,59,35,0,0,3,29,22,0,0,national
2025,ME,23001,,03D0JEWFDFUS0SEEKG89,,94,53,18,2.07,94,0,0,0,0,53,0,0,0,0,national
2025,ME,23001,,549300DDRY04AJC3ZZ52,,52,46,0,1.8,49,2,0,1,0,44,1,0,1,0,national
2025,ME,23001,,549300ZZME37MXI1EF14,,58,46,3,1.8,25,25,7,1,0,22,16,7,1,0,national
2025,ME,23001,,549300DD5QQUHO6PCH70,,71,35,8,1.37,5,4,62,0,0,2,2,31,0,0,national
2025,ME,23001,,254900CEBR2F5Y0F1A15,,49,33,5,1.29,49,0,0,0,0,33,0,0,0,0,national
2025,ME,23001,,RVDPPPGHCGZ40J4VQ731,,83,33,17,1.29,49,27,7,0,0,16,14,3,0,0,national
2025,ME,23001,,5493009JEKX81THMLH86,,62,32,13,1.25,62,0,0,0,0,32,0,0,0,0,national
2025,ME,23001,,549300VZVN841I2ILS84,,45,32,1,1.25,21,21,3,0,0,16,15,1,0,0,national
2025,ME,23001,,549300JI0UWY4QIWDV89,,40,30,2,1.17,24,13,2,1,0,21,8,1,0,0,national
2025,ME,23001,,254900ZFWS2106HWPH46,,41,28,1,1.1,21,20,0,0,0,12,16,0,0,0,national
2025,ME,23001,,549300LBCBNR1OT00651,,40,27,5,1.06,36,3,1,0,0,25,1,1,0,0,national
2025,ME,23001,,549300U3721PJGQZYY68,,51,26,2,1.02,37,12,2,0,0,17,8,1,0,0,national
2025,ME,23001,,549300BKCQISE9PR4J88,,35,25,3,0.98,35,0,0,0,0,25,0,0,0,0,national
2025,ME,23001,,549300DE8TS4EYTPX729,,31,25,0,0.98,16,5,10,0,0,13,4,8,0,0,national
2025,ME,23001,,254900OC69XWBZ2A8244,,29,24,1,0.94,29,0,0,0,0,24,0,0,0,0,national
2025,ME,23001,,549300AG64NHILB7ZP05,,54,24,21,0.94,36,16,2,0,0,16,7,1,0,0,national
2025,ME,23001,,549300E2UX99HKDBR481,,77,24,10,0.94,33,36,8,0,0,13,8,3,0,0,national
2025,ME,23001,,549300H89M6KDLFKMQ19,,32,23,5,0.9,23,8,0,1,0,16,7,0,0,0,national
2025,ME,23001,,549300VJQJVZKJBDWS17,,37,21,2,0.82,21,11,5,0,0,11,7,3,0,0,national
2025,ME,23001,,5493003GQDUH26DNNH17,,38,20,7,0.78,28,0,10,0,0,16,0,4,0,0,national
2025,ME,23001,,549300FNXYY540N23N64,,68,19,15,0.74,40,19,9,0,0,11,5,3,0,0,national
2025,ME,23001,,HUX2X73FUCYHUVH1BK78,,29,19,6,0.74,29,0,0,0,0,19,0,0,0,0,national
2025,ME,23001,,254900PP57SEJJCWLI44,,24,17,7,0.67,24,0,0,0,0,17,0,0,0,0,national
2025,ME,23001,,54930064FQE21RHEG647,,19,17,2,0.67,19,0,0,0,0,17,0,0,0,0,national
2025,ME,23001,,549300U3NIUGN9OO4407,,20,14,2,0.55,20,0,0,0,0,14,0,0,0,0,national
2025,ME,23001,,549300DAUXQ2DCY4H838,,15,13,0,0.51,8,5,2,0,0,7,5,1,0,0,national
2025,ME,23001,,549300WKFR15017V9850,,26,13,3,0.51,8,13,5,0,0,4,5,4,0,0,national
2025,ME,23001,,254900UL88QFG0E40516,,27,12,9,0.47,27,0,0,0,0,12,0,0,0,0,national
2025,ME,23001,,549300MGPZBLQDIL7538,,17,12,1,0.47,6,9,1,1,0,4,7,1,0,0,national
2025,ME,23001,,549300F8C5JA44WNMI75,,15,10,0,0.39,10,4,0,1,0,6,3,0,1,0,national
2025,ME,23001,,549300SVSM8JMOZJXF07,,16,10,2,0.39,16,0,0,0,0,10,0,0,0,0,national
2025,ME,23001,,5493001GCBD5XGNIC815,,51,9,1,0.35,51,0,0,0,0,9,0,0,0,0,national
2025,ME,23001,,5493001LCNCF6Z3ZQ632,,18,9,8,0.35,18,0,0,0,0,9,0,0,0,0,national
2025,ME,23001,,5493000NYUJT9UC6G261,,9,8,0,0.31,7,1,1,0,0,6,1,1,0,0,national
2025,ME,23001,,5493001WHVQBGRSWEU75,,9,8,1,0.31,6,2,1,0,0,6,1,1,0,0,national
2025,ME,23001,,549300OPCWU6E72WUT29,,15,8,4,0.31,6,7,2,0,0,3,5,0,0,0,national
2025,ME,23001,,549300YIQ7S7Z8PIHE53,,44,8,34,0.31,29,11,4,0,0,5,2,1,0,0,national
2025,ME,23001,,B4TYDEB6GKMZO031MB27,,30,8,12,0.31,30,0,0,0,0,8,0,0,0,0,national
2025,ME,23001,,C5654JQHZUHN0772B561,,16,8,6,0.31,7,0,9,0,0,3,0,5,0,0,national
2025,ME,23001,,DRMSV1Q0EKMEXLAU1P80,,15,8,4,0.31,15,0,0,0,0,8,0,0,0,0,national
2025,ME,23001,,2549001SI0EMFPT39035,,10,7,0,0.27,8,2,0,0,0,5,2,0,0,0,national
2025,ME,23001,,54930054ET8KM4O1D485,,18,7,2,0.27,15,1,2,0,0,6,0,1,0,0,national
2025,ME,23001,,549300DRA4BDXW23LD45,,7,7,0,0.27,6,1,0,0,0,6,1,0,0,0,national
2025,ME,23001,,549300HNQDVXN8569N58,,9,7,2,0.27,9,0,0,0,0,7,0,0,0,0,national
2025,ME,23001,,549300LGD38SS4PVFC71,,7,7,0,0.27,7,0,0,0,0,7,0,0,0,0,national
2025,ME,23001,,549300BX448ALT10FI43,,13,6,1,0.23,1,2,10,0,0,1,0,5,0,0,national
2025,ME,23001,,549300DD4R4SYK5RAQ92,,7,6,0,0.23,6,1,0,0,0,5,1,0,0,0,national
2025,ME,23001,,549300SUCQ1358EGVE89,,20,6,4,0.23,0,1,19,0,0,0,0,6,0,0,national
2025,ME,23001,,254900378RFGMBEKAF12,,15,5,8,0.2,15,0,0,0,0,5,0,0,0,0,national
2025,ME,23001,,5493002J7RM1JLAXN553,,6,5,0,0.2,6,0,0,0,0,5,0,0,0,0,national
2025,ME,23001,,54930070JV4STJJ0XS74,,12,5,6,0.2,12,0,0,0,0,5,0,0,0,0,national
2025,ME,23001,,549300DQMFK1KT7KEB48,,5,5,0,0.2,5,0,0,0,0,5,0,0,0,0,national
2025,ME,23001,,549300NOCASXPA34X033,,42,5,20,0.2,9,29,4,0,0,1,4,0,0,0,national
2025,ME,23001,,549300P0GXZAWI355052,,5,5,0,0.2,5,0,0,0,0,5,0,0,0,0,national
2025,ME,23001,,549300PIL8LFAQ04XC20,,28,5,16,0.2,28,0,0,0,0,5,0,0,0,0,national
2025,ME,23001,,549300R9S3MVDV4MGF56,,23,5,8,0.2,13,9,1,0,0,3,2,0,0,0,national
2025,ME,23001,,549300ZDIZM7Y1MHKG98,,10,5,1,0.2,10,0,0,0,0,5,0,0,0,0,national
2025,ME,23001,,54930083VRKEK3SXZJ31,,7,4,3,0.16,6,0,0,1,0,3,0,0,1,0,national
2025,ME,23001,,549300J6N77Q8OHYNF23,,7,4,0,0.16,6,0,1,0,0,3,0,1,0,0,national
2025,ME,23001,,549300R77W0P105C3S50,,6,4,2,0.16,6,0,0,0,0,4,0,0,0,0,national
2025,ME,23001,,549300RN01LBYR8ZVX74,,13,4,2,0.16,2,6,5,0,0,0,2,2,0,0,national
2025,ME,23001,,549300VCMRO4ST680C11,,11,4,4,0.16,0,4,7,0,0,0,0,4,0,0,national
2025,ME,23001,,6BYL5QZYBDK8S7L73M02,,11,4,4,0.16,10,1,0,0,0,4,0,0,0,0,national
2025,ME,23001,,7H6GLXDRUGQFU57RNE97,,15,4,3,0.16,13,2,0,0,0,3,1,0,0,0,national
2025,ME,23001,,2549002U96ZPEAFKGZ11,,3,3,0,0.12,3,0,0,0,0,3,0,0,0,0,national
2025,ME,23001,,254900QH6Q6RHDLHEC77,,6,3,3,0.12,6,0,0,0,0,3,0,0,0,0,national
2025,ME,23001,,549300121SF0K2LN2804,,3,3,0,0.12,2,0,1,0,0,2,0,1,0,0,national
2025,ME,23001,,5493001GDRY0EL7VG372,,5,3,0,0.12,3,2,0,0,0,1,2,0,0,0,national
2025,ME,23001,,54930021WPEXNHYZUL09,,3,3,0,0.12,1,2,0,0,0,1,2,0,0,0,national
2025,ME,23001,,5493002B2WMHY23GFK92,,4,3,0,0.12,2,1,1,0,0,1,1,1,0,0,national
2025,ME,23001,,549300370QILXLFUWD20,,4,3,0,0.12,3,1,0,0,0,3,0,0,0,0,national
2025,ME,23001,,54930052M48FOD3CWA54,,7,3,1,0.12,4,3,0,0,0,1,2,0,0,0,national
2025,ME,23001,,5493008KJFFG6PYZ5914,,4,3,0,0.12,4,0,0,0,0,3,0,0,0,0,national
2025,ME,23001,,549300ALNLUNS3Y53T24,,12,3,2,0.12,5,6,1,0,0,1,2,0,0,0,national
2025,ME,23001,,549300DK2AEMKCO4JZ92,,5,3,0,0.12,5,0,0,0,0,3,0,0,0,0,national
2025,ME,23001,,549300EMNDEK4BA8WB53,,3,3,0,0.12,3,0,0,0,0,3,0,0,0,0,national
2025,ME,23001,,549300GCEUZLVML1J263,,3,3,0,0.12,3,0,0,0,0,3,0,0,0,0,national
