year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,ME,549300JEBULFT3BSU682,,4518,3199,23005:838; 23019:613; 23031:357; 23011:213; 23027:163,2968,144,35,52,0,92.78,4.5,1.09,national
2025,ME,549300HW662MN1WU8550,,2675,2077,23005:583; 23031:452; 23019:230; 23001:183; 23011:163,1317,417,342,1,0,63.41,20.08,16.47,national
2025,ME,549300VMVKSQE1B7DD43,,2559,1794,23005:300; 23031:273; 23013:182; 23011:175; 23009:164,1695,60,29,10,0,94.48,3.34,1.62,national
2025,ME,549300FGXN1K3HLB1R50,,2649,1775,23005:305; 23031:299; 23019:215; 23011:159; 23001:153,1346,284,145,0,0,75.83,16.0,8.17,national
2025,ME,549300GKFNPRWNS0GF29,,2230,1507,23031:568; 23005:300; 23001:133; 23017:102; 23019:91,1103,243,116,45,0,73.19,16.12,7.7,national
2025,ME,549300AQ3T62GXDU7D76,,1838,1347,23005:368; 23001:234; 23011:222; 23031:169; 23017:92,900,362,67,18,0,66.82,26.87,4.97,national
2025,ME,254900CEBR2F5Y0F1A15,,1496,1145,23011:770; 23005:82; 23025:76; 23015:35; 23001:33,1145,0,0,0,0,100.0,0.0,0.0,national
2025,ME,5493002J7RM1JLAXN553,,909,721,23015:206; 23013:154; 23009:117; 23027:65; 23019:59,712,0,3,6,0,98.75,0.0,0.42,national
2025,ME,03D0JEWFDFUS0SEEKG89,,1244,699,23005:277; 23031:120; 23001:53; 23019:49; 23017:37,696,3,0,0,0,99.57,0.43,0.0,national
2025,ME,549300BKCQISE9PR4J88,,935,648,23005:394; 23031:187; 23001:25; 23013:9; 23011:7,648,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300S32ZDD67D2FB46,,928,618,23005:266; 23017:173; 23001:64; 23031:58; 23023:20,614,0,0,4,0,99.35,0.0,0.0,national
2025,ME,549300HK8HC6F50IC896,,812,595,23005:244; 23031:185; 23001:85; 23017:24; 23011:19,595,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300ZDIZM7Y1MHKG98,,888,561,23019:321; 23009:100; 23027:36; 23021:25; 23011:22,561,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300P0GXZAWI355052,,837,551,23003:166; 23029:128; 23019:103; 23009:87; 23005:14,516,0,0,35,0,93.65,0.0,0.0,national
2025,ME,54930064FQE21RHEG647,,756,542,23005:409; 23031:70; 23017:20; 23001:17; 23023:8,542,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300DD5QQUHO6PCH70,,1104,507,23019:77; 23011:60; 23031:58; 23003:41; 23025:37,41,24,442,0,0,8.09,4.73,87.18,national
2025,ME,254900PP57SEJJCWLI44,,645,446,23011:232; 23005:42; 23013:34; 23025:29; 23027:21,446,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300VZVN841I2ILS84,,601,398,23005:158; 23031:89; 23001:32; 23011:22; 23017:22,298,75,21,4,0,74.87,18.84,5.28,national
2025,ME,5493009JEKX81THMLH86,,653,394,23031:219; 23005:77; 23023:33; 23001:32; 23011:14,394,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300MGPZBLQDIL7538,,517,390,23013:95; 23011:66; 23031:37; 23027:35; 23005:34,246,81,47,16,0,63.08,20.77,12.05,national
2025,ME,549300E2UX99HKDBR481,,876,387,23005:167; 23031:62; 23001:24; 23011:20; 23017:14,291,81,15,0,0,75.19,20.93,3.88,national
2025,ME,549300DDRY04AJC3ZZ52,,456,375,23005:185; 23001:46; 23011:38; 23031:33; 23023:23,365,4,4,2,0,97.33,1.07,1.07,national
2025,ME,549300AG64NHILB7ZP05,,660,353,23031:80; 23005:74; 23019:29; 23001:24; 23011:24,241,61,51,0,0,68.27,17.28,14.45,national
2025,ME,549300LYRWPSYPK6S325,,749,346,23031:68; 23001:54; 23019:50; 23011:40; 23005:35,38,140,168,0,0,10.98,40.46,48.55,national
2025,ME,549300JI0UWY4QIWDV89,,431,343,23031:102; 23005:91; 23011:37; 23001:30; 23017:18,237,77,18,11,0,69.1,22.45,5.25,national
2025,ME,RVDPPPGHCGZ40J4VQ731,,654,339,23019:65; 23005:54; 23031:51; 23001:33; 23011:30,208,85,45,1,0,61.36,25.07,13.27,national
2025,ME,549300H89M6KDLFKMQ19,,481,329,23019:81; 23011:34; 23009:33; 23001:23; 23005:22,266,43,5,15,0,80.85,13.07,1.52,national
2025,ME,54930070JV4STJJ0XS74,,597,327,23031:246; 23005:39; 23017:21; 23001:5; 23011:3,327,0,0,0,0,100.0,0.0,0.0,national
2025,ME,5493003GQDUH26DNNH17,,621,314,23031:72; 23005:51; 23019:33; 23011:26; 23001:20,242,0,72,0,0,77.07,0.0,22.93,national
2025,ME,549300VJQJVZKJBDWS17,,465,313,23005:87; 23019:68; 23031:33; 23001:21; 23011:20,221,65,25,2,0,70.61,20.77,7.99,national
2025,ME,549300LBCBNR1OT00651,,437,296,23005:80; 23031:53; 23019:37; 23001:27; 23011:24,236,35,25,0,0,79.73,11.82,8.45,national
2025,ME,B4TYDEB6GKMZO031MB27,,712,283,23005:110; 23031:87; 23019:15; 23017:12; 23009:10,282,1,0,0,0,99.65,0.35,0.0,national
2025,ME,549300U3721PJGQZYY68,,500,277,23005:84; 23031:53; 23011:29; 23001:26; 23017:20,205,56,15,1,0,74.01,20.22,5.42,national
2025,ME,549300FNXYY540N23N64,,857,271,23031:50; 23005:41; 23003:33; 23019:31; 23011:24,163,44,58,6,0,60.15,16.24,21.4,national
2025,ME,5493003V0VOGJ2CI8520,,447,264,23031:255; 23005:8; 23023:1,264,0,0,0,0,100.0,0.0,0.0,national
2025,ME,254900378RFGMBEKAF12,,485,257,23005:144; 23031:47; 23019:33; 23011:7; 23001:5,257,0,0,0,0,100.0,0.0,0.0,national
2025,ME,DRMSV1Q0EKMEXLAU1P80,,412,255,23031:112; 23005:58; 23017:23; 23019:10; 23023:8,252,2,1,0,0,98.82,0.78,0.39,national
2025,ME,5493001JAQD8VVV8SM40,,349,240,23001:136; 23017:56; 23005:22; 23011:13; 23023:4,240,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300DK2AEMKCO4JZ92,,296,238,23031:193; 23005:22; 23023:5; 23011:3; 23001:3,237,0,1,0,0,99.58,0.0,0.42,national
2025,ME,549300U3NIUGN9OO4407,,310,230,23005:179; 23031:17; 23001:14; 23017:4; 23025:3,230,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300VR3QTN4GZYUR03,,361,223,23009:103; 23019:44; 23029:27; 23013:9; 23023:7,223,0,0,0,0,100.0,0.0,0.0,national
2025,ME,HUX2X73FUCYHUVH1BK78,,413,223,23005:48; 23019:37; 23003:33; 23001:19; 23031:18,216,1,6,0,0,96.86,0.45,2.69,national
2025,ME,549300LGD38SS4PVFC71,,272,220,23005:110; 23031:85; 23001:7; 23017:6; 23003:3,220,0,0,0,0,100.0,0.0,0.0,national
2025,ME,254900KPCI98XVKU8U39,,225,219,23003:90; 23019:90; 23009:22; 23029:4; 23025:3,219,0,0,0,0,100.0,0.0,0.0,national
2025,ME,5493000NYUJT9UC6G261,,260,215,23019:112; 23021:20; 23009:11; 23025:9; 23011:9,143,48,20,4,0,66.51,22.33,9.3,national
2025,ME,549300GTVXJ2PGXNLM73,,265,208,23001:66; 23011:43; 23017:25; 23007:17; 23005:13,115,75,18,0,0,55.29,36.06,8.65,national
2025,ME,5493008KJFFG6PYZ5914,,276,198,23031:102; 23005:79; 23001:3; 23017:2; 23007:2,198,0,0,0,0,100.0,0.0,0.0,national
2025,ME,6BYL5QZYBDK8S7L73M02,,334,197,23005:109; 23031:27; 23019:11; 23011:8; 23013:7,192,1,4,0,0,97.46,0.51,2.03,national
2025,ME,254900QH6Q6RHDLHEC77,,301,194,23019:73; 23005:40; 23007:15; 23031:14; 23011:11,188,0,0,6,0,96.91,0.0,0.0,national
2025,ME,549300SVSM8JMOZJXF07,,296,192,23005:91; 23023:45; 23015:24; 23001:10; 23031:7,188,0,0,4,0,97.92,0.0,0.0,national
2025,ME,54930083VRKEK3SXZJ31,,308,186,23025:57; 23007:55; 23011:26; 23019:11; 23021:7,174,0,0,12,0,93.55,0.0,0.0,national
2025,ME,254900199XCNE3LN5660,,366,185,23003:149; 23019:27; 23027:3; 23021:2; 23009:1,184,0,0,1,0,99.46,0.0,0.0,national
2025,ME,254900ZFWS2106HWPH46,,215,157,23005:65; 23031:42; 23001:28; 23011:5; 23019:4,101,47,9,0,0,64.33,29.94,5.73,national
2025,ME,549300YIQ7S7Z8PIHE53,,633,157,23031:35; 23011:23; 23019:23; 23005:19; 23027:9,125,28,4,0,0,79.62,17.83,2.55,national
2025,ME,549300PRPWWDL1RI5M21,,217,154,23003:91; 23019:29; 23005:14; 23031:5; 23009:3,153,0,0,1,0,99.35,0.0,0.0,national
2025,ME,WWB2V0FCW3A0EE3ZJN75,,250,151,23031:74; 23005:46; 23023:5; 23011:5; 23017:5,148,1,2,0,0,98.01,0.66,1.32,national
2025,ME,549300OPCWU6E72WUT29,,266,148,23005:31; 23031:24; 23019:15; 23011:12; 23001:8,53,88,7,0,0,35.81,59.46,4.73,national
2025,ME,7H6GLXDRUGQFU57RNE97,,279,148,23005:46; 23031:30; 23019:14; 23013:11; 23011:9,145,2,1,0,0,97.97,1.35,0.68,national
2025,ME,549300043MOZCJ4RK371,,189,143,23009:76; 23019:36; 23027:23; 23029:3; 23005:2,143,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300AKQUNB6HFB7W73,,140,139,23025:63; 23019:61; 23027:10; 23021:2; 23005:1,139,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300HNQDVXN8569N58,,184,134,23005:54; 23011:37; 23031:16; 23001:7; 23015:5,134,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300DE8TS4EYTPX729,,162,133,23005:34; 23001:25; 23031:23; 23011:18; 23023:13,95,16,22,0,0,71.43,12.03,16.54,national
2025,ME,254900P7WLDQD9IUL038,,203,126,23031:101; 23005:8; 23011:4; 23025:4; 23017:3,124,0,2,0,0,98.41,0.0,1.59,national
2025,ME,5493001WHVQBGRSWEU75,,161,122,23031:46; 23005:21; 23011:8; 23001:8; 23019:7,99,15,8,0,0,81.15,12.3,6.56,national
2025,ME,254900UL88QFG0E40516,,276,118,23031:25; 23005:20; 23019:15; 23001:12; 23017:9,118,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300ZZME37MXI1EF14,,149,116,23001:46; 23017:24; 23011:13; 23005:11; 23015:4,61,35,16,4,0,52.59,30.17,13.79,national
2025,ME,549300PIL8LFAQ04XC20,,424,112,23031:34; 23005:29; 23013:9; 23011:8; 23019:6,112,0,0,0,0,100.0,0.0,0.0,national
2025,ME,5493009SFPZZ40DZTK92,,220,107,23031:75; 23005:11; 23007:8; 23001:2; 23017:2,107,0,0,0,0,100.0,0.0,0.0,national
2025,ME,2549002U96ZPEAFKGZ11,,122,104,23015:48; 23023:39; 23005:9; 23001:3; 23011:2,104,0,0,0,0,100.0,0.0,0.0,national
2025,ME,5493001GCBD5XGNIC815,,511,102,23031:26; 23005:22; 23011:11; 23001:9; 23017:7,102,0,0,0,0,100.0,0.0,0.0,national
2025,ME,C5654JQHZUHN0772B561,,206,96,23005:19; 23019:12; 23011:10; 23031:8; 23001:8,41,0,55,0,0,42.71,0.0,57.29,national
2025,ME,549300DAUXQ2DCY4H838,,124,90,23031:24; 23005:18; 23011:13; 23001:13; 23007:4,58,22,7,3,0,64.44,24.44,7.78,national
2025,ME,549300HIQFQDTNNY6967,,94,88,23001:67; 23023:9; 23011:6; 23005:2; 23017:2,88,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300NOCASXPA34X033,,310,88,23031:21; 23005:14; 23019:11; 23011:9; 23017:7,32,36,20,0,0,36.36,40.91,22.73,national
2025,ME,549300MZ8VZJOVC63092,,118,83,23003:31; 23031:14; 23019:12; 23005:7; 23011:5,43,20,12,8,0,51.81,24.1,14.46,national
2025,ME,549300ZY55MYW2FNSA48,,84,80,23021:39; 23019:29; 23025:8; 23027:1; 23003:1,80,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300DD4R4SYK5RAQ92,,112,79,23031:34; 23011:8; 23001:6; 23005:6; 23017:5,59,11,8,1,0,74.68,13.92,10.13,national
2025,ME,549300RFLICNI75BG067,,116,79,23031:20; 23011:15; 23025:13; 23023:6; 23027:6,39,31,7,2,0,49.37,39.24,8.86,national
2025,ME,213800QUAI2VH5YM6310,,106,77,23005:27; 23019:18; 23031:16; 23011:6; 23029:3,56,15,5,1,0,72.73,19.48,6.49,national
2025,ME,549300SUCQ1358EGVE89,,294,77,23019:15; 23005:11; 23003:10; 23011:9; 23025:7,0,2,75,0,0,0.0,2.6,97.4,national
2025,ME,549300EMNDEK4BA8WB53,,86,76,23031:41; 23005:11; 23019:8; 23007:3; 23001:3,59,9,8,0,0,77.63,11.84,10.53,national
2025,ME,54930054ET8KM4O1D485,,288,75,23031:20; 23005:16; 23001:7; 23019:6; 23027:5,71,1,3,0,0,94.67,1.33,4.0,national
2025,ME,KB1H1DSPRFMYMCUFXT09,,131,72,23005:20; 23031:9; 23019:9; 23011:6; 23017:4,71,0,1,0,0,98.61,0.0,1.39,national
2025,ME,2549001SI0EMFPT39035,,90,70,23005:28; 23031:8; 23001:7; 23017:7; 23011:5,52,12,6,0,0,74.29,17.14,8.57,national
2025,ME,254900PZD34K8KYJD223,,79,68,23031:55; 23005:6; 23017:2; 23003:2; 23025:1,68,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300DQMFK1KT7KEB48,,73,68,23005:22; 23031:20; 23001:5; 23009:4; 23007:3,68,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300MINSIGQJB44L41,,91,68,23019:59; 23003:5; 23029:2; 23025:1; 23021:1,68,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300R9S3MVDV4MGF56,,207,68,23031:15; 23005:14; 23019:8; 23011:5; 23001:5,40,21,7,0,0,58.82,30.88,10.29,national
2025,ME,54930052M48FOD3CWA54,,98,67,23005:25; 23031:11; 23019:7; 23017:6; 23011:5,44,16,5,2,0,65.67,23.88,7.46,national
2025,ME,549300WKFR15017V9850,,96,66,23031:14; 23001:13; 23005:9; 23011:7; 23019:6,37,23,5,1,0,56.06,34.85,7.58,national
2025,ME,549300E2QBYW1NW41140,,117,65,23001:55; 23017:3; 23011:3; 23005:1; 23025:1,65,0,0,0,0,100.0,0.0,0.0,national
2025,ME,254900VVCX7PR9KDCK83,,82,64,23005:49; 23031:8; 23017:4; 23029:2; 23025:1,64,0,0,0,0,100.0,0.0,0.0,national
2025,ME,549300F8C5JA44WNMI75,,87,64,23031:18; 23005:17; 23001:10; 23019:4; 23011:3,47,9,7,1,0,73.44,14.06,10.94,national
