year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,MI,26001,,549300FGXN1K3HLB1R50,,74,43,20,17.0,43,18,13,0,0,27,7,9,0,0,national
2025,MI,26001,,549300HW662MN1WU8550,,34,29,3,11.46,24,7,3,0,0,22,6,1,0,0,national
2025,MI,26001,,2WHM8VNJH63UN14OL754,,27,15,7,5.93,24,3,0,0,0,13,2,0,0,0,national
2025,MI,26001,,549300DD5QQUHO6PCH70,,23,9,10,3.56,1,0,22,0,0,0,0,9,0,0,national
2025,MI,26001,,549300461TECLDDGNF98,,9,7,0,2.77,9,0,0,0,0,7,0,0,0,0,national
2025,MI,26001,,7H6GLXDRUGQFU57RNE97,,8,6,0,2.37,8,0,0,0,0,6,0,0,0,0,national
2025,MI,26001,,20TVKH7M13MUBGE80C53,,6,5,0,1.98,6,0,0,0,0,5,0,0,0,0,national
2025,MI,26001,,254900RNV63A0TIZNK90,,8,5,1,1.98,7,1,0,0,0,5,0,0,0,0,national
2025,MI,26001,,54930053SM8COVIPIY54,,7,5,1,1.98,7,0,0,0,0,5,0,0,0,0,national
2025,MI,26001,,5493007XQ4LU452LQJ67,,8,5,2,1.98,8,0,0,0,0,5,0,0,0,0,national
2025,MI,26001,,549300IWE0Y507LPF493,,8,5,0,1.98,7,0,1,0,0,4,0,1,0,0,national
2025,MI,26001,,549300QIUZLVR1OLDH55,,6,5,0,1.98,6,0,0,0,0,5,0,0,0,0,national
2025,MI,26001,,549300X4P2GHQNMZGO79,,8,5,0,1.98,8,0,0,0,0,5,0,0,0,0,national
2025,MI,26001,,2549001SI0EMFPT39035,,5,4,0,1.58,4,1,0,0,0,3,1,0,0,0,national
2025,MI,26001,,549300AQ3T62GXDU7D76,,4,4,0,1.58,2,1,1,0,0,2,1,1,0,0,national
2025,MI,26001,,549300K3VE61PXPZDV51,,5,4,0,1.58,4,0,0,1,0,3,0,0,1,0,national
2025,MI,26001,,DRMSV1Q0EKMEXLAU1P80,,11,4,3,1.58,11,0,0,0,0,4,0,0,0,0,national
2025,MI,26001,,254900JK3YLXUJEHMB45,,3,3,0,1.19,3,0,0,0,0,3,0,0,0,0,national
2025,MI,26001,,38CFVD4YYFWD1FV7IM34,,7,3,1,1.19,7,0,0,0,0,3,0,0,0,0,national
2025,MI,26001,,5493008NQVB5ZOWYNU83,,6,3,1,1.19,6,0,0,0,0,3,0,0,0,0,national
2025,MI,26001,,549300KQQRECSLK8ID57,,5,3,2,1.19,5,0,0,0,0,3,0,0,0,0,national
2025,MI,26001,,549300LBCBNR1OT00651,,4,3,0,1.19,2,0,2,0,0,1,0,2,0,0,national
2025,MI,26001,,549300YB1H2FRI6JPM51,,4,3,0,1.19,4,0,0,0,0,3,0,0,0,0,national
2025,MI,26001,,549300YIQ7S7Z8PIHE53,,7,3,4,1.19,5,2,0,0,0,3,0,0,0,0,national
2025,MI,26001,,AD6GFRVSDT01YPT1CS68,,7,3,1,1.19,5,1,0,1,0,3,0,0,0,0,national
2025,MI,26001,,5493008P6YO2KM3EO556,,2,2,0,0.79,2,0,0,0,0,2,0,0,0,0,national
2025,MI,26001,,549300GSCUJKJINRJ980,,3,2,0,0.79,2,1,0,0,0,2,0,0,0,0,national
2025,MI,26001,,549300K4ZLGS7SRDTL86,,2,2,0,0.79,0,1,1,0,0,0,1,1,0,0,national
2025,MI,26001,,549300OPCWU6E72WUT29,,5,2,1,0.79,2,3,0,0,0,1,1,0,0,0,national
2025,MI,26001,,549300ORTZ3CWXPNL693,,2,2,0,0.79,2,0,0,0,0,2,0,0,0,0,national
2025,MI,26001,,549300R9S3MVDV4MGF56,,3,2,1,0.79,1,2,0,0,0,0,2,0,0,0,national
2025,MI,26001,,549300RPOGWJRH63HS39,,2,2,0,0.79,2,0,0,0,0,2,0,0,0,0,national
2025,MI,26001,,549300VZVN841I2ILS84,,5,2,0,0.79,4,1,0,0,0,2,0,0,0,0,national
2025,MI,26001,,549300XWUSRVVOHPRY47,,2,2,0,0.79,2,0,0,0,0,2,0,0,0,0,national
2025,MI,26001,,B4TYDEB6GKMZO031MB27,,3,2,1,0.79,3,0,0,0,0,2,0,0,0,0,national
2025,MI,26001,,RM2F4G3WBQ8R9OKYRH19,,3,2,0,0.79,3,0,0,0,0,2,0,0,0,0,national
2025,MI,26001,,2549003SYL72OG7Y6S21,,2,1,1,0.4,2,0,0,0,0,1,0,0,0,0,national
2025,MI,26001,,2549004O2ZT0HSAP5S70,,1,1,0,0.4,1,0,0,0,0,1,0,0,0,0,national
2025,MI,26001,,254900CIEUZUO7CHPG88,,1,1,0,0.4,1,0,0,0,0,1,0,0,0,0,national
2025,MI,26001,,254900DTLHVWQ7NP7R34,,1,1,0,0.4,1,0,0,0,0,1,0,0,0,0,national
2025,MI,26001,,254900KI7219LQKCI772,,1,1,0,0.4,1,0,0,0,0,1,0,0,0,0,national
2025,MI,26001,,254900N51OM1EJ4TQZ22,,1,1,0,0.4,1,0,0,0,0,1,0,0,0,0,national
2025,MI,26001,,254900RQGXH1N2N6D695,,4,1,3,0.4,4,0,0,0,0,1,0,0,0,0,national
2025,MI,26001,,254900TKL128GKFR9C87,,1,1,0,0.4,1,0,0,0,0,1,0,0,0,0,national
2025,MI,26001,,254900WQ6O9JA8WI5W89,,3,1,0,0.4,3,0,0,0,0,1,0,0,0,0,national
2025,MI,26001,,5493001GDRY0EL7VG372,,1,1,0,0.4,1,0,0,0,0,1,0,0,0,0,national
2025,MI,26001,,54930021WPEXNHYZUL09,,1,1,0,0.4,0,0,1,0,0,0,0,1,0,0,national
2025,MI,26001,,5493002Y5XYV7DV1ZV88,,1,1,0,0.4,1,0,0,0,0,1,0,0,0,0,national
2025,MI,26001,,549300370QILXLFUWD20,,1,1,0,0.4,1,0,0,0,0,1,0,0,0,0,national
2025,MI,26001,,54930054ET8KM4O1D485,,2,1,0,0.4,2,0,0,0,0,1,0,0,0,0,national
2025,MI,26001,,5493005NU5BA00C1N451,,1,1,0,0.4,1,0,0,0,0,1,0,0,0,0,national
2025,MI,26001,,5493005PKOSG7MYX0B34,,1,1,0,0.4,1,0,0,0,0,1,0,0,0,0,national
2025,MI,26001,,549300BX448ALT10FI43,,1,1,0,0.4,0,0,1,0,0,0,0,1,0,0,national
2025,MI,26001,,549300DD4R4SYK5RAQ92,,1,1,0,0.4,0,0,1,0,0,0,0,1,0,0,national
2025,MI,26001,,549300E2UX99HKDBR481,,3,1,0,0.4,3,0,0,0,0,1,0,0,0,0,national
