year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,MN,549300HW662MN1WU8550,,8694,6703,27053:1412; 27003:517; 27037:508; 27123:495; 27163:401,4495,1227,964,17,0,67.06,18.31,14.38,national
2025,MN,549300WYBPIWKK6SQC06,,7987,6525,27053:1846; 27123:642; 27037:526; 27003:490; 27163:487,6044,276,184,21,0,92.63,4.23,2.82,national
2025,MN,549300FGXN1K3HLB1R50,,7739,5672,27053:1056; 27037:451; 27003:449; 27123:383; 27163:299,4450,851,371,0,0,78.46,15.0,6.54,national
2025,MN,6BYL5QZYBDK8S7L73M02,,8623,4538,27053:1142; 27037:416; 27123:401; 27003:363; 27163:343,4448,62,25,3,0,98.02,1.37,0.55,national
2025,MN,549300LG07PXWSIMC813,,6064,4135,27053:1489; 27037:473; 27003:409; 27123:392; 27139:223,4080,36,19,0,0,98.67,0.87,0.46,national
2025,MN,549300NL3JN3ABDPH257,,5438,3656,27053:496; 27123:374; 27037:317; 27003:245; 27061:233,3651,0,5,0,0,99.86,0.0,0.14,national
2025,MN,549300VZVN841I2ILS84,,3942,3129,27053:809; 27123:303; 27003:300; 27037:234; 27163:208,2473,449,186,21,0,79.03,14.35,5.94,national
2025,MN,549300QDGMFASKEN7Z77,,4075,2694,27053:519; 27123:416; 27003:379; 27163:255; 27037:180,2694,0,0,0,0,100.0,0.0,0.0,national
2025,MN,549300MGPZBLQDIL7538,,3425,2657,27053:549; 27037:233; 27123:217; 27137:195; 27003:167,2076,433,132,16,0,78.13,16.3,4.97,national
2025,MN,549300HVW3AI97UKTO72,,3947,2594,27053:858; 27037:534; 27003:187; 27139:182; 27123:150,2594,0,0,0,0,100.0,0.0,0.0,national
2025,MN,549300AT7EB9FJAF0E61,,2617,1877,27053:353; 27019:154; 27123:136; 27037:118; 27163:98,1824,38,8,7,0,97.18,2.02,0.43,national
