year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,MO,29189,,37198,22981,5497,14.78,16400,12434,8364,44.09,33.43,30899,4426,1852,21,0,83.07,11.9,4.98,19535,2442,986,18,0,85.01,10.63,4.29,national
2025,MO,29095,,27964,17328,4011,14.34,13450,9303,5211,48.1,33.27,21161,4619,2157,27,0,75.67,16.52,7.71,13465,2644,1206,13,0,77.71,15.26,6.96,national
2025,MO,29183,,18053,11891,2370,13.13,7883,6006,4164,43.67,33.27,14743,2055,1249,6,0,81.67,11.38,6.92,9886,1222,778,5,0,83.14,10.28,6.54,national
2025,MO,29077,,11814,7867,1481,12.54,5835,3914,2065,49.39,33.13,8808,1864,1097,45,0,74.56,15.78,9.29,6014,1159,664,30,0,76.45,14.73,8.44,national
2025,MO,29047,,10967,7078,1531,13.96,5134,3581,2252,46.81,32.65,8381,1677,885,24,0,76.42,15.29,8.07,5524,1005,530,19,0,78.04,14.2,7.49,national
2025,MO,29099,,10501,6586,1668,15.88,4662,3614,2225,44.4,34.42,7667,1743,996,95,0,73.01,16.6,9.48,4892,1069,562,63,0,74.28,16.23,8.53,national
2025,MO,29510,,9194,5424,1452,15.79,4618,2896,1680,50.23,31.5,7729,1007,455,3,0,84.07,10.95,4.95,4688,512,222,2,0,86.43,9.44,4.09,national
2025,MO,29019,,6209,4123,678,10.92,3210,1885,1114,51.7,30.36,4949,665,555,40,0,79.71,10.71,8.94,3391,384,328,20,0,82.25,9.31,7.96,national
2025,MO,29037,,5098,3316,695,13.63,2458,1695,945,48.21,33.25,3756,747,553,42,0,73.68,14.65,10.85,2491,473,323,29,0,75.12,14.26,9.74,national
2025,MO,29097,,4704,2979,622,13.22,2549,1321,834,54.19,28.08,3169,1019,429,87,0,67.37,21.66,9.12,2062,620,243,54,0,69.22,20.81,8.16,national
2025,MO,29043,,4329,2889,549,12.68,2005,1464,860,46.32,33.82,3142,641,505,41,0,72.58,14.81,11.67,2151,389,327,22,0,74.45,13.46,11.32,national
2025,MO,29165,,4183,2747,541,12.93,1954,1303,926,46.71,31.15,3299,442,436,6,0,78.87,10.57,10.42,2227,249,267,4,0,81.07,9.06,9.72,national
2025,MO,29071,,3811,2455,527,13.83,1959,1214,638,51.4,31.86,2815,551,306,139,0,73.87,14.46,8.03,1884,310,165,96,0,76.74,12.63,6.72,national
2025,MO,29051,,2914,2058,302,10.36,1321,1002,591,45.33,34.39,2243,357,306,8,0,76.97,12.25,10.5,1643,222,188,5,0,79.83,10.79,9.14,national
2025,MO,29029,,3325,2030,520,15.64,1709,1052,564,51.4,31.64,2780,244,276,25,0,83.61,7.34,8.3,1740,133,144,13,0,85.71,6.55,7.09,national
2025,MO,29021,,2962,1885,446,15.06,1517,942,503,51.22,31.8,2082,630,247,3,0,70.29,21.27,8.34,1341,396,146,2,0,71.14,21.01,7.75,national
2025,MO,29113,,2927,1827,442,15.1,1421,1000,506,48.55,34.16,2116,504,260,47,0,72.29,17.22,8.88,1348,294,151,34,0,73.78,16.09,8.26,national
2025,MO,29031,,2729,1770,382,14.0,1428,791,510,52.33,28.98,2037,404,271,17,0,74.64,14.8,9.93,1380,245,135,10,0,77.97,13.84,7.63,national
2025,MO,29101,,2405,1580,289,12.02,1183,910,312,49.19,37.84,1336,320,695,54,0,55.55,13.31,28.9,909,167,468,36,0,57.53,10.57,29.62,national
2025,MO,29187,,2278,1387,376,16.51,1153,738,387,50.61,32.4,1382,439,265,192,0,60.67,19.27,11.63,857,255,144,131,0,61.79,18.39,10.38,national
2025,MO,29213,,2282,1359,364,15.95,1203,702,377,52.72,30.76,1739,266,235,42,0,76.21,11.66,10.3,1050,149,129,31,0,77.26,10.96,9.49,national
2025,MO,29145,,2242,1309,372,16.59,1173,685,384,52.32,30.55,1512,409,238,83,0,67.44,18.24,10.62,895,241,118,55,0,68.37,18.41,9.01,national
2025,MO,29219,,1931,1292,242,12.53,948,645,338,49.09,33.4,1384,320,201,26,0,71.67,16.57,10.41,952,210,107,23,0,73.68,16.25,8.28,national
2025,MO,29169,,2246,1228,331,14.74,1201,837,208,53.47,37.27,884,176,1112,74,0,39.36,7.84,49.51,387,96,694,51,0,31.51,7.82,56.51,national
2025,MO,29209,,1911,1171,287,15.02,936,619,356,48.98,32.39,1560,179,160,12,0,81.63,9.37,8.37,979,90,92,10,0,83.6,7.69,7.86,national
2025,MO,29027,,1729,1069,255,14.75,830,631,268,48.0,36.5,1262,246,184,37,0,72.99,14.23,10.64,806,133,103,27,0,75.4,12.44,9.64,national
2025,MO,29225,,1686,1027,274,16.25,768,591,327,45.55,35.05,1189,239,201,57,0,70.52,14.18,11.92,722,144,123,38,0,70.3,14.02,11.98,national
2025,MO,29159,,1630,967,252,15.46,758,588,284,46.5,36.07,1023,252,279,76,0,62.76,15.46,17.12,601,156,158,52,0,62.15,16.13,16.34,national
2025,MO,29109,,1581,948,261,16.51,785,545,251,49.65,34.47,1014,310,166,91,0,64.14,19.61,10.5,611,184,95,58,0,64.45,19.41,10.02,national
2025,MO,29107,,1327,869,195,14.69,617,487,223,46.5,36.7,916,222,137,52,0,69.03,16.73,10.32,610,140,85,34,0,70.2,16.11,9.78,national
2025,MO,29167,,1300,813,219,16.85,682,388,230,52.46,29.85,916,202,137,45,0,70.46,15.54,10.54,572,118,88,35,0,70.36,14.51,10.82,national
2025,MO,29023,,1224,812,173,14.13,671,391,162,54.82,31.94,694,216,185,129,0,56.7,17.65,15.11,499,116,107,90,0,61.45,14.29,13.18,national
2025,MO,29105,,1634,752,444,27.17,927,479,228,56.73,29.31,1095,234,223,82,0,67.01,14.32,13.65,435,129,129,59,0,57.85,17.15,17.15,national
2025,MO,29009,,1268,746,234,18.45,604,454,210,47.63,35.8,890,192,148,38,0,70.19,15.14,11.67,545,97,74,30,0,73.06,13.0,9.92,national
2025,MO,29161,,1375,733,252,18.33,772,437,166,56.15,31.78,893,196,225,61,0,64.95,14.25,16.36,465,106,121,41,0,63.44,14.46,16.51,national
2025,MO,29201,,1150,717,187,16.26,587,360,203,51.04,31.3,725,199,111,115,0,63.04,17.3,9.65,469,107,64,77,0,65.41,14.92,8.93,national
2025,MO,29015,,939,629,142,15.12,393,351,195,41.85,37.38,692,101,132,14,0,73.7,10.76,14.06,481,58,80,10,0,76.47,9.22,12.72,national
2025,MO,29049,,972,617,131,13.48,517,305,150,53.19,31.38,693,154,98,27,0,71.3,15.84,10.08,452,84,64,17,0,73.26,13.61,10.37,national
2025,MO,29131,,1009,602,175,17.34,457,380,172,45.29,37.66,742,135,93,39,0,73.54,13.38,9.22,436,82,58,26,0,72.43,13.62,9.63,national
2025,MO,29083,,962,595,164,17.05,414,299,249,43.04,31.08,613,196,127,26,0,63.72,20.37,13.2,385,115,78,17,0,64.71,19.33,13.11,national
2025,MO,29177,,927,586,146,15.75,440,344,143,47.46,37.11,659,162,83,23,0,71.09,17.48,8.95,416,100,52,18,0,70.99,17.06,8.87,national
2025,MO,29091,,1012,577,156,15.42,499,382,131,49.31,37.75,615,199,158,40,0,60.77,19.66,15.61,339,110,95,33,0,58.75,19.06,16.46,national
2025,MO,29175,,911,564,138,15.15,477,307,127,52.36,33.7,590,169,105,47,0,64.76,18.55,11.53,386,97,60,21,0,68.44,17.2,10.64,national
2025,MO,29141,,960,508,183,19.06,478,327,155,49.79,34.06,744,92,105,19,0,77.5,9.58,10.94,407,42,47,12,0,80.12,8.27,9.25,national
2025,MO,29127,,708,502,85,12.01,398,227,83,56.21,32.06,471,123,71,43,0,66.53,17.37,10.03,351,80,41,30,0,69.92,15.94,8.17,national
2025,MO,29007,,845,492,151,17.87,395,317,133,46.75,37.51,572,145,69,59,0,67.69,17.16,8.17,346,75,27,44,0,70.33,15.24,5.49,national
2025,MO,29207,,721,436,135,18.72,369,229,123,51.18,31.76,408,114,97,102,0,56.59,15.81,13.45,248,55,55,78,0,56.88,12.61,12.61,national
2025,MO,29157,,655,425,98,14.96,291,200,164,44.43,30.53,503,88,48,16,0,76.79,13.44,7.33,335,47,33,10,0,78.82,11.06,7.76,national
2025,MO,29195,,642,425,96,14.95,333,236,73,51.87,36.76,388,137,40,77,0,60.44,21.34,6.23,269,79,20,57,0,63.29,18.59,4.71,national
2025,MO,29186,,648,422,94,14.51,275,220,153,42.44,33.95,488,95,50,15,0,75.31,14.66,7.72,341,46,24,11,0,80.81,10.9,5.69,national
2025,MO,29119,,809,414,192,23.73,401,288,120,49.57,35.6,587,144,64,14,0,72.56,17.8,7.91,298,72,33,11,0,71.98,17.39,7.97,national
2025,MO,29055,,730,406,138,18.9,378,245,107,51.78,33.56,500,122,84,24,0,68.49,16.71,11.51,284,60,48,14,0,69.95,14.78,11.82,national
2025,MO,29013,,614,391,90,14.66,301,228,85,49.02,37.13,418,120,55,21,0,68.08,19.54,8.96,285,63,26,17,0,72.89,16.11,6.65,national
2025,MO,29221,,696,387,134,19.25,369,222,105,53.02,31.9,476,123,61,36,0,68.39,17.67,8.76,258,67,37,25,0,66.67,17.31,9.56,national
2025,MO,29003,,613,384,87,14.19,282,229,102,46.0,37.36,449,114,42,8,0,73.25,18.6,6.85,289,63,28,4,0,75.26,16.41,7.29,national
2025,MO,29001,,623,381,93,14.93,361,184,78,57.95,29.53,442,101,49,31,0,70.95,16.21,7.87,271,63,27,20,0,71.13,16.54,7.09,national
2025,MO,29059,,689,380,163,23.66,352,228,109,51.09,33.09,486,103,74,26,0,70.54,14.95,10.74,259,51,49,21,0,68.16,13.42,12.89,national
2025,MO,29215,,717,361,160,22.32,391,248,78,54.53,34.59,415,115,165,22,0,57.88,16.04,23.01,190,53,98,20,0,52.63,14.68,27.15,national
2025,MO,29053,,557,349,74,13.29,292,187,78,52.42,33.57,384,72,83,18,0,68.94,12.93,14.9,256,36,46,11,0,73.35,10.32,13.18,national
2025,MO,29135,,511,334,70,13.7,219,182,110,42.86,35.62,376,72,46,17,0,73.58,14.09,9.0,258,34,31,11,0,77.25,10.18,9.28,national
2025,MO,29217,,604,333,145,24.01,319,189,96,52.81,31.29,408,97,61,38,0,67.55,16.06,10.1,205,59,40,29,0,61.56,17.72,12.01,national
2025,MO,29147,,474,323,61,12.87,244,149,81,51.48,31.43,362,63,35,14,0,76.37,13.29,7.38,258,35,19,11,0,79.88,10.84,5.88,national
2025,MO,29229,,561,319,106,18.89,294,183,84,52.41,32.62,368,89,85,19,0,65.6,15.86,15.15,217,45,41,16,0,68.03,14.11,12.85,national
2025,MO,29151,,448,317,43,9.6,235,162,51,52.46,36.16,348,50,37,13,0,77.68,11.16,8.26,248,33,25,11,0,78.23,10.41,7.89,national
2025,MO,29163,,485,313,79,16.29,254,160,71,52.37,32.99,340,88,41,16,0,70.1,18.14,8.45,233,48,24,8,0,74.44,15.34,7.67,national
2025,MO,29039,,487,283,92,18.89,226,180,81,46.41,36.96,360,63,50,14,0,73.92,12.94,10.27,217,30,26,10,0,76.68,10.6,9.19,national
2025,MO,29073,,471,282,74,15.71,235,157,79,49.89,33.33,332,65,48,26,0,70.49,13.8,10.19,206,36,25,15,0,73.05,12.77,8.87,national
2025,MO,29069,,468,259,101,21.58,264,145,59,56.41,30.98,243,104,53,68,0,51.92,22.22,11.32,126,60,28,45,0,48.65,23.17,10.81,national
2025,MO,29085,,430,253,85,19.77,227,128,75,52.79,29.77,316,56,49,9,0,73.49,13.02,11.4,189,26,34,4,0,74.7,10.28,13.44,national
2025,MO,29117,,369,230,56,15.18,206,113,50,55.83,30.62,221,75,48,25,0,59.89,20.33,13.01,139,45,27,19,0,60.43,19.57,11.74,national
2025,MO,29115,,347,228,44,12.68,158,127,62,45.53,36.6,258,47,31,11,0,74.35,13.54,8.93,178,28,14,8,0,78.07,12.28,6.14,national
2025,MO,29089,,331,226,53,16.01,162,123,46,48.94,37.16,262,46,17,6,0,79.15,13.9,5.14,192,20,9,5,0,84.96,8.85,3.98,national
2025,MO,29123,,364,219,64,17.58,182,124,58,50.0,34.07,225,55,48,36,0,61.81,15.11,13.19,136,26,29,28,0,62.1,11.87,13.24,national
2025,MO,29181,,367,216,59,16.08,200,111,56,54.5,30.25,242,41,58,26,0,65.94,11.17,15.8,152,18,28,18,0,70.37,8.33,12.96,national
2025,MO,29143,,388,211,75,19.33,205,108,75,52.84,27.84,223,80,46,39,0,57.47,20.62,11.86,116,40,28,27,0,54.98,18.96,13.27,national
2025,MO,29025,,305,209,43,14.1,155,119,31,50.82,39.02,212,56,26,11,0,69.51,18.36,8.52,154,33,17,5,0,73.68,15.79,8.13,national
2025,MO,29139,,332,200,64,19.28,159,124,49,47.89,37.35,236,60,27,9,0,71.08,18.07,8.13,145,31,17,7,0,72.5,15.5,8.5,national
2025,MO,29017,,313,194,62,19.81,159,94,60,50.8,30.03,220,41,36,16,0,70.29,13.1,11.5,142,24,18,10,0,73.2,12.37,9.28,national
2025,MO,29121,,329,185,73,22.19,160,119,50,48.63,36.17,188,71,50,20,0,57.14,21.58,15.2,114,32,29,10,0,61.62,17.3,15.68,national
2025,MO,29065,,376,184,81,21.54,212,114,50,56.38,30.32,212,67,68,29,0,56.38,17.82,18.09,92,29,41,22,0,50.0,15.76,22.28,national
2025,MO,29173,,288,183,47,16.32,149,102,37,51.74,35.42,218,44,16,10,0,75.69,15.28,5.56,141,24,12,6,0,77.05,13.11,6.56,national
2025,MO,29063,,285,176,43,15.09,129,110,46,45.26,38.6,212,35,32,6,0,74.39,12.28,11.23,135,20,17,4,0,76.7,11.36,9.66,national
2025,MO,29067,,275,176,36,13.09,118,121,36,42.91,44.0,192,40,35,8,0,69.82,14.55,12.73,123,25,21,7,0,69.89,14.2,11.93,national
2025,MO,29223,,293,175,57,19.45,150,97,46,51.19,33.11,185,47,49,12,0,63.14,16.04,16.72,125,17,24,9,0,71.43,9.71,13.71,national
2025,MO,29061,,270,174,38,14.07,129,100,41,47.78,37.04,207,37,22,4,0,76.67,13.7,8.15,147,13,11,3,0,84.48,7.47,6.32,national
2025,MO,29093,,309,173,58,18.77,167,89,53,54.05,28.8,210,49,28,22,0,67.96,15.86,9.06,119,28,12,14,0,68.79,16.18,6.94,national
2025,MO,29125,,303,170,47,15.51,165,100,38,54.46,33.0,202,49,41,11,0,66.67,16.17,13.53,112,32,20,6,0,65.88,18.82,11.76,national
2025,MO,29011,,291,168,52,17.87,136,110,45,46.74,37.8,171,61,31,28,0,58.76,20.96,10.65,104,29,14,21,0,61.9,17.26,8.33,national
2025,MO,29079,,238,158,37,15.55,142,64,32,59.66,26.89,156,46,20,16,0,65.55,19.33,8.4,103,31,15,9,0,65.19,19.62,9.49,national
2025,MO,29057,,278,146,64,23.02,121,99,58,43.53,35.61,186,52,27,13,0,66.91,18.71,9.71,102,26,9,9,0,69.86,17.81,6.16,national
2025,MO,29133,,232,138,51,21.98,119,76,37,51.29,32.76,132,54,14,32,0,56.9,23.28,6.03,74,28,8,28,0,53.62,20.29,5.8,national
2025,MO,29155,,283,134,81,28.62,149,87,47,52.65,30.74,175,63,27,18,0,61.84,22.26,9.54,77,32,15,10,0,57.46,23.88,11.19,national
2025,MO,29075,,197,133,33,16.75,108,56,33,54.82,28.43,147,24,21,5,0,74.62,12.18,10.66,101,16,14,2,0,75.94,12.03,10.53,national
2025,MO,29033,,198,127,29,14.65,114,70,14,57.58,35.35,124,41,18,15,0,62.63,20.71,9.09,85,22,9,11,0,66.93,17.32,7.09,national
2025,MO,29137,,217,125,47,21.66,117,67,33,53.92,30.88,150,37,21,9,0,69.12,17.05,9.68,88,18,13,6,0,70.4,14.4,10.4,national
2025,MO,29149,,203,122,40,19.7,97,73,33,47.78,35.96,131,40,25,7,0,64.53,19.7,12.32,86,19,14,3,0,70.49,15.57,11.48,national
2025,MO,29081,,180,111,39,21.67,95,56,29,52.78,31.11,141,16,16,7,0,78.33,8.89,8.89,91,7,8,5,0,81.98,6.31,7.21,national
2025,MO,29185,,234,108,66,28.21,102,84,48,43.59,35.9,151,42,36,5,0,64.53,17.95,15.38,61,21,24,2,0,56.48,19.44,22.22,national
2025,MO,29111,,160,103,27,16.88,98,45,17,61.25,28.12,113,25,15,7,0,70.62,15.62,9.38,72,15,10,6,0,69.9,14.56,9.71,national
2025,MO,29041,,146,100,21,14.38,73,52,21,50.0,35.62,105,21,12,8,0,71.92,14.38,8.22,78,12,5,5,0,78.0,12.0,5.0,national
2025,MO,29179,,172,99,42,24.42,77,69,26,44.77,40.12,124,29,16,3,0,72.09,16.86,9.3,78,11,8,2,0,78.79,11.11,8.08,national
