year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,MO,29001,,549300M4MFIHXLR7AI37,,82,59,7,15.49,77,0,0,5,0,57,0,0,2,0,national
2025,MO,29001,,549300LXKO1O7CSK5J52,,52,42,1,11.02,30,12,4,6,0,22,10,4,6,0,national
2025,MO,29001,,549300TJF420N3F01V87,,53,41,6,10.76,53,0,0,0,0,41,0,0,0,0,national
2025,MO,29001,,549300FGXN1K3HLB1R50,,43,34,7,8.92,25,16,2,0,0,21,12,1,0,0,national
2025,MO,29001,,5493001XKL0FTNOJ0866,,46,30,0,7.87,27,11,1,7,0,16,9,1,4,0,national
2025,MO,29001,,6BYL5QZYBDK8S7L73M02,,45,24,13,6.3,39,3,1,2,0,20,2,1,1,0,national
2025,MO,29001,,549300ZZME37MXI1EF14,,28,17,3,4.46,10,9,1,8,0,5,7,0,5,0,national
2025,MO,29001,,549300BJ6EOJ9EF6JB96,,15,14,0,3.67,15,0,0,0,0,14,0,0,0,0,national
2025,MO,29001,,549300DD5QQUHO6PCH70,,27,14,4,3.67,4,1,21,1,0,0,1,13,0,0,national
2025,MO,29001,,549300HW662MN1WU8550,,12,10,2,2.62,6,4,2,0,0,6,3,1,0,0,national
2025,MO,29001,,549300DFV63SJPNIII97,,4,4,0,1.05,4,0,0,0,0,4,0,0,0,0,national
2025,MO,29001,,549300E2UX99HKDBR481,,6,4,0,1.05,4,1,1,0,0,3,1,0,0,0,national
2025,MO,29001,,549300LBCBNR1OT00651,,4,4,0,1.05,3,0,1,0,0,3,0,1,0,0,national
2025,MO,29001,,549300T7AIY7RU1YDP31,,5,4,0,1.05,4,1,0,0,0,3,1,0,0,0,national
2025,MO,29001,,549300YIQ7S7Z8PIHE53,,11,4,7,1.05,4,7,0,0,0,1,3,0,0,0,national
2025,MO,29001,,RVDPPPGHCGZ40J4VQ731,,7,4,1,1.05,2,3,2,0,0,2,1,1,0,0,national
2025,MO,29001,,549300LYRWPSYPK6S325,,7,3,1,0.79,1,5,1,0,0,0,3,0,0,0,national
2025,MO,29001,,549300REENMLD2RN3W58,,3,3,0,0.79,0,0,2,1,0,0,0,2,1,0,national
2025,MO,29001,,549300XQVJ1XBNFA5536,,18,3,7,0.79,18,0,0,0,0,3,0,0,0,0,national
2025,MO,29001,,549300Z3IK4IHLP1R468,,3,3,0,0.79,3,0,0,0,0,3,0,0,0,0,national
2025,MO,29001,,7DMUJTL9FFTVIAG9H788,,5,3,2,0.79,5,0,0,0,0,3,0,0,0,0,national
2025,MO,29001,,549300121SF0K2LN2804,,2,2,0,0.52,2,0,0,0,0,2,0,0,0,0,national
2025,MO,29001,,5493003GQDUH26DNNH17,,2,2,0,0.52,2,0,0,0,0,2,0,0,0,0,national
2025,MO,29001,,549300F04B6FGYBJY412,,2,2,0,0.52,2,0,0,0,0,2,0,0,0,0,national
2025,MO,29001,,549300J7I82PNDVU8H22,,2,2,0,0.52,2,0,0,0,0,2,0,0,0,0,national
2025,MO,29001,,549300UXCRU4C6HBN492,,2,2,0,0.52,2,0,0,0,0,2,0,0,0,0,national
2025,MO,29001,,549300W4FT4H1UWPGU95,,3,2,0,0.52,2,1,0,0,0,1,1,0,0,0,national
2025,MO,29001,,549300YXOCZOXWKDIT11,,2,2,0,0.52,2,0,0,0,0,2,0,0,0,0,national
2025,MO,29001,,7H6GLXDRUGQFU57RNE97,,4,2,0,0.52,4,0,0,0,0,2,0,0,0,0,national
2025,MO,29001,,C5654JQHZUHN0772B561,,5,2,0,0.52,5,0,0,0,0,2,0,0,0,0,national
2025,MO,29001,,2549005SIVTHG14U2905,,1,1,0,0.26,1,0,0,0,0,1,0,0,0,0,national
2025,MO,29001,,254900PKDTFIJ2XB1675,,1,1,0,0.26,1,0,0,0,0,1,0,0,0,0,national
2025,MO,29001,,254900RZAKWEVNKBVY93,,1,1,0,0.26,1,0,0,0,0,1,0,0,0,0,national
2025,MO,29001,,254900UL88QFG0E40516,,2,1,1,0.26,2,0,0,0,0,1,0,0,0,0,national
2025,MO,29001,,2WHM8VNJH63UN14OL754,,1,1,0,0.26,1,0,0,0,0,1,0,0,0,0,national
2025,MO,29001,,54930001NSTOD85LT125,,1,1,0,0.26,1,0,0,0,0,1,0,0,0,0,national
2025,MO,29001,,5493000NYUJT9UC6G261,,2,1,1,0.26,2,0,0,0,0,1,0,0,0,0,national
2025,MO,29001,,5493000XYE7QL54NMB52,,4,1,1,0.26,2,0,1,1,0,0,0,0,1,0,national
2025,MO,29001,,5493001GDRY0EL7VG372,,1,1,0,0.26,1,0,0,0,0,1,0,0,0,0,national
2025,MO,29001,,5493002IVUY1DY0ZCL83,,1,1,0,0.26,1,0,0,0,0,1,0,0,0,0,national
2025,MO,29001,,54930030Z1JWTP3SVD16,,1,1,0,0.26,0,1,0,0,0,0,1,0,0,0,national
2025,MO,29001,,5493006VAGP3GQ8FJT49,,1,1,0,0.26,1,0,0,0,0,1,0,0,0,0,national
2025,MO,29001,,5493008PQSMR41Y70C36,,1,1,0,0.26,1,0,0,0,0,1,0,0,0,0,national
2025,MO,29001,,549300AG64NHILB7ZP05,,6,1,0,0.26,5,1,0,0,0,1,0,0,0,0,national
2025,MO,29001,,549300AQ3T62GXDU7D76,,2,1,0,0.26,0,2,0,0,0,0,1,0,0,0,national
2025,MO,29001,,549300BX448ALT10FI43,,1,1,0,0.26,0,0,1,0,0,0,0,1,0,0,national
2025,MO,29001,,549300CUUEEQ66ZVK149,,1,1,0,0.26,0,1,0,0,0,0,1,0,0,0,national
2025,MO,29001,,549300EKFFG3BU8DNX74,,1,1,0,0.26,1,0,0,0,0,1,0,0,0,0,national
2025,MO,29001,,549300GKFNPRWNS0GF29,,4,1,0,0.26,4,0,0,0,0,1,0,0,0,0,national
