year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,MS,28033,,8707,5176,1481,17.01,3817,3072,1818,43.84,35.28,5276,2183,1184,64,0,60.59,25.07,13.6,3174,1320,641,41,0,61.32,25.5,12.38,national
2025,MS,28047,,8876,4797,1809,20.38,4448,2911,1517,50.11,32.8,5116,1502,2158,100,0,57.64,16.92,24.31,2673,814,1256,54,0,55.72,16.97,26.18,national
2025,MS,28121,,6986,4363,1200,17.18,3573,2062,1351,51.15,29.52,4798,1403,656,129,0,68.68,20.08,9.39,2976,900,392,95,0,68.21,20.63,8.98,national
2025,MS,28049,,7006,3572,1693,24.17,3274,2251,1481,46.73,32.13,5129,1375,470,32,0,73.21,19.63,6.71,2673,665,213,21,0,74.83,18.62,5.96,national
2025,MS,28059,,5891,3272,1130,19.18,3015,1772,1104,51.18,30.08,3631,1112,989,159,0,61.64,18.88,16.79,1967,634,560,111,0,60.12,19.38,17.11,national
2025,MS,28089,,4666,2962,777,16.65,2195,1450,1021,47.04,31.08,3586,687,368,25,0,76.85,14.72,7.89,2334,423,186,19,0,78.8,14.28,6.28,national
2025,MS,28081,,3210,1784,664,20.69,1402,1092,716,43.68,34.02,2413,515,234,48,0,75.17,16.04,7.29,1337,287,129,31,0,74.94,16.09,7.23,national
2025,MS,28071,,2435,1654,324,13.31,1336,736,363,54.87,30.23,2174,158,95,8,0,89.28,6.49,3.9,1506,95,50,3,0,91.05,5.74,3.02,national
2025,MS,28073,,2618,1486,494,18.87,1304,821,493,49.81,31.36,1819,439,295,65,0,69.48,16.77,11.27,1019,255,171,41,0,68.57,17.16,11.51,national
2025,MS,28035,,2630,1453,572,21.75,1340,805,485,50.95,30.61,1855,434,294,47,0,70.53,16.5,11.18,1029,236,161,27,0,70.82,16.24,11.08,national
2025,MS,28067,,2175,1236,455,20.92,1008,782,385,46.34,35.95,1727,248,146,54,0,79.4,11.4,6.71,1007,127,77,25,0,81.47,10.28,6.23,national
2025,MS,28045,,2204,1223,459,20.83,1067,691,446,48.41,31.35,1523,348,302,31,0,69.1,15.79,13.7,851,192,158,22,0,69.58,15.7,12.92,national
2025,MS,28109,,2370,1210,540,22.78,1194,802,374,50.38,33.84,1496,470,311,93,0,63.12,19.83,13.12,702,267,178,63,0,58.02,22.07,14.71,national
2025,MS,28087,,1958,1063,399,20.38,998,614,346,50.97,31.36,1145,367,364,82,0,58.48,18.74,18.59,626,194,192,51,0,58.89,18.25,18.06,national
2025,MS,28075,,1905,1029,401,21.05,1039,570,296,54.54,29.92,1281,278,327,19,0,67.24,14.59,17.17,674,155,187,13,0,65.5,15.06,18.17,national
2025,MS,28093,,1567,839,316,20.17,901,439,227,57.5,28.02,1010,376,143,38,0,64.45,23.99,9.13,529,204,78,28,0,63.05,24.31,9.3,national
2025,MS,28105,,1426,833,291,20.41,851,355,220,59.68,24.89,1176,134,94,22,0,82.47,9.4,6.59,689,77,52,15,0,82.71,9.24,6.24,national
2025,MS,28149,,1285,608,358,27.86,675,377,233,52.53,29.34,882,234,138,31,0,68.64,18.21,10.74,397,129,62,20,0,65.3,21.22,10.2,national
2025,MS,28095,,1162,583,298,25.65,659,304,199,56.71,26.16,846,191,86,39,0,72.81,16.44,7.4,398,111,49,25,0,68.27,19.04,8.4,national
2025,MS,28107,,1241,558,353,28.44,790,272,179,63.66,21.92,954,209,51,27,0,76.87,16.84,4.11,405,103,31,19,0,72.58,18.46,5.56,national
2025,MS,28137,,1013,540,219,21.62,433,395,185,42.74,38.99,667,216,98,32,0,65.84,21.32,9.67,362,108,49,21,0,67.04,20.0,9.07,national
2025,MS,28039,,968,522,220,22.73,649,222,97,67.05,22.93,621,199,115,33,0,64.15,20.56,11.88,313,117,70,22,0,59.96,22.41,13.41,national
2025,MS,28003,,958,505,206,21.5,474,325,159,49.48,33.92,648,192,87,31,0,67.64,20.04,9.08,348,98,43,16,0,68.91,19.41,8.51,national
2025,MS,28085,,1069,489,297,27.78,652,278,139,60.99,26.01,856,141,47,25,0,80.07,13.19,4.4,377,67,27,18,0,77.1,13.7,5.52,national
2025,MS,28113,,1206,483,413,34.25,752,300,154,62.35,24.88,877,206,106,17,0,72.72,17.08,8.79,316,95,60,12,0,65.42,19.67,12.42,national
2025,MS,28115,,947,462,227,23.97,514,270,163,54.28,28.51,688,162,59,38,0,72.65,17.11,6.23,313,94,28,27,0,67.75,20.35,6.06,national
2025,MS,28091,,1006,461,293,29.13,597,285,124,59.34,28.33,795,139,48,24,0,79.03,13.82,4.77,363,58,24,16,0,78.74,12.58,5.21,national
2025,MS,28151,,886,447,194,21.9,408,311,167,46.05,35.1,694,125,57,10,0,78.33,14.11,6.43,359,61,23,4,0,80.31,13.65,5.15,national
2025,MS,28127,,915,418,265,28.96,574,223,118,62.73,24.37,696,144,58,17,0,76.07,15.74,6.34,287,87,34,10,0,68.66,20.81,8.13,national
2025,MS,28123,,867,409,238,27.45,510,252,105,58.82,29.07,747,71,32,17,0,86.16,8.19,3.69,350,40,9,10,0,85.57,9.78,2.2,national
2025,MS,28145,,775,399,202,26.06,417,235,123,53.81,30.32,543,147,50,35,0,70.06,18.97,6.45,269,77,26,27,0,67.42,19.3,6.52,national
2025,MS,28057,,692,376,141,20.38,357,237,98,51.59,34.25,489,114,58,31,0,70.66,16.47,8.38,257,64,30,25,0,68.35,17.02,7.98,national
