year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,MS,28001,,254900YPPMV9UM5FUW09,,65,46,1,15.44,35,13,3,14,0,23,9,1,13,0,national
2025,MS,28001,,254900B631B05UVLUA59,,53,35,9,11.74,53,0,0,0,0,35,0,0,0,0,national
2025,MS,28001,,549300FGXN1K3HLB1R50,,35,25,9,8.39,23,8,4,0,0,14,7,4,0,0,national
2025,MS,28001,,EQTWLK1G7ODGC2MGLV11,,67,21,35,7.05,63,4,0,0,0,20,1,0,0,0,national
2025,MS,28001,,549300HW662MN1WU8550,,20,18,1,6.04,4,11,3,2,0,4,9,3,2,0,national
2025,MS,28001,,549300XQVJ1XBNFA5536,,71,12,35,4.03,71,0,0,0,0,12,0,0,0,0,national
2025,MS,28001,,549300DD5QQUHO6PCH70,,19,11,3,3.69,2,2,15,0,0,1,1,9,0,0,national
2025,MS,28001,,549300II7Y8V2KY9TM28,,15,10,2,3.36,13,0,0,2,0,9,0,0,1,0,national
2025,MS,28001,,254900RFZH9I62FGU045,,10,9,0,3.02,4,2,2,2,0,3,2,2,2,0,national
2025,MS,28001,,01J4SO3XTWZF4PP38209,,12,8,3,2.68,8,3,0,1,0,5,3,0,0,0,national
2025,MS,28001,,7H6GLXDRUGQFU57RNE97,,8,5,1,1.68,8,0,0,0,0,5,0,0,0,0,national
2025,MS,28001,,254900ZFWS2106HWPH46,,11,4,1,1.34,3,3,0,5,0,2,1,0,1,0,national
2025,MS,28001,,5493008ZTV4S0W9DCX64,,5,4,0,1.34,2,3,0,0,0,2,2,0,0,0,national
2025,MS,28001,,549300AG64NHILB7ZP05,,8,4,3,1.34,3,3,2,0,0,1,2,1,0,0,national
2025,MS,28001,,549300CB67L6KPJLHE19,,34,4,19,1.34,34,0,0,0,0,4,0,0,0,0,national
2025,MS,28001,,549300MCPCNPQAOB4032,,9,4,2,1.34,5,4,0,0,0,2,2,0,0,0,national
2025,MS,28001,,549300121SF0K2LN2804,,4,3,0,1.01,1,3,0,0,0,1,2,0,0,0,national
2025,MS,28001,,54930021WPEXNHYZUL09,,3,3,0,1.01,0,1,2,0,0,0,1,2,0,0,national
2025,MS,28001,,5493003GQDUH26DNNH17,,9,3,5,1.01,8,0,1,0,0,2,0,1,0,0,national
2025,MS,28001,,5493008Q3XBC7O0Q4X02,,3,3,0,1.01,2,1,0,0,0,2,1,0,0,0,national
2025,MS,28001,,549300JYXTZDSPJEPI44,,7,3,4,1.01,2,2,1,2,0,0,1,0,2,0,national
2025,MS,28001,,549300LBCBNR1OT00651,,11,3,5,1.01,9,1,1,0,0,3,0,0,0,0,national
2025,MS,28001,,549300LE3ZOZXUS7W648,,5,3,0,1.01,2,2,0,1,0,1,1,0,1,0,national
2025,MS,28001,,549300LYRWPSYPK6S325,,10,3,0,1.01,1,1,8,0,0,1,0,2,0,0,national
2025,MS,28001,,549300VCMRO4ST680C11,,5,3,0,1.01,0,2,3,0,0,0,1,2,0,0,national
2025,MS,28001,,549300VZVN841I2ILS84,,6,3,0,1.01,0,4,0,2,0,0,2,0,1,0,national
