year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,MT,30001,,549300FVJ3IB88LTR841,,90,72,7,42.86,81,6,2,1,0,63,6,2,1,0,national
2025,MT,30001,,549300FGXN1K3HLB1R50,,12,9,2,5.36,9,2,1,0,0,7,2,0,0,0,national
2025,MT,30001,,54930060G4MDPWHISD89,,8,8,0,4.76,4,3,1,0,0,4,3,1,0,0,national
2025,MT,30001,,549300AQ3T62GXDU7D76,,7,7,0,4.17,4,2,0,1,0,4,2,0,1,0,national
2025,MT,30001,,549300ESRQ6OLBB56N04,,6,6,0,3.57,6,0,0,0,0,6,0,0,0,0,national
2025,MT,30001,,549300ZYK1Z0EK2JC967,,6,6,0,3.57,5,0,1,0,0,5,0,1,0,0,national
2025,MT,30001,,549300DD5QQUHO6PCH70,,12,5,4,2.98,1,0,11,0,0,0,0,5,0,0,national
2025,MT,30001,,5493007ZF78YQRSXQG49,,3,3,0,1.79,3,0,0,0,0,3,0,0,0,0,national
2025,MT,30001,,549300AG64NHILB7ZP05,,5,3,2,1.79,3,1,1,0,0,2,0,1,0,0,national
2025,MT,30001,,549300BLL6VL7AXWYP56,,4,3,0,1.79,2,0,2,0,0,2,0,1,0,0,national
2025,MT,30001,,549300FNXYY540N23N64,,7,3,3,1.79,5,1,1,0,0,2,0,1,0,0,national
2025,MT,30001,,549300GKFNPRWNS0GF29,,5,3,0,1.79,2,1,0,2,0,2,0,0,1,0,national
2025,MT,30001,,5493003GQDUH26DNNH17,,4,2,2,1.19,2,0,2,0,0,1,0,1,0,0,national
2025,MT,30001,,549300CY7WNAHKHYSJ73,,2,2,0,1.19,1,1,0,0,0,1,1,0,0,0,national
2025,MT,30001,,549300HW662MN1WU8550,,5,2,1,1.19,4,0,1,0,0,1,0,1,0,0,national
2025,MT,30001,,549300LBCBNR1OT00651,,4,2,1,1.19,2,0,2,0,0,1,0,1,0,0,national
2025,MT,30001,,549300LYRWPSYPK6S325,,5,2,0,1.19,1,3,1,0,0,0,1,1,0,0,national
2025,MT,30001,,549300MZ8VZJOVC63092,,2,2,0,1.19,2,0,0,0,0,2,0,0,0,0,national
2025,MT,30001,,RVDPPPGHCGZ40J4VQ731,,6,2,1,1.19,2,1,3,0,0,0,0,2,0,0,national
2025,MT,30001,,213800XR2TCBQJSF1X93,,1,1,0,0.6,1,0,0,0,0,1,0,0,0,0,national
2025,MT,30001,,254900WT4HAMDFWH3048,,1,1,0,0.6,1,0,0,0,0,1,0,0,0,0,national
2025,MT,30001,,5493002BECVKN2TJ6H05,,1,1,0,0.6,1,0,0,0,0,1,0,0,0,0,national
2025,MT,30001,,549300B4IYL7TZT8FA34,,1,1,0,0.6,0,1,0,0,0,0,1,0,0,0,national
2025,MT,30001,,549300F6Y1YO2YXN6135,,1,1,0,0.6,1,0,0,0,0,1,0,0,0,0,national
2025,MT,30001,,549300KIOYNU323LVJ37,,1,1,0,0.6,1,0,0,0,0,1,0,0,0,0,national
2025,MT,30001,,549300M2Z8GR3VL0QQ74,,1,1,0,0.6,1,0,0,0,0,1,0,0,0,0,national
2025,MT,30001,,549300MGPZBLQDIL7538,,1,1,0,0.6,0,1,0,0,0,0,1,0,0,0,national
2025,MT,30001,,549300NOCASXPA34X033,,2,1,1,0.6,1,0,1,0,0,0,0,1,0,0,national
2025,MT,30001,,549300OPCWU6E72WUT29,,1,1,0,0.6,0,1,0,0,0,0,1,0,0,0,national
2025,MT,30001,,549300OYEKEORA1GI088,,1,1,0,0.6,0,0,1,0,0,0,0,1,0,0,national
2025,MT,30001,,549300PIL8LFAQ04XC20,,2,1,1,0.6,2,0,0,0,0,1,0,0,0,0,national
2025,MT,30001,,549300R0DP2GXAIMGB41,,1,1,0,0.6,1,0,0,0,0,1,0,0,0,0,national
2025,MT,30001,,549300R7HGHP2I754087,,1,1,0,0.6,0,0,1,0,0,0,0,1,0,0,national
