lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,nd_originations,states_with_originations,priority_match
549300TQVOMKNKFOH392,,,,unmatched,4000,3046,2368,ND:2368;MN:625;AZ:11;MT:6;CO:5;SD:4;WI:3;NE:3;IL:2;FL:2,medium
5493002LPXKMOZNXUY90,,,,unmatched,2224,1830,941,ND:941;SD:503;MN:202;AZ:124;IA:12;NE:10;FL:5;KS:4;TX:4;NC:2,medium
549300WYBPIWKK6SQC06,,,,unmatched,14525,11534,674,MN:6525;AZ:1256;WI:1031;ND:674;FL:407;MO:405;NM:397;KS:352;TN:190;CO:39,high
213800THW6KSUL191M34,,,,unmatched,831,645,518,ND:518;MN:120;SD:4;AZ:2;MT:1,medium
549300VF12R0WS33KN43,,,,unmatched,702,559,516,ND:516;MN:35;SD:2;AZ:1;CA:1;FL:1;ID:1;NY:1;WY:1,medium
5493000JZXUB8NOEMF64,,,,unmatched,674,546,469,ND:469;MN:68;SD:5;AZ:3;IA:1,medium
549300UONVHJ0G6DSL23,,,,unmatched,551,484,326,ND:326;MT:89;MN:58;SD:5;AZ:3;FL:2;MO:1,low
5493002POZ4RFS6X0Z30,,,,unmatched,372,295,281,ND:281;AZ:4;SD:4;FL:2;MT:2;NE:1;MN:1,low
549300C4J510S9L1RF98,,,,unmatched,2560,2118,235,MN:1505;ND:235;AZ:148;WI:119;IA:41;FL:11;CO:11;CA:10;TX:6;GA:3,medium
5493005A0757T9GRRI44,,,,unmatched,565,446,205,MN:219;ND:205;SD:9;AZ:5;FL:4;OR:1;TX:1;PA:1;MI:1,low
549300PLVU3OBFUIPI18,,,,unmatched,277,243,172,ND:172;MN:71,low
549300BB4LSE4JRRGV15,,,,unmatched,346,275,168,ND:168;MN:85;AZ:5;CA:3;WI:3;GA:1;CO:1;SC:1;TX:1;NC:1,low
54930019RBT2SM6CQS78,,,,unmatched,284,219,166,ND:166;WI:37;MN:8;SD:3;AZ:1;MI:1;NV:1;ID:1;UT:1,low
25490041EP8QZWCBA097,,,,unmatched,154,145,145,ND:145,low
549300INKSPQCTELMO58,,,,unmatched,3309,2598,136,MN:1395;SD:229;TX:149;ND:136;WI:119;AZ:105;FL:79;CO:72;IA:55;AL:46,medium
549300AT7EB9FJAF0E61,,,,unmatched,16759,10956,135,IN:2746;IL:2207;MN:1877;MI:1211;TN:999;WI:824;KY:489;ND:135;FL:59;IA:55,high
254900P681DTTH4I3144,,,,unmatched,335,240,121,ND:121;AZ:62;MN:48;SD:2;TX:1;MT:1;ID:1;IL:1;UT:1;FL:1,low
549300C5STIFBCFMRJ96,,,,unmatched,153,133,120,ND:120;MN:7;AZ:4;MO:1;SD:1,low
549300UQPFB0RR8JCA42,,,,unmatched,680,578,109,SD:433;ND:109;MN:21;AZ:4;IA:2;NE:2;CO:2;TN:1;NV:1;MI:1,medium
