year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,ND,38001,,549300TQVOMKNKFOH392,,7,4,0,23.53,7,0,0,0,0,4,0,0,0,0,national
2025,ND,38001,,549300UQPFB0RR8JCA42,,3,3,0,17.65,3,0,0,0,0,3,0,0,0,0,national
2025,ND,38001,,54930030Z1JWTP3SVD16,,4,2,1,11.76,2,1,0,1,0,1,0,0,1,0,national
2025,ND,38001,,5493003V40VGM7YDFM54,,5,2,1,11.76,3,2,0,0,0,1,1,0,0,0,national
2025,ND,38001,,213800XR2TCBQJSF1X93,,1,1,0,5.88,1,0,0,0,0,1,0,0,0,0,national
2025,ND,38001,,5493002LPXKMOZNXUY90,,1,1,0,5.88,1,0,0,0,0,1,0,0,0,0,national
2025,ND,38001,,549300AG64NHILB7ZP05,,1,1,0,5.88,0,1,0,0,0,0,1,0,0,0,national
2025,ND,38001,,549300KJ8PAJ7E52HG32,,1,1,0,5.88,1,0,0,0,0,1,0,0,0,0,national
2025,ND,38001,,549300R7HGHP2I754087,,1,1,0,5.88,0,1,0,0,0,0,1,0,0,0,national
2025,ND,38001,,RVDPPPGHCGZ40J4VQ731,,1,1,0,5.88,1,0,0,0,0,1,0,0,0,0,national
2025,ND,38003,,213800THW6KSUL191M34,,61,48,4,29.63,58,1,2,0,0,45,1,2,0,0,national
2025,ND,38003,,549300J9E3YDKIBPUY45,,21,19,0,11.73,21,0,0,0,0,19,0,0,0,0,national
2025,ND,38003,,549300UQPFB0RR8JCA42,,14,12,0,7.41,14,0,0,0,0,12,0,0,0,0,national
2025,ND,38003,,549300MGPZBLQDIL7538,,10,9,0,5.56,7,3,0,0,0,6,3,0,0,0,national
2025,ND,38003,,549300FGXN1K3HLB1R50,,12,7,3,4.32,9,3,0,0,0,5,2,0,0,0,national
2025,ND,38003,,549300TQVOMKNKFOH392,,9,7,1,4.32,8,0,1,0,0,6,0,1,0,0,national
2025,ND,38003,,254900378RFGMBEKAF12,,6,4,0,2.47,6,0,0,0,0,4,0,0,0,0,national
2025,ND,38003,,549300DD5QQUHO6PCH70,,5,4,0,2.47,0,0,5,0,0,0,0,4,0,0,national
2025,ND,38003,,549300HW662MN1WU8550,,6,4,1,2.47,2,3,1,0,0,1,2,1,0,0,national
2025,ND,38003,,6BYL5QZYBDK8S7L73M02,,7,4,1,2.47,7,0,0,0,0,4,0,0,0,0,national
2025,ND,38003,,254900ASL383AJ6GSJ43,,3,3,0,1.85,3,0,0,0,0,3,0,0,0,0,national
2025,ND,38003,,549300U3721PJGQZYY68,,4,3,0,1.85,0,1,3,0,0,0,1,2,0,0,national
2025,ND,38003,,54930019RBT2SM6CQS78,,2,2,0,1.23,2,0,0,0,0,2,0,0,0,0,national
2025,ND,38003,,5493001GCBD5XGNIC815,,5,2,0,1.23,5,0,0,0,0,2,0,0,0,0,national
2025,ND,38003,,5493002LPXKMOZNXUY90,,2,2,0,1.23,2,0,0,0,0,2,0,0,0,0,national
2025,ND,38003,,549300PLVU3OBFUIPI18,,2,2,0,1.23,1,1,0,0,0,1,1,0,0,0,national
2025,ND,38003,,254900R1W1FMZ4RIZ113,,1,1,0,0.62,1,0,0,0,0,1,0,0,0,0,national
2025,ND,38003,,254900UL88QFG0E40516,,3,1,0,0.62,3,0,0,0,0,1,0,0,0,0,national
2025,ND,38003,,254900Y3CWQSLFVW8D53,,1,1,0,0.62,1,0,0,0,0,1,0,0,0,0,national
2025,ND,38003,,254900YPPMV9UM5FUW09,,1,1,0,0.62,0,0,1,0,0,0,0,1,0,0,national
2025,ND,38003,,5493000JZXUB8NOEMF64,,1,1,0,0.62,1,0,0,0,0,1,0,0,0,0,national
2025,ND,38003,,5493003LIT6MPMIF5W07,,1,1,0,0.62,1,0,0,0,0,1,0,0,0,0,national
2025,ND,38003,,5493006JISETNI0GLE61,,1,1,0,0.62,1,0,0,0,0,1,0,0,0,0,national
2025,ND,38003,,54930082GM1TWV6QVI24,,1,1,0,0.62,1,0,0,0,0,1,0,0,0,0,national
2025,ND,38003,,5493008SV4X2EID9J711,,1,1,0,0.62,1,0,0,0,0,1,0,0,0,0,national
2025,ND,38003,,549300AG64NHILB7ZP05,,3,1,1,0.62,3,0,0,0,0,1,0,0,0,0,national
2025,ND,38003,,549300BB4LSE4JRRGV15,,1,1,0,0.62,1,0,0,0,0,1,0,0,0,0,national
2025,ND,38003,,549300BLL6VL7AXWYP56,,1,1,0,0.62,1,0,0,0,0,1,0,0,0,0,national
2025,ND,38003,,549300C4J510S9L1RF98,,1,1,0,0.62,1,0,0,0,0,1,0,0,0,0,national
2025,ND,38003,,549300INKSPQCTELMO58,,1,1,0,0.62,1,0,0,0,0,1,0,0,0,0,national
2025,ND,38003,,549300JYXTZDSPJEPI44,,1,1,0,0.62,0,1,0,0,0,0,1,0,0,0,national
2025,ND,38003,,549300LBCBNR1OT00651,,1,1,0,0.62,1,0,0,0,0,1,0,0,0,0,national
