year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,ND,549300TQVOMKNKFOH392,,3105,2368,38017:747; 38015:459; 38035:254; 38101:201; 38105:155,2161,140,63,4,0,91.26,5.91,2.66,national
2025,ND,5493002LPXKMOZNXUY90,,1110,941,38017:262; 38101:175; 38015:139; 38035:69; 38105:60,752,113,71,5,0,79.91,12.01,7.55,national
2025,ND,549300HW662MN1WU8550,,881,725,38017:208; 38035:160; 38015:107; 38101:38; 38059:37,424,129,170,2,0,58.48,17.79,23.45,national
2025,ND,549300WYBPIWKK6SQC06,,806,674,38017:580; 38077:58; 38035:9; 38015:7; 38021:4,641,19,13,1,0,95.1,2.82,1.93,national
2025,ND,549300FGXN1K3HLB1R50,,830,549,38017:98; 38015:77; 38105:52; 38101:51; 38035:36,374,114,61,0,0,68.12,20.77,11.11,national
2025,ND,213800THW6KSUL191M34,,675,518,38017:123; 38093:73; 38003:48; 38035:47; 38015:41,463,35,15,5,0,89.38,6.76,2.9,national
2025,ND,549300VF12R0WS33KN43,,646,516,38015:242; 38059:111; 38017:65; 38057:52; 38055:12,466,43,6,1,0,90.31,8.33,1.16,national
2025,ND,5493000JZXUB8NOEMF64,,570,469,38101:217; 38017:187; 38061:15; 38075:9; 38049:8,337,57,71,4,0,71.86,12.15,15.14,national
2025,ND,549300MGPZBLQDIL7538,,504,382,38105:77; 38015:61; 38017:58; 38053:53; 38093:32,201,154,22,5,0,52.62,40.31,5.76,national
2025,ND,549300UONVHJ0G6DSL23,,365,326,38015:82; 38089:54; 38017:50; 38101:36; 38059:24,304,14,1,7,0,93.25,4.29,0.31,national
2025,ND,5493002POZ4RFS6X0Z30,,351,281,38015:101; 38089:89; 38059:42; 38011:8; 38025:6,232,34,8,7,0,82.56,12.1,2.85,national
2025,ND,549300DD5QQUHO6PCH70,,500,276,38101:73; 38017:41; 38105:25; 38035:18; 38089:16,7,10,259,0,0,2.54,3.62,93.84,national
2025,ND,6BYL5QZYBDK8S7L73M02,,486,239,38017:79; 38015:33; 38089:24; 38035:21; 38059:12,219,16,4,0,0,91.63,6.69,1.67,national
2025,ND,549300C4J510S9L1RF98,,295,235,38017:106; 38035:99; 38099:13; 38097:5; 38077:2,226,6,3,0,0,96.17,2.55,1.28,national
2025,ND,5493005A0757T9GRRI44,,254,205,38017:69; 38101:65; 38015:37; 38059:8; 38055:7,177,17,11,0,0,86.34,8.29,5.37,national
2025,ND,5493001GDRY0EL7VG372,,231,176,38101:74; 38089:31; 38015:25; 38035:17; 38059:8,61,49,64,2,0,34.66,27.84,36.36,national
2025,ND,549300PLVU3OBFUIPI18,,191,172,38017:155; 38077:4; 38097:3; 38003:2; 38035:2,125,32,15,0,0,72.67,18.6,8.72,national
2025,ND,549300BB4LSE4JRRGV15,,211,168,38017:62; 38015:30; 38019:13; 38035:11; 38089:9,166,0,0,2,0,98.81,0.0,0.0,national
2025,ND,54930019RBT2SM6CQS78,,214,166,38015:71; 38059:33; 38017:17; 38021:12; 38079:7,157,9,0,0,0,94.58,5.42,0.0,national
2025,ND,25490041EP8QZWCBA097,,154,145,38101:104; 38055:13; 38009:8; 38061:6; 38049:4,145,0,0,0,0,100.0,0.0,0.0,national
2025,ND,549300INKSPQCTELMO58,,169,136,38089:33; 38035:29; 38017:26; 38015:21; 38059:8,71,44,20,1,0,52.21,32.35,14.71,national
2025,ND,549300AT7EB9FJAF0E61,,189,135,38017:42; 38035:40; 38099:9; 38077:8; 38101:8,128,1,4,2,0,94.81,0.74,2.96,national
2025,ND,254900P681DTTH4I3144,,170,121,38017:88; 38071:17; 38019:5; 38077:3; 38035:2,109,9,3,0,0,90.08,7.44,2.48,national
2025,ND,549300AG64NHILB7ZP05,,243,121,38101:40; 38017:15; 38105:8; 38089:7; 38015:7,63,34,24,0,0,52.07,28.1,19.83,national
2025,ND,549300C5STIFBCFMRJ96,,138,120,38015:82; 38059:16; 38089:7; 38017:6; 38043:3,110,7,3,0,0,91.67,5.83,2.5,national
2025,ND,549300AQ3T62GXDU7D76,,142,112,38017:82; 38089:11; 38105:5; 38059:3; 38019:2,80,28,4,0,0,71.43,25.0,3.57,national
2025,ND,RVDPPPGHCGZ40J4VQ731,,246,110,38017:26; 38101:19; 38015:15; 38089:13; 38059:6,62,16,31,1,0,56.36,14.55,28.18,national
2025,ND,549300FNXYY540N23N64,,271,109,38017:46; 38015:16; 38105:7; 38059:6; 38089:5,60,15,33,1,0,55.05,13.76,30.28,national
2025,ND,549300UQPFB0RR8JCA42,,125,109,38017:20; 38089:19; 38101:17; 38003:12; 38093:7,96,8,4,1,0,88.07,7.34,3.67,national
2025,ND,549300XQVJ1XBNFA5536,,390,108,38059:24; 38015:21; 38089:20; 38017:14; 38035:10,108,0,0,0,0,100.0,0.0,0.0,national
2025,ND,5493003LIT6MPMIF5W07,,126,106,38017:26; 38015:19; 38053:16; 38101:10; 38089:9,106,0,0,0,0,100.0,0.0,0.0,national
2025,ND,549300LH06ZZHKPX5U83,,136,105,38015:61; 38059:15; 38055:10; 38029:6; 38061:5,105,0,0,0,0,100.0,0.0,0.0,national
2025,ND,549300VZVN841I2ILS84,,155,104,38105:54; 38053:14; 38015:9; 38017:7; 38089:4,60,33,10,1,0,57.69,31.73,9.62,national
2025,ND,549300U3721PJGQZYY68,,194,101,38017:63; 38015:8; 38105:5; 38059:4; 38073:4,58,24,18,1,0,57.43,23.76,17.82,national
2025,ND,549300TSZB60GNONKL22,,117,97,38015:52; 38059:32; 38043:4; 38101:3; 38035:1,97,0,0,0,0,100.0,0.0,0.0,national
2025,ND,549300XRB0LTJL53XI04,,108,94,38093:67; 38029:8; 38051:7; 38015:3; 38017:2,94,0,0,0,0,100.0,0.0,0.0,national
2025,ND,549300J9E3YDKIBPUY45,,101,93,38017:34; 38003:19; 38035:12; 38093:10; 38027:4,93,0,0,0,0,100.0,0.0,0.0,national
2025,ND,549300LYRWPSYPK6S325,,238,89,38017:21; 38101:14; 38015:13; 38035:11; 38105:7,3,29,57,0,0,3.37,32.58,64.04,national
2025,ND,549300OPWL6MYY9SXF04,,108,88,38089:40; 38105:37; 38033:3; 38041:3; 38017:1,58,22,2,6,0,65.91,25.0,2.27,national
2025,ND,5493008SV4X2EID9J711,,92,85,38017:69; 38077:5; 38035:3; 38097:3; 38089:1,59,13,13,0,0,69.41,15.29,15.29,national
2025,ND,549300E2UX99HKDBR481,,203,83,38017:15; 38015:14; 38105:11; 38101:10; 38059:7,34,43,6,0,0,40.96,51.81,7.23,national
2025,ND,54930078TNN7GKZ7NU89,,96,80,38089:51; 38015:13; 38059:4; 38025:4; 38057:2,43,21,12,4,0,53.75,26.25,15.0,national
2025,ND,549300LBCBNR1OT00651,,111,74,38015:14; 38017:11; 38035:8; 38101:7; 38105:6,53,12,9,0,0,71.62,16.22,12.16,national
2025,ND,5493003GQDUH26DNNH17,,138,72,38101:31; 38017:10; 38015:9; 38035:7; 38105:4,24,0,48,0,0,33.33,0.0,66.67,national
2025,ND,C398JSK21YCXWM603F55,,85,64,38035:55; 38017:3; 38009:1; 38105:1; 38057:1,38,8,13,5,0,59.38,12.5,20.31,national
2025,ND,54930082GM1TWV6QVI24,,82,61,38017:15; 38035:14; 38071:5; 38099:4; 38077:4,56,3,1,1,0,91.8,4.92,1.64,national
2025,ND,549300R8N9KVQUKVNJ71,,62,61,38035:37; 38097:13; 38017:7; 38091:2; 38093:1,61,0,0,0,0,100.0,0.0,0.0,national
2025,ND,549300OHXNUMVE33Q475,,89,58,38017:36; 38035:13; 38077:2; 38067:2; 38031:1,55,3,0,0,0,94.83,5.17,0.0,national
2025,ND,254900UL88QFG0E40516,,123,57,38017:15; 38101:8; 38035:8; 38015:5; 38093:4,57,0,0,0,0,100.0,0.0,0.0,national
2025,ND,5493003V40VGM7YDFM54,,94,57,38017:27; 38015:13; 38089:10; 38059:2; 38001:2,19,34,3,1,0,33.33,59.65,5.26,national
2025,ND,2549004EEJO192FMAC61,,56,56,38067:23; 38017:16; 38035:9; 38099:6; 38071:1,56,0,0,0,0,100.0,0.0,0.0,national
2025,ND,5493000N2MFQSET3L013,,62,56,38017:17; 38099:16; 38071:11; 38067:6; 38035:3,56,0,0,0,0,100.0,0.0,0.0,national
2025,ND,KB1H1DSPRFMYMCUFXT09,,115,56,38017:22; 38101:8; 38105:6; 38035:3; 38015:3,55,0,1,0,0,98.21,0.0,1.79,national
2025,ND,549300JLXD89NGKXMS84,,95,53,38101:15; 38093:13; 38015:12; 38059:5; 38017:2,28,11,11,3,0,52.83,20.75,20.75,national
2025,ND,5493001GCBD5XGNIC815,,178,52,38017:15; 38101:8; 38015:8; 38071:2; 38105:2,52,0,0,0,0,100.0,0.0,0.0,national
2025,ND,549300P4RGN7F1H2N265,,51,47,38015:23; 38059:14; 38089:2; 38057:2; 38065:2,47,0,0,0,0,100.0,0.0,0.0,national
2025,ND,549300GKFNPRWNS0GF29,,61,44,38017:31; 38077:2; 38097:2; 38055:2; 38045:2,26,9,8,1,0,59.09,20.45,18.18,national
2025,ND,549300SI84V60XS2R422,,43,43,38015:9; 38051:9; 38029:9; 38045:6; 38093:2,43,0,0,0,0,100.0,0.0,0.0,national
2025,ND,3F3G50WF6GG95B8BM859,,44,42,38035:31; 38017:8; 38097:1; 38067:1; 38021:1,42,0,0,0,0,100.0,0.0,0.0,national
2025,ND,549300YIQ7S7Z8PIHE53,,159,42,38017:11; 38015:5; 38105:3; 38035:2; 38077:2,27,12,3,0,0,64.29,28.57,7.14,national
2025,ND,254900378RFGMBEKAF12,,57,41,38017:24; 38003:4; 38077:2; 38081:2; 38067:2,41,0,0,0,0,100.0,0.0,0.0,national
2025,ND,C5654JQHZUHN0772B561,,81,41,38101:12; 38017:9; 38035:4; 38015:4; 38105:2,3,0,38,0,0,7.32,0.0,92.68,national
2025,ND,254900WEP08K7U7S3A80,,44,40,38035:26; 38099:5; 38097:2; 38017:2; 38067:1,22,15,3,0,0,55.0,37.5,7.5,national
2025,ND,549300ZZZUYWXK72JD21,,53,40,38035:30; 38015:2; 38097:2; 38101:1; 38039:1,40,0,0,0,0,100.0,0.0,0.0,national
2025,ND,549300F8C5JA44WNMI75,,47,38,38105:12; 38053:11; 38089:7; 38015:2; 38023:2,20,15,2,1,0,52.63,39.47,5.26,national
