year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,NE,31001,,549300PZ44DNQDPOV865,,203,179,4,32.6,173,22,7,1,0,154,19,5,1,0,national
2025,NE,31001,,549300GG5XNEIGHQTG04,,71,44,11,8.01,34,29,5,3,0,23,16,4,1,0,national
2025,NE,31001,,549300FGXN1K3HLB1R50,,47,30,12,5.46,37,6,4,0,0,23,3,4,0,0,national
2025,NE,31001,,2549003Q4MH7EVI34Z09,,27,25,1,4.55,27,0,0,0,0,25,0,0,0,0,national
2025,NE,31001,,549300QLO8TSQW5JTK72,,20,20,0,3.64,20,0,0,0,0,20,0,0,0,0,national
2025,NE,31001,,6BYL5QZYBDK8S7L73M02,,41,20,19,3.64,38,3,0,0,0,17,3,0,0,0,national
2025,NE,31001,,5493000H7FLU47PQYQ10,,20,14,1,2.55,20,0,0,0,0,14,0,0,0,0,national
2025,NE,31001,,254900IL7D0ACZ6YVF12,,16,13,1,2.37,16,0,0,0,0,13,0,0,0,0,national
2025,NE,31001,,549300DD5QQUHO6PCH70,,19,13,4,2.37,2,2,15,0,0,1,2,10,0,0,national
2025,NE,31001,,LDVFX8JEECFFE8HRWA73,,17,11,3,2.0,14,3,0,0,0,9,2,0,0,0,national
2025,NE,31001,,KB1H1DSPRFMYMCUFXT09,,11,8,0,1.46,9,1,1,0,0,6,1,1,0,0,national
2025,NE,31001,,RVDPPPGHCGZ40J4VQ731,,17,8,3,1.46,8,8,1,0,0,5,2,1,0,0,national
2025,NE,31001,,5493009DQQ81725XIJ49,,8,7,0,1.28,8,0,0,0,0,7,0,0,0,0,national
2025,NE,31001,,549300N3JBQ15RQ7AV97,,11,7,0,1.28,2,7,2,0,0,1,6,0,0,0,national
2025,NE,31001,,549300JRDGV1559XM376,,6,6,0,1.09,5,1,0,0,0,5,1,0,0,0,national
2025,NE,31001,,549300K5SWOZ1F2OHY48,,7,6,1,1.09,7,0,0,0,0,6,0,0,0,0,national
2025,NE,31001,,549300LYRWPSYPK6S325,,15,6,1,1.09,1,11,3,0,0,1,3,2,0,0,national
2025,NE,31001,,549300MGPZBLQDIL7538,,8,6,0,1.09,4,4,0,0,0,3,3,0,0,0,national
2025,NE,31001,,549300U3721PJGQZYY68,,10,6,1,1.09,8,2,0,0,0,5,1,0,0,0,national
2025,NE,31001,,254900ZK2F0EPOFMKG41,,5,5,0,0.91,5,0,0,0,0,5,0,0,0,0,national
2025,NE,31001,,549300CB67L6KPJLHE19,,11,5,3,0.91,11,0,0,0,0,5,0,0,0,0,national
2025,NE,31001,,549300HW662MN1WU8550,,9,5,1,0.91,2,2,5,0,0,1,2,2,0,0,national
2025,NE,31001,,549300U82B82JH54TO79,,6,5,0,0.91,5,1,0,0,0,4,1,0,0,0,national
2025,NE,31001,,254900QLC1XSIUN3OF82,,5,4,0,0.73,5,0,0,0,0,4,0,0,0,0,national
2025,NE,31001,,254900UL88QFG0E40516,,6,4,1,0.73,6,0,0,0,0,4,0,0,0,0,national
2025,NE,31001,,549300AG64NHILB7ZP05,,5,4,1,0.73,3,2,0,0,0,2,2,0,0,0,national
2025,NE,31001,,549300J3YLW53W0K4T67,,7,4,2,0.73,3,4,0,0,0,1,3,0,0,0,national
2025,NE,31001,,549300XQVJ1XBNFA5536,,16,4,6,0.73,16,0,0,0,0,4,0,0,0,0,national
2025,NE,31001,,254900U0LVIJMXKBGT11,,4,3,0,0.55,4,0,0,0,0,3,0,0,0,0,national
2025,NE,31001,,5493004T9SQFCNRQ2L76,,3,3,0,0.55,0,2,1,0,0,0,2,1,0,0,national
2025,NE,31001,,549300BLL6VL7AXWYP56,,5,3,0,0.55,3,2,0,0,0,2,1,0,0,0,national
2025,NE,31001,,549300E2UX99HKDBR481,,12,3,2,0.55,4,8,0,0,0,0,3,0,0,0,national
2025,NE,31001,,549300LBCBNR1OT00651,,4,3,0,0.55,4,0,0,0,0,3,0,0,0,0,national
2025,NE,31001,,549300OPCWU6E72WUT29,,3,3,0,0.55,3,0,0,0,0,3,0,0,0,0,national
2025,NE,31001,,549300RFSMIRUODUVW59,,10,3,2,0.55,9,0,1,0,0,3,0,0,0,0,national
2025,NE,31001,,549300TTNSX94TR06G13,,7,3,3,0.55,7,0,0,0,0,3,0,0,0,0,national
2025,NE,31001,,R6KJ2D7C3UT8OVTWHS39,,5,3,0,0.55,5,0,0,0,0,3,0,0,0,0,national
2025,NE,31001,,254900378RFGMBEKAF12,,2,2,0,0.36,2,0,0,0,0,2,0,0,0,0,national
2025,NE,31001,,25490066WMF8ZMQXQB18,,2,2,0,0.36,2,0,0,0,0,2,0,0,0,0,national
2025,NE,31001,,5493001GCBD5XGNIC815,,8,2,0,0.36,8,0,0,0,0,2,0,0,0,0,national
2025,NE,31001,,54930054ET8KM4O1D485,,4,2,0,0.36,4,0,0,0,0,2,0,0,0,0,national
2025,NE,31001,,5493006P5IHSK77SZ855,,2,2,0,0.36,1,1,0,0,0,1,1,0,0,0,national
2025,NE,31001,,549300FNXYY540N23N64,,2,2,0,0.36,1,1,0,0,0,1,1,0,0,0,national
2025,NE,31001,,549300NB3SBC1KHAWB92,,2,2,0,0.36,0,1,1,0,0,0,1,1,0,0,national
2025,NE,31001,,549300NOCASXPA34X033,,3,2,0,0.36,0,2,1,0,0,0,1,1,0,0,national
2025,NE,31001,,549300OUJRW41FX1L002,,2,2,0,0.36,1,1,0,0,0,1,1,0,0,0,national
2025,NE,31001,,549300PC4MFWQBNVKG88,,2,2,0,0.36,1,1,0,0,0,1,1,0,0,0,national
2025,NE,31001,,549300VORTI31GZTJL53,,2,2,0,0.36,1,1,0,0,0,1,1,0,0,0,national
2025,NE,31001,,549300YIQ7S7Z8PIHE53,,14,2,9,0.36,6,8,0,0,0,1,1,0,0,0,national
2025,NE,31001,,254900PCN2EQDRMIHV68,,1,1,0,0.18,0,1,0,0,0,0,1,0,0,0,national
2025,NE,31001,,254900SCAXHT20CVF122,,1,1,0,0.18,1,0,0,0,0,1,0,0,0,0,national
2025,NE,31001,,254900ZFWS2106HWPH46,,1,1,0,0.18,0,1,0,0,0,0,1,0,0,0,national
