year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,NH,33011,,16612,10413,2619,15.77,6002,6035,4575,36.13,36.33,14207,1356,1018,31,0,85.52,8.16,6.13,8984,802,601,26,0,86.28,7.7,5.77,national
2025,NH,33015,,14249,8943,2328,16.34,4940,5058,4251,34.67,35.5,12637,934,672,6,0,88.69,6.55,4.72,8017,535,385,6,0,89.65,5.98,4.31,national
2025,NH,33013,,6235,3862,927,14.87,2374,2158,1703,38.08,34.61,5217,530,454,34,0,83.67,8.5,7.28,3242,319,277,24,0,83.95,8.26,7.17,national
2025,NH,33017,,5255,3261,800,15.22,1953,1836,1466,37.16,34.94,4410,403,411,31,0,83.92,7.67,7.82,2775,210,251,25,0,85.1,6.44,7.7,national
2025,NH,33009,,3320,1984,590,17.77,1355,1060,905,40.81,31.93,2871,222,223,4,0,86.48,6.69,6.72,1757,106,119,2,0,88.56,5.34,6.0,national
2025,NH,33001,,3279,1966,561,17.11,1246,1105,928,38.0,33.7,2772,282,217,8,0,84.54,8.6,6.62,1690,146,122,8,0,85.96,7.43,6.21,national
2025,NH,33003,,3223,1914,602,18.68,1183,1083,957,36.7,33.6,2848,206,158,11,0,88.36,6.39,4.9,1716,101,90,7,0,89.66,5.28,4.7,national
2025,NH,33005,,2661,1607,468,17.59,1055,907,699,39.65,34.08,2074,323,225,39,0,77.94,12.14,8.46,1262,187,128,30,0,78.53,11.64,7.97,national
2025,NH,33019,,1515,939,295,19.47,591,500,424,39.01,33.0,1205,176,125,9,0,79.54,11.62,8.25,739,110,83,7,0,78.7,11.71,8.84,national
2025,NH,33007,,1291,687,295,22.85,532,413,346,41.21,31.99,1003,166,117,5,0,77.69,12.86,9.06,540,79,64,4,0,78.6,11.5,9.32,national
