year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,NH,DRMSV1Q0EKMEXLAU1P80,,4969,3194,33015:1003; 33011:988; 33013:322; 33017:243; 33003:166,3186,6,2,0,0,99.75,0.19,0.06,national
2025,NH,549300GKFNPRWNS0GF29,,3450,2466,33011:582; 33015:504; 33013:413; 33017:371; 33005:194,1905,246,181,134,0,77.25,9.98,7.34,national
2025,NH,549300FGXN1K3HLB1R50,,3124,2297,33011:689; 33015:532; 33013:272; 33017:165; 33005:133,1900,257,140,0,0,82.72,11.19,6.09,national
2025,NH,549300HW662MN1WU8550,,2488,1967,33011:656; 33015:480; 33013:234; 33017:220; 33009:99,1439,276,252,0,0,73.16,14.03,12.81,national
2025,NH,254900P7WLDQD9IUL038,,2300,1321,33015:423; 33011:222; 33017:199; 33005:127; 33013:118,1310,0,11,0,0,99.17,0.0,0.83,national
2025,NH,03D0JEWFDFUS0SEEKG89,,1811,997,33011:322; 33015:268; 33013:110; 33005:81; 33017:63,996,1,0,0,0,99.9,0.1,0.0,national
2025,NH,549300YKOCNDPE0N7X40,,1512,967,33011:499; 33015:231; 33013:143; 33001:27; 33017:20,967,0,0,0,0,100.0,0.0,0.0,national
2025,NH,549300EMNDEK4BA8WB53,,928,806,33015:200; 33011:188; 33009:131; 33013:102; 33019:67,658,86,62,0,0,81.64,10.67,7.69,national
2025,NH,549300MGPZBLQDIL7538,,958,707,33011:222; 33015:152; 33013:92; 33017:51; 33001:50,558,97,52,0,0,78.93,13.72,7.36,national
2025,NH,549300AQ3T62GXDU7D76,,970,688,33011:344; 33015:152; 33013:64; 33003:33; 33001:26,556,92,40,0,0,80.81,13.37,5.81,national
2025,NH,549300VZVN841I2ILS84,,965,678,33015:235; 33011:234; 33017:43; 33013:41; 33003:40,543,97,38,0,0,80.09,14.31,5.6,national
