year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,NJ,34029,,29366,17229,4854,16.53,10722,10308,8336,36.51,35.1,24974,3134,1212,46,0,85.04,10.67,4.13,14921,1642,632,34,0,86.6,9.53,3.67,yes
2025,NJ,34003,Bergen,28715,15503,5178,18.03,10667,9522,8526,37.15,33.16,26209,2042,457,7,0,91.27,7.11,1.59,14331,938,231,3,0,92.44,6.05,1.49,yes
2025,NJ,34025,,26425,15448,4341,16.43,9986,8991,7448,37.79,34.02,23972,1833,609,11,0,90.72,6.94,2.3,14268,886,289,5,0,92.36,5.74,1.87,yes
2025,NJ,34023,,26149,14147,4782,18.29,9761,9235,7153,37.33,35.32,22873,2673,586,17,0,87.47,10.22,2.24,12552,1303,283,9,0,88.73,9.21,2.0,yes
2025,NJ,34005,,20617,11791,3558,17.26,7270,7708,5639,35.26,37.39,16145,2849,1590,33,0,78.31,13.82,7.71,9417,1513,840,21,0,79.87,12.83,7.12,yes
2025,NJ,34007,,21015,11712,3913,18.62,7641,7832,5542,36.36,37.27,16391,3543,1045,36,0,78.0,16.86,4.97,9319,1829,540,24,0,79.57,15.62,4.61,yes
2025,NJ,34013,,22930,11644,4413,19.25,8842,8566,5522,38.56,37.36,19083,3329,504,14,0,83.22,14.52,2.2,9968,1443,229,4,0,85.61,12.39,1.97,yes
2025,NJ,34027,,17904,10494,2645,14.77,6894,5943,5067,38.51,33.19,16252,1282,363,7,0,90.77,7.16,2.03,9675,638,177,4,0,92.2,6.08,1.69,yes
2025,NJ,34039,,16330,8654,3058,18.73,6066,5968,4296,37.15,36.55,13657,2294,370,9,0,83.63,14.05,2.27,7406,1061,180,7,0,85.58,12.26,2.08,yes
2025,NJ,34015,,13741,8040,2430,17.68,5150,4899,3692,37.48,35.65,10689,2178,844,30,0,77.79,15.85,6.14,6353,1206,460,21,0,79.02,15.0,5.72,yes
2025,NJ,34021,,12921,7366,2120,16.41,5328,4635,2958,41.24,35.87,11184,1353,367,17,0,86.56,10.47,2.84,6548,641,167,10,0,88.89,8.7,2.27,yes
2025,NJ,34017,,13890,7032,2622,18.88,6827,4277,2786,49.15,30.79,12741,964,183,2,0,91.73,6.94,1.32,6536,418,77,1,0,92.95,5.94,1.09,yes
2025,NJ,34031,,13495,6997,2716,20.13,4906,4804,3785,36.35,35.6,11232,1974,285,4,0,83.23,14.63,2.11,5876,975,145,1,0,83.98,13.93,2.07,yes
2025,NJ,34035,,11584,6702,1793,15.48,4506,3945,3133,38.9,34.06,10424,911,239,10,0,89.99,7.86,2.06,6126,448,121,7,0,91.41,6.68,1.81,yes
2025,NJ,34001,,11432,6224,2147,18.78,4622,3761,3049,40.43,32.9,9370,1522,519,21,0,81.96,13.31,4.54,5189,750,273,12,0,83.37,12.05,4.39,yes
2025,NJ,34009,,6716,4121,1046,15.57,3043,2061,1612,45.31,30.69,6189,310,215,2,0,92.15,4.62,3.2,3864,157,99,1,0,93.76,3.81,2.4,yes
2025,NJ,34037,,7410,4116,1236,16.68,2748,2595,2067,37.09,35.02,5850,1150,400,10,0,78.95,15.52,5.4,3298,611,201,6,0,80.13,14.84,4.88,yes
2025,NJ,34019,,4968,2982,754,15.18,1769,1665,1534,35.61,33.51,4494,329,142,3,0,90.46,6.62,2.86,2760,144,76,2,0,92.56,4.83,2.55,yes
2025,NJ,34011,,5186,2744,1045,20.15,2171,1883,1132,41.86,36.31,3461,1355,350,20,0,66.74,26.13,6.75,1802,737,195,10,0,65.67,26.86,7.11,yes
2025,NJ,34041,,4819,2736,839,17.41,1820,1657,1342,37.77,34.38,3794,765,245,15,0,78.73,15.87,5.08,2222,382,126,6,0,81.21,13.96,4.61,yes
2025,NJ,34033,,2916,1643,505,17.32,1265,1032,619,43.38,35.39,2059,634,208,15,0,70.61,21.74,7.13,1175,351,111,6,0,71.52,21.36,6.76,yes
