year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,NJ,34001,,549300FGXN1K3HLB1R50,,561,401,103,6.44,463,77,21,0,0,344,38,19,0,0,yes
2025,NJ,34001,,549300DE8TS4EYTPX729,,539,381,10,6.12,378,138,20,3,0,272,92,14,3,0,yes
2025,NJ,34001,,254900F9ZTVTX763V835,,369,298,10,4.79,259,98,11,1,0,214,75,8,1,0,yes
2025,NJ,34001,,549300VZVN841I2ILS84,,369,242,20,3.89,285,66,17,1,0,195,34,12,1,0,yes
2025,NJ,34001,,03D0JEWFDFUS0SEEKG89,,475,235,122,3.78,475,0,0,0,0,235,0,0,0,0,yes
2025,NJ,34001,,5493002N5168AC238149,,318,214,49,3.44,315,2,1,0,0,211,2,1,0,0,yes
2025,NJ,34001,,549300U3721PJGQZYY68,,274,157,23,2.52,243,24,7,0,0,139,13,5,0,0,yes
2025,NJ,34001,,5493006VCMZ998IGOO33,,210,154,20,2.47,125,78,6,1,0,86,61,6,1,0,yes
2025,NJ,34001,,DRMSV1Q0EKMEXLAU1P80,,285,154,94,2.47,283,1,1,0,0,153,1,0,0,0,yes
2025,NJ,34001,,549300AG64NHILB7ZP05,,225,151,33,2.43,172,40,13,0,0,113,25,13,0,0,yes
2025,NJ,34001,,549300HW662MN1WU8550,,250,145,54,2.33,117,81,51,1,0,74,33,37,1,0,yes
2025,NJ,34001,,AD6GFRVSDT01YPT1CS68,,310,142,100,2.28,310,0,0,0,0,142,0,0,0,0,yes
2025,NJ,34001,,54930063XGNMIXS57091,,250,130,73,2.09,250,0,0,0,0,130,0,0,0,0,yes
2025,NJ,34001,,RVDPPPGHCGZ40J4VQ731,,255,127,34,2.04,155,78,21,1,0,86,33,8,0,0,yes
2025,NJ,34001,,5493005PKOSG7MYX0B34,,175,124,9,1.99,152,16,7,0,0,109,11,4,0,0,yes
2025,NJ,34001,,B4TYDEB6GKMZO031MB27,,380,121,149,1.94,379,1,0,0,0,121,0,0,0,0,yes
2025,NJ,34001,,5493001SXWZ4OFP8Z903,,175,115,13,1.85,131,37,7,0,0,89,20,6,0,0,yes
2025,NJ,34001,,5493006VI8ZWLFWG2K57,,145,107,28,1.72,145,0,0,0,0,107,0,0,0,0,yes
2025,NJ,34001,,549300FNXYY540N23N64,,264,96,58,1.54,194,54,14,2,0,71,17,6,2,0,yes
2025,NJ,34001,,DZC62HF6UIZYJ08V1J90,,174,90,58,1.45,171,2,1,0,0,89,1,0,0,0,yes
2025,NJ,34001,,549300GKFNPRWNS0GF29,,123,75,12,1.21,94,14,9,6,0,59,9,6,1,0,yes
2025,NJ,34001,,254900O2K17TNH5CL873,,81,69,0,1.11,81,0,0,0,0,69,0,0,0,0,yes
2025,NJ,34001,,KB1H1DSPRFMYMCUFXT09,,112,67,14,1.08,106,5,1,0,0,63,3,1,0,0,yes
2025,NJ,34001,,549300RPOGWJRH63HS39,,81,55,8,0.88,63,12,5,1,0,43,7,4,1,0,yes
2025,NJ,34001,,549300LBCBNR1OT00651,,79,54,18,0.87,63,15,1,0,0,46,8,0,0,0,yes
2025,NJ,34001,,5493002P6EVQ94HFYF14,,117,51,30,0.82,117,0,0,0,0,51,0,0,0,0,yes
2025,NJ,34001,,254900RUCO27MVGTO768,,73,50,3,0.8,73,0,0,0,0,50,0,0,0,0,yes
2025,NJ,34001,,5493003GQDUH26DNNH17,,141,50,43,0.8,127,0,14,0,0,42,0,8,0,0,yes
2025,NJ,34001,,549300LYRWPSYPK6S325,,161,48,21,0.77,26,101,34,0,0,7,28,13,0,0,yes
2025,NJ,34001,,549300E2UX99HKDBR481,,136,47,12,0.76,72,56,8,0,0,30,15,2,0,0,yes
2025,NJ,34001,,5493005DKMV1IHIM8E20,,77,46,11,0.74,71,6,0,0,0,42,4,0,0,0,yes
2025,NJ,34001,,5493006VAGP3GQ8FJT49,,95,46,7,0.74,95,0,0,0,0,46,0,0,0,0,yes
2025,NJ,34001,,6BYL5QZYBDK8S7L73M02,,77,44,20,0.71,73,3,1,0,0,42,2,0,0,0,yes
2025,NJ,34001,,JJKC32MCHWDI71265Z06,,78,44,22,0.71,77,0,1,0,0,43,0,1,0,0,yes
2025,NJ,34001,,7H6GLXDRUGQFU57RNE97,,67,43,7,0.69,66,1,0,0,0,42,1,0,0,0,yes
2025,NJ,34001,,549300F8C5JA44WNMI75,,67,40,4,0.64,40,23,4,0,0,25,11,4,0,0,yes
2025,NJ,34001,,549300YIQ7S7Z8PIHE53,,124,40,71,0.64,86,37,1,0,0,34,6,0,0,0,yes
2025,NJ,34001,,549300CGVVMPTCK0QG77,,74,37,19,0.59,74,0,0,0,0,37,0,0,0,0,yes
2025,NJ,34001,,635400IW1QMK3FNFF894,,58,36,5,0.58,38,19,1,0,0,26,9,1,0,0,yes
2025,NJ,34001,,549300DD5QQUHO6PCH70,,95,35,20,0.56,3,1,91,0,0,1,0,34,0,0,yes
2025,NJ,34001,,5493001GCBD5XGNIC815,,145,34,2,0.55,145,0,0,0,0,34,0,0,0,0,yes
2025,NJ,34001,,549300MCIFZSDHUT8X63,,51,33,2,0.53,41,10,0,0,0,25,8,0,0,0,yes
2025,NJ,34001,,WWB2V0FCW3A0EE3ZJN75,,62,32,19,0.51,57,5,0,0,0,31,1,0,0,0,yes
2025,NJ,34001,,549300DD4R4SYK5RAQ92,,50,30,8,0.48,41,6,3,0,0,25,3,2,0,0,yes
2025,NJ,34001,,549300PIL8LFAQ04XC20,,117,30,66,0.48,117,0,0,0,0,30,0,0,0,0,yes
2025,NJ,34001,,254900UL88QFG0E40516,,91,29,29,0.47,91,0,0,0,0,29,0,0,0,0,yes
2025,NJ,34001,,549300S6QGHHFR78KR45,,35,29,4,0.47,35,0,0,0,0,29,0,0,0,0,yes
2025,NJ,34001,,549300D4ZYLSQ5LMTV35,,34,28,2,0.45,27,6,1,0,0,22,5,1,0,0,yes
2025,NJ,34001,,549300EMNDEK4BA8WB53,,34,28,3,0.45,28,6,0,0,0,23,5,0,0,0,yes
2025,NJ,34001,,549300RYWXR8TL5LIK35,,41,25,4,0.4,28,12,1,0,0,16,8,1,0,0,yes
2025,NJ,34001,,54930062IKKOJW3K8L94,,35,24,9,0.39,35,0,0,0,0,24,0,0,0,0,yes
2025,NJ,34001,,25490066WMF8ZMQXQB18,,29,23,1,0.37,29,0,0,0,0,23,0,0,0,0,yes
2025,NJ,34001,,54930034MNPILHP25H80,,29,23,1,0.37,19,10,0,0,0,15,8,0,0,0,yes
2025,NJ,34001,,549300Y5Y88FQLI7VE83,,33,23,7,0.37,33,0,0,0,0,23,0,0,0,0,yes
2025,NJ,34001,,54930089Y8VTOF8RPD25,,34,22,6,0.35,33,1,0,0,0,21,1,0,0,0,yes
2025,NJ,34001,,549300GMP8EYQD4U6Z40,,28,22,0,0.35,27,1,0,0,0,21,1,0,0,0,yes
2025,NJ,34001,,549300GS0W0TEUQS8571,,24,22,0,0.35,24,0,0,0,0,22,0,0,0,0,yes
2025,NJ,34001,,549300OPCWU6E72WUT29,,40,22,11,0.35,14,25,1,0,0,8,13,1,0,0,yes
2025,NJ,34001,,549300N5GF79IZ5Y7G10,,45,21,18,0.34,45,0,0,0,0,21,0,0,0,0,yes
2025,NJ,34001,,54930054ET8KM4O1D485,,86,20,12,0.32,84,2,0,0,0,19,1,0,0,0,yes
2025,NJ,34001,,549300CB67L6KPJLHE19,,56,20,15,0.32,56,0,0,0,0,20,0,0,0,0,yes
2025,NJ,34001,,X05BVSK68TQ7YTOSNR22,,120,20,62,0.32,120,0,0,0,0,20,0,0,0,0,yes
2025,NJ,34001,,5493005PD34O8ZT7QT17,,29,18,4,0.29,29,0,0,0,0,18,0,0,0,0,yes
2025,NJ,34001,,984500U2F9A83N391A91,,33,18,8,0.29,33,0,0,0,0,18,0,0,0,0,yes
2025,NJ,34001,,2549007G9V4FYWWWDZ31,,20,17,0,0.27,8,11,1,0,0,7,9,1,0,0,yes
2025,NJ,34001,,5493003DHZPFGQQJCU86,,18,16,1,0.26,18,0,0,0,0,16,0,0,0,0,yes
2025,NJ,34001,,549300H12E7AUMUHP294,,26,16,0,0.26,16,9,1,0,0,10,5,1,0,0,yes
2025,NJ,34001,,549300MGPZBLQDIL7538,,21,16,0,0.26,16,1,2,2,0,12,1,2,1,0,yes
2025,NJ,34001,,549300XOOL3OJTITCV30,,26,16,7,0.26,26,0,0,0,0,16,0,0,0,0,yes
2025,NJ,34001,,254900HA4DQWAE0W3342,,23,15,2,0.24,11,12,0,0,0,7,8,0,0,0,yes
2025,NJ,34001,,549300NOCASXPA34X033,,66,14,32,0.22,36,25,5,0,0,12,2,0,0,0,yes
2025,NJ,34001,,549300RA3E0BUFO7YZ21,,27,14,10,0.22,27,0,0,0,0,14,0,0,0,0,yes
2025,NJ,34001,,254900DTLHVWQ7NP7R34,,20,13,4,0.21,20,0,0,0,0,13,0,0,0,0,yes
2025,NJ,34001,,5493008CPTDVOS570626,,30,13,13,0.21,30,0,0,0,0,13,0,0,0,0,yes
2025,NJ,34001,,549300KSOOZZVXCMA627,,17,13,0,0.21,17,0,0,0,0,13,0,0,0,0,yes
2025,NJ,34001,,549300TA4MQM8WN2XG31,,24,13,0,0.21,24,0,0,0,0,13,0,0,0,0,yes
2025,NJ,34001,,5493001WHVQBGRSWEU75,,17,12,1,0.19,15,1,1,0,0,10,1,1,0,0,yes
2025,NJ,34001,,54930091JQKCU3Z6IP44,,60,12,7,0.19,60,0,0,0,0,12,0,0,0,0,yes
2025,NJ,34001,,549300DSSN04C7ZJJD51,,17,12,1,0.19,17,0,0,0,0,12,0,0,0,0,yes
2025,NJ,34001,,549300XY701IELCE5Q08,,38,12,11,0.19,35,3,0,0,0,12,0,0,0,0,yes
2025,NJ,34001,,5493001GDRY0EL7VG372,,15,11,0,0.18,11,4,0,0,0,8,3,0,0,0,yes
2025,NJ,34001,,549300VORTI31GZTJL53,,13,11,0,0.18,10,2,1,0,0,8,2,1,0,0,yes
2025,NJ,34001,,549300XQVJ1XBNFA5536,,48,11,24,0.18,48,0,0,0,0,11,0,0,0,0,yes
2025,NJ,34001,,549300YN94MOAVYW0F52,,22,11,4,0.18,13,5,4,0,0,5,3,3,0,0,yes
2025,NJ,34001,,KI0VI4JRMCIJ329YTN75,,13,11,1,0.18,13,0,0,0,0,11,0,0,0,0,yes
2025,NJ,34001,,254900E6AIE4Z8YQM970,,11,10,0,0.16,11,0,0,0,0,10,0,0,0,0,yes
2025,NJ,34001,,254900U1OBL1MC6M6518,,13,10,0,0.16,13,0,0,0,0,10,0,0,0,0,yes
2025,NJ,34001,,5493008HV53MEILG2D59,,13,10,1,0.16,13,0,0,0,0,10,0,0,0,0,yes
2025,NJ,34001,,5493008NWHQT1R22C024,,37,10,9,0.16,20,15,1,1,0,7,3,0,0,0,yes
2025,NJ,34001,,549300J6N77Q8OHYNF23,,16,10,2,0.16,13,1,2,0,0,8,0,2,0,0,yes
2025,NJ,34001,,549300S5YL3OH0IVCS62,,14,10,0,0.16,3,11,0,0,0,2,8,0,0,0,yes
2025,NJ,34001,,549300ZPSJZO10ZAX556,,19,10,0,0.16,19,0,0,0,0,10,0,0,0,0,yes
2025,NJ,34001,,2549004Z576VEJBK3N72,,14,9,2,0.14,14,0,0,0,0,9,0,0,0,0,yes
2025,NJ,34001,,54930001NSTOD85LT125,,14,9,0,0.14,12,2,0,0,0,8,1,0,0,0,yes
2025,NJ,34001,,5493004AS1SPBQOFDR49,,21,9,3,0.14,21,0,0,0,0,9,0,0,0,0,yes
2025,NJ,34001,,5493005ICQ3QGEIWV618,,12,9,2,0.14,9,3,0,0,0,7,2,0,0,0,yes
2025,NJ,34001,,54930080168VA6Z8UX21,,16,9,6,0.14,16,0,0,0,0,9,0,0,0,0,yes
2025,NJ,34001,,549300BX448ALT10FI43,,23,9,4,0.14,7,9,7,0,0,4,3,2,0,0,yes
2025,NJ,34001,,549300FX7K8PTEQUU487,,30,9,15,0.14,27,1,2,0,0,9,0,0,0,0,yes
2025,NJ,34001,,549300R9S3MVDV4MGF56,,42,9,16,0.14,12,30,0,0,0,4,5,0,0,0,yes
2025,NJ,34001,,549300W45D2J6BT4LX65,,9,9,0,0.14,9,0,0,0,0,9,0,0,0,0,yes
2025,NJ,34001,,R7JQ9JTCFHXBQU4XIT26,,26,9,8,0.14,26,0,0,0,0,9,0,0,0,0,yes
2025,NJ,34001,,254900ZFWS2106HWPH46,,16,8,1,0.13,8,6,2,0,0,5,2,1,0,0,yes
2025,NJ,34001,,54930021WPEXNHYZUL09,,8,8,0,0.13,0,3,5,0,0,0,3,5,0,0,yes
2025,NJ,34001,,5493002JA8HUVL2CRT33,,11,8,1,0.13,11,0,0,0,0,8,0,0,0,0,yes
2025,NJ,34001,,54930048P8RWCQHQM310,,11,8,0,0.13,11,0,0,0,0,8,0,0,0,0,yes
2025,NJ,34001,,549300MHH03ICJYEPE85,,11,8,1,0.13,1,10,0,0,0,1,7,0,0,0,yes
2025,NJ,34001,,549300RFLICNI75BG067,,11,8,1,0.13,9,2,0,0,0,6,2,0,0,0,yes
2025,NJ,34001,,549300SUCQ1358EGVE89,,48,8,8,0.13,0,4,44,0,0,0,0,8,0,0,yes
2025,NJ,34001,,254900VE4XTOQUE8NZ77,,16,7,3,0.11,16,0,0,0,0,7,0,0,0,0,yes
2025,NJ,34001,,54930078TNN7GKZ7NU89,,12,7,2,0.11,7,2,2,1,0,3,2,2,0,0,yes
2025,NJ,34001,,549300GRGZDEH4ZGQS06,,13,7,1,0.11,7,5,1,0,0,4,2,1,0,0,yes
2025,NJ,34001,,549300J7I82PNDVU8H22,,12,7,1,0.11,9,3,0,0,0,6,1,0,0,0,yes
2025,NJ,34001,,2549004XJQQPBYQSMT39,,7,6,0,0.1,7,0,0,0,0,6,0,0,0,0,yes
2025,NJ,34001,,254900WTZC5SSKIN2M11,,10,6,3,0.1,10,0,0,0,0,6,0,0,0,0,yes
2025,NJ,34001,,54930021DZJ9CEN11D61,,9,6,0,0.1,7,2,0,0,0,4,2,0,0,0,yes
2025,NJ,34001,,5493002GI63WHHUTUD85,,7,6,0,0.1,7,0,0,0,0,6,0,0,0,0,yes
2025,NJ,34001,,54930043BMDE130FJ617,,6,6,0,0.1,6,0,0,0,0,6,0,0,0,0,yes
2025,NJ,34001,,549300BTFTXJ72LSIY30,,6,6,0,0.1,5,0,1,0,0,5,0,1,0,0,yes
2025,NJ,34001,,549300JNYMHRVCGKK706,,8,6,2,0.1,8,0,0,0,0,6,0,0,0,0,yes
