year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,NM,35001,,24724,14288,3762,15.22,11323,8103,5298,45.8,32.77,18475,3668,2452,129,0,74.72,14.84,9.92,10770,2070,1357,91,0,75.38,14.49,9.5,national
2025,NM,35043,,8604,5039,1318,15.32,4133,2928,1543,48.04,34.03,5562,1637,1348,57,0,64.64,19.03,15.67,3270,961,765,43,0,64.89,19.07,15.18,national
2025,NM,35013,,7727,4013,1517,19.63,4401,2333,993,56.96,30.19,5088,1562,1058,19,0,65.85,20.21,13.69,2492,907,603,11,0,62.1,22.6,15.03,national
2025,NM,35049,,5737,3074,1030,17.95,2686,1896,1155,46.82,33.05,4782,552,400,3,0,83.35,9.62,6.97,2570,274,228,2,0,83.6,8.91,7.42,national
2025,NM,35061,,3670,1924,701,19.1,2035,1097,538,55.45,29.89,2210,815,564,81,0,60.22,22.21,15.37,1121,451,313,39,0,58.26,23.44,16.27,national
2025,NM,35045,,3378,1627,780,23.09,1903,1007,468,56.34,29.81,2341,665,347,25,0,69.3,19.69,10.27,1042,374,191,20,0,64.04,22.99,11.74,national
2025,NM,35035,,2365,1237,431,18.22,1487,684,194,62.88,28.92,1265,310,783,7,0,53.49,13.11,33.11,585,167,484,1,0,47.29,13.5,39.13,national
2025,NM,35015,,2172,1097,464,21.36,1395,589,188,64.23,27.12,1341,624,202,5,0,61.74,28.73,9.3,625,350,117,5,0,56.97,31.91,10.67,national
2025,NM,35005,,1680,889,316,18.81,965,538,177,57.44,32.02,940,485,188,67,0,55.95,28.87,11.19,455,274,108,52,0,51.18,30.82,12.15,national
2025,NM,35025,,1887,840,483,25.6,1234,511,142,65.39,27.08,1201,595,79,12,0,63.65,31.53,4.19,463,326,41,10,0,55.12,38.81,4.88,national
