year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,NY,36001,,5493008RNHC5I1E3IZ56,,1995,1272,491,22.49,1995,0,0,0,0,1272,0,0,0,0,yes
2025,NY,36001,,549300RJW4T6MPVUPK44,,760,626,15,11.07,709,44,7,0,0,589,31,6,0,0,yes
2025,NY,36001,,549300T3F9S1MKFKHC53,,664,535,9,9.46,548,97,13,6,0,435,83,11,6,0,yes
2025,NY,36001,,549300GCEP3NM7A1X491,,633,379,114,6.7,633,0,0,0,0,379,0,0,0,0,yes
2025,NY,36001,,DRMSV1Q0EKMEXLAU1P80,,452,240,139,4.24,448,4,0,0,0,240,0,0,0,0,yes
2025,NY,36001,,549300FGXN1K3HLB1R50,,343,226,73,4.0,238,74,31,0,0,163,43,20,0,0,yes
2025,NY,36001,,54930017CJWOENP0BZ82,,299,213,26,3.77,275,22,2,0,0,199,13,1,0,0,yes
2025,NY,36001,,549300HW662MN1WU8550,,246,183,24,3.24,200,29,17,0,0,152,16,15,0,0,yes
2025,NY,36001,,5493007G2SOD8W9RK547,,147,97,28,1.71,147,0,0,0,0,97,0,0,0,0,yes
2025,NY,36001,,HUX2X73FUCYHUVH1BK78,,182,97,41,1.71,171,8,3,0,0,92,4,1,0,0,yes
2025,NY,36001,,254900XN7UWEWK13RO81,,138,96,10,1.7,112,18,7,1,0,79,12,4,1,0,yes
2025,NY,36001,,549300256FCWXUM5FR50,,131,85,32,1.5,131,0,0,0,0,85,0,0,0,0,yes
2025,NY,36001,,WWB2V0FCW3A0EE3ZJN75,,157,79,45,1.4,142,15,0,0,0,72,7,0,0,0,yes
2025,NY,36001,,549300E2UX99HKDBR481,,105,69,6,1.22,78,23,4,0,0,53,13,3,0,0,yes
2025,NY,36001,,B4TYDEB6GKMZO031MB27,,175,63,60,1.11,174,1,0,0,0,63,0,0,0,0,yes
2025,NY,36001,,549300FNXYY540N23N64,,147,55,33,0.97,106,37,4,0,0,50,4,1,0,0,yes
2025,NY,36001,,549300QY4UCP33T94N09,,68,54,1,0.95,68,0,0,0,0,54,0,0,0,0,yes
2025,NY,36001,,5493005RDTT7HVODH436,,76,48,10,0.85,76,0,0,0,0,48,0,0,0,0,yes
2025,NY,36001,,549300ERHDU3FCE3FA33,,67,43,13,0.76,66,1,0,0,0,43,0,0,0,0,yes
2025,NY,36001,,254900RUCO27MVGTO768,,80,42,8,0.74,80,0,0,0,0,42,0,0,0,0,yes
2025,NY,36001,,5493006VAGP3GQ8FJT49,,83,42,5,0.74,83,0,0,0,0,42,0,0,0,0,yes
2025,NY,36001,,5493009BOQDC6PCFR785,,60,40,11,0.71,60,0,0,0,0,40,0,0,0,0,yes
2025,NY,36001,,254900641GGR26VXNC67,,44,39,0,0.69,44,0,0,0,0,39,0,0,0,0,yes
2025,NY,36001,,549300G0QSZVT1E3RS89,,49,38,8,0.67,49,0,0,0,0,38,0,0,0,0,yes
2025,NY,36001,,549300MGPZBLQDIL7538,,56,34,6,0.6,44,11,1,0,0,26,7,1,0,0,yes
2025,NY,36001,,RVDPPPGHCGZ40J4VQ731,,68,34,8,0.6,25,24,19,0,0,16,11,7,0,0,yes
2025,NY,36001,,54930085BPQMVH9JFX69,,66,33,17,0.58,64,2,0,0,0,33,0,0,0,0,yes
2025,NY,36001,,7H6GLXDRUGQFU57RNE97,,80,31,16,0.55,76,2,2,0,0,30,0,1,0,0,yes
2025,NY,36001,,549300RA3E0BUFO7YZ21,,50,30,20,0.53,50,0,0,0,0,30,0,0,0,0,yes
2025,NY,36001,,254900VELJPWWT51WN03,,32,28,1,0.5,32,0,0,0,0,28,0,0,0,0,yes
2025,NY,36001,,5493003GQDUH26DNNH17,,65,27,12,0.48,48,0,17,0,0,16,0,11,0,0,yes
2025,NY,36001,,984500F6E6940CCB6A60,,47,26,10,0.46,47,0,0,0,0,26,0,0,0,0,yes
