year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,OH,39049,,49692,29514,8374,16.85,20520,16899,12273,41.29,34.01,40917,6258,2511,6,0,82.34,12.59,5.05,24810,3331,1370,3,0,84.06,11.29,4.64,national
2025,OH,39035,Cuyahoga,49230,28056,9623,19.55,19255,16439,13536,39.11,33.39,41260,5781,2189,0,0,83.81,11.74,4.45,24044,2878,1134,0,0,85.7,10.26,4.04,national
2025,OH,39061,,31942,19310,5222,16.35,13266,10368,8308,41.53,32.46,26521,4007,1412,2,0,83.03,12.54,4.42,16482,2074,752,2,0,85.35,10.74,3.89,national
2025,OH,39153,,21874,13451,3570,16.32,8794,7269,5811,40.2,33.23,17999,2777,1098,0,0,82.28,12.7,5.02,11317,1558,576,0,0,84.14,11.58,4.28,national
2025,OH,39113,,21731,12884,3826,17.61,9658,6751,5322,44.44,31.07,16087,3163,2454,27,0,74.03,14.56,11.29,9640,1770,1454,20,0,74.82,13.74,11.29,national
2025,OH,39017,,15899,9669,2608,16.4,6387,5407,4105,40.17,34.01,12387,2415,1077,20,0,77.91,15.19,6.77,7765,1290,600,14,0,80.31,13.34,6.21,national
2025,OH,39151,,14810,9297,2387,16.12,5758,5256,3796,38.88,35.49,11383,2340,1059,28,0,76.86,15.8,7.15,7357,1327,594,19,0,79.13,14.27,6.39,national
2025,OH,39095,,15055,8905,2800,18.6,6384,4584,4087,42.4,30.45,12155,2061,834,5,0,80.74,13.69,5.54,7447,1029,424,5,0,83.63,11.56,4.76,national
2025,OH,39093,,14446,8820,2531,17.52,5686,4977,3783,39.36,34.45,11264,2160,1014,8,0,77.97,14.95,7.02,6973,1249,593,5,0,79.06,14.16,6.72,national
2025,OH,39165,,11920,7683,1607,13.48,4830,4075,3015,40.52,34.19,9916,1110,875,19,0,83.19,9.31,7.34,6495,672,507,9,0,84.54,8.75,6.6,national
2025,OH,39041,,11908,7607,1689,14.18,4847,3963,3098,40.7,33.28,10582,813,510,3,0,88.86,6.83,4.28,6825,479,302,1,0,89.72,6.3,3.97,national
2025,OH,39085,,10389,6378,1777,17.1,3984,3444,2961,38.35,33.15,8289,1413,669,18,0,79.79,13.6,6.44,5162,836,367,13,0,80.93,13.11,5.75,national
2025,OH,39025,,10203,6239,1703,16.69,4483,3207,2513,43.94,31.43,7930,1475,750,48,0,77.72,14.46,7.35,4981,811,419,28,0,79.84,13.0,6.72,national
2025,OH,39099,,8880,5210,1734,19.53,3256,2964,2660,36.67,33.38,6949,1341,574,16,0,78.25,15.1,6.46,4199,696,301,14,0,80.6,13.36,5.78,national
2025,OH,39089,,8530,5188,1420,16.65,3404,2947,2179,39.91,34.55,6724,1115,675,16,0,78.83,13.07,7.91,4166,621,392,9,0,80.3,11.97,7.56,national
2025,OH,39103,,8125,5173,1281,15.77,2825,2838,2462,34.77,34.93,6827,813,480,5,0,84.02,10.01,5.91,4432,454,285,2,0,85.68,8.78,5.51,national
2025,OH,39045,,7784,4728,1351,17.36,3226,2563,1995,41.44,32.93,5822,1328,621,13,0,74.79,17.06,7.98,3608,737,377,6,0,76.31,15.59,7.97,national
2025,OH,39155,,7519,4424,1481,19.7,2746,2548,2225,36.52,33.89,5617,1267,580,55,0,74.7,16.85,7.71,3394,695,293,42,0,76.72,15.71,6.62,national
2025,OH,39057,,6869,4403,965,14.05,3116,2111,1642,45.36,30.73,4978,687,1195,9,0,72.47,10.0,17.4,3255,384,757,7,0,73.93,8.72,17.19,national
2025,OH,39133,,6053,3623,1099,18.16,2236,2128,1689,36.94,35.16,4956,724,355,18,0,81.88,11.96,5.86,3041,389,182,11,0,83.94,10.74,5.02,national
2025,OH,39023,,5593,3309,1096,19.6,2437,1798,1358,43.57,32.15,3990,1003,556,44,0,71.34,17.93,9.94,2393,552,333,31,0,72.32,16.68,10.06,national
2025,OH,39173,,4661,2998,716,15.36,1939,1473,1249,41.6,31.6,3920,451,274,16,0,84.1,9.68,5.88,2574,254,161,9,0,85.86,8.47,5.37,national
2025,OH,39109,,4912,2995,866,17.63,2061,1611,1240,41.96,32.8,3719,678,497,18,0,75.71,13.8,10.12,2279,400,306,10,0,76.09,13.36,10.22,national
2025,OH,39139,,4473,2688,781,17.46,1908,1437,1128,42.66,32.13,3277,707,448,41,0,73.26,15.81,10.02,2027,391,247,23,0,75.41,14.55,9.19,national
