year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,OK,40109,,26897,16091,4173,15.51,14053,8393,4451,52.25,31.2,19427,4262,3170,38,0,72.23,15.85,11.79,11878,2523,1662,28,0,73.82,15.68,10.33,national
2025,OK,40143,,22736,13453,3311,14.56,11530,6494,4712,50.71,28.56,16758,4131,1819,28,0,73.71,18.17,8.0,9979,2452,1004,18,0,74.18,18.23,7.46,national
2025,OK,40027,,10461,6100,1756,16.79,5470,3187,1804,52.29,30.47,7225,1675,1530,31,0,69.07,16.01,14.63,4154,1057,863,26,0,68.1,17.33,14.15,national
2025,OK,40017,,8562,5232,1357,15.85,4811,2578,1173,56.19,30.11,5219,1864,1468,11,0,60.96,21.77,17.15,3176,1173,878,5,0,60.7,22.42,16.78,national
2025,OK,40145,,4472,2684,613,13.71,2577,1161,734,57.63,25.96,2758,1041,570,103,0,61.67,23.28,12.75,1619,658,331,76,0,60.32,24.52,12.33,national
2025,OK,40031,,4412,2543,713,16.16,2305,1580,527,52.24,35.81,2019,481,1893,19,0,45.76,10.9,42.91,1165,267,1101,10,0,45.81,10.5,43.3,national
2025,OK,40131,,4050,2337,642,15.85,2023,1272,755,49.95,31.41,2713,805,474,58,0,66.99,19.88,11.7,1551,477,267,42,0,66.37,20.41,11.42,national
2025,OK,40083,,2791,1553,543,19.46,1608,764,419,57.61,27.37,1918,393,434,46,0,68.72,14.08,15.55,1039,236,245,33,0,66.9,15.2,15.78,national
2025,OK,40125,,2975,1543,644,21.65,1668,821,486,56.07,27.6,1978,479,433,85,0,66.49,16.1,14.55,979,275,240,49,0,63.45,17.82,15.55,national
2025,OK,40037,,3007,1538,623,20.72,1654,847,506,55.0,28.17,2097,583,286,41,0,69.74,19.39,9.51,1034,309,165,30,0,67.23,20.09,10.73,national
2025,OK,40051,,2771,1487,526,18.98,1578,804,389,56.95,29.01,1774,513,411,73,0,64.02,18.51,14.83,922,281,237,47,0,62.0,18.9,15.94,national
2025,OK,40087,,2460,1378,467,18.98,1340,714,406,54.47,29.02,1611,413,379,57,0,65.49,16.79,15.41,855,259,223,41,0,62.05,18.8,16.18,national
2025,OK,40119,,2026,1247,316,15.6,1214,528,284,59.92,26.06,1487,311,192,36,0,73.4,15.35,9.48,951,165,111,20,0,76.26,13.23,8.9,national
2025,OK,40101,,2180,1145,434,19.91,1177,660,343,53.99,30.28,1393,496,259,32,0,63.9,22.75,11.88,687,304,135,19,0,60.0,26.55,11.79,national
2025,OK,40047,,1625,977,254,15.63,915,431,279,56.31,26.52,998,309,310,8,0,61.42,19.02,19.08,589,198,186,4,0,60.29,20.27,19.04,national
2025,OK,40147,,1736,965,306,17.63,887,511,338,51.09,29.44,1218,307,200,11,0,70.16,17.68,11.52,680,178,99,8,0,70.47,18.45,10.26,national
2025,OK,40013,,1795,945,333,18.55,1049,516,230,58.44,28.75,1250,306,196,43,0,69.64,17.05,10.92,650,170,99,26,0,68.78,17.99,10.48,national
2025,OK,40019,,1698,902,335,19.73,939,501,258,55.3,29.51,1225,319,144,10,0,72.14,18.79,8.48,635,178,82,7,0,70.4,19.73,9.09,national
2025,OK,40113,,1679,855,370,22.04,836,519,324,49.79,30.91,1196,308,148,27,0,71.23,18.34,8.81,592,174,74,15,0,69.24,20.35,8.65,national
2025,OK,40041,,1623,826,338,20.83,857,496,270,52.8,30.56,1207,229,163,24,0,74.37,14.11,10.04,626,100,84,16,0,75.79,12.11,10.17,national
2025,OK,40137,,1402,826,233,16.62,704,471,227,50.21,33.59,956,226,204,16,0,68.19,16.12,14.55,593,114,109,10,0,71.79,13.8,13.2,national
