year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,OK,40001,,COINQMNIM6RBU631DD85,,94,45,21,20.83,78,9,5,2,0,37,4,4,0,0,national
2025,OK,40001,,549300O2D8BPO6PJRB90,,45,24,6,11.11,45,0,0,0,0,24,0,0,0,0,national
2025,OK,40001,,549300FGXN1K3HLB1R50,,30,19,7,8.8,20,8,2,0,0,11,7,1,0,0,national
2025,OK,40001,,549300XQVJ1XBNFA5536,,55,11,24,5.09,55,0,0,0,0,11,0,0,0,0,national
2025,OK,40001,,5493001XKL0FTNOJ0866,,9,9,0,4.17,3,4,0,2,0,3,4,0,2,0,national
2025,OK,40001,,254900PCN2EQDRMIHV68,,10,5,2,2.31,6,0,2,2,0,4,0,0,1,0,national
2025,OK,40001,,549300CB67L6KPJLHE19,,34,5,14,2.31,34,0,0,0,0,5,0,0,0,0,national
2025,OK,40001,,549300LXKO1O7CSK5J52,,7,5,0,2.31,4,1,0,2,0,3,1,0,1,0,national
2025,OK,40001,,549300VWURV8LBNGQ353,,5,5,0,2.31,3,2,0,0,0,3,2,0,0,0,national
2025,OK,40001,,RVDPPPGHCGZ40J4VQ731,,13,5,2,2.31,5,6,2,0,0,4,1,0,0,0,national
2025,OK,40001,,549300HW662MN1WU8550,,6,4,0,1.85,2,0,4,0,0,2,0,2,0,0,national
2025,OK,40001,,254900RFZH9I62FGU045,,3,3,0,1.39,0,1,0,2,0,0,1,0,2,0,national
2025,OK,40001,,5493000YNV8IX4VD3X12,,44,3,17,1.39,44,0,0,0,0,3,0,0,0,0,national
2025,OK,40001,,549300249G20MDIDRR27,,20,3,5,1.39,18,1,1,0,0,3,0,0,0,0,national
2025,OK,40001,,54930034MNPILHP25H80,,3,3,0,1.39,2,1,0,0,0,2,1,0,0,0,national
2025,OK,40001,,5493003K28DNSKKT2059,,4,3,1,1.39,4,0,0,0,0,3,0,0,0,0,national
2025,OK,40001,,549300DPRWSBUY619V27,,3,3,0,1.39,3,0,0,0,0,3,0,0,0,0,national
2025,OK,40001,,549300LYRWPSYPK6S325,,8,3,3,1.39,2,4,2,0,0,0,1,2,0,0,national
2025,OK,40001,,549300OPCWU6E72WUT29,,5,3,0,1.39,2,3,0,0,0,1,2,0,0,0,national
2025,OK,40001,,549300R9S3MVDV4MGF56,,4,3,1,1.39,3,1,0,0,0,2,1,0,0,0,national
2025,OK,40001,,5493001GCBD5XGNIC815,,2,2,0,0.93,2,0,0,0,0,2,0,0,0,0,national
2025,OK,40001,,54930049L5WINET09Q97,,2,2,0,0.93,0,2,0,0,0,0,2,0,0,0,national
2025,OK,40001,,5493008YOT5ACN2UNP66,,2,2,0,0.93,2,0,0,0,0,2,0,0,0,0,national
2025,OK,40001,,549300BEFX6JRSCS5N78,,3,2,1,0.93,3,0,0,0,0,2,0,0,0,0,national
2025,OK,40001,,549300E2UX99HKDBR481,,4,2,1,0.93,0,4,0,0,0,0,2,0,0,0,national
2025,OK,40001,,549300FNXYY540N23N64,,8,2,0,0.93,5,3,0,0,0,2,0,0,0,0,national
2025,OK,40001,,549300HIKKZQ0TVJWA08,,3,2,0,0.93,3,0,0,0,0,2,0,0,0,0,national
2025,OK,40001,,549300LBCBNR1OT00651,,2,2,0,0.93,1,1,0,0,0,1,1,0,0,0,national
2025,OK,40001,,549300MGPZBLQDIL7538,,3,2,0,0.93,0,2,1,0,0,0,1,1,0,0,national
2025,OK,40001,,549300MNZECUR067HB12,,4,2,2,0.93,4,0,0,0,0,2,0,0,0,0,national
2025,OK,40001,,549300NB3SBC1KHAWB92,,2,2,0,0.93,0,1,0,1,0,0,1,0,1,0,national
2025,OK,40001,,549300ZZME37MXI1EF14,,2,2,0,0.93,0,0,1,1,0,0,0,1,1,0,national
2025,OK,40001,,254900F8XCJE1G9OYR92,,2,1,1,0.46,2,0,0,0,0,1,0,0,0,0,national
2025,OK,40001,,254900ZFWS2106HWPH46,,1,1,0,0.46,0,0,0,1,0,0,0,0,1,0,national
2025,OK,40001,,5493000V86JDJLM0OV13,,1,1,0,0.46,1,0,0,0,0,1,0,0,0,0,national
2025,OK,40001,,5493002B2WMHY23GFK92,,2,1,0,0.46,0,1,1,0,0,0,0,1,0,0,national
2025,OK,40001,,5493002QRULT2T40BH09,,1,1,0,0.46,1,0,0,0,0,1,0,0,0,0,national
2025,OK,40001,,54930052M48FOD3CWA54,,1,1,0,0.46,0,0,0,1,0,0,0,0,1,0,national
2025,OK,40001,,54930067KY3OO1D8HC58,,1,1,0,0.46,0,1,0,0,0,0,1,0,0,0,national
2025,OK,40001,,5493009XSE00M8B9R434,,5,1,2,0.46,5,0,0,0,0,1,0,0,0,0,national
2025,OK,40001,,549300AG64NHILB7ZP05,,3,1,1,0.46,2,1,0,0,0,1,0,0,0,0,national
2025,OK,40001,,549300ALNLUNS3Y53T24,,2,1,0,0.46,1,1,0,0,0,0,1,0,0,0,national
2025,OK,40001,,549300AQ3T62GXDU7D76,,6,1,2,0.46,3,2,0,1,0,1,0,0,0,0,national
2025,OK,40001,,549300C6XY8GTVR2TV60,,1,1,0,0.46,1,0,0,0,0,1,0,0,0,0,national
2025,OK,40001,,549300DD5QQUHO6PCH70,,16,1,5,0.46,4,0,12,0,0,0,0,1,0,0,national
2025,OK,40001,,549300DMHEHNYZ2OLB41,,1,1,0,0.46,1,0,0,0,0,1,0,0,0,0,national
2025,OK,40001,,549300FX7K8PTEQUU487,,2,1,1,0.46,2,0,0,0,0,1,0,0,0,0,national
2025,OK,40001,,549300HTRLFU2IIL4380,,10,1,3,0.46,10,0,0,0,0,1,0,0,0,0,national
2025,OK,40001,,549300J6N77Q8OHYNF23,,1,1,0,0.46,1,0,0,0,0,1,0,0,0,0,national
2025,OK,40001,,549300K4ZLGS7SRDTL86,,1,1,0,0.46,0,0,1,0,0,0,0,1,0,0,national
2025,OK,40001,,549300KHXD7JSQUZIJ22,,1,1,0,0.46,0,1,0,0,0,0,1,0,0,0,national
2025,OK,40001,,549300PJ2WT35S77Q208,,1,1,0,0.46,0,0,0,1,0,0,0,0,1,0,national
2025,OK,40001,,549300TJF420N3F01V87,,1,1,0,0.46,1,0,0,0,0,1,0,0,0,0,national
2025,OK,40001,,549300VCMRO4ST680C11,,3,1,1,0.46,0,0,3,0,0,0,0,1,0,0,national
2025,OK,40001,,549300VORTI31GZTJL53,,1,1,0,0.46,0,1,0,0,0,0,1,0,0,0,national
2025,OK,40001,,549300Y4GAAGXS20SL80,,1,1,0,0.46,1,0,0,0,0,1,0,0,0,0,national
2025,OK,40001,,549300YIQ7S7Z8PIHE53,,3,1,1,0.46,0,3,0,0,0,0,1,0,0,0,national
2025,OK,40001,,6BYL5QZYBDK8S7L73M02,,2,1,1,0.46,2,0,0,0,0,1,0,0,0,0,national
2025,OK,40001,,7H6GLXDRUGQFU57RNE97,,1,1,0,0.46,1,0,0,0,0,1,0,0,0,0,national
2025,OK,40001,,PAOOWF3GUFM46FBSP561,,3,1,0,0.46,1,2,0,0,0,1,0,0,0,0,national
2025,OK,40001,,549300Q3ROEQU3D1IW91,,19,0,15,0.0,19,0,0,0,0,0,0,0,0,0,national
2025,OK,40001,,9845007CY0EC0F59W414,,10,0,0,0.0,10,0,0,0,0,0,0,0,0,0,national
2025,OK,40003,,254900RFZH9I62FGU045,,4,4,0,13.79,1,1,0,2,0,1,1,0,2,0,national
2025,OK,40003,,54930034MNPILHP25H80,,5,4,0,13.79,4,0,1,0,0,3,0,1,0,0,national
2025,OK,40003,,549300FGXN1K3HLB1R50,,8,4,4,13.79,7,1,0,0,0,3,1,0,0,0,national
2025,OK,40003,,549300V71V12DS7RW675,,3,2,0,6.9,3,0,0,0,0,2,0,0,0,0,national
2025,OK,40003,,549300XQVJ1XBNFA5536,,3,2,0,6.9,3,0,0,0,0,2,0,0,0,0,national
2025,OK,40003,,RVDPPPGHCGZ40J4VQ731,,2,2,0,6.9,0,1,0,1,0,0,1,0,1,0,national
2025,OK,40003,,254900F4K0YUTIQ7Q952,,1,1,0,3.45,1,0,0,0,0,1,0,0,0,0,national
2025,OK,40003,,54930021WPEXNHYZUL09,,2,1,1,3.45,0,2,0,0,0,0,1,0,0,0,national
2025,OK,40003,,549300E2UX99HKDBR481,,1,1,0,3.45,1,0,0,0,0,1,0,0,0,0,national
2025,OK,40003,,549300FNXYY540N23N64,,1,1,0,3.45,0,1,0,0,0,0,1,0,0,0,national
2025,OK,40003,,549300HW662MN1WU8550,,3,1,1,3.45,3,0,0,0,0,1,0,0,0,0,national
2025,OK,40003,,549300PJ2WT35S77Q208,,1,1,0,3.45,0,0,0,1,0,0,0,0,1,0,national
2025,OK,40003,,549300Q1YFRSB8UEGH03,,1,1,0,3.45,1,0,0,0,0,1,0,0,0,0,national
2025,OK,40003,,549300V5MRNYGHSGR060,,1,1,0,3.45,1,0,0,0,0,1,0,0,0,0,national
2025,OK,40003,,549300VORTI31GZTJL53,,4,1,2,3.45,1,2,0,1,0,0,1,0,0,0,national
2025,OK,40003,,549300XTFXREUXEWLW38,,1,1,0,3.45,1,0,0,0,0,1,0,0,0,0,national
2025,OK,40003,,COINQMNIM6RBU631DD85,,1,1,0,3.45,1,0,0,0,0,1,0,0,0,0,national
2025,OK,40005,,549300FGXN1K3HLB1R50,,31,20,9,13.99,20,8,3,0,0,12,5,3,0,0,national
2025,OK,40005,,549300XQVJ1XBNFA5536,,62,18,29,12.59,62,0,0,0,0,18,0,0,0,0,national
2025,OK,40005,,549300DMHEHNYZ2OLB41,,25,17,3,11.89,21,4,0,0,0,14,3,0,0,0,national
2025,OK,40005,,254900N50SQP3XJCQT74,,12,12,0,8.39,12,0,0,0,0,12,0,0,0,0,national
2025,OK,40005,,549300AQ3T62GXDU7D76,,23,10,2,6.99,16,4,3,0,0,7,2,1,0,0,national
2025,OK,40005,,549300DD5QQUHO6PCH70,,16,7,3,4.9,0,0,16,0,0,0,0,7,0,0,national
2025,OK,40005,,54930034MNPILHP25H80,,8,5,0,3.5,4,3,1,0,0,2,2,1,0,0,national
2025,OK,40005,,549300AG64NHILB7ZP05,,4,4,0,2.8,1,3,0,0,0,1,3,0,0,0,national
2025,OK,40005,,549300249G20MDIDRR27,,3,3,0,2.1,3,0,0,0,0,3,0,0,0,0,national
2025,OK,40005,,549300CB67L6KPJLHE19,,21,3,13,2.1,21,0,0,0,0,3,0,0,0,0,national
2025,OK,40005,,549300LBCBNR1OT00651,,3,3,0,2.1,2,1,0,0,0,2,1,0,0,0,national
2025,OK,40005,,549300LXKO1O7CSK5J52,,3,3,0,2.1,1,2,0,0,0,1,2,0,0,0,national
2025,OK,40005,,549300GKFNPRWNS0GF29,,2,2,0,1.4,1,0,0,1,0,1,0,0,1,0,national
2025,OK,40005,,549300VCMRO4ST680C11,,2,2,0,1.4,0,0,2,0,0,0,0,2,0,0,national
2025,OK,40005,,549300VZVN841I2ILS84,,3,2,1,1.4,2,1,0,0,0,1,1,0,0,0,national
2025,OK,40005,,549300XKEC7P1D7OKJ16,,2,2,0,1.4,2,0,0,0,0,2,0,0,0,0,national
2025,OK,40005,,7H6GLXDRUGQFU57RNE97,,2,2,0,1.4,2,0,0,0,0,2,0,0,0,0,national
2025,OK,40005,,COINQMNIM6RBU631DD85,,3,2,1,1.4,2,1,0,0,0,2,0,0,0,0,national
2025,OK,40005,,KB1H1DSPRFMYMCUFXT09,,2,2,0,1.4,2,0,0,0,0,2,0,0,0,0,national
2025,OK,40005,,RVDPPPGHCGZ40J4VQ731,,2,2,0,1.4,0,2,0,0,0,0,2,0,0,0,national
2025,OK,40005,,254900FP6SX9QWAB1J85,,1,1,0,0.7,1,0,0,0,0,1,0,0,0,0,national
2025,OK,40005,,5493001GCBD5XGNIC815,,4,1,0,0.7,4,0,0,0,0,1,0,0,0,0,national
2025,OK,40005,,54930049L5WINET09Q97,,1,1,0,0.7,0,1,0,0,0,0,1,0,0,0,national
2025,OK,40005,,5493006P5IHSK77SZ855,,3,1,1,0.7,2,1,0,0,0,1,0,0,0,0,national
2025,OK,40005,,5493009XSE00M8B9R434,,3,1,2,0.7,3,0,0,0,0,1,0,0,0,0,national
2025,OK,40005,,549300CKJ4DTUYAZXI11,,1,1,0,0.7,0,1,0,0,0,0,1,0,0,0,national
2025,OK,40005,,549300E2UX99HKDBR481,,11,1,1,0.7,3,8,0,0,0,0,1,0,0,0,national
2025,OK,40005,,549300HW662MN1WU8550,,3,1,2,0.7,1,0,2,0,0,0,0,1,0,0,national
2025,OK,40005,,549300K4ZLGS7SRDTL86,,1,1,0,0.7,0,1,0,0,0,0,1,0,0,0,national
2025,OK,40005,,549300KHXD7JSQUZIJ22,,1,1,0,0.7,0,1,0,0,0,0,1,0,0,0,national
2025,OK,40005,,549300LYRWPSYPK6S325,,3,1,1,0.7,1,2,0,0,0,1,0,0,0,0,national
2025,OK,40005,,549300NOCASXPA34X033,,2,1,0,0.7,0,1,1,0,0,0,0,1,0,0,national
2025,OK,40005,,549300PBTV7FCWLSMM53,,2,1,0,0.7,0,0,2,0,0,0,0,1,0,0,national
2025,OK,40005,,549300R7HGHP2I754087,,1,1,0,0.7,0,1,0,0,0,0,1,0,0,0,national
