year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,OR,41001,,WE0I402RW25AU38DTI13,,65,39,15,11.34,58,5,0,2,0,35,3,0,1,0,national
2025,OR,41001,,549300FGXN1K3HLB1R50,,46,32,12,9.3,34,8,4,0,0,24,6,2,0,0,national
2025,OR,41001,,5493000OM9RKJW8W5K82,,45,31,0,9.01,18,22,2,3,0,11,17,2,1,0,national
2025,OR,41001,,IFQSIUC9AGQV2NE8CN25,,47,26,8,7.56,40,4,2,1,0,21,2,2,1,0,national
2025,OR,41001,,549300HW662MN1WU8550,,31,22,5,6.4,13,7,11,0,0,8,5,9,0,0,national
2025,OR,41001,,6BYL5QZYBDK8S7L73M02,,39,17,14,4.94,37,2,0,0,0,17,0,0,0,0,national
2025,OR,41001,,2549004FXPNKCLIN8250,,24,15,0,4.36,14,5,2,3,0,9,4,0,2,0,national
2025,OR,41001,,549300FNXYY540N23N64,,21,12,3,3.49,10,2,8,1,0,6,1,4,1,0,national
2025,OR,41001,,RVDPPPGHCGZ40J4VQ731,,16,10,0,2.91,6,4,6,0,0,3,3,4,0,0,national
2025,OR,41001,,549300AG64NHILB7ZP05,,15,7,5,2.03,10,4,1,0,0,6,0,1,0,0,national
2025,OR,41001,,549300DD5QQUHO6PCH70,,19,6,4,1.74,1,0,18,0,0,0,0,6,0,0,national
2025,OR,41001,,549300TUSRLWD8ETNR90,,10,6,1,1.74,10,0,0,0,0,6,0,0,0,0,national
2025,OR,41001,,549300E2UX99HKDBR481,,15,5,0,1.45,6,8,1,0,0,2,3,0,0,0,national
2025,OR,41001,,549300HH0V8LECLNPQ26,,7,5,1,1.45,7,0,0,0,0,5,0,0,0,0,national
2025,OR,41001,,549300MGPZBLQDIL7538,,7,5,1,1.45,3,4,0,0,0,3,2,0,0,0,national
2025,OR,41001,,2549008LK3474E9U2888,,7,4,2,1.16,6,1,0,0,0,3,1,0,0,0,national
2025,OR,41001,,549300AQ3T62GXDU7D76,,4,4,0,1.16,3,0,1,0,0,3,0,1,0,0,national
2025,OR,41001,,549300KIOYNU323LVJ37,,5,4,0,1.16,3,0,2,0,0,2,0,2,0,0,national
2025,OR,41001,,549300OPCWU6E72WUT29,,9,4,1,1.16,3,3,3,0,0,3,0,1,0,0,national
2025,OR,41001,,549300PIL8LFAQ04XC20,,6,4,2,1.16,6,0,0,0,0,4,0,0,0,0,national
2025,OR,41001,,549300VZVN841I2ILS84,,8,4,0,1.16,3,4,1,0,0,2,2,0,0,0,national
2025,OR,41001,,549300YIQ7S7Z8PIHE53,,15,4,10,1.16,10,5,0,0,0,3,1,0,0,0,national
2025,OR,41001,,254900UL88QFG0E40516,,9,3,3,0.87,9,0,0,0,0,3,0,0,0,0,national
2025,OR,41001,,5493006RIR31ORKYB608,,4,3,1,0.87,0,3,1,0,0,0,2,1,0,0,national
