year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,PA,42001,,549300SWKVL60SKWK981,,487,298,142,11.4,483,4,0,0,0,295,3,0,0,0,yes
2025,PA,42001,,5493005CFFMKTUKLO381,,382,275,51,10.52,366,12,4,0,0,261,10,4,0,0,yes
2025,PA,42001,,549300FGXN1K3HLB1R50,,198,153,27,5.85,142,42,14,0,0,120,22,11,0,0,yes
2025,PA,42001,,AD6GFRVSDT01YPT1CS68,,216,145,34,5.54,214,1,1,0,0,144,0,1,0,0,yes
2025,PA,42001,,WWB2V0FCW3A0EE3ZJN75,,117,83,25,3.17,112,4,1,0,0,79,3,1,0,0,yes
2025,PA,42001,,549300VZVN841I2ILS84,,102,81,2,3.1,75,15,11,1,0,64,10,7,0,0,yes
2025,PA,42001,,549300GKFNPRWNS0GF29,,108,76,5,2.91,76,12,6,14,0,51,9,5,11,0,yes
2025,PA,42001,,549300JBMMNIOX7XU115,,99,65,20,2.49,99,0,0,0,0,65,0,0,0,0,yes
2025,PA,42001,,549300HW662MN1WU8550,,85,58,9,2.22,24,36,25,0,0,18,20,20,0,0,yes
2025,PA,42001,,549300PT6CCDYU4VHM41,,79,58,9,2.22,79,0,0,0,0,58,0,0,0,0,yes
2025,PA,42001,,RVDPPPGHCGZ40J4VQ731,,85,51,13,1.95,46,25,12,2,0,30,15,6,0,0,yes
2025,PA,42001,,JJKC32MCHWDI71265Z06,,101,50,39,1.91,97,3,1,0,0,48,2,0,0,0,yes
2025,PA,42001,,54930052M48FOD3CWA54,,56,44,1,1.68,32,17,6,1,0,25,14,5,0,0,yes
2025,PA,42001,,549300LT75BG7Z054795,,45,37,2,1.41,31,5,8,1,0,26,4,6,1,0,yes
2025,PA,42001,,549300DD4R4SYK5RAQ92,,46,36,0,1.38,39,5,2,0,0,29,5,2,0,0,yes
2025,PA,42001,,549300KBWX4NV5Q1E376,,53,36,10,1.38,27,17,7,2,0,20,8,6,2,0,yes
2025,PA,42001,,549300DD5QQUHO6PCH70,,66,34,10,1.3,1,2,63,0,0,0,2,32,0,0,yes
2025,PA,42001,,549300BTTR873E71L054,,44,31,0,1.19,35,6,2,1,0,23,5,2,1,0,yes
2025,PA,42001,,54930060KLIQD8MMSB55,,42,30,10,1.15,40,2,0,0,0,29,1,0,0,0,yes
2025,PA,42001,,549300AQ3T62GXDU7D76,,40,30,2,1.15,30,7,2,1,0,24,4,2,0,0,yes
2025,PA,42001,,549300FNXYY540N23N64,,61,29,11,1.11,34,18,9,0,0,18,6,5,0,0,yes
2025,PA,42001,,549300I316H4TE334G62,,33,28,2,1.07,23,7,2,1,0,19,7,1,1,0,yes
2025,PA,42001,,DZC62HF6UIZYJ08V1J90,,37,28,3,1.07,34,1,2,0,0,26,0,2,0,0,yes
2025,PA,42001,,5493003GQDUH26DNNH17,,54,26,10,0.99,44,0,10,0,0,22,0,4,0,0,yes
2025,PA,42001,,N8T7HW55LK5D2ORCKP39,,27,23,2,0.88,27,0,0,0,0,23,0,0,0,0,yes
2025,PA,42001,,549300LBCBNR1OT00651,,33,21,5,0.8,27,4,2,0,0,16,4,1,0,0,yes
2025,PA,42001,,549300LYRWPSYPK6S325,,60,21,10,0.8,5,30,25,0,0,2,8,11,0,0,yes
2025,PA,42001,,5493001SXWZ4OFP8Z903,,28,20,0,0.76,23,2,3,0,0,16,1,3,0,0,yes
2025,PA,42001,,549300H3IZO24NSOO931,,30,20,1,0.76,23,0,7,0,0,16,0,4,0,0,yes
2025,PA,42001,,549300AG64NHILB7ZP05,,37,18,11,0.69,26,10,1,0,0,14,3,1,0,0,yes
2025,PA,42001,,549300MCIFZSDHUT8X63,,21,18,0,0.69,14,5,2,0,0,11,5,2,0,0,yes
2025,PA,42001,,549300E2UX99HKDBR481,,41,17,4,0.65,21,19,0,1,0,11,5,0,1,0,yes
2025,PA,42001,,549300GCEUZLVML1J263,,18,17,0,0.65,11,7,0,0,0,10,7,0,0,0,yes
2025,PA,42001,,5493003PL2K1NXVSU388,,16,16,0,0.61,16,0,0,0,0,16,0,0,0,0,yes
2025,PA,42001,,DRMSV1Q0EKMEXLAU1P80,,30,16,8,0.61,30,0,0,0,0,16,0,0,0,0,yes
2025,PA,42001,,549300IWSSP83SNIPE63,,21,15,6,0.57,21,0,0,0,0,15,0,0,0,0,yes
2025,PA,42001,,54930039UO39UJGI7078,,18,14,0,0.54,11,6,1,0,0,8,6,0,0,0,yes
2025,PA,42001,,5493008E3WZYM5146L29,,26,14,6,0.54,24,1,0,1,0,14,0,0,0,0,yes
2025,PA,42001,,549300GPO6DWUZR4UY30,,19,14,0,0.54,10,7,2,0,0,7,5,2,0,0,yes
2025,PA,42001,,549300XQVJ1XBNFA5536,,76,13,30,0.5,76,0,0,0,0,13,0,0,0,0,yes
2025,PA,42001,,549300IJO7NO6VDZPD35,,19,12,1,0.46,9,8,1,1,0,4,6,1,1,0,yes
2025,PA,42001,,549300RPOGWJRH63HS39,,12,12,0,0.46,6,2,2,2,0,6,2,2,2,0,yes
2025,PA,42001,,549300YIQ7S7Z8PIHE53,,37,12,20,0.46,22,15,0,0,0,6,6,0,0,0,yes
2025,PA,42001,,254900UL88QFG0E40516,,21,11,3,0.42,21,0,0,0,0,11,0,0,0,0,yes
2025,PA,42001,,549300CB67L6KPJLHE19,,30,11,9,0.42,30,0,0,0,0,11,0,0,0,0,yes
2025,PA,42001,,549300I0ICF6REKHOC74,,14,11,0,0.42,7,6,1,0,0,7,4,0,0,0,yes
2025,PA,42001,,549300NOCASXPA34X033,,25,11,7,0.42,11,8,6,0,0,5,2,4,0,0,yes
2025,PA,42001,,549300SUCQ1358EGVE89,,25,11,4,0.42,0,0,25,0,0,0,0,11,0,0,yes
2025,PA,42001,,25490066WMF8ZMQXQB18,,11,10,0,0.38,11,0,0,0,0,10,0,0,0,0,yes
2025,PA,42001,,549300EMNDEK4BA8WB53,,12,10,1,0.38,7,5,0,0,0,6,4,0,0,0,yes
2025,PA,42001,,549300IYR2K45YQJGV33,,11,10,0,0.38,11,0,0,0,0,10,0,0,0,0,yes
2025,PA,42001,,549300KIOYNU323LVJ37,,11,10,0,0.38,7,3,1,0,0,6,3,1,0,0,yes
2025,PA,42001,,5493001GCBD5XGNIC815,,47,9,1,0.34,47,0,0,0,0,9,0,0,0,0,yes
2025,PA,42001,,54930080168VA6Z8UX21,,16,9,5,0.34,16,0,0,0,0,9,0,0,0,0,yes
2025,PA,42001,,549300MGPZBLQDIL7538,,11,9,1,0.34,9,1,1,0,0,7,1,1,0,0,yes
2025,PA,42001,,549300PIL8LFAQ04XC20,,25,9,12,0.34,25,0,0,0,0,9,0,0,0,0,yes
