year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,PR,72127,,2807,1851,499,17.78,2364,312,131,84.22,11.12,1657,1050,99,1,0,59.03,37.41,3.53,1072,709,69,1,0,57.91,38.3,3.73,national
2025,PR,72021,,1706,1207,250,14.65,1390,253,63,81.48,14.83,595,1010,94,7,0,34.88,59.2,5.51,391,740,71,5,0,32.39,61.31,5.88,national
2025,PR,72031,,1465,974,265,18.09,1253,162,50,85.53,11.06,638,738,82,7,0,43.55,50.38,5.6,404,516,50,4,0,41.48,52.98,5.13,national
2025,PR,72025,,957,686,131,13.69,803,126,28,83.91,13.17,294,542,56,65,0,30.72,56.64,5.85,198,399,37,52,0,28.86,58.16,5.39,national
2025,PR,72061,,768,540,96,12.5,590,142,36,76.82,18.49,432,305,28,3,0,56.25,39.71,3.65,306,215,17,2,0,56.67,39.81,3.15,national
2025,PR,72113,,710,468,125,17.61,601,78,31,84.65,10.99,302,364,42,2,0,42.54,51.27,5.92,187,252,28,1,0,39.96,53.85,5.98,national
2025,PR,72063,,552,405,58,10.51,485,53,14,87.86,9.6,114,297,63,78,0,20.65,53.8,11.41,76,223,49,57,0,18.77,55.06,12.1,national
2025,PR,72137,,510,350,77,15.1,429,66,15,84.12,12.94,150,331,26,3,0,29.41,64.9,5.1,93,240,17,0,0,26.57,68.57,4.86,national
2025,PR,72013,,500,334,85,17.0,383,89,28,76.6,17.8,176,249,36,39,0,35.2,49.8,7.2,129,167,15,23,0,38.62,50.0,4.49,national
2025,PR,72135,,460,318,74,16.09,347,95,18,75.43,20.65,127,276,41,16,0,27.61,60.0,8.91,85,193,31,9,0,26.73,60.69,9.75,national
2025,PR,72139,,447,317,68,15.21,353,77,17,78.97,17.23,196,207,27,17,0,43.85,46.31,6.04,141,143,20,13,0,44.48,45.11,6.31,national
2025,PR,72069,,455,313,65,14.29,371,62,22,81.54,13.63,206,150,22,77,0,45.27,32.97,4.84,131,104,18,60,0,41.85,33.23,5.75,national
2025,PR,72023,,447,312,59,13.2,346,74,27,77.4,16.55,258,118,36,35,0,57.72,26.4,8.05,192,76,21,23,0,61.54,24.36,6.73,national
2025,PR,72119,,437,294,51,11.67,368,46,23,84.21,10.53,186,162,29,60,0,42.56,37.07,6.64,122,108,22,42,0,41.5,36.73,7.48,national
2025,PR,72051,,387,264,45,11.63,244,113,30,63.05,29.2,227,117,29,14,0,58.66,30.23,7.49,152,84,17,11,0,57.58,31.82,6.44,national
2025,PR,72053,,371,262,52,14.02,318,43,10,85.71,11.59,170,108,20,73,0,45.82,29.11,5.39,115,79,17,51,0,43.89,30.15,6.49,national
2025,PR,72145,,377,253,59,15.65,310,48,19,82.23,12.73,122,178,15,62,0,32.36,47.21,3.98,75,124,13,41,0,29.64,49.01,5.14,national
2025,PR,72077,,323,245,41,12.69,287,35,1,88.85,10.84,55,146,30,92,0,17.03,45.2,9.29,34,114,23,74,0,13.88,46.53,9.39,national
2025,PR,72097,,362,233,63,17.4,301,42,19,83.15,11.6,178,156,24,4,0,49.17,43.09,6.63,114,105,11,3,0,48.93,45.06,4.72,national
2025,PR,72005,,343,198,70,20.41,213,101,29,62.1,29.45,184,108,41,10,0,53.64,31.49,11.95,112,52,25,9,0,56.57,26.26,12.63,national
2025,PR,72029,,288,177,55,19.1,242,38,8,84.03,13.19,65,118,22,83,0,22.57,40.97,7.64,35,74,14,54,0,19.77,41.81,7.91,national
2025,PR,72143,,254,175,34,13.39,190,49,15,74.8,19.29,112,93,21,28,0,44.09,36.61,8.27,74,66,14,21,0,42.29,37.71,8.0,national
2025,PR,72071,,258,173,42,16.28,183,62,13,70.93,24.03,150,66,28,14,0,58.14,25.58,10.85,98,48,16,11,0,56.65,27.75,9.25,national
2025,PR,72017,,220,171,24,10.91,202,17,1,91.82,7.73,60,95,14,51,0,27.27,43.18,6.36,47,73,10,41,0,27.49,42.69,5.85,national
2025,PR,72035,,249,157,45,18.07,201,34,14,80.72,13.65,79,105,18,47,0,31.73,42.17,7.23,46,69,12,30,0,29.3,43.95,7.64,national
2025,PR,72091,,234,152,49,20.94,193,39,2,82.48,16.67,92,94,13,35,0,39.32,40.17,5.56,61,59,7,25,0,40.13,38.82,4.61,national
2025,PR,72041,,219,142,34,15.53,177,30,12,80.82,13.7,60,94,21,44,0,27.4,42.92,9.59,44,55,12,31,0,30.99,38.73,8.45,national
2025,PR,72085,,198,138,27,13.64,167,26,5,84.34,13.13,55,79,11,53,0,27.78,39.9,5.56,41,51,5,41,0,29.71,36.96,3.62,national
