year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,PR,OJH4M4RQMT1WXN2BNC32,,3894,2399,72127:319; 72021:178; 72063:135; 72031:130; 72061:122,1154,883,187,175,0,48.1,36.81,7.79,national
2025,PR,549300WWJ28EP3GZG107,,3233,1997,72127:413; 72031:154; 72021:151; 72061:116; 72025:88,1190,621,98,88,0,59.59,31.1,4.91,national
2025,PR,549300TDRENNEZ2S6M03,,1602,1249,72127:139; 72113:135; 72031:100; 72021:94; 72025:70,272,797,81,99,0,21.78,63.81,6.49,national
2025,PR,549300ZLPU75MU7O0T38,,1708,928,72127:124; 72021:67; 72031:50; 72025:42; 72061:35,347,467,56,58,0,37.39,50.32,6.03,national
2025,PR,5493004LAP3ULXM1YB66,,1517,922,72021:109; 72127:104; 72031:79; 72063:68; 72113:56,281,496,86,59,0,30.48,53.8,9.33,national
2025,PR,549300WLIZIEVZY2IG91,,587,583,72127:72; 72031:66; 72021:59; 72025:38; 72013:22,16,458,29,80,0,2.74,78.56,4.97,national
2025,PR,549300C2LYW7GU30DV25,,732,534,72021:60; 72127:47; 72025:36; 72031:28; 72053:24,29,381,66,58,0,5.43,71.35,12.36,national
2025,PR,549300T6MV7ZAIL4N325,,697,514,72025:79; 72127:33; 72031:33; 72021:30; 72077:25,98,173,11,232,0,19.07,33.66,2.14,national
2025,PR,54930024L8BYJXUEP897,,678,492,72031:63; 72021:53; 72127:35; 72025:27; 72035:20,3,359,22,108,0,0.61,72.97,4.47,national
2025,PR,549300YPNOE7JUQFYZ45,,559,419,72021:70; 72127:42; 72031:30; 72025:23; 72137:20,44,297,23,55,0,10.5,70.88,5.49,national
2025,PR,549300M0I314MIP2FT97,,396,301,72021:48; 72075:22; 72127:16; 72031:16; 72137:13,18,188,24,71,0,5.98,62.46,7.97,national
2025,PR,549300EEBMJ68MB8P551,,341,291,72127:58; 72021:49; 72031:23; 72069:21; 72025:13,108,151,9,23,0,37.11,51.89,3.09,national
2025,PR,549300SK2GVCQXPD4S58,,482,289,72127:36; 72021:21; 72113:20; 72031:13; 72061:11,121,138,21,9,0,41.87,47.75,7.27,national
2025,PR,549300LW8UB33S1ZIF68,,355,271,72117:40; 72097:37; 72003:33; 72023:28; 72005:22,271,0,0,0,0,100.0,0.0,0.0,national
2025,PR,54930050YUB4R3ZKAI03,,243,236,72021:30; 72127:28; 72025:22; 72031:20; 72139:10,0,200,17,19,0,0.0,84.75,7.2,national
2025,PR,549300FX7K8PTEQUU487,,519,229,72127:22; 72021:17; 72113:11; 72005:11; 72053:10,106,9,114,0,0,46.29,3.93,49.78,national
2025,PR,5493003QFITYKWYBFG30,,301,215,72127:37; 72031:23; 72021:17; 72061:11; 72025:10,6,181,9,19,0,2.79,84.19,4.19,national
2025,PR,549300E2UX99HKDBR481,,310,199,72127:36; 72025:16; 72031:16; 72061:11; 72021:9,89,91,15,4,0,44.72,45.73,7.54,national
2025,PR,549300GDJIT5E0RD3B88,,249,183,72127:48; 72031:27; 72021:17; 72061:8; 72025:8,157,20,1,5,0,85.79,10.93,0.55,national
2025,PR,549300T69MHCQOIC3F90,,190,174,72027:35; 72013:23; 72115:21; 72065:12; 72017:9,174,0,0,0,0,100.0,0.0,0.0,national
2025,PR,254900SI9TPITPEZ5332,,214,148,72127:37; 72021:14; 72061:8; 72031:7; 72013:6,94,48,3,3,0,63.51,32.43,2.03,national
2025,PR,254900QK56SK0RTQI188,,207,143,72127:19; 72021:15; 72031:11; 72045:9; 72025:8,39,92,6,6,0,27.27,64.34,4.2,national
2025,PR,549300NC4WJQGK642G48,,161,121,72127:16; 72031:14; 72021:11; 72101:8; 72013:8,14,97,1,9,0,11.57,80.17,0.83,national
2025,PR,549300DP6NUMG3X4JQ52,,134,104,72047:17; 72135:10; 72127:9; 72105:9; 72021:7,104,0,0,0,0,100.0,0.0,0.0,national
2025,PR,5493000L4JCTDWD6WT73,,116,100,72091:27; 72145:12; 72017:10; 72143:7; 72039:6,100,0,0,0,0,100.0,0.0,0.0,national
2025,PR,549300VZVN841I2ILS84,,164,96,72127:15; 72031:14; 72147:11; 72117:8; 72071:6,66,21,9,0,0,68.75,21.88,9.38,national
2025,PR,254900KMMJNL0IJNSM73,,126,81,72127:18; 72061:9; 72031:7; 72021:6; 72023:5,75,4,2,0,0,92.59,4.94,2.47,national
2025,PR,549300PIBI14GDBLD168,,110,81,72005:26; 72071:17; 72115:5; 72013:5; 72099:4,81,0,0,0,0,100.0,0.0,0.0,national
2025,PR,549300TDABQQ6MBUPK64,,79,79,72021:11; 72127:11; 72061:8; 72031:7; 72053:5,79,0,0,0,0,100.0,0.0,0.0,national
