year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,TN,47037,Davidson,28026,16327,4572,16.31,13044,9176,5806,46.54,32.74,23347,3390,1266,23,0,83.3,12.1,4.52,13790,1843,678,16,0,84.46,11.29,4.15,yes
2025,TN,47157,Shelby,27019,14545,5613,20.77,11309,10027,5683,41.86,37.11,19582,4965,2454,18,0,72.47,18.38,9.08,10747,2526,1259,13,0,73.89,17.37,8.66,yes
2025,TN,47093,,22068,13458,3195,14.48,10400,7222,4446,47.13,32.73,17130,3007,1866,65,0,77.62,13.63,8.46,10531,1810,1070,47,0,78.25,13.45,7.95,yes
2025,TN,47065,,16589,9713,2685,16.19,7537,5394,3658,45.43,32.52,13081,2151,1327,30,0,78.85,12.97,8.0,7733,1209,753,18,0,79.61,12.45,7.75,yes
2025,TN,47149,,15758,9517,2515,15.96,7038,5377,3343,44.66,34.12,11197,3043,1454,64,0,71.06,19.31,9.23,6845,1819,798,55,0,71.92,19.11,8.38,yes
2025,TN,47125,,13811,8303,2043,14.79,6234,5419,2158,45.14,39.24,5948,1922,5910,31,0,43.07,13.92,42.79,3497,1128,3660,18,0,42.12,13.59,44.08,yes
2025,TN,47187,,13253,8206,1823,13.76,5530,4379,3344,41.73,33.04,12015,731,502,5,0,90.66,5.52,3.79,7517,391,294,4,0,91.6,4.76,3.58,yes
2025,TN,47165,,10475,6454,1488,14.21,4873,3559,2043,46.52,33.98,7460,1878,1050,87,0,71.22,17.93,10.02,4685,1119,598,52,0,72.59,17.34,9.27,yes
2025,TN,47189,,8395,5307,1150,13.7,4109,2680,1606,48.95,31.92,6227,1335,806,27,0,74.18,15.9,9.6,3973,833,484,17,0,74.86,15.7,9.12,yes
2025,TN,47163,,7192,4205,1217,16.92,3606,2172,1414,50.14,30.2,5110,1242,822,18,0,71.05,17.27,11.43,3013,734,447,11,0,71.65,17.46,10.63,yes
2025,TN,47009,,7110,4181,1164,16.37,3481,2375,1254,48.96,33.4,5237,1002,835,36,0,73.66,14.09,11.74,3067,590,494,30,0,73.36,14.11,11.82,yes
2025,TN,47119,,6002,3710,868,14.46,2883,2061,1058,48.03,34.34,4336,1093,544,29,0,72.24,18.21,9.06,2733,658,298,21,0,73.67,17.74,8.03,yes
2025,TN,47179,,5699,3415,887,15.56,2761,1776,1162,48.45,31.16,4315,699,662,23,0,75.72,12.27,11.62,2635,391,374,15,0,77.16,11.45,10.95,yes
2025,TN,47155,,6229,3413,1116,17.92,3491,1905,833,56.04,30.58,5205,605,395,24,0,83.56,9.71,6.34,2846,322,229,16,0,83.39,9.43,6.71,yes
2025,TN,47011,,4689,2671,850,18.13,2317,1491,881,49.41,31.8,3296,865,494,34,0,70.29,18.45,10.54,1829,528,290,24,0,68.48,19.77,10.86,yes
2025,TN,47147,,4013,2533,595,14.83,1785,1457,771,44.48,36.31,2573,891,502,47,0,64.12,22.2,12.51,1638,556,307,32,0,64.67,21.95,12.12,yes
2025,TN,47113,,3771,2166,714,18.93,1550,1375,846,41.1,36.46,2640,742,353,36,0,70.01,19.68,9.36,1567,390,186,23,0,72.35,18.01,8.59,yes
2025,TN,47001,,3698,2105,643,17.39,1759,1277,662,47.57,34.53,2628,620,404,46,0,71.07,16.77,10.92,1477,361,231,36,0,70.17,17.15,10.97,yes
2025,TN,47105,,3209,1970,449,13.99,1615,989,605,50.33,30.82,2436,392,350,31,0,75.91,12.22,10.91,1505,240,202,23,0,76.4,12.18,10.25,yes
2025,TN,47141,,2844,1842,380,13.36,1284,1040,520,45.15,36.57,2038,480,301,25,0,71.66,16.88,10.58,1362,278,182,20,0,73.94,15.09,9.88,yes
2025,TN,47145,,3003,1729,498,16.58,1474,1003,526,49.08,33.4,2071,540,344,48,0,68.96,17.98,11.46,1154,344,200,31,0,66.74,19.9,11.57,yes
