year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,TX,48201,Harris,117330,62628,24223,20.65,69343,30799,17188,59.1,26.25,89769,20842,6383,336,0,76.51,17.76,5.44,45779,12904,3714,231,0,73.1,20.6,5.93,yes
2025,TX,48029,Bexar,66071,36432,12261,18.56,38815,19112,8144,58.75,28.93,40933,13300,11505,333,0,61.95,20.13,17.41,19870,8750,7570,242,0,54.54,24.02,20.78,yes
2025,TX,48439,,59939,34427,10800,18.02,32715,17980,9244,54.58,30.0,44611,10174,5080,74,0,74.43,16.97,8.48,24683,6504,3186,54,0,71.7,18.89,9.25,yes
2025,TX,48085,,51275,31208,7580,14.78,28706,16286,6283,55.98,31.76,42063,6434,2645,133,0,82.03,12.55,5.16,25068,4353,1691,96,0,80.33,13.95,5.42,yes
2025,TX,48113,Dallas,58021,31057,11447,19.73,29581,19467,8973,50.98,33.55,47590,8032,2343,56,0,82.02,13.84,4.04,24889,4781,1350,37,0,80.14,15.39,4.35,yes
2025,TX,48121,,43028,25930,6862,15.95,23952,13482,5594,55.67,31.33,34208,5866,2876,78,0,79.5,13.63,6.68,20159,3878,1841,52,0,77.74,14.96,7.1,yes
2025,TX,48453,Travis,35153,20143,5677,16.15,20351,9648,5154,57.89,27.45,30642,2973,1473,65,0,87.17,8.46,4.19,17187,1963,945,48,0,85.32,9.75,4.69,yes
2025,TX,48339,,35402,19966,6779,19.15,24660,6798,3944,69.66,19.2,24290,7510,3386,216,0,68.61,21.21,9.56,12688,4997,2160,121,0,63.55,25.03,10.82,yes
2025,TX,48157,,32034,17619,6109,19.07,19197,7904,4933,59.93,24.67,24908,5451,1604,71,0,77.75,17.02,5.01,13183,3384,1000,52,0,74.82,19.21,5.68,yes
2025,TX,48491,,27480,16872,3929,14.3,16387,7707,3386,59.63,28.05,20843,3835,2620,182,0,75.85,13.96,9.53,12377,2650,1726,119,0,73.36,15.71,10.23,yes
2025,TX,48141,,23357,12742,4237,18.14,12573,7344,3440,53.83,31.44,13604,4771,4866,116,0,58.24,20.43,20.83,6283,3244,3130,85,0,49.31,25.46,24.56,yes
2025,TX,48027,,16195,9383,2633,16.26,9464,4966,1765,58.44,30.66,7499,1933,6703,60,0,46.3,11.94,41.39,3731,1252,4364,36,0,39.76,13.34,46.51,yes
2025,TX,48215,,17168,8308,4137,24.1,9648,5115,2405,56.2,29.79,11623,4243,1190,112,0,67.7,24.71,6.93,4739,2796,686,87,0,57.04,33.65,8.26,yes
2025,TX,48039,,15050,8014,2962,19.68,9827,3356,1867,65.3,22.3,10510,3114,1369,57,0,69.83,20.69,9.1,5158,1993,836,27,0,64.36,24.87,10.43,yes
2025,TX,48167,,13946,7839,2457,17.62,8297,3694,1955,59.49,26.49,9943,2562,1398,43,0,71.3,18.37,10.02,5317,1655,836,31,0,67.83,21.11,10.66,yes
2025,TX,48209,,11861,7164,1914,16.14,7850,2809,1202,66.18,23.68,8156,2481,1030,194,0,68.76,20.92,8.68,4687,1641,688,148,0,65.42,22.91,9.6,yes
2025,TX,48303,,9993,6275,1410,14.11,6688,2415,890,66.93,24.17,7023,2184,738,48,0,70.28,21.86,7.39,4178,1556,503,38,0,66.58,24.8,8.02,yes
2025,TX,48139,,10667,6165,1836,17.21,6489,2969,1209,60.83,27.83,6623,2543,1479,22,0,62.09,23.84,13.87,3513,1702,934,16,0,56.98,27.61,15.15,yes
2025,TX,48257,,10395,5876,2075,19.96,7427,2205,763,71.45,21.21,5587,3583,1133,92,0,53.75,34.47,10.9,2840,2279,703,54,0,48.33,38.78,11.96,yes
2025,TX,48355,,10750,5792,2184,20.32,6200,3344,1206,57.67,31.11,7394,1971,1376,9,0,68.78,18.33,12.8,3623,1298,863,8,0,62.55,22.41,14.9,yes
2025,TX,48187,,9644,5657,1526,15.82,6418,2565,661,66.55,26.6,5056,2298,2220,70,0,52.43,23.83,23.02,2524,1632,1441,60,0,44.62,28.85,25.47,yes
2025,TX,48091,,9078,5457,1337,14.73,5081,2942,1055,55.97,32.41,6278,1108,1658,34,0,69.16,12.21,18.26,3569,777,1085,26,0,65.4,14.24,19.88,yes
2025,TX,48251,,9229,5371,1606,17.4,5936,2279,1014,64.32,24.69,5887,2181,1119,42,0,63.79,23.63,12.12,3117,1484,743,27,0,58.03,27.63,13.83,yes
2025,TX,48367,,8520,4902,1449,17.01,4849,2424,1247,56.91,28.45,6222,1112,1165,21,0,73.03,13.05,13.67,3412,713,763,14,0,69.6,14.55,15.57,yes
2025,TX,48423,,8381,4563,1807,21.56,5080,2204,1097,60.61,26.3,6730,913,654,84,0,80.3,10.89,7.8,3474,586,432,71,0,76.13,12.84,9.47,yes
2025,TX,48309,,7721,4509,1245,16.12,4575,2233,913,59.25,28.92,5622,1286,793,20,0,72.81,16.66,10.27,3132,864,495,18,0,69.46,19.16,10.98,yes
2025,TX,48329,,7836,4345,1554,19.83,5840,1491,505,74.53,19.03,5362,2144,327,3,0,68.43,27.36,4.17,2622,1517,204,2,0,60.35,34.91,4.7,yes
2025,TX,48061,,8226,4175,1816,22.08,4635,2503,1088,56.35,30.43,5646,1800,757,23,0,68.64,21.88,9.2,2510,1175,474,16,0,60.12,28.14,11.35,yes
2025,TX,48181,,7056,3989,1294,18.34,4299,1974,783,60.93,27.98,5302,1102,624,28,0,75.14,15.62,8.84,2789,766,416,18,0,69.92,19.2,10.43,yes
2025,TX,48041,,6278,3776,1102,17.55,4238,1329,711,67.51,21.17,4953,822,478,25,0,78.89,13.09,7.61,2855,578,324,19,0,75.61,15.31,8.58,yes
2025,TX,48397,,6054,3617,915,15.11,3634,1617,803,60.03,26.71,4381,968,692,13,0,72.37,15.99,11.43,2522,650,436,9,0,69.73,17.97,12.05,yes
2025,TX,48381,,5751,3570,807,14.03,3417,1527,807,59.42,26.55,4142,1112,486,11,0,72.02,19.34,8.45,2445,788,331,6,0,68.49,22.07,9.27,yes
2025,TX,48441,,5352,3347,698,13.04,3593,1308,451,67.13,24.44,3264,889,1192,7,0,60.99,16.61,22.27,1910,620,814,3,0,57.07,18.52,24.32,yes
2025,TX,48245,,5490,3157,1035,18.85,3075,1661,754,56.01,30.26,3920,1225,329,16,0,71.4,22.31,5.99,2155,794,195,13,0,68.26,25.15,6.18,yes
2025,TX,48135,,6937,3100,1948,28.08,5379,1123,435,77.54,16.19,4702,2020,215,0,0,67.78,29.12,3.1,1588,1373,139,0,0,51.23,44.29,4.48,yes
2025,TX,48479,,5324,2900,1171,21.99,3568,1142,614,67.02,21.45,3221,1762,301,40,0,60.5,33.1,5.65,1439,1241,189,31,0,49.62,42.79,6.52,yes
2025,TX,48231,,5095,2704,1051,20.63,3291,1362,442,64.59,26.73,3394,1127,546,28,0,66.61,22.12,10.72,1625,711,346,22,0,60.1,26.29,12.8,yes
2025,TX,48473,,4769,2549,1017,21.33,3588,873,308,75.24,18.31,3023,1329,375,42,0,63.39,27.87,7.86,1438,866,214,31,0,56.41,33.97,8.4,yes
2025,TX,48021,,5020,2373,1247,24.84,3481,1113,426,69.34,22.17,3679,872,364,105,0,73.29,17.37,7.25,1515,549,231,78,0,63.84,23.14,9.73,yes
2025,TX,48497,,4166,2345,824,19.78,2721,1077,368,65.31,25.85,2673,976,491,26,0,64.16,23.43,11.79,1365,651,316,13,0,58.21,27.76,13.48,yes
2025,TX,48291,,6658,2186,2442,36.68,5600,754,304,84.11,11.32,5247,1038,334,39,0,78.81,15.59,5.02,1328,641,190,27,0,60.75,29.32,8.69,yes
2025,TX,48485,,3304,2066,478,14.47,1909,1099,296,57.78,33.26,2112,450,721,21,0,63.92,13.62,21.82,1249,308,488,21,0,60.45,14.91,23.62,yes
2025,TX,48451,,3226,2042,440,13.64,1971,930,325,61.1,28.83,1920,699,605,2,0,59.52,21.67,18.75,1138,493,409,2,0,55.73,24.14,20.03,yes
