year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,TX,549300HW662MN1WU8550,,56488,42285,Harris:6322; 48085:4522; 48121:3396; 48439:2836; Dallas:2525,28503,7575,6162,45,0,67.41,17.91,14.57,yes
2025,TX,549300FGXN1K3HLB1R50,,46463,30579,Harris:4343; 48439:2530; Dallas:1937; Bexar:1744; 48085:1595,25770,3139,1670,0,0,84.27,10.27,5.46,yes
2025,TX,5493001SXWZ4OFP8Z903,,26348,17748,Bexar:1840; 48085:1522; 48121:1352; 48157:1221; 48439:1094,3897,10207,3266,378,0,21.96,57.51,18.4,yes
2025,TX,549300H3IZO24NSOO931,,21959,15642,Bexar:3023; Harris:2263; 48085:1203; 48121:1139; 48339:917,5486,8386,1583,187,0,35.07,53.61,10.12,yes
2025,TX,549300GKFNPRWNS0GF29,,15757,10655,Harris:1318; Travis:869; Bexar:691; 48339:528; Dallas:505,5316,2985,1232,1122,0,49.89,28.02,11.56,yes
2025,TX,7H6GLXDRUGQFU57RNE97,,16260,9775,Harris:1940; Dallas:1064; 48439:787; Bexar:696; 48085:639,9422,197,156,0,0,96.39,2.02,1.6,yes
2025,TX,549300AG64NHILB7ZP05,,14655,8535,48085:1023; Harris:936; Bexar:766; 48339:566; 48439:501,5257,2304,953,21,0,61.59,26.99,11.17,yes
2025,TX,549300VZVN841I2ILS84,,11858,7734,Harris:748; Dallas:732; 48439:697; 48085:619; 48121:572,4531,2144,1035,24,0,58.59,27.72,13.38,yes
2025,TX,549300MGPZBLQDIL7538,,10409,7468,48027:869; Harris:578; 48439:517; Travis:424; 48491:388,4153,2107,1147,61,0,55.61,28.21,15.36,yes
2025,TX,549300LU6Y2TXG48QY48,,13859,7141,Bexar:2416; Travis:586; 48091:531; 48187:496; 48491:415,7115,12,14,0,0,99.64,0.17,0.2,yes
2025,TX,549300DD5QQUHO6PCH70,,14249,6918,Bexar:571; 48027:522; Harris:471; 48439:424; 48141:404,225,173,6512,8,0,3.25,2.5,94.13,yes
2025,TX,549300AQ3T62GXDU7D76,,10038,6877,Harris:672; 48439:654; Bexar:331; 48339:317; 48121:250,3855,2266,674,82,0,56.06,32.95,9.8,yes
2025,TX,RVDPPPGHCGZ40J4VQ731,,14770,6849,Harris:770; 48085:551; 48439:497; Bexar:475; 48121:427,4231,1193,1420,5,0,61.78,17.42,20.73,yes
2025,TX,549300XQVJ1XBNFA5536,,37961,6763,48135:257; 48291:255; Bexar:201; 48329:196; 48339:193,6763,0,0,0,0,100.0,0.0,0.0,yes
2025,TX,549300121SF0K2LN2804,,8656,6358,48121:510; Harris:432; 48479:410; 48439:379; 48085:374,4198,1417,728,15,0,66.03,22.29,11.45,yes
2025,TX,B4TYDEB6GKMZO031MB27,,18008,6141,Harris:1092; Dallas:784; 48085:600; 48439:567; 48121:464,6097,36,8,0,0,99.28,0.59,0.13,yes
2025,TX,G5AHTAP80NWA3Q8RDC78,,12483,6117,Harris:746; Dallas:673; 48439:647; Bexar:538; 48085:525,6117,0,0,0,0,100.0,0.0,0.0,yes
2025,TX,549300LYRWPSYPK6S325,,12545,5759,Harris:558; Bexar:480; 48439:412; 48085:323; 48121:234,782,2246,2729,2,0,13.58,39.0,47.39,yes
2025,TX,549300E2UX99HKDBR481,,11833,5508,Harris:1451; Bexar:414; 48439:377; 48157:263; Dallas:231,3304,1734,463,7,0,59.99,31.48,8.41,yes
2025,TX,549300FNXYY540N23N64,,15001,4793,Harris:540; Bexar:381; 48439:340; 48085:313; Dallas:281,2921,731,1120,21,0,60.94,15.25,23.37,yes
2025,TX,5493003GQDUH26DNNH17,,11693,4267,Harris:461; 48439:387; Bexar:377; 48141:226; 48027:209,2591,0,1676,0,0,60.72,0.0,39.28,yes
2025,TX,5493001GDRY0EL7VG372,,5373,4151,48339:421; 48085:409; 48439:379; 48121:351; Harris:277,1966,1482,678,25,0,47.36,35.7,16.33,yes
2025,TX,549300MZ8VZJOVC63092,,5912,3781,Harris:628; 48439:273; Dallas:253; 48339:191; 48085:183,2253,1106,402,20,0,59.59,29.25,10.63,yes
2025,TX,549300IVURCTJ6QVMD67,,5147,3754,48441:787; 48439:389; Harris:225; 48367:179; 48451:175,3333,244,175,2,0,88.79,6.5,4.66,yes
2025,TX,Q7C315HKI8VX0SSKBS64,,5471,3639,Harris:1030; Travis:279; Dallas:263; 48339:226; 48027:192,3417,165,55,2,0,93.9,4.53,1.51,yes
2025,TX,549300LBCBNR1OT00651,,5943,3609,Harris:453; Bexar:282; 48439:262; Dallas:229; 48121:191,3107,278,224,0,0,86.09,7.7,6.21,yes
2025,TX,254900DTLHVWQ7NP7R34,,5162,3502,Harris:610; 48085:320; 48439:287; Dallas:236; 48157:216,3166,290,44,2,0,90.41,8.28,1.26,yes
2025,TX,549300OQMU3ID8QA6M46,,4020,3382,Bexar:748; 48491:476; 48085:450; 48339:240; Harris:225,915,1737,591,139,0,27.05,51.36,17.47,yes
2025,TX,549300U3721PJGQZYY68,,7394,3318,Harris:441; Dallas:405; 48439:258; Bexar:222; 48085:177,2044,811,448,15,0,61.6,24.44,13.5,yes
2025,TX,549300RPOGWJRH63HS39,,4621,3238,Harris:495; 48085:350; 48439:306; 48215:231; 48061:166,1645,1257,324,12,0,50.8,38.82,10.01,yes
2025,TX,254900ZFWS2106HWPH46,,4266,3136,Harris:499; 48085:341; 48215:210; 48121:187; 48439:182,1900,936,273,27,0,60.59,29.85,8.71,yes
2025,TX,5493004WMLN60ZJ2ON46,,4540,3108,Bexar:464; 48339:412; 48491:408; 48085:379; 48121:265,1451,1032,585,40,0,46.69,33.2,18.82,yes
2025,TX,549300KHXD7JSQUZIJ22,,4273,3092,48085:300; 48439:275; 48329:258; 48121:228; Dallas:215,1742,1031,292,27,0,56.34,33.34,9.44,yes
2025,TX,54930020YWIK7HGH2R34,,4321,2983,48085:438; 48439:382; 48251:229; 48121:217; Dallas:211,1445,1179,346,13,0,48.44,39.52,11.6,yes
2025,TX,AD6GFRVSDT01YPT1CS68,,8211,2930,Harris:444; 48439:276; Dallas:257; 48085:210; 48121:202,2906,12,12,0,0,99.18,0.41,0.41,yes
2025,TX,549300XWUSRVVOHPRY47,,5075,2750,Dallas:482; 48439:384; Harris:283; 48121:208; 48085:168,1532,1082,127,9,0,55.71,39.35,4.62,yes
2025,TX,KB1H1DSPRFMYMCUFXT09,,5902,2647,Harris:388; 48439:319; Dallas:260; Bexar:144; Travis:141,2504,68,75,0,0,94.6,2.57,2.83,yes
2025,TX,549300DMHEHNYZ2OLB41,,4053,2615,Travis:341; 48439:287; 48121:240; 48181:235; Dallas:233,2288,195,130,2,0,87.5,7.46,4.97,yes
2025,TX,254900Z5QRSHW4Y8CR51,,4573,2534,Dallas:858; 48085:489; 48121:291; 48439:142; 48397:83,2534,0,0,0,0,100.0,0.0,0.0,yes
2025,TX,549300DD4R4SYK5RAQ92,,3450,2367,48215:271; 48141:261; Harris:247; 48309:159; Bexar:134,1350,720,296,1,0,57.03,30.42,12.51,yes
2025,TX,549300CB67L6KPJLHE19,,15156,2321,Bexar:137; 48021:106; Travis:82; Harris:75; 48339:72,2321,0,0,0,0,100.0,0.0,0.0,yes
2025,TX,549300CY7WNAHKHYSJ73,,2982,2279,Harris:372; Bexar:286; Dallas:221; 48027:107; 48339:107,1304,519,446,10,0,57.22,22.77,19.57,yes
2025,TX,5493008N1D96CHCTQC27,,5132,2268,Bexar:1072; 48215:243; 48061:127; 48091:108; 48141:99,2268,0,0,0,0,100.0,0.0,0.0,yes
2025,TX,5493002QI2ILHHZH8D20,,3357,2250,Bexar:721; 48491:367; Harris:277; Travis:172; 48157:93,773,1098,370,9,0,34.36,48.8,16.44,yes
2025,TX,549300UI36AJZ0WZ4U93,,2740,2244,Harris:545; Travis:480; 48491:349; 48121:347; 48085:225,1566,549,124,5,0,69.79,24.47,5.53,yes
2025,TX,549300D003QRZFSQ4N43,,4589,2220,Harris:331; Dallas:187; 48439:112; 48303:108; Travis:81,2110,104,5,1,0,95.05,4.68,0.23,yes
2025,TX,54930034MNPILHP25H80,,3016,2178,Bexar:248; Harris:199; 48439:197; 48039:146; 48139:143,1375,568,233,2,0,63.13,26.08,10.7,yes
2025,TX,549300BBKMRS6J0CB539,,2898,2153,Dallas:549; 48439:355; 48085:229; 48121:170; 48141:158,1098,921,129,5,0,51.0,42.78,5.99,yes
2025,TX,549300VORTI31GZTJL53,,3048,2136,48439:208; 48303:188; Harris:186; 48135:174; Dallas:141,1167,819,147,3,0,54.63,38.34,6.88,yes
2025,TX,549300PXL1KA5TOL2O82,,2534,2129,Bexar:364; 48121:263; 48085:237; 48339:210; 48491:198,778,1008,342,1,0,36.54,47.35,16.06,yes
2025,TX,5493000YNV8IX4VD3X12,,15683,2045,Harris:185; 48291:169; 48339:109; 48021:53; 48039:43,2043,2,0,0,0,99.9,0.1,0.0,yes
2025,TX,254900QRD0ZXHH08TX87,,3455,2019,Harris:476; 48167:153; Travis:143; 48157:122; Bexar:122,1366,481,164,8,0,67.66,23.82,8.12,yes
2025,TX,549300KIOYNU323LVJ37,,2701,1947,48141:261; 48439:222; 48451:212; Bexar:121; Dallas:100,905,642,390,10,0,46.48,32.97,20.03,yes
2025,TX,549300UT4EN6IH579Q63,,2856,1923,Bexar:306; 48215:248; 48381:132; 48135:89; 48005:78,680,1009,211,23,0,35.36,52.47,10.97,yes
2025,TX,549300JYXTZDSPJEPI44,,3046,1897,Harris:353; 48085:111; Bexar:89; Dallas:88; 48439:87,1076,574,232,15,0,56.72,30.26,12.23,yes
2025,TX,549300ASIS4D2QDWH380,,2760,1806,48381:792; 48375:325; 48303:215; 48233:73; 48041:57,1563,195,47,1,0,86.54,10.8,2.6,yes
2025,TX,549300TYV7NDBX6FUR63,,2833,1788,48491:252; 48121:185; Harris:183; 48085:182; 48339:169,1107,420,253,8,0,61.91,23.49,14.15,yes
2025,TX,549300RN01LBYR8ZVX74,,2648,1752,48085:228; 48439:167; 48215:160; Dallas:145; 48121:141,1052,487,207,6,0,60.05,27.8,11.82,yes
2025,TX,5493009F6BJDCZMZ7Y26,,2460,1746,48451:267; 48439:144; Harris:128; 48479:105; 48423:104,648,881,196,21,0,37.11,50.46,11.23,yes
2025,TX,549300ZGTXNHL5BKQZ27,,2374,1708,Bexar:867; 48215:202; 48187:82; 48141:74; 48061:72,385,766,556,1,0,22.54,44.85,32.55,yes
2025,TX,54930043BMDE130FJ617,,2755,1706,48085:303; Harris:233; 48121:194; 48439:177; Dallas:141,1706,0,0,0,0,100.0,0.0,0.0,yes
2025,TX,254900HA4DQWAE0W3342,,2736,1692,Harris:292; 48085:134; Travis:88; 48121:83; Dallas:80,910,659,123,0,0,53.78,38.95,7.27,yes
2025,TX,549300KOAKQX3BEWWT56,,2009,1657,Harris:358; 48491:181; 48157:152; 48339:105; 48039:100,894,457,306,0,0,53.95,27.58,18.47,yes
2025,TX,549300370QILXLFUWD20,,2367,1648,Bexar:208; 48439:189; Harris:179; Dallas:148; 48085:127,1099,363,186,0,0,66.69,22.03,11.29,yes
2025,TX,549300DMYENRV818D594,,2092,1607,48309:251; 48027:158; Bexar:133; Dallas:112; Harris:98,984,322,298,3,0,61.23,20.04,18.54,yes
2025,TX,6BYL5QZYBDK8S7L73M02,,3300,1599,48085:266; Harris:201; 48121:196; Travis:182; Dallas:111,1442,98,59,0,0,90.18,6.13,3.69,yes
2025,TX,54930021WPEXNHYZUL09,,2006,1597,48121:144; Harris:121; 48439:109; 48141:109; 48085:106,419,624,544,10,0,26.24,39.07,34.06,yes
2025,TX,549300M8WGW2D17CZD19,,2070,1580,Bexar:548; 48439:128; 48355:91; Dallas:88; 48187:66,853,465,257,5,0,53.99,29.43,16.27,yes
2025,TX,549300PIL8LFAQ04XC20,,6585,1571,Harris:202; 48439:121; 48085:120; Dallas:116; 48121:105,1571,0,0,0,0,100.0,0.0,0.0,yes
2025,TX,8WH0EE09O9V05QJZ3V89,,3304,1522,Harris:571; 48339:148; Dallas:122; 48157:103; 48085:90,1500,19,3,0,0,98.55,1.25,0.2,yes
2025,TX,549300O6Z0I6KYMESL47,,2322,1476,Harris:378; 48157:173; 48085:114; 48339:104; 48439:103,1461,12,3,0,0,98.98,0.81,0.2,yes
2025,TX,549300CPM35KXH0BZ823,,3682,1474,48355:529; 48215:467; 48061:199; 48409:107; 48249:31,1468,0,6,0,0,99.59,0.0,0.41,yes
