year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,VA,51001,,54930078TNN7GKZ7NU89,,86,71,2,10.84,47,17,12,10,0,40,13,10,8,0,national
2025,VA,51001,,549300FGXN1K3HLB1R50,,78,53,16,8.09,58,16,4,0,0,39,12,2,0,0,national
2025,VA,51001,,549300ZTT08EKQRVTR15,,76,45,26,6.87,72,3,1,0,0,41,3,1,0,0,national
2025,VA,51001,,5493005NXMQ7SP5TOF96,,72,44,10,6.72,72,0,0,0,0,44,0,0,0,0,national
2025,VA,51001,,5493005R34FLBMCPWB41,,57,28,10,4.27,12,38,4,3,0,9,16,2,1,0,national
2025,VA,51001,,AD6GFRVSDT01YPT1CS68,,53,28,16,4.27,52,1,0,0,0,28,0,0,0,0,national
2025,VA,51001,,549300HW662MN1WU8550,,37,25,8,3.82,17,10,10,0,0,10,6,9,0,0,national
2025,VA,51001,,5493005PKOSG7MYX0B34,,29,22,1,3.36,15,10,4,0,0,12,8,2,0,0,national
2025,VA,51001,,5493003GQDUH26DNNH17,,37,18,10,2.75,28,0,9,0,0,14,0,4,0,0,national
2025,VA,51001,,549300DD5QQUHO6PCH70,,31,14,3,2.14,3,3,25,0,0,1,1,12,0,0,national
2025,VA,51001,,549300CHR7TPQ6LLXG47,,18,13,4,1.98,18,0,0,0,0,13,0,0,0,0,national
2025,VA,51001,,549300GKFNPRWNS0GF29,,17,13,1,1.98,13,3,1,0,0,9,3,1,0,0,national
2025,VA,51001,,RVDPPPGHCGZ40J4VQ731,,30,13,4,1.98,15,8,7,0,0,11,1,1,0,0,national
2025,VA,51001,,549300AG64NHILB7ZP05,,20,12,4,1.83,12,7,1,0,0,6,6,0,0,0,national
2025,VA,51001,,549300DMYENRV818D594,,18,12,0,1.83,12,5,1,0,0,8,3,1,0,0,national
2025,VA,51001,,JJKC32MCHWDI71265Z06,,30,12,11,1.83,30,0,0,0,0,12,0,0,0,0,national
2025,VA,51001,,549300KPBZCTMM3Y0061,,15,11,1,1.68,13,0,2,0,0,10,0,1,0,0,national
2025,VA,51001,,549300LBCBNR1OT00651,,11,10,0,1.53,9,0,2,0,0,8,0,2,0,0,national
2025,VA,51001,,549300DD4R4SYK5RAQ92,,11,8,2,1.22,5,4,2,0,0,3,3,2,0,0,national
2025,VA,51001,,549300LYRWPSYPK6S325,,16,8,1,1.22,5,5,6,0,0,2,1,5,0,0,national
2025,VA,51001,,549300VZVN841I2ILS84,,11,7,0,1.07,4,5,2,0,0,3,3,1,0,0,national
2025,VA,51001,,549300J6N77Q8OHYNF23,,8,6,0,0.92,4,0,4,0,0,3,0,3,0,0,national
2025,VA,51001,,COOWI3L2W9TPYR3WJX37,,13,6,5,0.92,13,0,0,0,0,6,0,0,0,0,national
2025,VA,51001,,DZC62HF6UIZYJ08V1J90,,7,6,0,0.92,7,0,0,0,0,6,0,0,0,0,national
2025,VA,51001,,5493000YNV8IX4VD3X12,,78,5,40,0.76,78,0,0,0,0,5,0,0,0,0,national
2025,VA,51001,,549300F8C5JA44WNMI75,,11,5,3,0.76,5,5,1,0,0,2,2,1,0,0,national
2025,VA,51001,,549300U3721PJGQZYY68,,9,5,0,0.76,6,0,3,0,0,2,0,3,0,0,national
2025,VA,51001,,5493008NWHQT1R22C024,,7,4,2,0.61,3,4,0,0,0,1,3,0,0,0,national
2025,VA,51001,,549300RWXUAFD1WAE410,,5,4,0,0.61,2,1,0,2,0,1,1,0,2,0,national
2025,VA,51001,,549300YIQ7S7Z8PIHE53,,16,4,9,0.61,13,2,1,0,0,3,1,0,0,0,national
2025,VA,51001,,7H6GLXDRUGQFU57RNE97,,5,4,1,0.61,5,0,0,0,0,4,0,0,0,0,national
2025,VA,51001,,254900UL88QFG0E40516,,7,3,1,0.46,7,0,0,0,0,3,0,0,0,0,national
2025,VA,51001,,5493001GCBD5XGNIC815,,6,3,0,0.46,6,0,0,0,0,3,0,0,0,0,national
2025,VA,51001,,549300370QILXLFUWD20,,3,3,0,0.46,2,1,0,0,0,2,1,0,0,0,national
2025,VA,51001,,54930095UWUUXAWASB02,,5,3,0,0.46,4,1,0,0,0,2,1,0,0,0,national
2025,VA,51001,,549300AQ3T62GXDU7D76,,6,3,1,0.46,5,1,0,0,0,2,1,0,0,0,national
2025,VA,51001,,549300CY7WNAHKHYSJ73,,4,3,0,0.46,4,0,0,0,0,3,0,0,0,0,national
2025,VA,51001,,549300FNXYY540N23N64,,11,3,4,0.46,5,4,2,0,0,1,1,1,0,0,national
2025,VA,51001,,549300R9S3MVDV4MGF56,,10,3,5,0.46,6,4,0,0,0,1,2,0,0,0,national
2025,VA,51001,,DRMSV1Q0EKMEXLAU1P80,,4,3,1,0.46,4,0,0,0,0,3,0,0,0,0,national
2025,VA,51001,,03D0JEWFDFUS0SEEKG89,,2,2,0,0.31,2,0,0,0,0,2,0,0,0,0,national
