year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,VA,549300FGXN1K3HLB1R50,,19481,14489,51059:1243; 51153:921; 51041:872; 51107:814; 51810:753,10703,2026,1760,0,0,73.87,13.98,12.15,national
2025,VA,549300HW662MN1WU8550,,13993,10136,51059:981; 51810:748; 51153:626; 51107:585; 51041:566,4426,1841,3811,58,0,43.67,18.16,37.6,national
2025,VA,5493003GQDUH26DNNH17,,19395,9684,51059:1251; 51810:1186; 51153:887; 51550:753; 51107:645,8177,0,1507,0,0,84.44,0.0,15.56,national
2025,VA,JJKC32MCHWDI71265Z06,,11838,6374,51059:950; 51107:511; 51153:348; 51041:323; 51087:280,6186,80,106,2,0,97.05,1.26,1.66,national
2025,VA,549300DD5QQUHO6PCH70,,9000,4500,51810:447; 51550:390; 51710:383; 51650:269; 51800:223,159,119,4220,2,0,3.53,2.64,93.78,national
2025,VA,549300DD4R4SYK5RAQ92,,6126,4339,51810:291; 51059:290; 51550:220; 51177:185; 51700:170,2441,883,981,34,0,56.26,20.35,22.61,national
2025,VA,RVDPPPGHCGZ40J4VQ731,,8334,4338,51059:496; 51810:279; 51153:278; 51041:274; 51107:260,2468,744,1122,4,0,56.89,17.15,25.86,national
2025,VA,549300RWXUAFD1WAE410,,5194,4244,51810:387; 51550:267; 51770:204; 51161:202; 51700:198,2380,873,923,68,0,56.08,20.57,21.75,national
2025,VA,549300LYRWPSYPK6S325,,8029,3646,51810:327; 51550:281; 51041:215; 51153:212; 51059:192,323,935,2387,1,0,8.86,25.64,65.47,national
2025,VA,5493009LKZIV63KY6458,,5365,3576,51041:688; 51087:536; 51760:257; 51085:228; 51161:185,3333,175,58,10,0,93.2,4.89,1.62,national
2025,VA,54930095UWUUXAWASB02,,4304,3458,51059:526; 51107:427; 51153:302; 51179:173; 51177:138,2317,497,620,24,0,67.0,14.37,17.93,national
2025,VA,549300ZTT08EKQRVTR15,,4870,3237,51059:211; 51087:175; 51041:164; 51085:121; 51107:118,3015,159,39,24,0,93.14,4.91,1.2,national
2025,VA,549300VZVN841I2ILS84,,4339,2938,51059:536; 51810:183; 51107:170; 51153:147; 51069:145,1773,538,613,14,0,60.35,18.31,20.86,national
2025,VA,549300KBWX4NV5Q1E376,,3903,2711,51041:363; 51177:250; 51087:172; 51107:151; 51059:149,1315,777,589,30,0,48.51,28.66,21.73,national
2025,VA,549300CHR7TPQ6LLXG47,,3618,2701,51700:347; 51650:340; 51810:328; 51199:243; 51550:193,2685,4,12,0,0,99.41,0.15,0.44,national
2025,VA,B4TYDEB6GKMZO031MB27,,6584,2688,51059:551; 51107:264; 51153:186; 51810:184; 51041:180,2680,7,1,0,0,99.7,0.26,0.04,national
2025,VA,549300RYBJHWWDENV610,,3262,2663,51041:176; 51015:120; 51089:115; 51121:111; 51161:95,1546,659,247,211,0,58.05,24.75,9.28,national
2025,VA,549300EM8ID8J7F8OM55,,3232,2637,51059:419; 51153:312; 51087:290; 51041:245; 51107:194,1926,409,290,12,0,73.04,15.51,11.0,national
2025,VA,549300F8C5JA44WNMI75,,3519,2520,51810:436; 51550:377; 51710:254; 51650:218; 51740:195,943,598,968,11,0,37.42,23.73,38.41,national
2025,VA,549300GKFNPRWNS0GF29,,3164,2325,51059:314; 51153:216; 51107:172; 51179:110; 51810:109,1348,310,611,56,0,57.98,13.33,26.28,national
2025,VA,549300AG64NHILB7ZP05,,3738,2215,51059:194; 51107:172; 51153:160; 51041:138; 51810:127,1545,368,300,2,0,69.75,16.61,13.54,national
2025,VA,549300FNXYY540N23N64,,6390,2175,51810:202; 51059:188; 51550:141; 51041:141; 51153:129,1115,249,781,30,0,51.26,11.45,35.91,national
2025,VA,5493005PKOSG7MYX0B34,,2747,2141,51059:303; 51041:160; 51087:137; 51153:107; 51095:105,1364,288,482,7,0,63.71,13.45,22.51,national
2025,VA,54930039UO39UJGI7078,,2614,2077,51810:352; 51087:229; 51550:176; 51041:159; 51760:105,1674,180,218,5,0,80.6,8.67,10.5,national
2025,VA,549300LBCBNR1OT00651,,2539,1764,51059:180; 51153:116; 51041:103; 51810:97; 51087:82,1417,182,165,0,0,80.33,10.32,9.35,national
2025,VA,549300MGPZBLQDIL7538,,2389,1757,51059:292; 51153:137; 51107:88; 51680:84; 51177:68,1172,292,282,11,0,66.7,16.62,16.05,national
2025,VA,549300U3721PJGQZYY68,,3164,1737,51059:408; 51107:225; 51153:166; 51013:104; 51179:102,1101,151,477,8,0,63.39,8.69,27.46,national
2025,VA,AD6GFRVSDT01YPT1CS68,,3090,1721,51059:449; 51107:207; 51153:197; 51177:103; 51810:66,1713,3,4,1,0,99.54,0.17,0.23,national
2025,VA,213800KVD76WKI6PN868,,2546,1645,51087:365; 51041:318; 51085:136; 51760:126; 51810:76,1462,112,71,0,0,88.88,6.81,4.32,national
2025,VA,549300BWFA5UY7H4WJ62,,1859,1514,51041:258; 51087:162; 51085:99; 51760:93; 51810:67,1061,311,118,24,0,70.08,20.54,7.79,national
2025,VA,549300FX7K8PTEQUU487,,2773,1455,51059:436; 51153:191; 51107:188; 51179:63; 51013:63,1269,21,165,0,0,87.22,1.44,11.34,national
2025,VA,5493000E527OH5Y8TR73,,2218,1411,51810:257; 51700:210; 51550:197; 51650:173; 51199:90,1410,0,1,0,0,99.93,0.0,0.07,national
2025,VA,7H6GLXDRUGQFU57RNE97,,2186,1406,51059:228; 51760:118; 51087:114; 51041:84; 51107:82,1362,18,26,0,0,96.87,1.28,1.85,national
2025,VA,549300MKOZ81ZWTNKB12,,1944,1374,51059:177; 51107:107; 51041:104; 51760:98; 51087:89,1210,97,51,16,0,88.06,7.06,3.71,national
2025,VA,549300BM4NS8HDJT3X28,,1644,1359,51107:412; 51059:368; 51153:109; 51069:80; 51061:69,1089,86,183,1,0,80.13,6.33,13.47,national
2025,VA,549300FOXIQQV5UZD367,,1853,1342,51810:328; 51550:168; 51710:160; 51800:113; 51041:108,707,257,378,0,0,52.68,19.15,28.17,national
2025,VA,549300H88NIQ6005M718,,1689,1330,51015:548; 51165:219; 51790:138; 51820:129; 51171:92,1329,1,0,0,0,99.92,0.08,0.0,national
2025,VA,549300MCIFZSDHUT8X63,,1588,1310,51059:148; 51107:136; 51041:102; 51087:100; 51153:98,945,182,179,4,0,72.14,13.89,13.66,national
2025,VA,KB1H1DSPRFMYMCUFXT09,,2274,1270,51059:162; 51041:91; 51810:69; 51087:58; 51107:53,1162,52,56,0,0,91.5,4.09,4.41,national
2025,VA,254900UL88QFG0E40516,,2426,1180,51059:116; 51107:88; 51810:82; 51153:74; 51041:65,1180,0,0,0,0,100.0,0.0,0.0,national
2025,VA,254900NZCGMT6517BA94,,2011,1101,51059:386; 51153:211; 51107:151; 51069:62; 51061:46,1101,0,0,0,0,100.0,0.0,0.0,national
2025,VA,549300AQ3T62GXDU7D76,,1480,1028,51059:126; 51041:55; 51810:47; 51107:41; 51153:40,595,176,249,8,0,57.88,17.12,24.22,national
2025,VA,549300PIL8LFAQ04XC20,,3471,1024,51059:106; 51153:90; 51107:89; 51810:72; 51041:59,1024,0,0,0,0,100.0,0.0,0.0,national
2025,VA,549300BTTR873E71L054,,1293,1016,51069:117; 51165:99; 51041:62; 51161:58; 51171:52,669,232,76,39,0,65.85,22.83,7.48,national
2025,VA,DRMSV1Q0EKMEXLAU1P80,,1634,994,51059:305; 51107:109; 51153:70; 51041:46; 51013:46,974,7,13,0,0,97.99,0.7,1.31,national
2025,VA,549300YIQ7S7Z8PIHE53,,3112,957,51059:71; 51041:53; 51107:50; 51810:47; 51153:46,738,162,57,0,0,77.12,16.93,5.96,national
2025,VA,549300TYKYOVQFBZBV90,,1628,923,51003:310; 51065:104; 51109:78; 51540:74; 51137:61,908,14,1,0,0,98.37,1.52,0.11,national
2025,VA,5493006VAGP3GQ8FJT49,,1310,903,51760:109; 51710:103; 51810:86; 51550:61; 51087:50,903,0,0,0,0,100.0,0.0,0.0,national
