year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,VI,78010,,2549005SIVTHG14U2905,,37,26,4,28.89,36,1,0,0,0,26,0,0,0,0,national
2025,VI,78010,,549300SK2GVCQXPD4S58,,41,25,2,27.78,24,3,14,0,0,14,2,9,0,0,national
2025,VI,78010,,549300XED7IBK9VVQH70,,33,18,1,20.0,27,3,3,0,0,13,2,3,0,0,national
2025,VI,78010,,549300QV3GEYMP1WSO93,,22,13,1,14.44,22,0,0,0,0,13,0,0,0,0,national
2025,VI,78010,,549300GKFNPRWNS0GF29,,13,8,1,8.89,11,1,1,0,0,6,1,1,0,0,national
2025,VI,78020,,549300XED7IBK9VVQH70,,25,22,0,70.97,23,1,1,0,0,21,1,0,0,0,national
2025,VI,78020,,2549005SIVTHG14U2905,,9,5,1,16.13,8,1,0,0,0,5,0,0,0,0,national
2025,VI,78020,,549300GKFNPRWNS0GF29,,4,2,0,6.45,4,0,0,0,0,2,0,0,0,0,national
2025,VI,78020,,549300SK2GVCQXPD4S58,,3,2,1,6.45,3,0,0,0,0,2,0,0,0,0,national
2025,VI,78030,,549300XED7IBK9VVQH70,,65,44,2,45.83,57,7,1,0,0,40,3,1,0,0,national
2025,VI,78030,,2549005SIVTHG14U2905,,40,25,2,26.04,39,1,0,0,0,25,0,0,0,0,national
2025,VI,78030,,549300SK2GVCQXPD4S58,,25,18,1,18.75,18,2,5,0,0,13,1,4,0,0,national
2025,VI,78030,,549300GKFNPRWNS0GF29,,16,8,3,8.33,7,2,7,0,0,4,1,3,0,0,national
2025,VI,78030,,549300QV3GEYMP1WSO93,,3,1,0,1.04,3,0,0,0,0,1,0,0,0,0,national
